Frequency (Hz),Magnitude
0,35.251526
0,16.410728
1,1.522264
2,2.338147
3,1.777939
4,1.757197
5,1.353989
6,1.657553
7,2.288252
8,1.913742
9,1.909847
10,1.780809
11,1.748616
12,1.598865
13,1.475102
14,1.548627
15,1.491257
16,1.469795
17,1.573619
18,1.396113
19,1.104441
20,0.955863
21,0.97692
22,0.947784
23,0.91693
24,0.781785
25,0.528982
26,0.416564
27,0.567823
28,0.562243
29,0.442048
30,0.380716
31,0.428373
32,0.388044
33,0.377394
34,0.309174
35,0.130805
36,0.047761
37,0.088385
38,0.113349
39,0.090117
40,0.156386
41,0.155063
41,0.116392
42,0.189329
43,0.157206
44,0.052119
45,0.063798
46,0.086956
47,0.069302
48,0.123095
49,0.162271
50,0.126316
51,0.14207
52,0.116535
53,0.044016
54,0.052815
55,0.037105
56,0.070522
57,0.040819
58,0.043565
59,0.046913
60,0.065598
61,0.059888
0,33.310356
0,13.42028
1,1.808263
2,1.494894
3,1.361638
4,0.233468
5,1.066594
6,1.103092
7,0.999148
8,0.948455
9,0.911978
10,0.913027
11,0.667837
12,0.970469
13,0.643452
14,0.553142
15,0.546141
16,0.833274
17,0.663219
18,0.58879
19,0.516106
20,0.421531
21,0.543046
22,0.238641
23,0.475861
24,0.367232
25,0.268073
26,0.265621
27,0.271571
28,0.261219
29,0.098332
30,0.176024
31,0.112472
32,0.075053
33,0.095314
34,0.068615
35,0.023433
36,0.033953
37,0.06751
38,0.066928
39,0.072398
40,0.048226
41,0.064879
41,0.077347
42,0.051506
43,0.032167
44,0.061758
45,0.037293
46,0.026534
47,0.057735
48,0.032546
49,0.059684
50,0.043332
51,0.043661
52,0.029245
53,0.036849
54,0.009902
55,0.029595
56,0.028031
57,0.013401
58,0.016839
59,0.042853
60,0.02058
61,0.056033
0,32.683472
0,15.108889
1,3.077689
2,2.528944
3,2.475991
4,2.333099
5,2.150845
6,1.76125
7,1.977167
8,2.271399
9,1.868551
10,1.925946
11,1.644467
12,1.861448
