Frequency (Hz),Magnitude
0.0,275.283569
0.0,117.449066
0.0,2.300526
0.0,4.14029
0.0,2.437569
0.0,1.725628
0.0,0.755312
0.0,1.833763
0.0,2.482504
1.0,6.363543
1.0,5.581333
1.0,2.022923
1.0,11.117373
1.0,9.700545
1.0,9.1922
1.0,11.683844
1.0,3.005414
2.0,6.16147
2.0,3.965194
2.0,8.720884
2.0,4.828661
2.0,11.478223
2.0,16.631437
2.0,7.810381
2.0,6.183947
3.0,3.728544
3.0,9.61516
3.0,9.607362
3.0,10.925573
3.0,7.310818
3.0,4.888634
3.0,4.30527
3.0,0.985147
4.0,4.649153
4.0,5.453985
4.0,3.79724
4.0,9.617865
4.0,8.57272
4.0,4.096456
4.0,3.500878
4.0,1.74488
5.0,4.413321
5.0,6.654674
5.0,6.879537
5.0,3.178654
5.0,2.719391
5.0,1.413044
5.0,6.238167
5.0,8.247247
5.0,6.683699
6.0,4.889472
6.0,6.82796
6.0,6.228244
6.0,6.324974
6.0,3.968869
6.0,3.137436
6.0,3.361311
6.0,2.985208
7.0,7.445077
7.0,1.170117
7.0,6.461085
7.0,5.539284
7.0,7.655082
7.0,8.785108
7.0,13.567194
7.0,11.032058
8.0,4.884714
8.0,2.491305
8.0,1.127407
8.0,2.075703
8.0,2.614997
8.0,2.60521
8.0,0.532268
8.0,6.081685
9.0,0.261166
9.0,7.670146
9.0,5.33789
9.0,6.677026
9.0,6.898164
9.0,5.856569
9.0,3.858065
9.0,3.111699
10.0,1.932079
10.0,5.692517
10.0,3.672908
10.0,5.418154
10.0,5.970516
10.0,3.428418
10.0,1.103562
10.0,4.950284
10.0,9.980163
11.0,6.167695
11.0,3.217089
11.0,2.811551
11.0,4.432677
11.0,5.060389
11.0,1.878607
11.0,3.385894
11.0,3.650657
12.0,6.490867
12.0,6.940306
12.0,5.43714
12.0,4.027543
12.0,6.43554
12.0,1.610285
12.0,3.049336
12.0,4.12227
13.0,4.265182
13.0,3.876303
13.0,4.888541
13.0,2.430552
13.0,7.386214
13.0,8.606196
13.0,4.847651
13.0,2.581572
14.0,1.719856
14.0,2.454514
14.0,3.504432
14.0,5.217263
14.0,1.631477
14.0,1.346967
14.0,4.005457
14.0,5.878055
15.0,0.665986
15.0,4.047974
15.0,6.440464
15.0,5.928964
15.0,4.252687
15.0,3.517296
15.0,3.557709
15.0,4.672084
15.0,5.440394
16.0,2.590135
16.0,3.703922
16.0,2.885064
16.0,3.033829
16.0,0.819931
16.0,4.990345
16.0,1.555992
16.0,5.82529
17.0,5.887187
17.0,2.312327
17.0,4.156702
17.0,4.774056
17.0,2.96183
17.0,2.700181
17.0,1.176732
17.0,3.747575
18.0,3.604053
18.0,0.606352
18.0,2.088889
