,ECG,PPG
0,-2899.0032912099264,4134.007905464219
1,-2984.589138595583,4256.351255910296
2,-2831.7094632468284,4038.2781087063613
3,-2945.401153265175,4199.776181795167
4,-2865.606109410868,4086.9562293375366
5,-2920.4940984266923,4164.754553198788
6,-2882.795830620137,4111.925257835261
7,-2908.7576359982613,4146.723453451272
8,-2891.637183280833,4124.89153599247
9,-2902.3469924678247,4137.733478035619
10,-2895.671742671124,4087.3731410587766
11,-2898.3029645992174,4089.0221266204285
12,-2897.1420318633386,4089.3316595237943
13,-2897.6597986220468,4088.4832422223344
14,-2897.4286566998117,4089.260364678213
15,-2897.5318520893156,4088.574240159861
16,-2897.485779231741,4088.83330629975
17,-2897.5063490424304,4088.6971592043947
18,-2897.4971653894254,4088.8090121401083
19,-2897.5012655478686,4088.6396992164914
20,-2897.499434980092,4089.1038081078464
21,-2897.500252260309,4088.964928698485
22,-2897.4998873751833,4088.9948386912743
23,-2897.5000502827793,4089.0531815141067
24,-2897.499977550615,4088.750397550298
25,-2897.5000100228135,4088.445750549971
26,-2897.499995525188,4088.5072349936268
27,-2897.500001997837,4088.530568757917
28,-2897.4999991080404,4088.4062122748246
29,-2897.5000003982273,4088.837912879131
30,-2897.499999822206,4088.7404199312987
31,-2897.5000000793793,4088.709827931361
32,-2897.4999999645597,4088.4276498404074
33,-2897.5000000158225,4088.768178317764
34,-2897.499999992937,4175.439916264616
35,-2897.5000000031537,4349.725838884428
36,-2897.499999998592,4479.4457299750065
37,-2897.500000000629,4567.625005062692
38,-2897.4999999997194,4609.035354965447
39,-2897.500000000125,4656.553428394428
40,-2897.499999999944,4739.083285644331
41,-2897.500000000025,4743.813070253479
42,-2897.4999999999886,4782.872687789879
43,-2897.500000000005,4785.764397704077
44,-2897.4999999999977,4784.15946625249
45,-2897.500000000001,4828.278777274675
46,-2897.4999999999995,4872.255775130669
47,-2897.5000000000005,4914.5944343401425
48,-2897.5,4959.486349385766
49,-2897.5000000000005,5044.831332455178
50,-2897.5,5089.778297596641
51,-2897.5000000000005,5132.302178289873
52,-2897.5,5176.294517987775
53,-2897.5000000000005,5176.477350889962
54,-2897.5,5176.278626223638
55,-2897.5000000000005,5176.235221493135
56,-2897.5,5176.249619630771
57,-2897.5000000000005,5176.266260667018
58,-2897.5000000000005,5176.206499137985
59,-2897.4999999999995,5176.355206290376
60,-2897.5000000000023,5175.894365903165
61,-2897.4999999999964,5176.045077854364
62,-2897.5000000000086,5175.979931587662
63,-2897.4999999999804,5176.009014160972
64,-2897.5000000000455,5175.995846531078
65,-2897.4999999998986,5176.00214355285
66,-2897.5000000002287,5175.9983952498
67,-2897.4999999994884,5176.002167274864
68,-2897.500000001148,5175.995782806833
69,-2897.4999999974293,5176.009161620855
70,-2897.5000000057585,5175.979599191671
71,-2897.499999987103,5176.045823307018
72,-2897.5000000288883,5175.89269579558
73,-2897.4999999352954,5176.358947244814
74,-2897.5000001449284,5176.198119666368
75,-2897.4999996753854,5176.285036621319
76,-2897.5000007270805,5176.20737930684
77,-2897.499998371464,5176.334518012962
78,-2897.5000036476436,5175.937799094903
79,-2897.499991829904,5176.233707222464
80,-2897.500018299617,5176.236377457926
81,-2897.49995901199,5132.429032935273
82,-2897.5000918061255,5089.4590544335515
83,-2897.499794369995,5088.761894346918
84,-2897.5004605760096,5089.7838482919715
85,-2897.4989683885847,5088.937086465726
86,-2897.5023106329686,5090.100102374302
87,-2897.4948245777114,5088.891434396473
88,-2897.5115920599487,5046.010401365198
89,-2897.4740357699634,5002.068401074979
90,-2897.5581554357327,4958.7964088610615
91,-2897.369741645813,4871.7298040196765
92,-2897.791759797033,4740.891235710104
93,-2896.846422505671,4610.5912695549705
94,-2898.966062530388,4523.327031341429
95,-2894.161657789445,4436.269849689366
96,-2906.35761481258,4393.6052315483075
97,-2886.7745666300893,4391.415891276657
98,-2917.7866168420987,4394.606013228291
99,-2871.5801917733024,4434.702907199814
100,-2938.6459709455507,4438.6474851300645
101,-2842.4995511845636,4434.282650702282
102,-2978.762614149096,4438.474406408439
103,-2790.010842657166,4434.09858056232
104,-3037.6800110493523,4395.46959087026
105,-2740.3479572572705,4390.384786131669
106,2333.4097852080076,4395.11996524164
107,2854.43417422377,4434.458819087601
108,2702.0809714268144,4482.011896075347
109,2976.214575818334,4521.305760860561
110,2890.2572137360808,4568.639070935412
111,2981.0763339317914,4651.910844371724
112,2828.7685940440174,4699.188191941719
113,2825.219431113508,4783.271772558918
114,2797.6597819143103,4872.5742190862
115,2860.568961289475,4914.217567722288
116,2939.9716846707724,5003.414944150467
117,3126.272214240934,5130.801916254198
118,3212.769376280167,5220.834139039437
119,3080.6263352188794,5349.173965166466
120,2941.0125908427713,5480.87064331029
121,2853.9892409952477,5610.786616300747
122,2760.6131307302444,5741.824548158388
123,2535.106591069348,5872.297532658357
124,2400.884960231414,6002.554814747652
125,2397.1028372239175,6090.263936245128
126,2311.075660859313,6176.117290208393
127,2258.797412716008,6264.40799141342
128,2312.1117812986963,6350.420896225521
