,ECG,PPG
0,178.99662203452132,-1348.9960862246107
1,51.646195837644754,-1315.8107469479623
2,-55.15271448561654,-1267.2267077157067
3,-134.72599836715918,-1229.3097167196486
4,-191.5721372149579,-1217.2613909828092
5,-236.03046252041494,-1202.3423191181678
6,-266.6167756152528,-1188.7189200287553
7,-291.3520659578935,-1162.7792366847743
8,-315.0427723247035,-1135.0106445219067
9,-335.85757810826,-1104.1833055290679
10,-341.5191278032067,-1075.084781450169
11,-331.8842628824243,-1050.7174490623297
12,-310.8467337116674,-1025.8335254071173
13,-256.99989770555993,-988.8826681038067
14,-112.95301591651004,-942.765159399767
15,150.2700918605921,-899.232609078425
16,442.4924115264713,-851.3775555067056
17,524.490390385197,-795.3386790252101
18,149.19070618141888,-745.3098882290553
19,-605.7247146453112,-708.3114345555568
20,-1247.2807649425943,-666.2270881979488
21,-1367.7387199004934,-598.3255621297023
22,-1076.5609929172824,-510.9580307272713
23,-746.4956722435943,-427.2158864591144
24,-572.3867508131823,-366.55020040618524
25,-521.5273985948876,-328.33191399550304
26,-510.2204666824562,-293.1895281104732
27,-509.58433623639115,-248.3377353892318
28,-518.0520061390746,-202.4326490881154
29,-522.439825854866,-168.6056471977876
30,-517.9625650271184,-148.11032328490563
31,-513.2198612695803,-135.56373432104837
32,-503.0972024781358,-129.1020384410831
33,-467.9963951273856,-133.48682200114018
34,-393.17808238831867,-140.83140881799508
35,-271.824503552693,-145.22220234494645
36,-92.45186729734905,-152.8466626088315
37,166.35023501459446,-174.47301390146032
38,516.5883122695107,-200.93615366440616
39,934.4875933105532,-224.24796890217323
40,1345.8108153274643,-248.43506238099314
41,1645.8426605313832,-285.275113675227
42,1747.9075072337466,-336.4631674988634
43,1620.4131377786978,-392.343637195954
44,1297.0013256279963,-439.31818830550054
45,872.2903748309591,-473.7923200858051
46,455.3013457361029,-508.4568472268435
47,117.78582585937913,-554.492961892053
48,-130.7291464846784,-611.7146104354233
49,-302.319764027387,-669.899532927005
50,-413.3108231043953,-722.5305673598907
51,-474.2831954482257,-766.6747549488025
52,-481.630370890497,-808.5656138496229
53,-424.00312273982695,-856.6745467904423
54,-303.54630529533483,-913.596014467656
55,-124.05127956059046,-972.5813768364219
56,124.89500597562856,-1023.0475118622505
57,463.3290729329368,-1057.1103374226354
58,859.6176725756357,-1082.7101559211821
59,1214.661174819614,-1115.480305642978
60,1438.6409766584475,-1154.703567817812
61,1541.1465111397454,-1184.6840028770516
62,1587.8987544709785,-1208.4394582711345
63,1602.470573774288,-1235.6347624728767
64,1580.167832780115,-1264.6089234047622
65,1541.5488816294742,-1288.027937096446
66,1465.808199615618,-1307.8803154544405
67,1287.7788050819863,-1329.210952718191
68,1043.582966205738,-1359.0800799745132
69,898.9821196335025,-1394.31430061945
70,978.5782739490043,-1421.306992875675
71,1156.4580962400375,-1431.9499641150678
72,1053.6118129048218,-1436.5310061617506
73,476.6287116567148,-1442.7242382778825
74,-148.3357983956197,-1445.644908799183
75,-221.69631846774132,-1439.427737527014
76,273.7870654973008,-1429.5700553583547
77,860.4781022381125,-1418.3151384201105
78,1182.851268014169,-1398.1506895965424
79,1216.8558234787092,-1363.831714328146
80,1087.2742534398558,-1312.769795932487
81,895.5996535395219,-1253.691263796829
82,683.1976346854444,-1198.820207630028
83,466.4555612463397,-1155.2597201433866
84,269.8453045748976,-1122.188119639494
85,110.8087599271143,-1090.3951626194714
86,3.730052215004911,-1056.6747002453335
87,-43.67874626161202,-1023.919939718417
88,-37.08934225930479,-992.7599977262703
89,7.763599626124346,-961.0375138864052
90,89.1480117299857,-929.3167579806902
91,224.58402725384204,-904.3049284383125
92,438.4949685212454,-884.9785585333069
93,741.8510455704555,-862.848633039788
94,1112.022152702492,-828.3844233010005
95,1471.3633885496147,-783.1272674159077
96,1710.9501869423389,-740.7865976371648
97,1738.486245901243,-707.9540615780386
98,1529.1749967097635,-675.7765302669682
99,1144.5942561045074,-627.8208408056704
100,709.5459872131953,-559.1590169311995
101,328.72827694038324,-476.8917604763274
102,42.07497310962658,-392.63944865311765
103,-157.96053097034508,-321.3988894905208
104,-279.79099204812445,-265.44137827881514
105,-346.44257873828434,-203.42282109309565
106,-407.9184578992812,-124.45617548856004
107,-483.69435882239,-42.3721285062761
108,-545.0827033033083,26.63225126042985
109,-580.9197900219021,78.5416949200687
110,-616.5961432289492,121.45072767227764
111,-660.4126367412409,161.13007398565753
112,-695.8793213022245,197.50728231979727
113,-725.3826312183511,227.0288463058019
114,-767.0838627467498,248.08974178104677
115,-805.8340246029071,267.13400978457435
116,-810.1839234300617,284.6508224763925
117,-795.2376336274322,298.85466956569377
118,-800.5350666994319,307.16966306396876
119,-822.3998978510175,305.0655254867439
120,-828.0105262130976,286.2073015775371
121,-819.4929152505047,252.5035364000646
122,-819.7293315411096,215.8854936777915
123,-805.3800174958521,187.08865935953065
124,-706.9941490112402,164.7266597083893
125,-496.1484045740496,134.15001361972602
126,-320.88441971481814,87.06548331576813
127,-484.1317379910348,31.73038258323843
128,-1063.2524791291255,-16.961585495164044
129,-1637.2967684230982,-54.185933423331385
130,-1725.443861650663,-84.99907513168245
131,-1357.0969305580072,-115.81654539833957
132,-925.1536338535038,-153.03374828027765
133,-688.6882183997179,-201.73683315801523
134,-631.3175977877601,-257.1439456709461
135,-654.5332955063369,-307.12970290632614
136,-715.4121316337362,-344.12704495193157
137,-790.5486723547901,-375.09622595857127
138,-794.0380877391356,-408.63689947671
139,-650.9534972179429,-446.7440359917203
140,-409.3609785902479,-486.2626570701999
141,-168.53266516646917,-529.1336713075293
142,79.41913582002877,-576.9013012303006
143,431.61165643692215,-618.8081400672089
144,926.3097156155501,-652.2755383160693
145,1501.8088743857084,-689.3450166894769
146,2061.6259080577925,-736.0226274576376
147,2568.069673709885,-782.1920500056153
148,3049.277373662306,-822.1026721867178
149,3474.0220777595537,-856.2030928754943
150,3704.3888944364744,-887.2263188010481
151,3639.729376355469,-918.3797010523219
152,3309.959300563785,-950.7367817610435
153,2807.67211735027,-979.7510177233985
154,2230.2182423378786,-1001.0388322057233
155,1702.2512078790078,-1017.8318672403033
156,1359.4106293648726,-1029.7241848546732
157,1241.1349234421327,-1041.6537977642645
158,1260.7260251291154,-1054.6696078392476
159,1320.9778253400145,-1065.3760938313808
160,1386.6106456968962,-1069.5663017199004
161,1433.9905196284992,-1065.414166382912
162,1434.9151169697618,-1054.5619857674901
163,1385.9644459986139,-1042.5402097178226
164,1297.5921288606075,-1029.3721637352096
165,1174.295377218195,-1006.1149672938845
166,1019.360812717048,-962.041596440026
167,838.6767845533581,-901.8267948036441
168,643.4304513425375,-835.3467467321483
169,442.17431037833956,-772.1357876301406
170,254.6769352177933,-717.2338241636284
171,102.114665273611,-662.4120860047684
172,-8.907234842686716,-598.4451000364163
173,-90.2524900340958,-531.5083144348077
174,-154.31140293614874,-471.83796097908106
175,-208.8185050795103,-427.5801951247576
176,-257.80669644593024,-404.4193637600754
177,-288.14537170197116,-389.6729341357763
178,-256.2312959672487,-365.7189565206879
179,-139.94168821349362,-330.9414475095273
180,-16.06490821364569,-297.0509937232698
181,-71.64273628843196,-273.86713336649484
182,-469.8612430236368,-260.57121832179934
183,-1106.6345369523583,-248.9372795738917
184,-1564.3844293896477,-227.94016141995183
185,-1528.560849474516,-200.70466369205502
186,-1127.7578797485446,-176.1430708350604
187,-721.6213439621315,-149.90575884191026
188,-503.9625719860878,-114.45304917478971
189,-432.7724246065568,-75.7008570984224
190,-411.3365613020218,-48.65824060034483
191,-427.4332015118121,-29.918130564753124
192,-498.72060555805473,-5.638454232156823
193,-577.3027974844497,32.27745194118795
194,-586.6130777388132,77.7890383111474
195,-494.0278422644014,118.78014046986019
196,-326.6060397571806,151.2931849424905
197,-152.6129541196215,179.31046406673514
198,-15.521840505902809,202.15108868984564
199,111.51527800424346,215.04771315326826
200,280.3698064009626,219.10164460821858
201,518.300448760905,217.2730828586869
202,833.2950430143579,211.25150040010533
203,1200.3375251034263,200.94842650557615
204,1547.6139143927116,179.0910651850408
205,1774.6219866012989,140.24522536688997
206,1800.364621763501,86.95168421798473
207,1608.7244004316835,34.18881452741056
208,1260.6637252387104,1.1379225156123969
209,857.3762671189241,-16.47123082634926
210,488.35592010973966,-44.69860394056881
211,194.38683148701045,-95.50357678418273
212,-29.944893886666165,-146.94103358089913
213,-202.9632054557184,-193.86854367975695
214,-336.07487691928503,-253.0096724061781
215,-436.40886702008413,-322.0785979946654
216,-517.8956924409001,-376.8619311028052
217,-592.240161053197,-422.724698442127
218,-659.0538661658297,-479.1628501672653
219,-713.1922182676964,-553.4986354944613
220,-756.7270549660077,-637.9852069641437
221,-786.938768516613,-720.2252172661294
222,-789.8846562529686,-786.6047850461283
223,-743.4660714380536,-841.216379588858
224,-630.0114885955231,-899.815127867232
225,-434.34417506186844,-971.8706499397115
226,-130.6242400625835,-1054.3994374476838
227,297.8587281958322,-1137.3302958136817
228,804.300805225383,-1203.5977696998755
229,1266.2893767952091,-1251.0868429709021
230,1562.4209345366023,-1299.5767975926651
231,1654.6761828039164,-1365.7028120320163
232,1606.1981084369274,-1443.9160587318224
233,1513.5446236717814,-1519.9163377022683
234,1412.028893558899,-1581.9628986197995
235,1193.3441042882257,-1628.5427429637962
236,611.3949595599523,-1667.3267792324214
237,-404.4998111754223,-1703.4806749698228
238,-1389.3162699140682,-1732.5068529693806
239,-1698.060632093415,-1754.4683074981788
240,-1244.0636540477167,-1779.6220038068877
241,-506.11807135553806,-1806.62981042215
242,87.77574982493735,-1828.2055787792603
243,454.8869452189127,-1838.2726505391483
244,676.7326981276096,-1836.2185747285098
245,808.2953633603356,-1822.9083536198748
246,862.3307410234294,-1799.4260737723698
247,842.661323328507,-1769.0924380449696
248,753.328202944732,-1736.9340945899346
249,616.4615725356418,-1705.5362690876887
250,467.25396864916087,-1668.5835052177467
251,325.2277945475652,-1614.8759312017194
252,187.09171328421044,-1544.1789320643634
253,56.41371500039328,-1471.3003028928838
254,-43.63616588673346,-1416.4566956279446
255,-77.44317170445117,-1385.3052909118041
256,-5.2353134992465,-1365.3957474482588
257,197.50972711862897,-1346.9609271471381
258,523.7445592370109,-1325.3868773435609
259,910.0033927430192,-1298.5163146175526
260,1236.74881078232,-1271.6600690911043
261,1382.9384203287407,-1253.5825494535336
262,1288.967919991282,-1241.6400922886971
263,992.7387225842725,-1227.800705000626
264,604.0367882635494,-1209.802345983595
265,234.71916763687983,-1190.4798288784364
266,-52.36402463201706,-1163.3407402458927
267,-243.41783884876958,-1123.6048590831485
268,-351.9922700894409,-1082.9745738795195
269,-404.99419602218296,-1048.851239789621
270,-425.640092720445,-1012.1683197501866
271,-439.78228092161925,-958.8073340115949
272,-459.9598850529436,-888.802977173356
273,-480.9467618095842,-813.9390655395327
274,-495.7547570998013,-747.224090683305
275,-506.43441213062795,-692.7001782346009
276,-514.0342476350196,-637.6118493195463
277,-517.0522564714643,-575.1421379585472
278,-519.7211875902334,-505.3616035402865
279,-525.7554485597747,-430.59348459177045
280,-531.3668801739443,-363.47847145149865
281,-536.600446947318,-322.29184084753
282,-539.6321260350544,-294.8562825543899
283,-545.7410912759906,-260.60454391624165
284,-557.3212271195898,-220.98297635559624
285,-568.8292754032866,-193.3908355359356
286,-583.9117085738955,-177.96474789290784
287,-604.6874310763473,-172.500689610152
288,-578.8913912779742,-174.5219670504034
289,-428.56375340005,-184.93287334071118
290,-216.1577366287807,-203.35779595468753
291,-240.47424953100895,-233.0648123975206
292,-715.5029626377237,-276.497115450979
293,-1351.2391999671959,-332.09273947417836
294,-1610.6582927808004,-385.93267006920564
295,-1374.2666010466082,-425.40942984482245
296,-978.7541143197468,-455.6552387726032
297,-719.5513279548985,-494.78572381760324
298,-620.65169279472,-552.7363133006481
299,-594.7778429054064,-625.1264448719078
300,-585.9106059613134,-692.7621068757178
301,-561.7553034977097,-741.9073702105944
302,-500.6777906260725,-789.4693830890492
303,-422.87580780809054,-854.8759213730136
304,-364.4729336511986,-938.4489125498111
305,-319.2178701723625,-1026.5658557903491
306,-238.59387033733802,-1110.736977849993
307,-83.5027684475084,-1182.809242108008
308,156.72173862124458,-1247.4598967966626
309,508.3313495485666,-1319.2747065427088
310,1036.8718960205877,-1397.7196841635196
311,1775.68653007654,-1466.4330330172672
312,2635.744910434624,-1532.34550407765
313,3425.340964347687,-1606.0877114958378
314,3977.2145296773206,-1679.5141840340514
315,4216.581642450862,-1737.8558951464493
316,4128.905021793452,-1795.7406275547114
317,3726.0966229102073,-1875.364903767348
