,ECG,PPG
0,370.98186117339986,14331.93559885242
1,410.9361448206435,20176.128418702712
2,234.80609177636288,18085.42219077314
3,153.79459860489956,19153.947999736727
4,12.130898565990368,18561.87133072288
5,-43.29377674950414,18890.292997837663
6,-70.99200334676003,18713.83672654205
7,-103.11929227805871,18800.21654820834
8,-194.62473152102754,18747.790522045067
9,-235.58718748833465,18668.985667138993
10,-160.49535672229786,18639.164700577778
11,-159.9151127254007,18518.54051862224
12,-212.6358919335281,18507.947236195607
13,-260.67995937048846,18488.043799648887
14,-355.3301892458391,18489.16785413799
15,-342.93745831812214,18409.67097661481
16,-329.963165576634,18366.28923876132
17,-374.48402333171174,18356.189236133487
18,-410.9467341944282,18355.499475616976
19,-420.2037148723143,18287.9984914484
20,-364.50877110065846,18233.991095757276
21,-338.0017873438578,18220.68036399871
22,-334.6852267066595,18227.615868854155
23,-357.2392324527348,18165.88101952199
24,-390.7768051285829,18112.179345872206
25,-454.3150495779183,18036.382257123645
26,-522.9185174342522,17983.958174013373
27,-445.7382653335984,17873.01042502625
28,-182.93415695129423,17750.75337299429
29,448.8685057251088,17648.964674823874
30,2352.162773062557,17578.50292058233
31,4730.5416134606185,17519.286117156833
32,5581.556705371945,17448.020010782402
33,4841.573155865463,17390.865045985138
34,1554.154309770839,17317.86375667408
35,-2931.5709480411697,17264.41517510168
36,-4113.920208410971,17188.170831600833
37,-2939.1616310598884,17135.604225199248
38,-1818.2275061732148,17057.63482284121
39,-848.9788694094185,17006.230736573612
40,-690.7203463233574,16928.51263987411
41,-856.2776403767693,16875.615258618727
42,-874.1659771784934,16798.292520585208
43,-904.7692461649054,16742.656667254192
44,-938.8484280152045,16607.896994719325
45,-914.9717826562919,16504.111605060785
46,-870.1952547636598,16401.406224242415
47,-841.4828500864479,16352.040847561722
48,-808.7540217318871,16276.398634881143
49,-831.1489694170375,16220.493010158913
50,-896.8322779066478,16148.741317899758
51,-975.1729008419408,16089.529763449043
52,-1030.9741575513608,16020.57145111261
53,-1025.6677788228521,15957.666016061343
54,-997.4376628838736,15891.275277926605
55,-965.5516093718263,15826.140699158806
56,-996.2465711264687,15761.57106786074
57,-1138.5610128597073,15698.787360776514
58,-1245.6489357803648,15613.764293632554
59,-1336.6032970572944,15479.353924672794
60,-1440.7272465719348,15383.47238527957
61,-1558.1750872652935,15295.310902588017
62,-1628.1490431517389,15247.053573494595
63,-1682.1044821092935,15166.656048489123
64,-1730.011790317893,15117.202839938587
65,-1741.5078279344498,15037.586127044175
66,-1719.3809533709307,14986.966715871888
67,-1646.3507391921576,14906.567495725212
68,-1458.281594171927,14857.3256114861
69,-1202.8890974144879,14846.004006166899
70,-879.692029608104,14848.73842712167
71,-529.1509759528286,14729.858991574032
72,-183.15427897593736,14624.320553250629
73,133.15405446564657,14519.715133226226
74,351.9053595648159,14464.247350926837
75,463.33690686896705,14395.680365621049
76,505.5321920696372,14323.290914147066
77,512.5110189419639,14315.08785123082
78,507.0992728545042,14290.37858692603
79,516.710749317593,14373.924018174788
80,505.8091968474734,14464.375657673774
81,363.7993771711511,14659.112027739393
82,219.47340613751732,14821.316090312632
83,144.91996512208246,15081.865096448284
84,87.91078931577145,15372.138543186777
85,50.54559159099139,15774.101482897007
86,75.73575379241244,16472.42166494455
87,43.78541647937067,16958.84527308371
88,-32.18178075478166,17323.33574323436
89,-47.53599020060027,17522.02197223347
90,-48.495036763267095,17835.793439768906
91,-74.81521193198597,18040.49954648166
92,-147.83198610410597,18294.520948918016
93,-211.74253427393563,18443.706890815985
94,-205.14904218351205,18609.959891635517
95,-71.73859683921627,18715.054560900164
96,400.2366101182009,18867.465988543463
97,1408.9924108477862,18978.54920116102
98,3696.4795416694824,19076.515572608638
99,6071.717587439027,19140.01764556908
100,6165.815520987233,19167.572220408314
101,4082.014714032291,19172.75740452802
102,-118.07045197266882,19162.727596090266
103,-3747.1095021071983,19182.069175509107
104,-3529.229816803015,19095.851812233148
105,-2117.9420408092506,18975.676876778754
106,-1152.3991701556877,18869.756083528977
107,-548.8360064015733,18801.02836863842
108,-524.5429503957761,18719.97546905723
109,-575.6581356396232,18581.853846117534
110,-565.7583249864759,18491.259069297725
111,-585.1587881217373,18395.13532919531
