II,V,PLETH
-171,9127,6042
-268,10341,6821
-456,9045,5992
-670,8298,5549
-685,8963,5943
-450,9553,6167
-228,9374,5894
-235,9180,5708
-342,9456,5845
-307,9729,5915
-114,9703,5796
100,9603,5729
285,9620,5796
417,9561,5810
399,9291,5747
233,8904,5714
114,8634,5747
170,8567,5761
285,8634,5747
357,8612,5734
456,8469,5747
577,8336,5751
514,8387,5747
194,8507,5713
-114,8551,5698
-225,8431,5691
-285,8305,5698
-443,8301,5673
-514,8469,5649
-317,8667,5617
-57,8798,5599
-54,8744,5566
-285,8551,5550
-466,8360,5542
-514,8469,5550
-637,8971,5530
-970,9785,5501
-1285,10629,5462
-1198,11265,5452
-579,11341,5445
399,10689,5452
1559,9496,5431
2796,8387,5403
3804,7714,5361
4108,7318,5354
3609,6761,5353
2739,6085,5354
1869,5691,5320
913,5920,5305
-175,6530,5311
-1027,7071,5354
-1345,7264,5377
-1369,7318,5403
-1429,7497,5430
-1427,7894,5501
-1172,8267,5587
-856,8469,5698
-752,8499,5792
-742,8551,5894
-552,8664,5995
-285,8798,6140
-295,8781,6290
-628,8634,6435
-916,8466,6531
-856,8469,6631
-605,8577,6740
-514,8634,6877
-654,8543,6983
-742,8469,7073
-629,8472,7138
-514,8469,7220
-570,8340,7293
-628,8223,7368
-474,8220,7402
-228,8305,7417
-111,8305,7406
-114,8223,7417
-120,8064,7421
-114,7894,7417
-26,7780,7366
285,7894,7319
650,8090,7280
571,8058,7270
-66,7647,7230
-685,7236,7171
-751,7142,7086
-456,7318,7024
-280,7440,6966
-285,7483,6926
-235,7532,6870
-114,7647,6827
-79,7723,6774
-114,7811,6729
-81,7925,6654
0,8058,6582
8,8126,6510
-57,8223,6484
-110,8355,6460
-171,8469,6435
-315,8444,6376
-514,8387,6336
-654,8383,6304
-685,8469,6287
-628,8544,6238
-514,8634,6189
-391,8718,6131
-342,8798,6091
-402,8824,6035
-514,8880,5992
-575,8957,5941
-514,9045,5894
-297,9100,5816
0,9209,5747
132,9307,5681
-114,9291,5649
-602,9104,5615
-913,8963,5599
-856,8989,5572
-685,9127,5550
-678,9161,5513
-742,9127,5501
-642,9142,5495
-399,9291,5501
-217,9423,5489
-171,9456,5501
-188,9388,5521
-228,9374,5550
-272,9432,5547
-228,9538,5550
-16,9571,5563
285,9538,5599
506,9408,5606
571,9209,5599
535,8916,5582
456,8634,5599
333,8405,5623
171,8305,5649
68,8271,5646
114,8305,5649
246,8315,5644
285,8305,5649
159,8269,5640
0,8305,5649
-89,8390,5651
-171,8469,5649
-329,8435,5616
-456,8387,5599
-395,8481,5594
-171,8798,5599
36,9041,5572
57,8963,5550
-187,8714,5538
-685,8880,5550
-1250,9620,5533
-1598,10525,5501
-1584,11058,5458
-1255,11183,5452
-585,10923,5451
571,10196,5452
2115,9005,5421
3538,7811,5403
4319,6902,5390
4337,6167,5403
3744,5443,5400
2682,5098,5403
1332,5400,5393
57,6085,5403
-799,6574,5412
-1198,6825,5452
-1309,7125,5493
-1255,7647,5550
-1116,8132,5589
-1027,8387,5649
-1067,8401,5724
-1141,8387,5845
-1113,8446,5965
-970,8634,6091
-737,8829,6200
-456,8963,6336
-301,8928,6478
-456,8798,6631
-749,8678,6754
-742,8716,6877
-421,8811,6977
-285,8798,7073
-608,8612,7140
-970,8469,7220
-939,8477,7295
-685,8551,7368
-560,8523,7397
-514,8469,7417
-353,8434,7417
-228,8387,7417
-327,8266,7387
-456,8223,7368
-339,8256,7342
-114,8223,7319
-87,7998,7263
-228,7811,7220
-262,7784,7186
-114,7811,7171
56,7713,7124
114,7647,7073
45,7711,7012
-114,7811,6975
-231,7770,6923
-171,7729,6877
-20,7770,6817
-57,7811,6778
-355,7706,6727
-628,7647,6680
-605,7788,6617
-399,8058,6582
-292,8194,6551
-342,8223,6533
-400,8264,6483
-399,8387,6435
-404,8455,6375
-456,8469,6336
-523,8470,6283
-571,8551,6238
-571,8663,6181
-514,8798,6140
-454,8890,6085
-456,8963,6042
-443,9019,5985
-285,9127,5943
-93,9189,5888
-171,9127,5845
-570,8926,5789
-913,8798,5747
-865,8828,5692
-571,8963,5649
-416,9028,5605
-514,9045,5599
-643,9036,5599
-628,9045,5599
-523,9048,5568
-456,9127,5550
-443,9211,5540
-399,9209,5550
-274,9103,5545
-114,9127,5550
-12,9325,5548
0,9538,5550
-3,9568,5536
57,9538,5550
150,9503,5577
171,9374,5599
90,9013,5550
0,8634,5452
30,8427,5333
171,8387,5256
278,8257,5197
228,8058,5157
126,7942,5102
171,8058,5059
329,8234,5022
342,8305,5010
84,8238,4987
-228,8223,4961
-368,8295,4922
-342,8387,4912
-237,8432,4909
-57,8551,4912
93,8681,4886
-57,8634,4863
-558,8351,4833
-1084,8223,4814
-1369,8559,4780
-1541,9374,4764
-1737,10403,4756
-1712,11429,4764
-1132,11986,4744
-57,11594,4715
1186,10225,4677
2397,8634,4666
3485,7463,4659
4222,6660,4666
4308,5699,4661
3652,4605,4666
2460,3945,4659
1084,4194,4666
-107,5010,4673
-856,5756,4715
-1160,6138,4774
-1255,6496,4863
-1351,7051,4936
-1427,7647,5010
-1352,7955,5071
-1141,8058,5157
-972,8157,5246
-970,8305,5354
-1037,8331,5460
-970,8305,5599
-710,8340,5744
-456,8469,5894
-466,8489,6012
-742,8387,6140
-1005,8276,6275
-970,8305,6435
-689,8404,6567
-456,8469,6680
-492,8410,6756
-685,8305,6827
-750,8252,6876
-571,8305,6926
-322,8298,6952
-228,8140,6975
-259,7920,6972
-228,7894,6975
-131,7996,6956
-171,7976,6926
-366,7705,6867
-456,7483,6827
-298,7483,6796
-114,7565,6778
-111,7445,6730
-171,7236,6680
-120,7146,6622
-57,7236,6582
-130,7304,6527
-228,7318,6484
-175,7304,6429
-57,7318,6385
-53,7298,6325
-114,7318,6287
-70,7407,6254
57,7565,6238
87,7647,6192
-57,7647,6140
-292,7602,6076
-514,7647,6042
-640,7778,6010
-628,7976,5992
-526,8121,5946
-456,8223,5894
-429,8305,5829
-342,8469,5796
-198,8655,5769
-171,8798,5747
-332,8815,5694
-514,8798,5649
-571,8779,5595
-571,8798,5550
-567,8812,5489
-456,8880,5452
-228,8968,5423
-114,9045,5403
-266,9045,5350
-514,9045,5305
-656,9025,5268
-742,8963,5256
-847,8833,5226
-856,8798,5207
-699,8890,5192
-571,9045,5207
-614,9145,5207
-628,9291,5207
-361,9500,5195
57,9703,5207
274,9768,5209
171,9785,5207
-35,9758,5175
-114,9620,5157
-18,9288,5147
171,8963,5157
367,8777,5153
514,8716,5157
589,8597,5154
571,8469,5157
428,8365,5147
171,8305,5157
-82,8221,5176
-171,8223,5207
-108,8324,5208
-57,8469,5207
-154,8549,5199
-342,8634,5207
-524,8710,5203
-685,8716,5207
-818,8604,5189
-856,8551,5157
-763,8582,5098
-628,8634,5059
-552,8741,5031
-571,9291,5010
-718,10387,4956
-1027,11594,4912
-1312,12166,4878
-1141,11840,4863
-205,10813,4816
1312,9538,4764
2859,8331,4718
3937,7400,4715
4338,6639,4713
4051,5920,4715
3165,5306,4702
1883,5180,4715
545,5612,4733
-514,6249,4764
-1135,6630,4777
-1369,6825,4814
-1342,7115,4868
-1141,7647,4961
-835,8186,5051
-571,8551,5157
-547,8664,5265
-799,8634,5403
-1058,8544,5541
-1027,8551,5698
-769,8650,5843
-628,8798,5992
-707,8843,6116
-742,8798,6238
-599,8694,6335
-514,8634,6435
-680,8608,6522
-856,8634,6631
-762,8668,6733
-514,8716,6827
-399,8706,6881
-399,8634,6926
-287,8515,6951
-57,8469,6975
87,8476,6971
57,8469,6975
-37,8331,6971
-114,8140,6975
-209,7969,6949
-342,7894,6926
-423,7839,6894
-342,7811,6877
-90,7791,6831
171,7811,6778
204,7767,6713
-57,7647,6680
-336,7490,6652
-285,7483,6631
61,7625,6580
285,7811,6533
138,7856,6475
-171,7811,6435
-309,7779,6380
-228,7894,6336
-47,8112,6281
171,8387,6238
318,8554,6181
171,8551,6140
-281,8394,6089
-685,8305,6042
-726,8367,5965
-514,8551,5894
-312,8714,5828
-171,8880,5796
-50,9029,5753
-57,9127,5698
-268,9071,5613
-514,8963,5550
-599,8898,5496
-571,8963,5452
-552,9075,5376
-514,9209,5305
-409,9279,5240
-342,9291,5207
-396,9253,5159
-456,9291,5108
-389,9383,5046
-285,9456,5010
-344,9394,4978
-571,9291,4961
-758,9211,4929
-742,9209,4912
-571,9242,4899
-399,9374,4912
-267,9571,4912
-114,9785,4912
33,9897,4898
57,9949,4912
-14,9917,4932
0,9785,4961
130,9503,4961
171,9209,4961
59,8967,4953
0,8798,4961
105,8628,4957
171,8551,4961
106,8558,4955
171,8634,4961
534,8714,4956
856,8880,4961
687,9014,4957
114,8963,4961
-392,8728,4954
-571,8634,4961
-580,8736,4961
-628,8798,4961
-687,8664,4935
-628,8634,4912
-458,8819,4881
-342,8963,4863
-394,8845,4833
-571,8880,4814
-785,9459,4787
-1027,10443,4764
-1253,11248,4716
-1255,11594,4666
-770,11396,4608
285,10689,4568
1750,9611,4517
3252,8634,4470
4275,8008,4410
4394,7565,4372
3622,6915,4338
2397,6167,4322
1126,5733,4293
-57,5920,4273
-1034,6490,4256
-1541,7071,4273
-1468,7438,4294
-1141,7729,4322
-995,8042,4335
-1084,8387,4372
-1113,8630,4426
-913,8798,4519
-666,8899,4610
-628,8963,4715
-771,8925,4823
-856,8880,4961
-763,8880,5090
-628,8963,5207
-600,8996,5294
-628,8963,5403
-598,8891,5524
-514,8880,5649
-469,8866,5730
-456,8798,5796
-425,8671,5846
-399,8634,5894
-439,8682,5902
-514,8716,5894
-524,8609,5881
-456,8469,5894
-379,8364,5900
-342,8305,5894
-311,8200,5849
-228,8140,5796
-87,8157,5736
57,8223,5698
140,8182,5651
114,8058,5599
-27,7902,5522
-228,7811,5452
-339,7763,5376
-228,7811,5305
45,7920,5220
228,8058,5157
150,8097,5104
-114,8058,5059
-365,7978,4985
-514,7976,4912
-566,8051,4846
-514,8223,4814
-338,8394,4769
-114,8551,4715
29,8670,4649
0,8798,4617
-206,8826,4596
-514,8716,4568
-750,8558,4496
-742,8634,4421
-497,8927,4356
-228,9209,4322
-134,9273,4277
-228,9291,4224
-414,9355,4150
-628,9374,4077
-808,9197,3993
-856,9045,3929
-724,9115,3873
-514,9374,3831
-387,9530,3778
-399,9538,3733
-472,9478,3682
-514,9456,3635
-517,9407,3575
-514,9374,3537
-485,9401,3507
-399,9538,3487
-317,9634,3453
-342,9620,3438
-457,9524,3435
-514,9538,3438
-445,9656,3413
-342,9785,3389
-259,9814,3377
-114,9867,3389
121,9948,3391
285,9949,3389
255,9706,3382
171,9374,3389
281,9129,3389
571,9045,3389
753,8944,3382
628,8798,3389
355,8608,3391
228,8469,3389
282,8370,3365
285,8387,3340
111,8482,3310
-57,8634,3291
-59,8781,3265
0,8963,3242
-82,9076,3212
-285,9045,3193
-442,8926,3167
-514,8963,3144
-588,9060,3113
-685,8963,3094
-732,8705,3071
-742,8880,3045
-842,9733,3009
-1084,10854,2996
-1291,11613,2995
-1141,11923,2996
-407,11788,2971
856,11100,2947
2326,9875,2921
3595,8634,2898
4341,7657,2861
4394,6743,2849
3744,5713,2850
2568,5098,2849
1202,5322,2815
0,6085,2800
-823,6650,2813
-1255,6907,2849
-1389,7187,2865
-1312,7729,2898
-1069,8324,2958
-742,8798,3045
-503,9053,3114
-514,9127,3193
-734,9041,3295
-970,8963,3438
-1099,8931,3582
-1141,8963,3733
-1053,9000,3878
-742,9127,4028
-352,9264,4154
-228,9291,4273
-472,9128,4388
-742,8963,4519
-782,8915,4630
-742,8963,4715
-820,8964,4763
-856,8963,4814
-623,8995,4864
-285,9045,4912
-183,8968,4922
-342,8798,4912
-453,8622,4884
-342,8551,4863
-174,8512,4833
-171,8469,4814
-296,8353,4789
-342,8223,4764
-231,8101,4717
-114,8058,4666
-129,8000,4610
-228,7894,4568
-286,7769,4517
-285,7811,4470
-243,7981,4414
-114,8140,4372
102,8172,4321
228,8223,4273
95,8300,4216
-228,8305,4175
-498,8143,4127
-571,8058,4077
-491,8198,4014
-399,8469,3979
-407,8578,3955
-514,8551,3929
-574,8554,3873
-456,8716,3831
-251,8882,3804
-228,8963,3782
-502,8945,3729
-856,8963,3684
-989,9024,3654
-856,9127,3635
-659,9177,3584
-571,9209,3537
-557,9252,3503
-514,9374,3487
-451,9460,3443
-456,9456,3389
-532,9368,3345
-571,9374,3340
-532,9463,3341
-514,9538,3340
-602,9473,3315
-742,9374,3291
-828,9285,3272
-856,9209,3291
-875,9104,3319
-856,9127,3340
-710,9330,3333
-456,9620,3340
-256,9762,3361
-228,9785,3389
-267,9809,3389
-171,9949,3389
81,10064,3401
285,10032,3438
318,9759,3466
285,9374,3487
328,9001,3490
399,8798,3487
400,8698,3476
342,8634,3487
279,8499,3511
171,8387,3537
-27,8337,3536
-228,8387,3537
-337,8437,3537
-399,8469,3537
-550,8481,3510
-742,8551,3487
-744,8662,3478
-456,8798,3487
-129,8871,3473
-114,8880,3438
-421,8792,3383
-742,8716,3340
-915,8820,3305
-1141,9374,3291
-1568,10326,3269
-1883,11347,3242
-1551,11927,3204
-456,11840,3193
940,11074,3191
2111,9867,3193
2978,8492,3164
3709,7236,3144
4176,6082,3132
3937,5016,3144
2863,4260,3140
1427,4276,3144
223,4974,3152
-571,5756,3193
-1028,6160,3233
-1141,6496,3291
-944,7123,3364
-742,7894,3487
-835,8298,3617
-1141,8305,3733
-1352,8225,3823
-1369,8305,3979
-1317,8406,4240
-1255,8469,4617
-1093,8533,5020
-799,8716,5403
-496,8898,5708
-342,8963,5943
-411,8828,6102
-628,8634,6238
-856,8495,6360
-970,8469,6484
-955,8446,6568
-856,8387,6631
-702,8331,6672
-514,8387,6729
-362,8472,6778
-342,8469,6827
-421,8309,6852
-456,8140,6877
-395,8030,6880
-342,7976,6877
-356,7882,6848
-342,7811,6827
-229,7766,6801
-114,7729,6778
