II,aVF,ABP,RESP
-518,-258,3756,4224
-523,-388,4256,4784
-518,-516,3756,4224
-683,-618,3494,3931
-888,-645,3756,4224
-991,-666,3917,4399
-1110,-839,3756,4224
-1316,-1150,3633,4108
-1406,-1355,3713,4224
-1286,-1313,3768,4295
-1258,-1226,3713,4224
-1592,-1389,3676,4175
-2073,-1807,3713,4224
-2328,-2238,3728,4251
-2369,-2517,3713,4224
-2483,-2708,3707,4195
-2739,-2905,3713,4191
-2921,-3071,3690,4171
-2887,-3098,3669,4141
-2757,-2977,3667,4112
-2665,-2775,3669,4091
-2527,-2513,3644,4063
-2147,-2130,3625,4042
-1535,-1653,3618,4012
-962,-1226,3625,3992
-664,-946,3607,3965
-592,-710,3582,3942
-553,-385,3565,3906
-444,0,3582,3876
-260,296,3591,3844
0,452,3582,3826
277,558,3550,3801
444,710,3538,3777
489,902,3537,3739
592,1097,3538,3710
871,1303,3514,3680
1184,1549,3494,3661
1355,1809,3485,3633
1406,2001,3494,3611
1472,2092,3492,3581
1555,2130,3494,3561
1585,2170,3493,3534
1555,2195,3494,3512
1497,2171,3472,3482
1406,2130,3451,3462
1315,2119,3437,3435
1332,2130,3451,3412
1486,2114,3457,3381
1629,2065,3451,3362
1607,2016,3423,3344
1481,2001,3407,3329
1420,2019,3399,3301
1481,2065,3407,3280
1538,2095,3405,3259
1481,2065,3407,3247
1322,1965,3403,3221
1184,1872,3407,3197
1162,1859,3403,3168
1258,1936,3407,3147
1366,2024,3405,3118
1406,2065,3407,3097
1412,2055,3401,3077
1481,2065,3407,3064
1571,2138,3409,3039
1555,2259,3407,3015
1413,2319,3382,2985
1332,2259,3363,2965
1413,2123,3354,2938
1555,2065,3363,2915
1630,2152,3363,2886
1703,2324,3363,2866
1827,2437,3357,2840
1925,2453,3363,2816
1920,2427,3362,2785
1925,2453,3363,2766
2008,2515,3357,2748
2073,2582,3363,2733
2030,2651,3362,2706
1999,2775,3363,2683
2049,2911,3354,2662
2073,2969,3363,2650
