II,III,PLETH,ABP
313,143,3956,3909
689,295,5343,5233
898,376,5534,5283
809,333,5247,4798
637,245,5216,4567
647,229,5448,4638
803,296,5646,4658
862,357,5692,4483
750,347,5751,4299
657,309,5899,4244
741,314,6083,4236
880,355,6206,4135
857,367,6333,3979
699,335,6509,3877
647,316,6716,3833
755,335,6870,3741
810,340,7033,3599
721,306,7238,3476
693,289,7456,3399
821,312,7607,3308
865,306,7770,3194
678,229,7978,3093
506,151,8190,3034
558,143,8312,2980
630,155,8444,2940
489,102,8616,2910
292,15,8791,2910
258,-20,8875,2918
266,2,8969,2945
143,15,9114,2974
25,-12,9279,3021
65,-60,9356,3065
115,-111,9433,3117
16,-154,9547,3159
-70,-172,9686,3205
26,-172,9744,3241
124,-189,9796,3276
3,-227,9879,3290
-215,-238,9997,3295
-276,-194,10051,3284
-201,-138,10096,3275
-179,-125,10150,3254
-236,-157,10237,3232
-252,-205,10272,3199
-214,-257,10298,3169
-189,-297,10320,3137
-182,-299,10380,3116
-140,-268,10405,3093
-72,-256,10427,3079
-7,-290,10432,3062
50,-324,10471,3057
79,-316,10489,3052
-9,-304,10507,3054
-260,-355,10490,3051
-585,-470,10493,3057
-819,-583,10480,3061
-896,-655,10478,3069
-916,-705,10439,3064
-998,-765,10410,3061
-1101,-839,10362,3050
-1103,-900,10337,3047
-1047,-920,10281,3032
-1109,-905,10228,3016
-1281,-913,10153,2985
-1327,-971,10111,2957
-1198,-1019,10055,2923
-1143,-961,10003,2894
-1268,-824,9921,2859
-1303,-744,9874,2830
-1099,-820,9822,2796
-920,-959,9777,2771
-991,-995,9691,2743
-1090,-873,9637,2720
-980,-707,9588,2695
-815,-600,9548,2682
-794,-514,9460,2668
-750,-334,9403,2660
-496,-65,9356,2643
-201,182,9314,2631
-63,362,9204,2619
90,586,9106,2618
482,956,9027,2615
934,1400,8984,2616
1142,1752,8911,2609
1181,1980,8870,2605
1403,2222,8847,2593
1889,2581,8843,2584
2354,2966,8785,2570
2506,3176,8734,2565
2362,3134,8691,2555
2110,2939,8675,2547
1908,2741,8619,2532
1743,2571,8582,2525
1550,2392,8554,2517
1323,2210,8549,2515
1163,2114,8503,2506
1098,2138,8469,2501
1010,2208,8438,2492
775,2209,8431,2489
507,2142,8387,2480
436,2088,8354,2476
568,2083,8323,2467
590,2014,8314,2464
253,1725,8270,2455
-323,1179,8228,2451
-821,518,8177,2442
-1129,-85,8151,2438
-1412,-606,8102,2429
-1821,-1107,8068,2425
-2263,-1556,8027,2416
-2526,-1805,8014,2412
-2550,-1822,7980,2404
-2475,-1763,7953,2400
-2415,-1762,7912,2391
-2343,-1770,7896,2387
-2229,-1715,7864,2378
-2126,-1658,7834,2375
-2029,-1673,7776,2366
-1869,-1702,7741,2362
-1743,-1685,7700,2353
-1877,-1685,7671,2350
-2201,-1764,7620,2341
-2320,-1835,7598,2336
-2105,-1814,7573,2327
-1933,-1763,7551,2327
-2038,-1767,7490,2325
-2133,-1777,7449,2325
-1980,-1722,7411,2316
-1873,-1672,7383,2311
-2054,-1717,7317,2302
-2242,-1820,7272,2299
-2120,-1863,7235,2289
-1922,-1839,7211,2285
-1954,-1816,7145,2275
-2065,-1837,7096,2274
-1974,-1867,7058,2261
-1840,-1896,7037,2252
-1906,-1921,6981,2236
-2034,-1945,6944,2232
