II,III,PLETH,ABP
409,560,7884,2021
616,808,10706,2737
761,948,11042,2811
937,1103,10291,2608
1192,1370,10022,2528
1391,1648,10346,2599
1386,1794,10583,2649
1285,1853,10421,2598
1403,2028,10231,2538
1858,2375,10293,2540
2369,2674,10461,2574
2568,2688,10437,2564
2398,2452,10296,2526
2092,2186,10258,2511
1817,2011,10346,2526
1519,1866,10351,2524
1130,1693,10262,2502
779,1553,10207,2489
638,1529,10248,2497
640,1594,10254,2497
554,1652,10197,2484
359,1670,10124,2471
309,1718,10114,2472
522,1828,10088,2467
716,1903,10063,2465
558,1785,10014,2461
111,1420,10007,2463
-270,891,9992,2456
-376,354,9980,2451
-279,-55,9925,2442
-114,-255,9893,2440
36,-274,9860,2433
111,-214,9842,2429
66,-176,9780,2421
-40,-168,9741,2418
-114,-168,9707,2410
-103,-178,9696,2407
-47,-221,9649,2399
-32,-281,9628,2396
-153,-327,9611,2388
-408,-348,9611,2385
-621,-365,9562,2376
-581,-393,9525,2374
-317,-446,9490,2370
-88,-523,9476,2373
-99,-600,9420,2370
-281,-635,9379,2373
-449,-630,9339,2371
-525,-625,9327,2372
-554,-651,9276,2369
-536,-679,9235,2375
-393,-662,9189,2378
-133,-602,9174,2386
64,-549,9135,2379
52,-538,9111,2376
-62,-542,9081,2366
-56,-514,9080,2365
39,-451,9050,2355
-5,-399,9023,2353
-166,-382,8971,2344
-80,-371,8946,2348
396,-321,8913,2349
875,-233,8909,2368
938,-136,8895,2394
693,-48,8907,2449
550,33,8898,2520
645,100,8894,2626
802,147,8862,2752
890,173,8852,2927
924,179,8831,3139
892,152,8824,3401
766,90,8789,3685
614,15,8777,3999
532,-40,8757,4322
517,-73,8752,4666
540,-94,8717,5003
607,-119,8702,5330
676,-154,8682,5617
641,-207,8679,5874
519,-268,8644,6080
465,-317,8628,6244
501,-340,8607,6345
457,-350,8605,6401
299,-374,8572,6403
222,-432,8553,6375
295,-503,8530,6307
300,-561,8531,6223
136,-600,8513,6118
55,-637,8519,6016
231,-663,8518,5910
394,-668,8526,5822
218,-688,8498,5738
-197,-786,8483,5673
-522,-935,8464,5612
-648,-1026,8460,5573
-675,-1018,8419,5543
-627,-1002,8384,5534
-482,-1035,8340,5521
-365,-1051,8324,5515
-447,-997,8287,5495
-694,-950,8263,5484
-881,-971,8231,5461
-866,-991,8230,5440
-746,-932,8209,5397
-691,-852,8194,5355
-700,-821,8157,5298
-648,-799,8149,5246
-549,-737,8137,5174
-559,-692,8144,5105
-664,-705,8126,5022
-639,-705,8131,4950
-435,-635,8131,4868
-300,-580,8156,4797
-347,-611,8156,4719
-352,-659,8174,4652
-209,-624,8191,4578
-211,-547,8252,4515
-534,-525,8300,4443
-848,-553,8353,4379
-784,-551,8390,4305
-499,-515,8479,4236
-379,-500,8573,4155
-438,-520,8671,4081
-412,-526,8729,3995
-266,-500,8830,3911
-223,-468,8942,3815
-372,-458,9049,3729
-544,-461,9099,3637
-548,-452,9195,3553
-350,-415,9328,3460
-76,-364,9472,3377
62,-326,9540,3293
-50,-319,9626,3227
-237,-327,9742,3164
-221,-324,9874,3121
-26,-312,9930,3086
48,-314,9997,3075
-76,-320,10090,3072
-107,-294,10207,3087
88,-233,10253,3102
200,-187,10305,3131
-31,-192,10383,3159
-374,-216,10497,3198
-440,-192,10553,3229
-209,-107,10608,3264
80,-1,10661,3287
331,87,10735,3310
568,150,10752,3319
685,194,10780,3326
536,214,10820,3317
228,208,10905,3307
83,196,10951,3284
246,207,10999,3260
492,241,11033,3224
516,265,11097,3192
336,254,11127,3156
258,223,11164,3127
420,197,11180,3090
615,180,11222,3061
