II,V,PLETH
-549,-319,-608
-582,-359,-659
-500,-348,-594
-519,-368,-644
-510,-371,-671
-490,-368,-686
-476,-368,-699
-484,-375,-720
-501,-382,-735
-511,-384,-736
-516,-383,-734
-517,-380,-736
-509,-379,-737
-489,-381,-731
-472,-383,-720
-467,-383,-705
-474,-380,-686
-488,-375,-664
-507,-371,-644
-527,-367,-629
-543,-366,-618
-554,-370,-609
-561,-374,-598
-562,-375,-582
-556,-376,-561
-544,-375,-535
-530,-373,-506
-515,-365,-475
-505,-355,-446
-501,-344,-419
-503,-335,-398
-506,-326,-383
-511,-322,-374
-515,-321,-369
-513,-322,-368
-500,-321,-367
-481,-323,-369
-463,-326,-367
-452,-334,-369
-446,-343,-367
-449,-357,-369
-452,-370,-367
-453,-383,-369
-446,-388,-367
-436,-391,-369
-420,-388,-367
-404,-386,-369
-378,-385,-367
-351,-390,-369
-321,-398,-367
-296,-408,-368
-280,-415,-368
-268,-419,-368
-261,-422,-368
-243,-425,-368
-222,-429,-368
-195,-435,-368
-176,-437,-368
-167,-439,-368
-169,-439,-367
-184,-443,-368
-204,-450,-369
-243,-453,-373
-293,-437,-381
-362,-386,-395
-416,-281,-412
-417,-123,-433
-285,92,-454
26,345,-472
559,628,-482
1283,912,-489
2137,1174,-490
2999,1365,-492
3762,1449,-492
4325,1401,-496
4635,1249,-503
4662,1047,-518
4407,875,-534
3888,783,-557
3144,783,-575
2238,818,-596
1263,823,-606
312,727,-618
-530,514,-626
-1224,196,-641
-1761,-169,-656
-2166,-535,-681
-2457,-854,-706
-2657,-1115,-737
-2757,-1306,-765
-2761,-1434,-800
-2659,-1501,-834
-2460,-1513,-879
-2184,-1482,-927
-1854,-1415,-982
-1521,-1331,-1032
-1201,-1238,-1077
-943,-1154,-1111
-734,-1077,-1136
-593,-1014,-1152
-482,-962,-1169
-407,-925,-1188
-337,-898,-1213
-286,-879,-1241
-238,-867,-1272
-197,-866,-1302
-147,-872,-1335
-85,-881,-1364
-1,-888,-1394
95,-883,-1419
200,-860,-1442
297,-810,-1455
381,-749,-1468
443,-682,-1475
491,-633,-1489
518,-595,-1501
537,-589,-1526
534,-594,-1548
527,-622,-1582
508,-644,-1608
500,-679,-1643
502,-710,-1669
537,-759,-1705
598,-810,-1730
702,-891,-1767
836,-985,-1792
1001,-1105,-1827
1182,-1229,-1853
1380,-1370,-1890
1591,-1513,-1920
1817,-1672,-1964
2056,-1831,-2005
2304,-2003,-2058
2550,-2177,-2107
2777,-2348,-2163
2962,-2501,-2210
3089,-2630,-2255
3145,-2724,-2286
3129,-2777,-2311
3046,-2783,-2323
2908,-2746,-2330
2729,-2671,-2329
2521,-2564,-2326
2295,-2428,-2317
2055,-2272,-2305
1808,-2101,-2285
1556,-1920,-2258
1311,-1734,-2224
1072,-1548,-2182
846,-1370,-2133
636,-1205,-2080
447,-1053,-2022
278,-918,-1962
129,-797,-1900
-4,-691,-1835
-125,-596,-1765
-237,-514,-1692
-345,-440,-1612
-443,-379,-1529
-533,-323,-1439
-611,-278,-1349
-678,-234,-1255
-734,-202,-1161
-784,-172,-1059
-825,-157,-955
-862,-140,-844
-893,-133,-734
-928,-123,-618
-963,-119,-510
-1000,-111,-405
-1034,-108,-312
-1065,-101,-221
-1085,-97,-142
-1090,-89,-67
-1083,-82,2
-1068,-71,76
-1051,-60,149
-1034,-44,229
-1025,-26,309
-1024,-5,393
-1029,15,471
-1032,32,545
-1036,44,611
-1037,54,675
-1039,62,736
-1042,67,797
-1049,71,858
-1055,72,920
-1059,70,982
-1054,67,1042
-1039,61,1104
-1014,53,1164
-990,45,1228
-973,40,1290
-972,40,1355
-985,45,1412
-1012,56,1466
-1041,72,1507
-1065,86,1543
-1072,94,1570
-1068,92,1603
-1055,85,1637
-1042,74,1682
-1020,63,1721
-1001,58,1765
-976,58,1797
-950,60,1832
-915,57,1856
-887,48,1889
-864,32,1915
-857,11,1951
-851,-13,1977
-853,-36,2010
-850,-54,2032
-844,-69,2057
-825,-80,2069
-806,-86,2081
-787,-85,2083
-775,-80,2087
-765,-72,2084
-760,-62,2088
-751,-49,2090
-740,-35,2101
-722,-23,2113
-701,-12,2132
-679,-4,2146
-658,0,2156
-639,0,2155
-623,0,2147
-610,0,2131
-598,1,2115
-583,0,2100
-566,-2,2090
-544,-5,2077
-518,-10,2059
-493,-17,2030
-472,-27,1994
-458,-36,1950
-451,-45,1912
-449,-54,1877
-450,-60,1858
-450,-62,1842
-448,-60,1837
-441,-58,1825
-428,-59,1816
-410,-62,1795
-392,-73,1776
-372,-89,1744
-357,-107,1720
-342,-126,1685
-325,-141,1659
-305,-157,1623
-273,-169,1597
-247,-185,1562
-209,-198,1536
-181,-216,1501
-146,-231,1474
-124,-246,1440
-96,-260,1412
-72,-279,1379
-42,-300,1351
-16,-324,1318
0,-346,1289
-2,-357,1257
-34,-340,1228
-79,-279,1196
-105,-166,1164
-42,3,1127
173,220,1085
596,482,1035
1229,767,979
2031,1050,920
2901,1292,860
3725,1455,797
4396,1508,735
4835,1455,675
5002,1334,614
4880,1209,553
4482,1128,488
3835,1108,422
2996,1112,349
2044,1083,270
1075,957,187
175,713,106
-596,362,26
-1216,-44,-48
-1689,-454,-118
-2032,-815,-182
-2263,-1111,-246
-2388,-1328,-308
-2405,-1475,-375
-2315,-1556,-442
-2121,-1581,-517
-1856,-1565,-596
-1534,-1511,-680
-1216,-1433,-757
-904,-1335,-826
-659,-1240,-881
-450,-1146,-923
-309,-1066,-955
-190,-998,-988
-112,-951,-1028
-37,-915,-1078
16,-895,-1133
69,-885,-1194
108,-892,-1257
142,-899,-1319
169,-897,-1379
192,-876,-1440
209,-830,-1502
223,-762,-1565
241,-677,-1625
266,-597,-1685
300,-529,-1741
341,-487,-1795
380,-461,-1839
407,-457,-1880
411,-459,-1914
401,-477,-1948
384,-498,-1977
382,-536,-2010
402,-578,-2038
451,-634,-2072
516,-689,-2099
591,-752,-2135
668,-815,-2166
752,-895,-2211
852,-990,-2252
981,-1113,-2308
