II,V,PLETH,RESP
0,0,2614,-32768
0,0,3569,-32768
0,0,3705,-32768
0,0,3479,-32768
0,0,3412,-32768
0,0,3544,-32768
0,0,3636,-32768
0,0,3580,-32768
0,0,3503,-32768
0,0,3511,-32768
0,0,3551,-32768
0,0,3512,-32768
0,0,3418,-32768
0,0,3360,-32768
0,0,3353,-32768
0,0,3310,-32768
0,0,3211,-32768
0,0,3106,-32768
0,0,3043,-32768
0,0,2983,-32768
0,0,2903,-32768
0,0,2799,-32768
0,0,2713,-32768
0,0,2649,-32768
0,0,2622,-32768
0,0,2585,-32768
0,0,2536,-32768
0,0,2495,-32768
0,0,2532,-32768
0,0,2599,-32768
0,0,2635,-32768
0,0,2640,-32768
0,0,2744,-32768
0,0,2936,-32768
0,0,3109,-32768
0,0,3197,-32768
0,0,3353,-32768
0,0,3624,-32768
0,0,3900,-32768
0,0,4056,-32768
0,0,4223,-32768
0,0,4500,-32768
0,0,4813,-32768
0,0,5010,-32768
0,0,5165,-32768
0,0,5387,-32768
0,0,5664,-32768
0,0,5856,-32768
0,0,5978,-32768
0,0,6104,-32768
0,0,6269,-32768
0,0,6389,-32768
0,0,6446,-32768
0,0,6471,-32768
0,0,6514,-32768
0,0,6545,-32768
0,0,6545,-32768
0,0,6499,-32768
0,0,6448,-32768
0,0,6395,-32768
0,0,6346,-32768
0,0,6261,-32768
0,0,6156,-32768
0,0,6043,-32768
0,0,5957,-32768
0,0,5861,-32768
0,0,5741,-32768
0,0,5593,-32768
0,0,5481,-32768
0,0,5386,-32768
0,0,5276,-32768
0,0,5125,-32768
0,0,5011,-32768
0,0,4927,-32768
0,0,4831,-32768
0,0,4682,-32768
0,0,4571,-32768
0,0,4502,-32768
0,0,4396,-32768
0,0,4168,-32768
0,0,3924,-32768
0,0,3749,-32768
0,0,3635,-32768
0,0,3490,-32768
0,0,3364,-32768
0,0,3297,-32768
0,0,3278,-32768
0,0,3218,-32768
0,0,3145,-32768
0,0,3100,-32768
0,0,3101,-32768
0,0,3082,-32768
0,0,3054,-32768
0,0,3032,-32768
0,0,3045,-32768
0,0,3055,-32768
0,0,3064,-32768
0,0,3064,-32768
0,0,3086,-32768
0,0,3109,-32768
0,0,3137,-32768
0,0,3151,-32768
0,0,3172,-32768
0,0,3196,-32768
0,0,3233,-32768
0,0,3260,-32768
0,0,3288,-32768
0,0,3311,-32768
0,0,3344,-32768
0,0,3369,-32768
0,0,3392,-32768
0,0,3404,-32768
0,0,3425,-32768
0,0,3443,-32768
0,0,3464,-32768
0,0,3469,-32768
0,0,3470,-32768
0,0,3463,-32768
0,0,3466,-32768
0,0,3456,-32768
0,0,3434,-32768
0,0,3398,-32768
0,0,3377,-32768
0,0,3353,-32768
0,0,3311,-32768
0,0,3239,-32768
0,0,3180,-32768
0,0,3132,-32768
0,0,3081,-32768
0,0,2990,-32768
0,0,2899,-32768
0,0,2829,-32768
0,0,2787,-32768
0,0,2717,-32768
0,0,2628,-32768
0,0,2550,-32768
0,0,2537,-32768
0,0,2532,-32768
0,0,2495,-32768
0,0,2435,-32768
0,0,2465,-32768
0,0,2564,-32768
0,0,2646,-32768
0,0,2665,-32768
0,0,2753,-32768
0,0,2949,-32768
0,0,3162,-32768
0,0,3287,-32768
0,0,3434,-32768
0,0,3682,-32768
0,0,3979,-32768
0,0,4189,-32768
0,0,4371,-32768
0,0,4611,-32768
0,0,4913,-32768
0,0,5157,-32768
0,0,5345,-32768
0,0,5531,-32768
0,0,5763,-32768
0,0,5974,-32768
0,0,6134,-32768
0,0,6244,-32768
0,0,6359,-32768
0,0,6466,-32768
0,0,6551,-32768
0,0,6578,-32768
0,0,6580,-32768
0,0,6573,-32768
0,0,6580,-32768
0,0,6552,-32768
0,0,6481,-32768
0,0,6384,-32768
0,0,6325,-32768
0,0,6265,-32768
0,0,6163,-32768
0,0,6013,-32768
0,0,5912,-32768
0,0,5842,-32768
0,0,5713,-32768
0,0,5464,-32768
0,0,5224,-32768
0,0,5057,-32768
0,0,4922,-32768
0,0,4735,-32768
0,0,4586,-32768
0,0,4514,-32768
0,0,4459,-32768
0,0,4317,-32768
0,0,4170,-32768
0,0,4086,-32768
0,0,4033,-32768
0,0,3907,-32768
0,0,3767,-32768
0,0,3675,-32768
0,0,3627,-32768
0,0,3531,-32768
0,0,3419,-32768
0,0,3335,-32768
0,0,3298,-32768
0,0,3239,-32768
0,0,3169,-32768
0,0,3106,-32768
0,0,3082,-32768
0,0,3060,-32768
0,0,3045,-32768
0,0,3029,-32768
0,0,3035,-32768
0,0,3045,-32768
0,0,3066,-32768
0,0,3080,-32768
0,0,3103,-32768
0,0,3123,-32768
0,0,3158,-32768
0,0,3186,-32768
0,0,3217,-32768
0,0,3239,-32768
0,0,3275,-32768
0,0,3307,-32768
0,0,3341,-32768
0,0,3362,-32768
0,0,3390,-32768
0,0,3417,-32768
0,0,3447,-32768
0,0,3461,-32768
0,0,3481,-32768
0,0,3504,-32768
0,0,3539,-32768
0,0,3558,-32768
0,0,3566,-32768
0,0,3565,-32768
0,0,3578,-32768
0,0,3584,-32768
0,0,3574,-32768
0,0,3542,-32768
0,0,3528,-32768
