II,V,PLETH,RESP
78,-14,4171,69
121,-75,5657,15
95,-143,5811,24
25,-146,5375,134
6,-62,5194,225
84,33,5340,212
183,43,5442,209
197,-28,5326,315
124,-79,5189,423
52,-44,5189,372
46,14,5252,298
76,-1,5214,578
87,-88,5113,1379
91,-140,5070,2332
131,-93,5099,2800
182,-9,5085,2477
171,5,5015,1680
92,-52,4961,991
36,-88,4962,738
49,-63,4951,817
72,-43,4904,965
61,-73,4850,1027
70,-93,4834,1023
136,-46,4814,1033
183,18,4782,1107
134,16,4723,1196
55,-44,4683,1234
59,-92,4651,1228
144,-102,4627,1274
198,-101,4579,1378
171,-100,4545,1446
140,-78,4522,1439
193,-34,4505,1455
299,2,4459,1540
361,6,4424,1612
350,0,4400,1604
342,3,4384,1611
383,10,4339,1688
432,-4,4302,1765
429,-15,4278,1761
403,8,4263,1762
373,70,4219,1845
337,110,4182,1945
290,141,4157,1960
321,206,4142,1953
433,312,4099,2001
531,330,4062,2073
522,166,4036,2085
504,-118,4020,2083
585,-336,3979,2130
764,-401,3943,2203
935,-387,3915,2228
1071,-426,3898,2230
1192,-545,3859,2261
1326,-694,3822,2318
1528,-877,3794,2343
1895,-1210,3778,2352
2467,-1825,3735,2374
3205,-2739,3677,2419
4098,-3839,3610,2447
5150,-4940,3559,2460
6182,-5821,3508,2478
6833,-6275,3465,2522
6913,-6212,3422,2562
6648,-5725,3399,2585
6433,-5027,3372,2592
6411,-4311,3344,2620
6407,-3694,3304,2655
6206,-3208,3277,2681
5739,-2792,3251,2685
5034,-2342,3226,2714
4120,-1828,3183,2766
3032,-1307,3154,2808
1868,-820,3130,2806
828,-356,3106,2808
142,39,3063,2833
-78,246,3032,2862
34,246,3010,2859
203,188,2985,2872
245,208,2931,2914
195,265,2883,2960
149,280,2851,2960
138,282,2828,2956
96,351,2783,2975
23,434,2745,3004
-42,445,2721,3001
-44,378,2705,3004
-22,335,2668,3032
-1,351,2640,3073
14,395,2627,3076
68,422,2619,3074
143,422,2583,3095
190,389,2547,3139
155,340,2521,3155
68,314,2504,3149
-1,342,2468,3136
-10,406,2439,3145
8,468,2422,3149
3,503,2415,3148
-23,487,2384,3139
-38,422,2349,3145
-58,355,2319,3148
-121,357,2301,3149
-201,422,2267,3138
-212,477,2230,3142
-146,475,2196,3150
-111,468,2177,3154
-187,511,2147,3132
-299,581,2113,3113
-316,615,2074,3102
-231,607,2051,3103
-163,598,2026,3086
-193,612,2003,3069
-283,649,1970,3056
-351,715,1949,3057
-379,809,1937,3040
-399,888,1943,3007
-417,881,1943,2967
-394,779,1947,2954
-326,659,1954,2946
-266,619,1992,2922
-260,678,2033,2876
-269,757,2066,2856
-222,759,2088,2852
-115,675,2152,2833
-14,586,2237,2777
40,568,2306,2745
86,598,2342,2745
180,605,2425,2736
305,575,2552,2683
382,562,2664,2651
371,577,2718,2656
325,568,2813,2642
327,531,2970,2564
392,542,3118,2507
463,608,3188,2508
488,602,3283,2507
466,424,3451,2437
435,154,3622,2378
431,-53,3705,2379
461,-144,3800,2381
482,-156,3972,2315
438,-114,4162,2263
330,-52,4265,2273
224,-41,4362,2269
164,-107,4518,2183
128,-175,4694,2107
82,-189,4789,2103
38,-189,4870,2103
8,-232,4997,2031
-24,-279,5154,1972
-47,-274,5249,1982
-9,-236,5328,1982
82,-219,5437,1895
140,-207,5578,1815
119,-169,5672,1820
73,-131,5750,1828
48,-148,5841,1729
13,-205,5966,1630
-34,-235,6057,1674
-4,-204,6130,1747
127,-148,6209,1480
222,-122,6345,708
164,-132,6489,-227
37,-138,6625,-688
11,-91,6717,-362
104,0,6806,458
180,62,6877,1171
131,22,6940,1439
-10,-98,6968,1358
-132,-192,7007,1219
-156,-168,7045,1171
-91,-50,7094,1188
-10,55,7109,1177
2,64,7129,1113
-79,3,7148,1044
-191,-46,7186,1027
-223,-34,7197,1030
-122,8,7209,988
19,13,7209,900
60,-31,7224,849
-5,-77,7217,853
-47,-73,7219,843
-12,-36,7215,784
-9,-24,7238,743
-121,-53,7246,753
-250,-80,7255,740
-264,-58,7240,658
-197,-2,7239,579
-174,42,7227,570
-215,50,7225,578
-237,40,7202,532
-202,19,7198,474
-156,-18,7186,466
-156,-70,7186,473
-216,-104,7163,430
-304,-90,7158,374
-354,-41,7147,360
-309,4,7147,365
-195,34,7117,330
-118,76,7094,276
-147,148,7060,253
-226,211,7043,254
-233,196,7006,231
-134,89,6983,188
-39,-45,6956,158
-67,-133,6949,152
-183,-179,6922,146
-237,-236,6904,129
-179,-300,6875,114
-124,-309,6866,107
