II,MCL,ABP,RESP
10523,11197,4578,2662
12050,12807,5155,2897
10815,11475,4523,2368
10224,10803,4199,2018
11108,11660,4523,2057
11740,12272,4709,2020
11473,12030,4523,1746
11268,11918,4414,1514
11619,12307,4578,1435
11923,12515,4700,1323
11911,12400,4690,1106
11921,12449,4732,912
12131,12770,4913,795
12283,12944,5092,664
12277,12863,5248,467
12203,12711,5439,266
12131,12585,5695,138
12002,12384,5946,89
11838,12122,6198,69
11654,11820,6445,37
11473,11475,6700,0
11258,11071,6925,-14
11034,10734,7147,0
10761,10470,7339,6
10523,10272,7538,0
10315,10032,7724,-5
10158,9809,7928,0
9967,9623,8106,2
9792,9531,8263,0
9640,9438,8373,-2
9573,9346,8487,0
9506,9228,8593,0
9427,9161,8710,0
9295,9103,8793,-1
9208,9069,8878,0
9149,9003,8952,0
9134,8976,9045,0
9087,8958,9106,0
9061,8976,9157,0
9040,8966,9176,0
9061,8976,9213,0
9055,8968,9236,0
9061,8976,9268,0
9050,8956,9267,0
9061,8976,9268,0
9048,9011,9255,0
9061,9069,9268,0
9078,9071,9267,0
9134,9069,9268,0
9170,9053,9235,0
9208,9069,9213,0
9205,9061,9175,0
9208,9069,9157,0
9191,9060,9120,0
9208,9069,9101,0
9209,9055,9066,0
9208,9069,9045,0
9158,9065,9006,0
9134,9069,8989,0
9138,9069,8959,0
9208,9161,8933,0
9255,9274,8872,0
9281,9346,8822,0
9257,9321,8760,0
9281,9346,8710,0
9353,9433,8624,0
9500,9531,8543,0
9624,9553,8450,0
9719,9624,8375,0
9753,9740,8266,0
9792,9809,8152,0
9799,9712,8022,0
9792,9624,7928,0
9756,9661,7823,0
9792,9809,7705,0
9900,9904,7548,0
10084,9994,7426,0
10260,10115,7329,0
10450,10272,7258,0
10615,10362,7146,0
10742,10457,7035,0
10729,10567,6928,0
10596,10642,6868,0
10353,10502,6804,0
10084,10179,6756,0
9761,9771,6693,0
9427,9439,6644,0
9106,9169,6577,0
8915,8976,6533,0
8820,8825,6491,0
8769,8791,6477,0
8656,8849,6445,0
8550,8976,6421,0
8478,9026,6383,0
8477,8976,6365,0
8450,8844,6333,0
8404,8791,6309,0
8316,8842,6271,0
8258,8976,6253,0
8219,9027,6223,0
8258,8976,6198,0
8320,8848,6155,0
8404,8791,6142,0
8437,8779,6136,0
8477,8791,6142,0
8480,8756,6114,0
8477,8791,6086,0
8421,8902,6049,0
8404,9069,6030,0
8419,9151,5996,0
8477,9161,5974,0
8486,9107,5943,0
8477,9069,5918,0
8454,9036,5877,0
8477,9069,5863,0
8481,9118,5857,0
8477,9161,5863,0
8460,9116,5834,0
8550,9069,5807,0
8779,9101,5772,0
9208,9346,5751,0
9800,9772,5713,0
10596,10364,5695,0
11517,10998,5686,0
12423,11567,5695,0
12974,11828,5673,0
12934,11660,5639,0
12234,11070,5595,0
11181,10364,5583,0
10156,9799,5578,0
9500,9531,5583,0
9222,9462,5558,0
9208,9531,5528,0
9244,9646,5485,0
9281,9809,5472,0
9277,9926,5466,0
9281,9994,5472,0
9246,9988,5447,0
9208,9994,5416,0
9149,9991,5373,0
9134,9994,5360,0
9125,9942,5354,0
9134,9901,5360,0
9116,9874,5336,0
9134,9901,5304,0
9158,9902,5261,0
9208,9901,5248,0
9206,9875,5243,0
9208,9901,5248,0
9191,9936,5224,0
9208,9994,5193,0
9202,10000,5151,0
9208,9994,5137,0
9193,9968,5129,0
9208,9994,5137,0
9220,10003,5116,0
9281,9994,5081,0
9345,9950,5034,0
9427,9994,5025,0
9465,10086,5027,0
9500,10179,5025,0
9497,10175,4988,0
9500,10179,4969,0
9481,10207,4965,0
9500,10272,4969,0
9502,10292,4937,0
9500,10364,4913,0
9463,10489,4904,0
9500,10642,4913,0
9592,10672,4887,0
9719,10642,4858,0
9767,10625,4837,0
9792,10734,4858,0
9823,10874,4863,0
9938,11012,4858,0
10073,11091,4821,0
10231,11197,4802,0
10346,11315,4785,0
10450,11475,4802,0
10510,11607,4818,-1
10596,11752,4858,0
10686,11884,4894,1
10815,12030,4969,0
