I,II,PLETH,RESP
5130,8032,2852,177
6679,9274,3210,203
7626,8701,2816,177
9251,9013,2618,156
11509,10709,2816,160
13412,12199,2920,165
14629,12791,2781,160
15282,13134,2694,155
15045,13535,2781,160
13528,13438,2837,164
11301,12642,2781,160
9403,11602,2728,150
8250,10783,2745,142
7543,10244,2759,139
7072,9965,2745,142
6848,9885,2734,144
6794,9891,2745,142
6678,9821,2751,133
6448,9668,2745,124
6218,9487,2726,121
6101,9370,2709,124
6057,9312,2699,127
6032,9296,2709,124
5961,9244,2714,114
5893,9222,2709,106
5832,9217,2687,105
5824,9222,2674,106
5812,9145,2667,106
5824,9073,2674,106
5812,9032,2673,108
5824,9073,2674,106
5830,9084,2670,99
5893,9073,2674,89
5967,9017,2672,85
6032,8998,2674,89
6031,8984,2670,93
6032,8998,2674,89
6048,8989,2671,78
6101,8998,2674,71
6134,8989,2671,70
6170,8998,2674,71
6179,8986,2671,70
6170,8998,2674,71
6137,8991,2670,73
6170,8998,2674,71
6263,9002,2671,62
6378,9073,2674,53
6424,9153,2670,51
6448,9222,2674,53
6470,9213,2672,55
6517,9222,2674,53
6538,9245,2668,52
6586,9296,2674,53
6668,9308,2676,54
6794,9370,2674,53
6899,9489,2652,53
7002,9668,2638,53
7079,9793,2631,54
7141,9891,2638,53
7161,9953,2636,53
7210,10040,2638,53
7292,10120,2636,54
7418,10263,2638,53
7540,10435,2631,52
7696,10635,2638,53
7849,10783,2652,56
7973,10932,2674,53
8013,11074,2676,44
8042,11230,2674,35
8074,11322,2668,33
8112,11378,2674,35
8102,11378,2672,37
8112,11378,2674,35
8160,11360,2670,35
8250,11378,2674,35
8297,11388,2671,36
8320,11378,2674,35
8316,11263,2671,35
8320,11081,2674,35
8291,10842,2670,36
8250,10635,2674,35
8162,10434,2673,35
8042,10263,2674,35
7882,10071,2667,35
7765,9891,2674,35
7686,9671,2688,35
7626,9445,2709,35
7500,9211,2713,35
7349,9073,2709,35
7209,8988,2700,35
7141,8924,2709,35
7077,8801,2724,35
7002,8701,2745,35
6905,8618,2748,36
6864,8552,2745,35
6839,8428,2736,35
6794,8329,2745,35
6677,8266,2761,36
6586,8255,2781,35
6554,8208,2782,35
6586,8180,2781,35
6590,8164,2776,36
6586,8180,2781,35
6573,8166,2779,35
6586,8180,2781,35
6579,8210,2777,37
6586,8255,2781,35
6584,8225,2778,27
6586,8180,2781,18
6547,8166,2778,14
6517,8255,2781,18
6496,8348,2778,21
6517,8404,2781,18
6537,8385,2778,9
6586,8404,2781,0
6644,8463,2777,-3
6725,8552,2781,0
6768,8569,2779,3
6794,8552,2781,0
6805,8525,2776,-8
6864,8552,2781,-18
6933,8584,2780,-27
7002,8627,2781,-35
7030,8632,2773,-44
7072,8627,2781,-53
7109,8581,2795,-62
7141,8552,2816,-71
7131,8531,2818,-80
7141,8552,2816,-89
7151,8576,2810,-97
7141,8627,2816,-106
7064,8641,2815,-116
7002,8627,2816,-124
6981,8568,2811,-131
7002,8552,2816,-142
6996,8554,2814,-158
7002,8552,2816,-177
7009,8476,2810,-190
7002,8404,2816,-195
6928,8368,2815,-199
6864,8404,2816,-213
6839,8416,2807,-233
6864,8404,2816,-248
6862,8353,2830,-256
6864,8329,2852,-266
6861,8291,2859,-284
6864,8255,2888,-301
6824,8195,2939,-310
6794,8180,3030,-319
6779,8179,3119,-335
6794,8180,3208,-355
6787,8113,3286,-366
6794,8032,3387,-372
6795,7960,3497,-380
6794,7957,3636,-390
6751,7957,3782,-399
6725,7957,3957,-408
6714,7934,4141,-418
6725,7957,4349,-426
6712,7994,4555,-426
6725,8032,4777,-426
6736,8000,4990,-431
6725,7957,5205,-443
6647,7924,5389,-454
6586,7957,5561,-461
6566,7994,5714,-463
6586,8032,5882,-461
6576,8028,6042,-457
6586,8032,6203,-461
6633,8021,6341,-471
6725,8032,6488,-479
6776,8025,6629,-478
6794,8032,6773,-479
6784,8021,6885,-486
6794,8032,6987,-496
6791,8026,7071,-499
6794,8032,7165,-496
6784,8020,7240,-494
6794,8032,7308,-496
6793,8029,7345,-503
6794,8032,7379,-514
6759,8011,7393,-525
6725,8032,7415,-532
6696,8083,7416,-531
6725,8180,7415,-532
6764,8236,7390,-539
6794,8255,7379,-550
6764,8231,7360,-551
6725,8255,7344,-550
6697,8310,7292,-553
6725,8404,7237,-567
6759,8473,7171,-581
