III,V,PLETH,RESP
8231,15571,3236,1722
9450,17353,3820,1915
8343,14972,3620,1641
7421,13752,3606,1487
7453,14852,4005,1577
7495,15527,4308,1611
7341,14852,4357,1496
7548,14401,4437,1413
8009,14852,4677,1432
8085,15131,4875,1433
7898,14852,4966,1368
7995,14725,5054,1312
8343,15092,5190,1303
8431,15362,5288,1292
8231,15211,5350,1255
8083,14932,5419,1215
8120,14972,5510,1191
8154,15264,5570,1169
8120,15451,5606,1142
8060,15238,5632,1108
8009,14852,5671,1078
7932,14670,5701,1057
7898,14852,5735,1046
7893,15039,5748,1026
7898,15092,5767,998
7829,15064,5777,967
7786,15211,5799,949
7863,15430,5810,934
8120,15571,5831,917
8399,15442,5841,891
8565,15211,5863,869
8513,15040,5873,850
8343,15092,5895,837
8142,15190,5907,820
8009,15211,5927,804
7887,15044,5925,788
7786,14852,5927,772
7719,14669,5918,753
7786,14612,5927,740
7939,14741,5925,732
8120,15211,5927,724
8240,15787,5908,708
8343,16169,5895,692
8384,16218,5872,681
8343,16289,5863,676
8202,16466,5843,668
8120,16529,5831,660
8147,16191,5808,651
8231,15690,5799,644
8209,15163,5771,634
8120,14612,5735,627
8058,14071,5676,620
8120,14014,5638,611
8195,14453,5605,600
8231,14852,5574,595
8238,14668,5510,596
8343,14253,5446,595
8464,14037,5378,586
8454,14014,5318,579
8236,13792,5235,579
8009,13534,5158,579
7902,13551,5076,571
7898,13894,4998,563
7853,14101,4895,562
7786,14014,4806,563
7706,13811,4721,555
7675,13894,4645,547
7664,14221,4545,544
7786,14612,4453,547
7921,14812,4367,546
7898,14852,4293,547
7556,14645,4203,549
7230,14253,4133,547
7273,13875,4077,537
7675,14014,4037,531
7802,14720,3971,531
7230,15571,3908,531
6247,15966,3851,522
5673,15930,3812,515
5729,15659,3761,514
5784,15211,3716,515
5153,14347,3674,507
4449,13295,3652,499
5312,12597,3620,496
8787,12816,3588,499
13779,13807,3548,499
17909,14972,3524,499
19626,15482,3501,500
19466,15211,3492,499
18801,14744,3476,490
18242,14852,3460,483
17299,15221,3426,481
15573,14972,3396,483
13323,13829,3369,476
11235,12816,3364,467
9701,12720,3352,462
8787,13295,3332,467
8288,13739,3292,470
8009,14014,3268,467
7740,14325,3251,458
7453,14612,3236,450
7199,14531,3200,448
7119,14373,3172,450
7178,14555,3152,452
7230,15092,3140,450
7080,15387,3106,442
6785,15211,3076,434
6510,14792,3051,431
6452,14612,3043,434
6502,14695,3026,438
6563,14852,3011,434
6505,14757,2994,425
6452,14493,2979,418
6479,14274,2946,418
6674,14373,2915,418
6916,14632,2890,411
7119,14852,2883,402
7165,14871,2869,398
7119,14852,2851,402
7094,14839,2827,405
7230,14852,2819,402
7385,14743,2816,394
7341,14612,2819,386
7014,14534,2806,382
6674,14612,2787,386
6524,14647,2762,390
6563,14612,2755,386
6617,14624,2753,376
6674,14972,2755,370
6704,15423,2740,371
6674,15571,2723,370
6569,15217,2701,361
6563,14852,2691,354
6683,14799,2683,354
6785,14972,2691,354
6696,14998,2694,346
6563,14972,2691,338
6555,15004,2670,337
6674,15092,2659,338
6718,15057,2656,331
6674,15092,2659,322
6625,15252,2644,319
6674,15451,2627,322
6744,15495,2616,322
6785,15571,2627,322
6740,15679,2632,322
6674,15690,2627,322
6628,15522,2605,314
6674,15571,2595,306
6746,15903,2591,302
6785,16169,2595,306
6729,15950,2591,307
6674,15571,2595,306
6680,15430,2596,303
6785,15571,2595,306
6896,15584,2576,308
7008,15451,2563,306
7134,15345,2557,297
7341,15451,2563,290
7523,15562,2561,287
7564,15571,2563,290
7402,15405,2562,290
7230,15211,2563,290
7227,14993,2547,289
7453,14852,2531,290
7697,14772,2521,290
7786,14852,2531,290
7652,14979,2535,289
7453,15092,2531,290
7314,15055,2511,290
7341,14972,2499,290
7480,14807,2493,289
7675,14612,2499,290
7790,14426,2498,289
7786,14493,2499,290
7658,14705,2496,289
7564,14852,2499,290
7600,14802,2487,290
7786,14852,2467,290
7921,14989,2441,289
7898,14972,2435,290
7770,14650,2436,290
7786,14493,2435,290
7960,14698,2415,289
8120,14972,2403,290
8064,14855,2399,291
7898,14612,2403,290
7771,14606,2388,282
7786,14852,2371,274
7891,14935,2361,270
8120,14852,2371,274
8419,14774,2375,277
8676,14852,2371,274
8712,14891,2351,264
8565,14852,2339,257
8330,14684,2331,257
8120,14493,2339,257
7889,14328,2340,251
7675,14373,2339,241
7533,14487,2320,237
7564,14493,2307,241
7682,14304,2297,245
7786,14253,2307,241
7790,14413,2308,232
7786,14612,2307,225
7792,14575,2294,223
7786,14493,2307,225
7681,14506,2341,226
7564,14612,2403,225
7510,14606,2461,225
7564,14612,2531,225
7622,14700,2610,225
7675,14852,2723,225
7716,14866,2853,225
7786,14852,3011,225
7784,14879,3178,225
7675,14972,3364,225
7469,14937,3549,225
7341,14852,3748,225
