II,V,PLETH,ABP
901,-782,1122,4305
1273,-1664,1514,5846
1344,-2086,1548,6032
1268,-1906,1431,5627
1288,-1805,1387,5481
1432,-2168,1431,5648
1555,-2466,1465,5758
1595,-2187,1445,5645
1627,-1797,1422,5515
1616,-2016,1433,5522
1396,-2682,1462,5591
990,-3002,1467,5568
715,-2758,1459,5497
772,-2501,1466,5493
982,-2656,1491,5556
1072,-2901,1503,5569
1037,-2708,1506,5531
981,-2133,1513,5513
874,-1802,1531,5540
683,-2106,1543,5540
603,-2716,1550,5509
815,-2989,1559,5479
1183,-2773,1574,5483
1325,-2484,1581,5469
1125,-2586,1592,5456
861,-3055,1604,5435
850,-3527,1618,5430
988,-3639,1623,5414
956,-3338,1635,5413
743,-2833,1648,5412
709,-2492,1662,5427
1001,-2504,1665,5424
1317,-2758,1678,5429
1368,-2878,1700,5425
1310,-2595,1728,5437
1401,-1951,1742,5437
1570,-1330,1759,5444
1635,-1121,1781,5438
1808,-1477,1806,5443
2523,-2217,1816,5436
3796,-3095,1827,5442
4976,-3934,1844,5439
5366,-4618,1869,5448
4861,-4925,1883,5445
3917,-4765,1894,5448
2926,-4454,1905,5434
1974,-4539,1923,5428
1136,-5082,1934,5410
700,-5552,1942,5401
799,-5460,1945,5382
1131,-4929,1952,5378
1285,-4306,1953,5367
1238,-3725,1953,5366
1209,-3193,1947,5354
1240,-2923,1945,5353
1161,-3070,1938,5342
957,-3429,1935,5339
850,-3592,1928,5319
1049,-3474,1923,5305
1487,-3322,1916,5279
1893,-3270,1913,5263
1981,-3069,1906,5233
1694,-2559,1902,5217
1261,-2093,1894,5203
1061,-2215,1891,5217
1201,-2796,1885,5231
1456,-3126,1881,5258
1528,-2854,1873,5267
1381,-2531,1869,5276
1171,-2703,1863,5260
1080,-3154,1857,5247
1203,-3301,1843,5215
1471,-3167,1834,5194
1577,-3167,1825,5162
1332,-3359,1816,5145
1069,-3303,1799,5121
1340,-2837,1791,5117
2010,-2397,1783,5110
2266,-2533,1770,5128
1722,-3169,1737,5135
1093,-3663,1699,5154
1244,-3450,1667,5159
2015,-2720,1652,5190
2452,-2217,1636,5230
2093,-2451,1622,5309
1416,-3090,1611,5400
1123,-3418,1618,5541
1334,-3175,1627,5711
1694,-2838,1634,5940
1908,-2911,1634,6190
2018,-3335,1650,6480
2102,-3635,1674,6771
2067,-3577,1698,7078
1796,-3338,1709,7355
1503,-3201,1729,7622
1581,-3180,1759,7845
2112,-3119,1793,8049
2612,-2899,1811,8203
2556,-2633,1832,8338
1989,-2511,1865,8434
1512,-2606,1908,8532
1548,-2764,1936,8606
1912,-2815,1962,8686
2115,-2732,1990,8740
2041,-2708,2027,8804
1997,-2918,2054,8856
2255,-3251,2076,8922
2646,-3238,2097,8965
2790,-2610,2127,9014
2510,-1814,2151,9046
2073,-1657,2173,9094
1928,-2183,2185,9123
2287,-2645,2199,9158
2817,-2651,2206,9163
3023,-2704,2214,9181
2814,-3088,2216,9186
2560,-3230,2222,9209
2457,-2665,2226,9213
2332,-1987,2236,9230
2119,-1962,2239,9228
2166,-2444,2239,9239
2668,-2788,2232,9227
3294,-2872,2229,9227
3609,-2893,2224,9207
3589,-2768,2220,9205
3342,-2358,2210,9182
2860,-2039,2207,9174
2321,-2264,2202,9147
2264,-2837,2199,9136
2872,-3035,2189,9105
3544,-2562,2185,9088
3549,-1866,2181,9044
2970,-1573,2177,9010
2455,-1752,2162,8955
2396,-2003,2152,8919
2610,-2036,2144,8865
2792,-1972,2137,8821
2796,-1939,2119,8751
2666,-1862,2108,8696
2489,-1736,2100,8623
2371,-1841,2095,8565
2327,-2270,2075,8485
2285,-2630,2057,8422
2154,-2485,2043,8348
1993,-1983,2034,8292
1964,-1607,2014,8214
2146,-1564,1999,8150
2318,-1615,1990,8070
2255,-1541,1986,8008
2093,-1399,1969,7924
2231,-1388,1951,7850
2675,-1539,1935,7757
2928,-1763,1926,7680
2645,-1992,1906,7585
2179,-2222,1887,7501
2034,-2326,1870,7395
2201,-2150,1860,7302
2263,-1788,1842,7197
2070,-1583,1824,7114
1834,-1639,1805,7026
1793,-1711,1794,6961
1952,-1656,1777,6887
2211,-1703,1761,6838
2407,-1946,1740,6785
2435,-2059,1728,6759
2350,-1812,1713,6730
2340,-1565,1698,6726
2418,-1747,1676,6713
2400,-2190,1661,6714
2189,-2370,1647,6695
1992,-2162,1637,6686
1999,-1902,1619,6659
2157,-1909,1607,6645
2278,-2169,1598,6617
2344,-2413,1595,6609
2404,-2293,1586,6592
2418,-1735,1576,6594
2274,-1153,1567,6580
2045,-1143,1576,6581
1942,-1728,1589,6568
2066,-2252,1606,6568
2218,-2131,1615,6554
2151,-1553,1631,6554
1859,-1152,1642,6542
1642,-1223,1649,6542
1773,-1448,1646,6527
2207,-1498,1655,6522
2556,-1531,1670,6502
2528,-1834,1681,6495
2227,-2108,1679,6474
2011,-1774,1693,6469
1992,-964,1718,6451
2012,-611,1738,6443
2006,-1143,1735,6418
2122,-1854,1752,6406
2300,-1912,1790,6383
2240,-1449,1829,6378
1925,-1035,1839,6359
1832,-773,1866,6352
2195,-505,1923,6332
2592,-486,1987,6327
2527,-1042,2020,6305
2157,-1832,2061,6289
1924,-2093,2136,6254
1904,-1630,2232,6235
1856,-1036,2300,6211
1775,-945,2364,6209
1830,-1321,2447,6196
