III,V,PLETH
6686,21528,8757
7580,24453,9881
6686,21800,8684
6210,20536,8067
6686,22073,8684
7026,22818,9051
6814,21800,8684
6621,21216,8437
6686,21800,8684
6642,22027,8855
6429,21528,8757
6340,21278,8725
6429,21528,8902
6438,21470,9029
6300,20983,9048
6145,20554,9084
6043,20438,9194
5926,20401,9278
5786,20438,9340
5648,20559,9401
5529,20710,9486
5366,20721,9556
5143,20710,9632
4858,20670,9667
4629,20710,9705
4473,20699,9727
4372,20710,9778
4236,20678,9810
4114,20710,9851
4025,20699,9873
3986,20710,9924
3919,20667,9960
3857,20710,9997
3845,20784,9991
3986,20983,9997
4255,21205,9991
4629,21528,9997
5014,21812,9959
5400,22073,9924
5733,22203,9874
6043,22345,9851
6341,22463,9808
6686,22618,9778
6997,22648,9730
7200,22618,9705
7265,22473,9660
7329,22345,9632
7451,22165,9585
7586,22073,9559
7657,22088,9513
7714,22345,9486
7826,22651,9440
7972,22890,9413
8055,22905,9367
8100,22890,9340
8147,22868,9294
8229,22890,9267
8262,22768,9221
8229,22618,9194
8114,22504,9148
7972,22618,9121
7790,22765,9075
7586,22890,9048
7256,22947,9003
6686,23163,8975
5670,23323,8929
4114,23163,8902
2038,22454,8857
-129,21528,8830
-1641,20522,8783
-1671,19620,8757
-26,19093,8712
2700,19620,8684
5378,21083,8636
7200,22618,8611
7974,23237,8568
8100,23163,8538
8008,23016,8485
7972,23163,8465
7969,23246,8451
7972,23163,8465
7946,22893,8437
7972,22618,8392
8028,22279,8327
8100,22073,8319
8118,21996,8320
8100,22073,8319
8004,22075,8268
7843,22073,8246
7664,22035,8239
7586,22073,8246
7601,22060,8201
7586,22073,8173
7456,22047,8160
7329,22073,8173
7325,22039,8138
7457,22073,8100
7562,22211,8052
7586,22618,8027
7526,23011,7976
7457,23163,7954
7378,22905,7942
7329,22618,7954
7272,22503,7917
7200,22618,7881
7076,22649,7851
6943,22618,7881
6736,22552,7911
6429,22618,7954
6047,22642,7975
5786,22618,8027
5682,22465,8083
5657,22345,8173
5580,22187,8242
5529,22073,8319
5527,21974,8375
5529,22073,8465
5412,22231,8558
5272,22345,8684
5206,22219,8788
5272,22073,8902
5373,21995,8999
5529,22073,9121
5746,22082,9228
6043,22073,9340
6318,22020,9411
6557,22073,9486
6748,22151,9545
6943,22345,9632
7098,22510,9703
7200,22618,9778
7210,22510,9814
7200,22345,9851
7218,22144,9872
7329,22073,9924
7468,22103,9961
7586,22345,9997
7612,22568,9990
7586,22618,9997
7519,22345,9992
7457,22073,9997
7382,21954,9959
7329,22073,9924
7300,22192,9875
7329,22345,9851
7348,22476,9807
7329,22618,9778
7250,22549,9732
7200,22345,9705
7185,22101,9659
7200,22073,9632
7190,22107,9590
7200,22073,9559
7208,21800,9488
7200,21528,9413
7131,21321,9320
7072,21255,9267
7015,21188,9221
6943,21255,9194
6800,21387,9125
6686,21528,9048
6647,21436,8953
6686,21255,8902
6695,21060,8858
6686,20983,8830
6668,20852,8757
6686,20710,8684
6685,20514,8595
6686,20438,8538
6677,20466,8462
6686,20710,8392
6643,20998,8300
6557,21255,8246
6450,21292,8198
6429,21255,8173
6477,21196,8125
6557,21255,8100
6604,21269,8060
6686,21255,8027
6809,21190,7970
6943,21255,7954
6976,21302,7950
6943,21255,7954
6905,21038,7909
6943,20983,7881
7010,21172,7868
7072,21528,7881
7046,21653,7846
6943,21528,7808
6788,21218,7779
6686,20983,7808
6619,20789,7819
6557,20710,7808
6465,20660,7755
6429,20710,7735
6431,20715,7728
6429,20710,7735
6386,20649,7696
6429,20710,7662
6569,20826,7638
6686,20983,7662
6622,21009,7669
6429,20983,7662
6258,20863,7615
6172,20710,7589
6109,20431,7571
6043,20165,7589
5994,19933,7591
6043,19893,7589
6123,19951,7548
6172,20165,7516
6152,20415,7490
6172,20710,7516
6196,20803,7549
6172,20710,7589
6129,20566,7588
6172,20710,7589
5943,20836,7579
4886,20438,7589
2892,19224,7582
514,17713,7589
-1914,16234,7582
-4243,14988,7589
-5678,14283,7579
-4757,14988,7589
-1269,17116,7587
2957,19620,7589
5728,21185,7550
6686,21800,7516
6842,21990,7491
6943,22073,7516
6898,21838,7528
6686,21528,7516
6562,21399,7462
6686,21528,7443
6857,21561,7440
6943,21528,7443
6943,21481,7398
6943,21528,7370
6936,21518,7360
6943,21528,7370
6944,21442,7332
6943,21255,7297
6940,20991,7276
6943,20983,7297
6918,21165,7297
6814,21255,7297
6631,20988,7285
6429,20710,7297
6227,20624,7293
6043,20710,7297
5838,20681,7287
5657,20710,7297
5538,20840,7291
5529,20983,7297
5550,20796,7288
5529,20438,7297
5407,20081,7291
5272,19893,7297
5177,19711,7288
5143,19620,7297
5060,19578,7293
4886,19620,7297
4618,19596,7284
4372,19620,7297
4194,19622,7300
4114,19620,7297
4049,19540,7253
3986,19620,7224
3937,19843,7208
3986,20165,7224
4072,20400,7220
4114,20710,7224
4050,21036,7216
3986,21255,7224
3962,21078,7215
3986,20710,7224
4043,20410,7221
4243,20438,7224
4565,20582,7207
4886,20710,7224
5085,20690,7253
5272,20710,7297
5520,20787,7298
5786,20983,7297
5941,21130,7286
6043,21255,7297
6161,21264,7290
6300,21255,7297
6375,21204,7291
6429,21255,7297
6494,21291,7283
6557,21255,7297
6523,21002,7322
6429,20710,7370
6337,20402,7377
6300,20165,7370
6252,19932,7348
6172,19893,7370
6040,19993,7402
5914,20165,7443
5815,20181,7444
5786,20165,7443
5779,20126,7430
5786,20165,7443
5808,20218,7440
5914,20438,7443
6027,20663,7430
6043,20710,7443
5910,20350,7444
5786,19893,7443
5751,19592,7401
5786,19620,7370
5776,19732,7348
5786,19893,7370
5873,20007,7377
6043,20165,7370
6152,20268,7323
6172,20438,7297
6138,20647,7281
6172,20983,7297
6271,21279,7294
6429,21528,7297
6572,21581,7285
6686,21528,7297
6714,21358,7293
6686,21255,7297
6640,21193,7285
6686,21255,7297
6808,21334,7295
6943,21528,7297
6979,21768,7278
6943,22073,7297
6915,22193,7327
6943,22073,7370
6974,21735,7367
6943,21528,7370
6856,21553,7382
6814,21800,7443
6851,21986,7483
6943,22073,7516
6980,21907,7526
6943,21528,7589
6816,20990,7679
6686,20710,7808
6649,20812,7912
6814,21255,8027
7027,21703,8126
6943,22073,8246
6152,22076,8343
4500,21528,8465
2025,20308,8589
-900,18803,8757
-3573,17211,8923
-5014,15805,9121
-4626,14979,9302
-2571,15533,9486
238,17416,9627
2829,19620,9778
4565,20776,9913
5400,20710,10070
5620,20046,10204
5657,19620,10362
5706,19587,10504
5786,19893,10654
5831,20136,10760
5914,20165,10873
6044,20025,10971
6172,20165,11092
6194,20512,11171
6172,20710,11238
6155,20451,11264
6172,20165,11311
6171,20094,11339
6172,20165,11384
6181,20095,11405
6172,20165,11456
6147,20513,11491
6172,20983,11529
6248,21174,11522
6300,21255,11529
6249,21371,11522
6172,21528,11529
6111,21430,11491
6043,21255,11456
5909,21174,11404
5786,21255,11384
5708,21187,11339
5657,20983,11311
5574,20733,11261
5529,20710,11238
5533,20887,11192
5529,21255,11165
5417,21504,11116
5272,21528,11092
5145,21322,11046
5014,21255,11019
4746,21355,10969
4372,21528,10946
3990,21533,10903
3729,21528,10873
3564,21464,10798
3472,21255,10727
3387,20713,10635
3343,20165,10581
3354,19852,10507
3472,19893,10435
3611,20006,10336
3729,20165,10289
3846,20285,10250
4114,20438,10216
4505,20525,10128
4886,20710,10070
5142,20952,10025
5400,21255,9997
5719,21418,9915
6043,21528,9851
6251,21532,9800
6429,21528,9778
6629,21461,9703
6814,21528,9632
6883,21659,9570
6943,21800,9559
7097,21708,9522
7329,21528,9486
7460,21390,9433
7457,21528,9413
7378,21784,9372
7329,22073,9340
7307,22217,9288
7329,22345,9267
7370,22437,9230
7457,22618,9194
7568,22825,9114
7714,23163,9048
7817,23473,8988
7843,23708,8975
7776,23722,8942
7714,23708,8902
7657,23689,8840
7586,23708,8830
7445,23513,8829
7329,23163,8830
7286,22764,8780
7329,22618,8757
7345,22603,8748
7329,22618,8757
7296,22534,8713
7329,22618,8684
7393,22860,8668
7457,23163,8684
7431,23225,8652
7329,23163,8611
7174,23015,8558
7072,22890,8538
7033,22688,8497
7072,22618,8465
7124,22693,8416
7200,22890,8392
7266,22861,8349
7329,22618,8319
7309,22250,8271
7200,22073,8246
7000,22023,8200
6814,22073,8173
6657,22048,8146
6557,22073,8173
6504,22072,8185
6557,22073,8173
6643,21934,8109
6686,21800,8100
6649,21634,8128
6686,21528,8173
6817,21423,8158
6943,21528,8173
