II,V,ABP,RESP
7713,2103,2746,3149
8936,2318,3109,3582
8086,1983,2746,3179
7575,1815,2556,2963
8086,1922,2746,3179
8495,1923,2857,3309
8335,1742,2746,3179
8190,1642,2674,3090
8335,1682,2746,3179
8377,1672,2783,3245
8210,1562,2746,3209
8090,1471,2753,3178
8086,1442,2850,3209
7999,1397,2939,3225
7837,1322,3005,3209
7740,1253,3087,3197
7713,1202,3212,3209
7593,1155,3354,3212
7339,1141,3523,3209
7046,1155,3706,3205
6842,1141,3886,3209
6711,1075,4037,3206
6593,1021,4197,3209
6436,1012,4356,3203
6344,1021,4508,3209
6302,1010,4616,3209
6220,1021,4715,3209
6018,1074,4813,3199
5847,1141,4922,3209
5802,1187,5004,3224
5847,1262,5078,3239
5815,1379,5145,3224
5722,1502,5233,3209
5633,1582,5312,3200
5598,1682,5389,3209
5545,1847,5455,3208
5474,2043,5544,3209
5361,2182,5628,3204
5225,2283,5700,3209
5064,2407,5742,3205
4976,2583,5803,3209
4964,2735,5877,3208
4976,2824,5959,3209
4890,2883,6008,3192
4727,3004,6062,3179
4526,3185,6114,3169
4354,3364,6166,3179
4199,3472,6185,3182
4105,3545,6218,3179
4072,3625,6265,3159
4105,3725,6321,3149
4123,3798,6331,3144
4105,3845,6321,3149
4034,3875,6294,3137
3981,3905,6270,3119
3983,3911,6216,3095
4105,3905,6166,3089
4318,3896,6112,3079
4603,3905,6062,3059
4875,3910,5984,3021
5100,3905,5907,2999
5209,3873,5826,2986
5225,3845,5751,2969
5191,3844,5648,2922
5225,3905,5544,2879
5331,3983,5434,2846
5474,4025,5337,2819
5556,3982,5212,2763
5598,3905,5078,2699
5636,3844,4933,2642
5722,3845,4819,2609
5800,3872,4710,2569
5847,3905,4611,2519
5874,3909,4498,2455
5971,3905,4404,2399
6107,3894,4331,2348
6220,3905,4301,2309
6266,3909,4272,2265
6344,3905,4249,2219
6471,3884,4214,2158
6593,3905,4197,2099
6615,3977,4174,2045
6593,4085,4145,2009
6547,4147,4088,1969
6469,4145,4042,1919
6313,4093,4006,1852
6220,4085,3990,1799
6261,4119,3946,1762
6344,4145,3886,1739
6303,4141,3818,1707
6220,4205,3782,1679
6155,4292,3757,1648
6095,4265,3731,1619
6097,4141,3676,1589
6344,4145,3627,1589
6562,4210,3589,1605
6344,4085,3575,1619
5987,3899,3551,1610
6220,4085,3523,1619
6597,4375,3487,1656
6095,4085,3472,1709
5378,3560,3466,1745
6469,4145,3472,1799
8956,5859,3453,1879
9579,6789,3420,1979
6919,5681,3377,2061
4105,3905,3368,2159
4329,3372,3371,2282
6469,3965,3368,2429
7352,4255,3336,2551
6593,3905,3316,2669
6075,3652,3313,2792
6469,3785,3316,2939
6661,3840,3290,3075
6220,3665,3264,3209
5874,3544,3254,3335
6095,3605,3264,3478
6449,3640,3248,3622
6593,3605,3212,3778
6616,3601,3171,3935
6717,3665,3161,4108
6823,3687,3161,4272
6842,3665,3161,4438
6719,3643,3136,4603
6593,3665,3109,4798
6626,3679,3076,4988
6842,3665,3057,5158
6992,3614,3045,5295
6966,3605,3057,5458
6819,3624,3065,5628
6717,3605,3057,5757
6775,3513,3023,5781
6966,3484,3005,5757
6945,3504,3004,5739
6593,3424,3005,5757
6317,3281,2977,5761
6593,3364,2953,5757
6996,3548,2946,5747
6842,3424,2953,5757
6377,3174,2932,5756
6593,3484,2902,5757
7257,4021,2884,5750
6717,3665,2902,5757
4192,2605,2913,5753
1866,2523,2902,5757
2825,3609,2867,5751
6842,4025,2850,5757
9321,3273,2848,5752
6593,3545,2850,5757
1186,5679,2825,5751
-498,7029,2798,5757
3569,5469,2784,5751
8583,3124,2798,5757
9615,3044,2805,5751
7713,4746,2798,5757
6725,5623,2768,5751
7464,5227,2746,5757
7998,5061,2735,5751
7837,5647,2746,5757
8082,6100,2752,5751
8832,6128,2746,5757
9048,6260,2719,5751
8708,6669,2694,5757
8668,6966,2667,5751
9081,7089,2643,5757
9248,7276,2609,5751
8957,7570,2591,5757
8552,7791,2586,5751
8210,7930,2591,5757
7730,8046,2572,5751
7091,8110,2539,5757
6423,8022,2502,5751
5847,7810,2487,5757
5352,7513,2484,5751
4976,7149,2487,5757
4775,6681,2469,5751
4852,6128,2435,5757
5079,5523,2396,5751
5225,4926,2383,5757
5098,4333,2385,5751
4852,3785,2383,5757
4725,3334,2356,5751
4852,3064,2332,5757
5064,2923,2323,5751
5225,2824,2332,5757
5280,2702,2318,5751
5349,2643,2280,5757
5456,2678,2237,5751
5598,2764,2228,5757
5678,2786,2234,5751
5722,2764,2228,5757
5759,2724,2195,5751
5847,2703,2176,5757
5893,2681,2176,5751
5847,2703,2176,5757
5736,2746,2148,5751
5722,2764,2124,5757
5799,2705,2120,5751
5847,2643,2124,5757
5772,2609,2102,5751
5722,2583,2073,5757
5797,2533,2060,5751
5971,2523,2073,5757
6143,2565,2078,5751
6344,2583,2073,5757
6526,2506,2050,5751
6593,2403,2021,5757
6542,2352,1984,5751
6593,2343,1969,5757
6764,2315,1968,5751
6842,2283,1969,5757
6699,2245,1943,5751
6593,2163,1917,5757
6666,2039,1905,5751
6717,1983,1917,5757
6504,2020,1921,5751
6220,2043,1917,5757
6104,1961,1906,5751
6095,1862,1917,5757
5950,1828,1937,5751
5722,1802,1969,5757
5559,1694,1991,5751
5474,1562,2021,5757
5342,1486,2056,5751
5225,1442,2124,5757
5161,1356,2213,5751
5100,1262,2332,5757
4958,1200,2454,5751
4852,1141,2591,5757
4801,1024,2733,5751
4727,901,2902,5757
4588,841,3079,5751
4603,841,3264,5757
4806,826,3424,5751
4976,781,3575,5757
4886,718,3719,5751
4727,661,3886,5757
4718,608,4047,5751
4852,601,4197,5757
4929,647,4320,5751
4976,721,4456,5757
5071,762,4592,5751
5225,781,4715,5757
5340,830,4795,5751
5474,961,4871,5757
5653,1125,4947,5751
5847,1262,5026,5757
5963,1362,5074,5751
6095,1502,5130,5757
6318,1689,5197,5751
6593,1862,5285,5757
6704,1963,5358,5751
6593,2043,5441,5757
6391,2151,5520,5751
6344,2283,5596,5757
6453,2398,5640,5751
6593,2523,5700,5757
6690,2675,5774,5751
6842,2824,5855,5757
6958,2905,5889,5751
6842,2944,5907,5757
6505,2988,5921,5751
6344,3064,5959,5757
6508,3131,5984,5751
6717,3184,6010,5757
6676,3236,6015,5751
6593,3304,6010,5757
6684,3352,5978,5751
6842,3364,5959,5757
6845,3349,5950,5751
6842,3364,5959,5757
6935,3418,5939,5751
6966,3484,5907,5757
6766,3504,5853,5751
6593,3484,5803,5757
6633,3462,5729,5751
6717,3484,5648,5757
6594,3521,5542,5751
6469,3545,5441,5757
6581,3538,5330,5751
6842,3545,5233,5757
6923,3553,5126,5751
6842,3545,5026,5757
6781,3502,4912,5751
6842,3484,4819,5757
6914,3507,4743,5751
6966,3545,4715,5757
6948,3529,4705,5751
6842,3484,4715,5757
6660,3456,4711,5751
6593,3484,4715,5757
6695,3521,4710,5751
6842,3545,4715,5757
6786,3539,4709,5751
6593,3545,4715,5757
6480,3549,4713,5751
6593,3545,4715,5757
6796,3524,4692,5751
6966,3545,4663,5757
7010,3589,4611,5751
6966,3605,4560,5757
6920,3562,4497,5751
6966,3545,4456,5757
6895,3554,4422,5751
6593,3545,4404,5757
6433,3527,4374,5751
6842,3605,4352,5757
7179,3668,4338,5751
6593,3545,4352,5757
5831,3377,4359,5751
6717,3605,4352,5757
8899,4189,4318,5751
9579,4506,4301,5757
7408,4157,4295,5751
4852,3605,4301,5757
4660,3438,4277,5751
6220,3605,4249,5757
7043,3642,4215,5751
6593,3484,4197,5757
6159,3366,4168,5751
6344,3364,4145,5757
6459,3322,4117,5751
6220,3244,4093,5757
6054,3235,4045,5751
6220,3304,3990,5757
6406,3342,3926,5751
6469,3364,3886,5757
6503,3416,3853,5751
6593,3484,3834,5757
6622,3495,3805,5751
6593,3484,3782,5757
6558,3497,3766,5751
6593,3545,3782,5757
6632,3578,3808,5751
6593,3605,3834,5757
6433,3612,3834,5751
6344,3605,3834,5757
6399,3552,3831,5751
6469,3484,3834,5757
6416,3438,3813,5751
6344,3484,3782,5757
6279,3539,3743,5751
6220,3484,3731,5757
6247,3387,3727,5751
6469,3484,3731,5757
6553,3628,3709,5751
6220,3484,3679,5757
5869,3242,3642,5751
6220,3484,3627,5757
6824,3881,3621,5751
6220,3484,3627,5757
3899,2536,3624,5751
1866,2523,3627,5757
2695,3516,3623,5751
6095,3845,3627,5757
8215,3170,3623,5751
6095,3545,3627,5757
