II,III,PLETH
2668,-922,4507
3218,-1205,5085
3283,-1448,4467
3468,-1713,4149
3591,-1712,4467
3217,-1315,4656
2668,-922,4467
2555,-910,4341
2770,-1053,4467
2687,-887,4545
2155,-395,4467
1622,58,4412
1436,263,4467
1499,278,4499
1642,132,4467
1901,-210,4428
2360,-658,4426
2861,-994,4426
3078,-1053,4426
2857,-839,4424
2463,-527,4426
2314,-366,4420
2565,-527,4426
2941,-869,4422
3078,-1053,4426
2802,-814,4422
2257,-263,4426
1743,238,4419
1539,395,4426
1657,249,4427
1949,0,4426
2297,-253,4401
2668,-527,4385
2870,-688,4375
2668,-527,4385
2180,-135,4385
1949,0,4385
2308,-449,4366
2976,-1317,4345
3372,-2252,4313
3283,-3160,4304
2889,-4030,4302
2463,-4608,4304
2140,-4590,4280
2052,-4082,4264
2258,-3567,4255
2668,-3423,4264
3004,-3562,4248
3078,-3555,4223
2891,-3040,4191
2565,-2107,4182
2136,-1362,4177
1642,-1448,4182
1292,-2406,4178
1436,-3555,4182
2105,-4080,4179
2873,-3687,4182
3217,-2691,4176
3078,-1580,4182
2806,-645,4180
2770,0,4182
3040,240,4173
3489,0,4182
3867,-487,4198
4002,-790,4223
3867,-660,4225
3591,-263,4223
3224,154,4215
2770,527,4223
2349,841,4222
2257,922,4223
2586,665,4214
3078,263,4223
3350,47,4237
3283,132,4264
2994,393,4269
2668,658,4264
2461,800,4238
2565,658,4223
3039,160,4213
3694,-527,4223
4101,-994,4224
4002,-922,4223
3523,-411,4202
3078,132,4182
2874,437,4156
2873,527,4142
2997,437,4119
3283,132,4101
3561,-200,4075
3489,-132,4061
2975,408,4038
2463,922,4020
2375,957,3991
2668,658,3979
3002,373,3973
3283,132,3979
3566,-150,3964
3796,-263,3939
3835,-7,3905
3796,395,3898
3923,506,3898
4309,263,3898
4703,-8,3874
4822,0,3858
4534,348,3848
4002,922,3858
3500,1464,3855
3283,1712,3858
3354,1598,3854
3591,1317,3858
3854,1036,3851
4104,790,3858
4228,644,3859
4104,790,3858
3735,1239,3832
3386,1712,3817
3330,1942,3810
3694,1975,3817
4405,1946,3812
5335,1843,3817
6224,1660,3819
6772,1580,3817
6824,1767,3790
6567,2107,3776
6290,2373,3773
6156,2502,3776
6082,2570,3754
5951,2633,3736
5664,2757,3727
5233,3028,3736
4800,3349,3731
4617,3423,3736
4777,3105,3738
5130,2633,3736
5371,2342,3709
5335,2238,3695
5012,2043,3693
4515,1580,3695
3968,956,3670
3489,395,3655
3085,-26,3651
2770,-395,3655
2622,-799,3631
2770,-1185,3614
3049,-1400,3608
3078,-1317,3614
2594,-932,3593
1847,-395,3573
1322,0,3564
1334,0,3573
1752,-370,3559
2257,-790,3533
2562,-983,3501
2565,-922,3492
2276,-710,3487
1847,-395,3492
1498,-84,3489
1436,0,3492
1633,-277,3476
1949,-790,3451
2317,-1346,3417
2770,-1843,3411
3129,-2155,3412
3078,-2107,3411
2599,-1747,3383
2155,-1448,3370
2101,-1456,3367
2257,-1580,3370
2169,-1459,3345
1744,-1053,3330
1271,-625,3334
1026,-395,3370
1033,-380,3390
1231,-527,3411
1566,-781,3433
1949,-1053,3492
2184,-1206,3561
2155,-1185,3655
1990,-1086,3757
1949,-1053,3898
2064,-1109,4051
2155,-1185,4223
2153,-1270,4392
2257,-1448,4588
2497,-1671,4788
2565,-1712,4995
2201,-1403,5185
1642,-922,5401
1305,-617,5624
1334,-658,5847
1568,-894,6031
1847,-1053,6213
2004,-967,6383
1847,-658,6538
1371,-307,6640
923,-132,6741
866,-225,6853
1231,-527,6984
1766,-923,7078
2257,-1317,7147
2582,-1577,7188
2668,-1580,7228
2522,-1365,7234
2360,-1185,7228
2402,-1235,7202
2668,-1448,7187
2911,-1575,7153
2873,-1448,7106
2461,-1056,7024
1847,-527,6944
1349,-97,6854
1231,0,6781
1472,-224,6695
1847,-527,6619
2137,-716,6530
2257,-790,6456
2128,-713,6369
