II,V,ABP,RESP
2990,372,3090,-1434
3424,400,3475,-1636
3069,323,3047,-1434
2871,271,2833,-1290
3069,273,3047,-1344
3208,260,3157,-1392
3147,223,3004,-1344
3130,206,2898,-1311
3226,223,2961,-1344
3255,239,2985,-1365
3226,248,2918,-1344
3274,273,2885,-1331
3383,323,2918,-1344
3414,374,2912,-1351
3383,422,2875,-1344
3394,480,2873,-1340
3462,571,2918,-1344
3512,681,2946,-1345
3541,794,2961,-1344
3574,900,2986,-1343
3619,1018,3047,-1344
3654,1152,3132,-1343
3698,1291,3261,-1344
3742,1416,3407,-1343
3777,1539,3562,-1344
3776,1659,3701,-1343
3777,1762,3862,-1344
3781,1838,4031,-1343
3777,1911,4205,-1344
3733,1983,4352,-1343
3698,2035,4506,-1344
3690,2050,4659,-1343
3698,2060,4806,-1344
3668,2079,4913,-1343
3619,2085,5021,-1344
3568,2051,5140,-1343
3541,2010,5278,-1344
3524,1991,5390,-1343
3541,1985,5493,-1344
3556,1963,5591,-1343
3541,1936,5707,-1344
3484,1919,5803,-1342
3462,1911,5879,-1344
3471,1888,5921,-1344
3462,1861,5965,-1344
3404,1843,6003,-1341
3383,1837,6051,-1344
3403,1824,6077,-1345
3383,1812,6094,-1344
3282,1798,6089,-1339
3226,1787,6094,-1344
3266,1769,6092,-1349
3305,1762,6094,-1344
3231,1761,6072,-1331
3147,1762,6051,-1344
3159,1748,6021,-1388
3226,1737,6008,-1434
3213,1734,5986,-1444
3147,1737,5965,-1434
3116,1726,5920,-1427
3147,1712,5879,-1434
3160,1705,5829,-1436
3147,1712,5793,-1434
3134,1709,5748,-1432
3147,1688,5707,-1434
3150,1660,5644,-1432
3147,1663,5579,-1434
3140,1682,5504,-1436
3147,1688,5450,-1434
3147,1667,5389,-1427
3147,1663,5321,-1434
3141,1681,5227,-1444
3147,1688,5149,-1434
3163,1662,5080,-1388
3147,1638,5021,-1344
3102,1639,4935,-1331
3147,1663,4849,-1344
3224,1664,4759,-1350
3147,1638,4677,-1344
3004,1630,4570,-1338
3147,1688,4463,-1344
3374,1719,4362,-1347
3147,1638,4291,-1344
2757,1557,4211,-1339
3069,1663,4120,-1344
3622,1786,4003,-1348
3147,1638,3905,-1344
2287,1431,3826,-1336
3069,1663,3776,-1344
4566,2042,3715,-1355
3069,1638,3648,-1344
-1676,432,3569,-1298
-4406,-223,3519,-1255
-1616,520,3487,-1242
3147,1737,3476,-1255
4613,2095,3453,-1260
3069,1688,3433,-1255
2267,1479,3406,-1250
3147,1712,3390,-1255
3667,1852,3365,-1256
3147,1712,3347,-1255
2822,1610,3334,-1252
3147,1688,3347,-1255
3307,1732,3354,-1254
3069,1663,3347,-1255
2946,1608,3315,-1253
3069,1638,3304,-1255
3082,1669,3317,-1254
2990,1663,3347,-1255
3022,1643,3352,-1253
3147,1638,3347,-1255
3130,1635,3339,-1254
2990,1638,3347,-1255
