III,V,PLETH
706,7166,4489
-14,7325,5041
-942,5061,4392
-1059,3170,4035
-118,2559,4294
1334,2212,4414
2825,1820,4164
4189,2081,3994
5296,3128,4066
5938,4214,4075
6120,4948,3936
6036,5512,3848
5885,6028,3871
5737,6330,3855
5649,6426,3774
5629,6469,3715
5649,6540,3709
5652,6579,3688
5649,6597,3643
5646,6615,3599
5649,6654,3578
5643,6680,3561
5649,6711,3546
5652,6707,3510
5649,6711,3481
5637,6722,3456
5649,6767,3448
5662,6803,3431
5649,6824,3416
5581,6815,3394
5532,6824,3383
5516,6842,3364
5532,6881,3351
5521,6902,3330
5532,6938,3318
5575,6961,3299
5649,6995,3286
5672,7008,3266
5649,7052,3253
5584,7101,3234
5532,7166,3221
5498,7191,3201
5532,7222,3188
5593,7258,3169
5649,7336,3155
5650,7411,3136
5649,7507,3123
5647,7605,3104
5649,7734,3090
5628,7849,3070
5649,7962,3058
5706,8058,3040
5767,8189,3025
5766,8329,3004
5767,8474,2993
5806,8568,2977
5885,8644,2960
5909,8697,2935
5885,8758,2928
5850,8776,2928
5885,8758,2928
5950,8682,2907
6002,8587,2895
5971,8439,2892
5885,8246,2895
5757,7989,2878
5649,7734,2863
5562,7488,2856
5532,7279,2863
5526,7068,2851
5532,6881,2830
5488,6697,2804
5414,6540,2798
5328,6380,2795
5296,6256,2798
5290,6151,2785
5296,6085,2765
5284,6000,2739
5296,5914,2733
5307,5827,2733
5296,5801,2733
5229,5796,2712
5178,5801,2700
5161,5765,2696
5178,5744,2700
5173,5731,2684
5178,5744,2668
5183,5736,2657
5178,5744,2668
5118,5745,2672
5061,5744,2668
5037,5704,2648
5061,5687,2635
5065,5699,2627
5061,5744,2635
5049,5751,2637
5061,5744,2635
5060,5728,2616
5061,5744,2602
5051,5746,2594
5061,5744,2602
5061,5727,2605
5061,5744,2602
5049,5768,2584
5061,5801,2570
5066,5799,2561
5061,5801,2570
5037,5810,2574
5061,5858,2570
5119,5893,2549
5178,5914,2537
5181,5903,2533
5178,5914,2537
5180,5936,2533
5178,5971,2537
5120,5974,2539
5061,5971,2537
5036,5960,2516
5061,5971,2505
5067,5970,2502
5061,5971,2505
5047,5959,2486
5061,5971,2472
5065,5989,2474
5061,6028,2505
5013,6039,2526
4943,6028,2537
4860,5986,2539
4825,5971,2570
4820,5967,2624
4825,5971,2700
4812,5939,2764
4825,5914,2830
4841,5899,2898
4825,5914,2993
4749,5913,3099
4708,5914,3221
4742,5905,3325
4825,5914,3416
4850,5910,3487
4825,5914,3578
4798,5907,3685
4825,5914,3806
4846,5909,3906
4825,5914,4001
4754,5908,4091
4708,5914,4196
4695,5909,4294
4708,5914,4392
4703,5908,4473
4708,5914,4554
4709,5909,4619
4708,5914,4684
4687,5907,4742
4708,5914,4815
4766,5924,4880
4825,5971,4945
4825,6038,4990
4825,6142,5042
4894,6245,5089
5061,6369,5140
5222,6501,5171
5296,6654,5205
5227,6744,5232
5061,6711,5270
4825,6497,5297
4590,6199,5335
4412,5913,5365
4355,5744,5400
4332,5659,5414
4237,5630,5433
4041,5595,5443
3884,5573,5465
3811,5540,5476
3766,5516,5498
3707,5491,5511
3766,5516,5530
3988,5567,5528
4237,5630,5530
4342,5640,5523
4355,5630,5530
4397,5615,5526
4472,5630,5530
4489,5651,5525
4472,5687,5530
4494,5717,5516
4590,5744,5498
4670,5740,5467
4708,5744,5465
4705,5755,5482
4708,5801,5530
4648,5847,5575
4472,5914,5628
4156,5989,5654
3766,6142,5660
3264,6429,5627
2589,6881,5595
1738,7263,5560
824,7222,5530
-165,6468,5469
-1177,5118,5400
-1818,3558,5324
-1412,2275,5270
166,1542,5206
2236,1479,5140
3909,1988,5053
4943,2900,4977
5545,3922,4902
5885,4834,4847
5919,5486,4782
5767,5914,4717
5639,6163,4641
5649,6313,4587
5676,6375,4535
5649,6426,4489
5574,6474,4421
5532,6540,4359
5519,6572,4301
5532,6597,4262
5533,6611,4211
5532,6654,4164
5526,6684,4107
5532,6711,4066
5532,6710,4025
5532,6711,4001
5525,6702,3970
5532,6711,3936
5527,6724,3883
5532,6767,3839
5525,6800,3798
5532,6824,3774
5526,6813,3739
5532,6824,3709
5526,6842,3671
5532,6881,3643
5526,6898,3606
5532,6938,3578
5526,6984,3553
5532,7052,3546
5526,7096,3532
5532,7166,3513
5526,7241,3476
5532,7336,3448
5529,7409,3425
5532,7507,3416
5490,7612,3398
5414,7734,3383
5320,7849,3362
5296,8019,3351
5342,8203,3332
5414,8360,3318
5398,8439,3298
5296,8530,3286
5150,8647,3266
5061,8758,3253
5032,8789,3233
5061,8815,3221
5104,8855,3201
5178,8872,3188
5250,8749,3168
5296,8530,3155
5260,8283,3136
5178,8075,3123
5091,7854,3103
5061,7620,3090
5056,7357,3071
5061,7109,3058
5046,6860,3038
5061,6654,3025
5106,6465,3006
5178,6313,2993
5208,6155,2973
5178,6028,2960
5106,5902,2941
5061,5801,2928
5049,5694,2908
5061,5630,2895
5048,5582,2876
