II,V,ABP
396,3445,2931
281,3766,3320
-30,3093,2931
-320,2599,2730
-518,2514,2931
-691,2291,3041
-853,1810,2892
-971,1445,2783
-1067,1257,2852
-1195,978,2906
-1341,553,2852
-1462,118,2797
-1554,-352,2813
-1627,-929,2830
-1615,-1433,2813
-1454,-1633,2783
-1158,-1584,2773
-823,-1537,2773
-518,-1584,2773
-262,-1625,2756
-30,-1584,2733
193,-1544,2719
427,-1584,2733
645,-1658,2741
823,-1584,2733
951,-1291,2706
1067,-880,2694
1188,-519,2691
1310,-226,2694
1433,79,2675
1585,453,2654
1760,826,2641
1920,1131,2654
2049,1366,2661
2194,1584,2654
2364,1794,2627
2499,1961,2614
2547,2053,2612
2560,2087,2614
2603,2101,2595
2682,2112,2575
2741,2107,2564
2773,2087,2575
2783,2069,2580
2773,2062,2575
2735,2046,2552
2712,2011,2535
2729,1980,2526
2773,1986,2535
2789,2018,2539
2773,2037,2535
2738,2022,2512
2712,2011,2496
2696,2025,2487
2712,2037,2496
2743,2000,2497
2773,1936,2496
2782,1896,2489
2803,1911,2496
2836,1936,2499
2864,1936,2496
2854,1905,2473
2834,1886,2456
2823,1885,2448
2834,1886,2456
2836,1854,2456
2834,1810,2456
2828,1787,2452
2834,1810,2456
2841,1838,2454
2864,1835,2456
2893,1793,2452
2925,1760,2456
2932,1753,2453
2925,1760,2456
2924,1748,2453
2956,1735,2456
2986,1737,2452
2986,1760,2456
2954,1776,2453
2956,1785,2456
3001,1777,2449
3047,1760,2456
3033,1744,2466
2986,1760,2496
2944,1778,2525
2925,1760,2575
2897,1717,2636
2864,1735,2733
2829,1818,2852
2803,1886,3011
2780,1874,3190
2773,1861,3407
2760,1916,3634
2712,2011,3882
2606,2050,4130
2499,2037,4397
2440,2037,4658
2438,2087,4912
2427,2125,5135
2377,2112,5348
2292,2063,5535
2224,2037,5704
2192,2043,5832
2194,2062,5942
2180,2048,6016
2133,2011,6061
2060,1978,6061
2011,1986,6061
1990,2029,6061
1981,2087,6061
1951,2118,6024
1920,2112,5982
1896,2063,5946
1889,2011,5942
1874,1987,5927
1859,2011,5902
1849,2040,5856
1859,2037,5823
1855,1983,5793
1828,1936,5783
1793,1927,5762
1798,1961,5744
1832,1984,5714
1859,1986,5704
1852,1973,5686
1859,1986,5665
1898,2016,5617
1950,2062,5585
1977,2108,5560
2011,2187,5546
2068,2285,5505
2133,2389,5467
2160,2472,5434
2164,2565,5427
2154,2656,5398
2133,2741,5348
2090,2814,5274
2072,2942,5229
2098,3140,5192
2133,3394,5150
2113,3669,5067
2042,3998,4991
1971,4352,4925
1950,4651,4872
1987,4797,4792
2072,4827,4714
2179,4822,4633
2285,4827,4555
2378,4827,4452
2468,4827,4357
2530,4832,4272
2529,4827,4199
2451,4813,4098
2346,4827,4001
2236,4850,3911
2103,4827,3842
1918,4789,3760
1706,4827,3684
1461,4886,3612
1158,4827,3565
810,4728,3518
518,4827,3486
339,5006,3456
244,4752,3446
178,3834,3438
183,2715,3446
298,1929,3458
488,1433,3486
666,851,3506
823,151,3526
985,-381,3525
1158,-603,3526
1283,-687,3519
1341,-779,3526
1354,-874,3526
1371,-905,3526
1392,-893,3505
1402,-880,3486
1388,-897,3461
1371,-930,3446
1357,-966,3424
1341,-981,3407
1318,-982,3383
1310,-981,3367
1318,-1004,3344
1310,-1056,3327
1267,-1123,3305
1219,-1157,3288
1187,-1144,3264
1158,-1131,3248
1118,-1171,3226
1097,-1257,3209
1100,-1335,3184
1097,-1383,3169
1071,-1413,3149
1067,-1458,3129
1092,-1512,3101
1097,-1559,3090
1040,-1579,3087
975,-1584,3090
951,-1582,3070
945,-1584,3050
905,-1584,3037
853,-1584,3050
836,-1582,3056
853,-1584,3050
852,-1583,3023
823,-1584,3011
795,-1582,3004
792,-1584,3011
788,-1583,3005
762,-1584,3011
721,-1582,3009
701,-1584,3011
693,-1583,2998
670,-1584,3011
619,-1583,3040
579,-1584,3090
563,-1582,3134
549,-1584,3209
510,-1584,3312
488,-1584,3446
514,-1581,3574
579,-1584,3724
648,-1586,3900
731,-1584,4120
828,-1579,4339
914,-1584,4555
969,-1591,4753
1036,-1584,4952
1146,-1572,5134
1280,-1584,5308
1384,-1603,5454
1463,-1559,5585
1529,-1419,5680
1585,-1232,5744
1614,-1055,5758
1646,-880,5744
1697,-695,5704
1767,-528,5665
1838,-396,5611
1920,-251,5546
1989,-58,5451
2011,151,5348
1984,329,5238
1981,503,5150
2034,717,5066
2103,955,4991
2127,1151,4896
2133,1282,4793
2158,1392,4682
2194,1534,4595
2200,1708,4514
2194,1886,4437
2201,2038,4335
2224,2162,4239
2221,2261,4147
2194,2338,4080
2175,2398,4003
2194,2464,3922
2219,2540,3829
2224,2615,3763
2211,2662,3703
2224,2690,3644
2260,2712,3561
2285,2741,3486
2269,2767,3417
2255,2791,3367
2266,2797,3304
2285,2791,3248
2265,2785,3196
2224,2816,3169
2202,2857,3142
2224,2866,3129
2258,2830,3119
2285,2816,3129
2291,2842,3142
2285,2866,3169
2274,2833,3199
2285,2791,3248
2307,2785,3290
2316,2816,3327
2288,2825,3344
2255,2816,3367
2231,2800,3386
2224,2791,3407
2226,2778,3407
2255,2791,3407
2294,2820,3404
2316,2841,3407
2299,2824,3391
2285,2816,3367
2287,2829,3327
2285,2841,3288
2251,2814,3241
2224,2791,3209
2230,2794,3182
2255,2816,3169
2248,2809,3148
2224,2791,3129
2210,2767,3105
2224,2741,3090
2241,2707,3068
2255,2715,3050
2249,2761,3027
2224,2791,3011
2183,2749,2988
2164,2690,2971
2163,2669,2947
2164,2690,2931
2141,2699,2910
2133,2690,2892
2155,2667,2866
2194,2640,2852
2203,2601,2833
2194,2590,2813
2185,2609,2783
2194,2640,2773
2198,2636,2773
2194,2615,2773
2168,2587,2750
2133,2565,2733
2100,2531,2728
2103,2514,2733
2123,2521,2716
2133,2539,2694
2113,2518,2680
2103,2464,2694
2116,2413,2701
2133,2414,2694
2111,2444,2667
2072,2464,2654
2044,2442,2650
2042,2414,2654
2032,2402,2650
2011,2414,2654
1995,2411,2656
2011,2389,2654
2035,2355,2631
2042,2338,2614
2021,2317,2608
2011,2288,2614
2014,2257,2611
2011,2263,2614
1979,2286,2617
1950,2288,2614
1933,2253,2590
1950,2213,2575
1972,2200,2572
1950,2263,2575
1916,2308,2554
1981,2213,2535
2056,2076,2527
1950,2162,2535
1799,2327,2533
1950,2187,2535
2178,1928,2536
1950,2137,2535
1585,2499,2513
1920,2162,2496
2479,1593,2488
1950,2162,2496
969,3161,2494
1920,2137,2496
4728,-716,2496
5851,-1584,2496
3337,1391,2475
122,4827,2456
-210,4890,2446
1615,2640,2456
2523,1535,2458
1889,2162,2456
1416,2560,2449
1737,2137,2456
1902,2042,2460
1524,2640,2456
1212,3081,2434
1219,3042,2416
1159,3055,2408
884,3369,2416
615,3660,2418
427,3721,2416
205,3662,2410
-30,3570,2416
-200,3404,2420
-335,3143,2416
-515,2822,2393
-701,2489,2377
-847,2193,2370
-945,1936,2377
-1032,1663,2376
-1127,1358,2377
