III,MCL,ABP
2923,3881,2095
3492,4597,2370
3340,4366,2095
3257,4263,1955
3393,4457,2095
3320,4345,2161
3001,3881,2054
2794,3580,1990
2871,3669,2054
3072,3901,2093
3340,4184,2054
3730,4631,2026
4228,5246,2054
4727,5841,2071
5220,6337,2054
5673,6715,2026
5976,6944,2012
6039,6985,2006
5976,6944,2012
5940,6921,2020
5976,6944,2012
5996,6949,1985
5976,6944,1971
5949,6930,1969
5976,6944,1971
6005,6949,1950
5976,6944,1930
5854,6887,1918
5715,6792,1930
5610,6659,1932
5559,6549,1930
5514,6470,1920
5480,6428,1930
5454,6378,1944
5454,6337,1971
5450,6301,1996
5454,6307,2054
5440,6306,2147
5402,6276,2300
5289,6151,2486
5115,5943,2711
4881,5654,2967
4645,5367,3286
4441,5118,3643
4332,4973,4025
4296,4904,4394
4306,4912,4764
4317,4951,5122
4358,5033,5462
4398,5106,5739
4410,5155,5955
4367,5152,6113
4358,5185,6243
4436,5302,6315
4593,5518,6325
4707,5694,6268
4724,5731,6202
4626,5587,6137
4489,5397,6078
4353,5248,5995
4280,5185,5914
4239,5122,5840
4202,5033,5791
4116,4911,5741
4019,4821,5709
3937,4763,5682
3915,4760,5668
3952,4813,5629
4071,4973,5586
4237,5198,5533
4410,5427,5503
4531,5573,5464
4619,5670,5421
4702,5771,5353
4828,5943,5298
4981,6154,5246
5141,6367,5216
5234,6484,5173
5220,6458,5134
5065,6268,5083
4828,6004,5052
4569,5735,5022
4358,5518,5011
4194,5332,4987
4071,5185,4969
3957,5061,4941
3862,4973,4928
3774,4897,4907
3706,4851,4887
3642,4814,4845
3601,4791,4805
3563,4749,4760
3523,4700,4723
3450,4613,4667
3367,4488,4600
3268,4275,4513
3184,4002,4436
3091,3678,4372
3001,3366,4353
2869,3056,4363
2714,2790,4395
2569,2584,4405
2558,2547,4395
2729,2706,4344
3080,3062,4271
3490,3490,4160
3862,3881,4025
4072,4094,3841
4071,4093,3614
3879,3911,3324
3680,3760,2998
3673,3859,2642
3993,4366,2300
4555,5174,1979
5167,6034,1725
5606,6653,1548
5794,6944,1479
5782,6980,1486
5715,6944,1561
5677,6927,1664
5689,6944,1807
5720,6948,1965
5768,6944,2136
5801,6937,2296
5794,6944,2464
5720,6926,2628
5611,6853,2793
5470,6680,2946
5298,6428,3121
5075,6134,3319
