II,aVR,ABP
-122,3772,6594
-99,4385,7432
-81,4057,6514
-146,3984,6041
-244,4457,6514
-284,4866,6805
-244,4972,6514
-172,5076,6288
-81,5314,6435
34,5471,6544
162,5486,6435
279,5495,6330
406,5543,6355
571,5507,6373
772,5372,6355
975,5228,6351
1178,5143,6355
1383,5071,6312
1584,4972,6276
1749,4845,6274
1869,4743,6276
1943,4676,6230
1990,4629,6196
2025,4559,6182
2072,4514,6196
2132,4505,6189
2194,4514,6196
2228,4486,6201
2234,4457,6196
2228,4445,6146
2234,4457,6117
2251,4436,6111
2275,4400,6117
2293,4358,6073
2315,4343,6037
2337,4332,6025
2356,4343,6037
2357,4347,6003
2356,4343,5958
2364,4307,5931
2397,4286,5958
2426,4279,5971
2437,4286,5958
2429,4260,5907
2437,4229,5879
2460,4209,5865
2478,4229,5879
2461,4240,5875
2437,4229,5879
2427,4188,5870
2437,4172,5879
2440,4171,5871
2437,4172,5879
2432,4139,5872
2437,4114,5879
2437,4107,5867
2437,4114,5879
2435,4091,5876
2437,4057,5879
2424,4020,5859
2397,4000,5879
2363,3969,5911
2356,3943,5958
2362,3911,5976
2356,3886,6037
2316,3848,6151
2275,3829,6355
2248,3820,6617
2234,3829,6991
2199,3825,7441
2153,3829,7944
2107,3827,8417
2072,3829,8897
2030,3818,9355
1990,3829,9771
1948,3851,10056
1909,3886,10248
1863,3906,10350
1828,3943,10407
1802,3993,10381
1787,4057,10327
1775,4093,10243
1787,4114,10168
1823,4116,10072
1869,4114,10009
1894,4085,9979
1909,4057,10009
1921,4041,10040
1950,4057,10089
1986,4063,10144
1990,4114,10248
1951,4188,10340
1990,4172,10407
2055,4100,10407
1950,4229,10407
1777,4405,10381
1909,4229,10327
2133,3948,10180
1869,4286,10009
1471,4786,9831
1869,4343,9692
2461,3608,9530
1787,4343,9374
736,5550,9200
1787,4400,9056
3946,2023,8913
3006,3372,8818
-1152,8640,8731
-2600,10915,8659
1866,6136,8541
7109,-57,8421
7018,-575,8287
3128,3257,8182
979,5369,8056
1706,4457,7944
2264,3790,7833
1503,4629,7785
1035,5140,7765
1503,4629,7785
1798,4295,7782
1503,4629,7785
1317,4829,7771
1503,4629,7785
1610,4502,7785
1503,4629,7785
1440,4696,7744
1503,4629,7706
1537,4571,7654
1544,4572,7626
1570,4545,7582
