I,II,PLETH
335,3551,2276
383,4151,2575
335,3847,2276
299,3712,2124
307,3995,2276
308,4145,2353
279,3995,2243
252,3893,2178
251,3995,2243
257,4066,2271
251,3995,2209
235,3895,2161
223,3847,2176
220,3783,2187
223,3699,2176
225,3656,2168
223,3699,2176
221,3780,2177
223,3847,2176
225,3858,2175
223,3847,2176
221,3878,2170
223,3995,2176
226,4107,2178
223,4143,2176
218,4113,2155
223,4143,2142
239,4234,2137
251,4291,2142
251,4228,2129
251,4143,2109
263,4117,2082
279,4143,2075
283,4141,2079
279,4143,2109
277,4154,2148
279,4143,2209
279,4060,2278
279,3995,2377
279,3987,2485
279,3995,2611
276,3927,2741
279,3847,2912
292,3819,3115
307,3847,3347
311,3849,3574
307,3847,3816
304,3885,4062
307,3995,4318
308,4133,4553
307,4291,4787
313,4442,5009
335,4587,5222
365,4719,5387
391,4883,5523
405,5054,5628
419,5179,5724
441,5201,5795
474,5179,5858
515,5166,5897
558,5179,5925
588,5143,5925
586,5031,5925
542,4831,5910
474,4587,5891
411,4298,5851
363,3995,5824
320,3676,5803
279,3403,5791
242,3193,5756
223,3107,5724
219,3094,5686
223,3107,5657
224,3058,5604
223,2959,5556
223,2854,5511
223,2811,5490
215,2809,5456
195,2811,5423
176,2788,5377
167,2811,5356
160,2950,5335
140,3255,5322
129,3694,5286
195,4291,5255
387,5134,5225
698,6362,5222
1070,7915,5209
1423,9469,5188
1648,10487,5144
1646,10505,5121
1399,9332,5104
1005,7250,5088
589,4926,5038
223,3107,4987
-80,2110,4934
-307,1776,4887
-437,1769,4818
-474,1923,4753
-450,2121,4685
-391,2219,4619
-313,2150,4521
-223,2071,4418
-127,2114,4311
-28,2219,4218
58,2240,4111
112,2219,4017
131,2259,3926
140,2367,3849
153,2407,3761
167,2367,3682
169,2318,3606
167,2367,3548
175,2453,3489
195,2515,3448
214,2517,3409
223,2515,3381
224,2521,3341
223,2515,3314
223,2491,3291
223,2515,3280
223,2593,3258
223,2663,3247
224,2664,3240
223,2663,3247
221,2721,3235
223,2811,3213
233,2839,3185
251,2811,3180
268,2785,3180
279,2811,3180
281,2872,3160
279,2959,3146
276,3045,3130
279,3107,3113
289,3117,3076
307,3107,3046
325,3099,3025
335,3107,3013
335,3106,2980
335,3107,2946
344,3104,2918
363,3107,2912
381,3102,2900
391,3107,2879
392,3112,2841
391,3107,2812
390,3051,2787
391,2959,2778
391,2859,2764
391,2811,2745
390,2802,2709
391,2811,2678
391,2805,2653
391,2811,2644
389,2816,2631
391,2811,2611
393,2790,2574
391,2811,2544
378,2877,2519
363,2959,2510
357,3017,2496
363,3107,2477
368,3246,2442
363,3403,2410
347,3497,2382
335,3551,2377
333,3607,2377
335,3699,2377
326,3780,2359
307,3847,2343
287,3906,2325
279,3995,2310
280,4082,2286
279,4143,2276
268,4151,2275
251,4143,2276
234,4134,2258
223,4143,2243
219,4142,2236
223,4143,2243
227,4138,2241
223,4143,2243
209,4139,2243
195,4143,2243
191,4140,2224
195,4143,2209
198,4136,2201
195,4143,2209
193,4145,2209
195,4143,2209
198,4125,2205
195,4143,2209
191,4203,2196
195,4291,2176
209,4324,2146
223,4291,2142
227,4205,2152
223,4143,2176
221,4120,2187
223,4143,2209
224,4152,2242
223,4143,2310
222,4123,2393
223,4143,2510
224,4162,2645
223,4143,2812
222,4060,2993
223,3995,3213
224,3973,3454
223,3995,3715
221,4032,3965
223,4143,4218
234,4343,4456
251,4587,4686
266,4760,4879
279,4883,5054
299,5048,5216
335,5327,5389
372,5577,5548
391,5622,5690
388,5420,5796
391,5179,5891
421,5093,5965
474,5179,6025
518,5247,6048
530,5179,6059
503,4975,6055
446,4735,6059
374,4459,6044
307,4143,6025
255,3798,5988
223,3551,5958
203,3429,5919
195,3403,5891
194,3344,5853
195,3255,5824
194,3158,5784
195,3107,5757
199,3090,5720
195,3107,5690
182,3118,5647
167,3107,5623
156,3073,5600
140,3107,5590
112,3260,5557
84,3551,5523
81,3965,5479
140,4587,5456
298,5511,5432
586,6806,5423
976,8367,5402
1367,9913,5389
1621,10940,5367
1646,10949,5356
1444,9712,5326
1088,7546,5289
674,5153,5231
279,3255,5188
-48,2164,5140
-279,1776,5088
-415,1773,5002
-474,1923,4920
-474,2089,4844
-419,2219,4787
-325,2295,4709
-223,2367,4619
-135,2448,4512
-56,2515,4418
21,2524,4317
84,2515,4218
120,2509,4107
140,2515,4017
155,2498,3929
167,2515,3849
168,2572,3758
167,2663,3682
168,2689,3610
167,2663,3548
163,2630,3472
167,2663,3414
183,2741,3370
195,2811,3347
195,2825,3311
195,2811,3280
208,2800,3253
223,2811,3247
227,2815,3231
223,2811,3213
222,2798,3187
223,2811,3180
221,2861,3177
223,2959,3180
235,3055,3163
251,3107,3146
256,3104,3124
251,3107,3113
247,3117,3094
251,3107,3079
263,3076,3059
279,3107,3046
295,3198,3027
307,3255,3013
318,3195,2993
335,3107,2979
353,3079,2950
363,3107,2912
361,3113,2867
363,3107,2845
376,3106,2831
391,3107,2812
394,3090,2771
391,3107,2745
389,3138,2738
391,3107,2745
391,2959,2731
391,2811,2711
391,2766,2691
391,2811,2678
388,2825,2646
391,2811,2611
395,2839,2582
391,2959,2577
375,3074,2567
363,3107,2544
362,3074,2503
363,3107,2477
351,3239,2459
335,3403,2444
329,3494,2408
335,3551,2377
339,3655,2353
335,3847,2343
323,4034,2324
307,4143,2310
290,4151,2302
279,4143,2310
277,4179,2311
279,4291,2310
271,4401,2304
251,4439,2310
231,4373,2311
223,4291,2310
225,4257,2292
223,4291,2276
209,4315,2266
195,4291,2276
191,4211,2282
195,4143,2276
197,4116,2252
195,4143,2243
194,4159,2242
195,4143,2243
195,4111,2222
195,4143,2209
195,4221,2205
195,4291,2209
194,4292,2192
195,4291,2176
197,4340,2164
195,4439,2176
191,4481,2185
195,4439,2209
209,4344,2236
223,4291,2276
227,4279,2303
