II,III,PLETH
821,1200,4262
924,1354,4827
804,1184,4262
731,1090,3965
772,1168,4262
800,1217,4449
772,1168,4294
762,1139,4199
788,1184,4327
794,1219,4398
772,1200,4327
766,1171,4289
788,1168,4359
805,1172,4406
804,1168,4392
800,1158,4376
804,1152,4392
808,1144,4398
804,1135,4392
790,1120,4375
772,1103,4359
762,1089,4336
772,1087,4327
791,1086,4311
804,1087,4294
804,1085,4258
804,1087,4229
816,1086,4202
837,1087,4197
849,1085,4183
853,1087,4164
855,1086,4126
869,1087,4099
887,1084,4076
901,1087,4066
902,1088,4037
901,1087,4001
900,1072,3957
901,1054,3936
898,1044,3919
901,1054,3904
909,1073,3868
917,1087,3839
916,1086,3805
917,1087,3774
928,1097,3731
949,1119,3709
958,1137,3693
949,1152,3676
929,1161,3635
917,1168,3611
910,1172,3605
901,1184,3611
887,1200,3593
885,1216,3578
894,1233,3572
901,1265,3578
888,1293,3562
869,1281,3546
851,1222,3537
837,1168,3546
820,1154,3537
821,1168,3513
842,1171,3476
869,1168,3448
874,1173,3416
869,1184,3383
870,1179,3335
885,1168,3286
896,1162,3223
901,1168,3156
904,1168,3073
917,1168,2993
930,1167,2908
933,1168,2830
923,1160,2745
917,1152,2668
921,1148,2594
933,1152,2537
937,1152,2474
933,1152,2407
928,1150,2333
933,1152,2277
941,1151,2227
949,1152,2180
954,1151,2121
965,1152,2082
976,1145,2059
981,1135,2049
978,1123,2027
981,1119,2017
995,1123,2014
1014,1135,2017
1019,1145,2007
1014,1152,2017
1003,1150,2045
997,1152,2082
995,1152,2095
997,1152,2115
1003,1148,2153
1014,1152,2212
1022,1159,2259
1030,1168,2310
1031,1167,2367
1030,1168,2440
1026,1172,2501
1030,1184,2570
1037,1188,2644
1046,1184,2733
1047,1173,2810
1046,1168,2895
1044,1165,2985
1046,1168,3090
1045,1172,3186
1046,1184,3286
1044,1195,3379
1046,1200,3481
1045,1196,3572
1046,1200,3676
1045,1210,3783
1046,1216,3904
1045,1208,4014
1046,1200,4131
1045,1198,4241
1046,1200,4359
1044,1197,4467
1046,1200,4587
1051,1214,4699
1062,1233,4815
1067,1236,4918
1062,1233,5042
1044,1229,5171
1030,1233,5303
1024,1228,5402
1030,1216,5498
1031,1207,5589
1030,1216,5693
1027,1230,5769
1030,1233,5823
1027,1215,5850
1014,1200,5888
992,1196,5920
981,1200,5953
985,1198,5957
997,1200,5953
1009,1215,5933
1030,1249,5921
1064,1283,5898
1110,1314,5888
1147,1338,5869
1174,1362,5856
1192,1376,5821
1207,1379,5791
1215,1370,5751
1223,1362,5726
1234,1354,5689
1255,1346,5660
1271,1331,5622
1271,1314,5595
1245,1295,5558
1207,1281,5530
1164,1261,5491
1126,1233,5465
1089,1195,5428
1062,1168,5400
1047,1158,5360
1046,1168,5335
1041,1184,5301
1030,1200,5270
1007,1205,5217
981,1200,5172
958,1183,5128
949,1168,5107
952,1161,5076
965,1168,5042
975,1171,4987
981,1168,4945
981,1156,4903
981,1152,4880
980,1151,4844
981,1152,4815
980,1148,4775
981,1152,4750
980,1165,4714
981,1184,4685
981,1190,4645
981,1184,4619
974,1168,4585
965,1152,4554
954,1133,4512
949,1119,4489
943,1108,4469
933,1103,4457
911,1097,4421
885,1087,4392
859,1054,4364
853,989,4359
889,889,4352
997,779,4359
1171,687,4358
1368,649,4359
1510,681,4340
1545,795,4327
1455,957,4306
1287,1119,4294
1103,1229,4270
965,1281,4262
891,1286,4256
869,1265,4262
867,1225,4246
869,1184,4229
868,1147,4205
869,1119,4197
864,1096,4179
853,1087,4164
839,1085,4139
837,1087,4131
844,1083,4126
853,1087,4131
852,1101,4118
853,1119,4099
859,1124,4071
869,1119,4066
870,1109,4066
869,1103,4066
868,1093,4045
869,1087,4034
862,1082,4028
853,1087,4034
848,1093,4017
853,1103,4001
855,1106,3989
853,1103,4001
843,1092,4005
837,1087,4001
834,1090,3978
837,1103,3969
837,1112,3963
837,1119,3969
835,1120,3964
837,1119,3969
836,1115,3968
837,1119,3969
840,1132,3948
853,1152,3936
864,1163,3928
869,1168,3936
864,1166,3933
869,1168,3936
883,1169,3934
901,1168,3936
905,1159,3919
901,1152,3904
897,1148,3891
901,1152,3904
906,1152,3917
917,1152,3936
931,1149,3937
949,1152,3936
964,1152,3927
981,1152,3936
998,1147,3949
1014,1152,3969
1025,1164,3969
1046,1184,3969
1072,1200,3963
1094,1216,3969
1098,1226,3966
1094,1233,3969
1092,1235,3963
1094,1249,3969
1092,1267,3967
1094,1281,3969
1100,1280,3962
1110,1281,3969
1112,1289,3969
1110,1298,3969
1103,1291,3949
1094,1281,3936
1083,1278,3927
1078,1281,3936
1073,1275,3935
1062,1265,3936
1040,1254,3929
1030,1249,3936
1030,1245,3935
1030,1249,3936
1012,1256,3927
997,1265,3936
998,1269,3948
1014,1281,3969
1023,1299,3978
1030,1314,4001
1033,1305,4028
1030,1281,4066
1003,1252,4092
965,1233,4131
940,1224,4175
949,1233,4229
982,1248,4262
1030,1265,4294
1090,1273,4320
1174,1281,4359
1263,1290,4389
1319,1298,4424
1312,1292,4452
1255,1281,4489
1174,1274,4518
1094,1281,4554
1020,1296,4584
965,1314,4619
926,1320,4637
885,1314,4652
827,1294,4650
772,1281,4652
746,1277,4647
756,1281,4652
781,1281,4641
804,1281,4619
821,1280,4578
837,1281,4554
851,1278,4536
869,1281,4522
889,1288,4484
917,1298,4457
948,1302,4436
981,1314,4424
1007,1334,4389
1030,1362,4359
1047,1388,4334
1062,1411,4327
1066,1421,4306
1062,1411,4294
1047,1378,4285
1030,1346,4294
1016,1330,4291
1014,1330,4294
1016,1325,4289
1014,1314,4294
999,1293,4289
981,1265,4294
965,1228,4292
949,1200,4294
925,1185,4284
901,1184,4294
882,1187,4307
869,1200,4327
848,1214,4322
821,1216,4327
791,1195,4335
772,1168,4359
762,1146,4361
756,1135,4359
747,1123,4349
740,1119,4359
741,1128,4369
756,1152,4392
770,1172,4405
772,1184,4424
757,1185,4432
740,1184,4457
728,1182,4482
724,1184,4522
716,1185,4550
708,1184,4587
701,1180,4616
708,1184,4652
718,1192,4677
724,1200,4717
722,1199,4759
724,1200,4815
727,1201,4851
724,1200,4880
708,1190,4891
692,1184,4912
673,1180,4927
644,1168,4945
603,1125,4945
595,1054,4945
664,956,4929
821,843,4912
1026,740,4878
1223,697,4847
1341,740,4801
1335,860,4750
1205,1013,4679
1014,1168,4619
838,1286,4554
724,1346,4489
670,1343,4402
660,1314,4327
667,1290,4255
676,1281,4197
671,1264,4124
660,1233,4066
648,1194,4012
644,1168,3969
641,1154,3911
644,1152,3871
649,1149,3845
660,1152,3839
673,1157,3818
692,1168,3806
710,1176,3797
724,1184,3806
726,1186,3802
724,1184,3806
721,1175,3812
724,1168,3839
725,1163,3855
724,1168,3871
720,1175,3878
724,1184,3904
737,1191,3932
756,1200,3969
768,1204,3987
772,1200,4001
771,1184,3999
772,1168,4001
772,1155,3997
772,1152,4001
770,1150,3991
772,1152,3969
778,1152,3928
788,1152,3904
797,1144,3887
804,1135,3871
810,1129,3833
821,1135,3806
834,1145,3787
853,1152,3774
870,1150,3737
885,1152,3709
893,1153,3688
901,1152,3676
908,1136,3642
917,1119,3611
928,1106,3587
949,1103,3578
974,1100,3558
997,1103,3546
1013,1109,3540
1030,1119,3546
1047,1122,3532
1062,1119,3513
1069,1110,3488
1078,1103,3481
1088,1093,3474
1094,1087,3481
1091,1082,3481
1094,1087,3481
1108,1093,3462
1126,1103,3448
1131,1109,3439
1126,1119,3448
1122,1128,3450
1126,1135,3448
1129,1130,3428
1126,1119,3416
1113,1111,3407
1094,1119,3416
1068,1136,3418
1046,1152,3416
1027,1149,3395
1014,1135,3383
997,1116,3376
981,1103,3383
965,1092,3382
949,1087,3383
931,1083,3378
917,1087,3383
906,1094,3382
901,1103,3383
897,1105,3376
901,1103,3383
904,1094,3394
901,1087,3416
884,1083,3420
869,1087,3416
863,1089,3404
869,1087,3416
871,1081,3432
869,1087,3448
864,1097,3444
869,1103,3448
876,1093,3460
885,1087,3481
890,1091,3482
901,1103,3481
911,1106,3476
917,1103,3481
910,1096,3477
901,1087,3481
897,1069,3480
901,1054,3481
902,1049,3462
901,1054,3448
898,1056,3440
901,1054,3448
903,1046,3447
901,1038,3448
895,1028,3443
901,1022,3448
920,1018,3445
949,1022,3448
974,1027,3445
997,1038,3448
1019,1052,3444
1046,1071,3448
1070,1086,3446
1094,1103,3448
1112,1118,3443
1126,1135,3448
1129,1147,3448
1126,1152,3448
1122,1144,3438
1126,1135,3448
1130,1127,3464
1126,1119,3481
1105,1100,3476
1078,1071,3481
1047,1026,3494
1014,973,3513
972,921,3510
933,892,3513
902,890,3524
885,908,3546
874,926,3546
869,941,3546
861,950,3551
853,957,3578
840,956,3596
837,957,3611
841,961,3619
853,973,3644
856,983,3661
853,989,3676
844,985,3672
837,973,3676
827,957,3683
821,957,3709
821,971,3726
837,989,3741
856,999,3739
869,1006,3741
862,1009,3737
853,1006,3741
848,997,3737
853,1006,3741
855,1031,3738
853,1054,3741
848,1055,3736
853,1054,3741
862,1061,3741
869,1071,3741
865,1077,3723
853,1103,3709
824,1134,3698
788,1119,3709
780,1024,3712
853,892,3709
1006,772,3687
1191,681,3676
1363,620,3671
1512,633,3676
1592,750,3663
1528,941,3644
1315,1123,3618
1078,1249,3611
938,1307,3599
901,1314,3578
889,1279,3538
869,1233,3513
853,1193,3496
853,1168,3481
847,1148,3445
837,1135,3416
832,1126,3395
837,1119,3383
837,1103,3351
837,1087,3318
837,1079,3292
837,1087,3286
832,1098,3270
837,1103,3253
847,1095,3230
853,1087,3221
843,1088,3206
837,1103,3188
842,1116,3155
853,1119,3123
848,1106,3087
837,1087,3058
830,1066,3024
837,1054,2993
841,1044,2948
837,1038,2895
826,1033,2827
821,1038,2765
818,1047,2710
821,1054,2668
824,1053,2619
837,1054,2570
849,1060,2509
853,1071,2440
843,1076,2356
837,1087,2277
841,1102,2206
853,1119,2147
855,1124,2082
853,1119,2017
854,1105,1948
869,1087,1887
887,1065,1821
901,1054,1757
907,1057,1687
917,1071,1627
931,1079,1571
949,1087,1529
965,1088,1482
981,1087,1431
996,1081,1375
1014,1087,1334
1028,1102,1301
1046,1119,1269
1067,1121,1228
1094,1119,1204
1115,1122,1199
1126,1135,1204
1127,1145,1190
1126,1152,1171
1126,1153,1152
1126,1152,1139
1119,1146,1118
1110,1152,1106
1104,1171,1103
1110,1200,1106
1121,1221,1092
1126,1233,1074
1114,1229,1063
1094,1216,1074
1073,1196,1091
1062,1184,1106
1049,1181,1109
1030,1184,1106
1002,1181,1101
981,1184,1106
970,1196,1119
965,1216,1139
952,1228,1154
933,1233,1171
912,1231,1185
901,1233,1204
892,1231,1219
885,1233,1236
874,1236,1251
869,1249,1269
867,1259,1284
869,1265,1301
868,1263,1315
869,1265,1334
869,1267,1350
869,1265,1366
857,1249,1380
837,1233,1399
813,1220,1417
804,1216,1431
809,1213,1431
821,1216,1431
827,1224,1440
837,1233,1464
846,1233,1486
853,1233,1496
845,1232,1493
837,1233,1496
833,1225,1509
837,1216,1529
837,1208,1535
837,1200,1529
835,1184,1520
837,1168,1529
835,1155,1546
837,1152,1562
846,1149,1562
869,1152,1562
899,1160,1561
933,1184,1562
966,1210,1556
997,1233,1562
1019,1246,1575
1030,1265,1594
1029,1289,1596
1030,1314,1594
1036,1321,1599
1046,1314,1627
1048,1298,1649
1046,1281,1659
1039,1258,1653
1030,1233,1659
1010,1205,1673
981,1184,1692
947,1162,1702
917,1135,1724
886,1100,1746
853,1071,1757
820,1052,1749
804,1054,1789
803,1067,1930
804,1087,2180
791,1099,2458
772,1103,2700
759,1095,2869
756,1087,2993
751,1078,3084
740,1071,3156
723,1055,3194
708,1038,3221
695,1024,3244
692,1022,3286
692,1021,3323
692,1022,3351
687,1019,3360
692,1022,3383
706,1028,3414
724,1038,3448
728,1041,3463
724,1038,3481
719,1028,3506
724,1022,3546
729,1014,3577
724,1006,3611
705,994,3640
692,989,3676
693,989,3703
708,989,3741
721,982,3775
724,973,3806
702,965,3816
660,957,3839
622,926,3868
644,860,3904
747,757,3916
917,649,3936
1115,573,3963
1303,568,4001
1420,641,4018
1400,779,4034
1239,940,4047
1030,1087,4066
869,1181,4065
788,1216,4066
752,1202,4072
740,1168,4099
745,1128,4115
756,1087,4131
754,1042,4139
740,1006,4164
728,983,4190
724,973,4229
718,963,4258
708,957,4294
697,959,4321
692,973,4359
690,985,4389
692,989,4424
691,982,4450
692,973,4489
695,973,4521
708,989,4554
721,1005,4568
724,1006,4587
705,982,4600
676,957,4619
