II,V,PLETH,ABP
-133,0,1888,-32768
-144,3,2074,-32768
-128,7,1910,-32768
-137,11,2051,-32768
-139,17,2100,-32768
-136,25,2104,-32768
-131,34,2103,-32768
-125,42,2135,-32768
-116,50,2165,-32768
-104,55,2167,-32768
-90,56,2164,-32768
-77,53,2171,-32768
-64,45,2177,-32768
-50,35,2166,-32768
-38,24,2151,-32768
-29,13,2139,-32768
-25,5,2121,-32768
-26,-1,2096,-32768
-31,-5,2067,-32768
-39,-8,2040,-32768
-47,-9,2003,-32768
-54,-10,1958,-32768
-60,-11,1905,-32768
-64,-12,1841,-32768
-67,-13,1772,-32768
-71,-14,1703,-32768
-75,-15,1643,-32768
-79,-17,1590,-32768
-82,-18,1549,-32768
-84,-19,1511,-32768
-85,-20,1479,-32768
-84,-20,1443,-32768
-84,-20,1412,-32768
-84,-20,1376,-32768
-86,-19,1347,-32768
-87,-19,1314,-32768
-89,-19,1290,-32768
-92,-20,1261,-32768
-96,-20,1241,-32768
-100,-21,1217,-32768
-106,-22,1202,-32768
-113,-24,1181,-32768
-120,-25,1171,-32768
-126,-25,1154,-32768
-133,-26,1147,-32768
-138,-25,1133,-32768
-143,-24,1128,-32768
-146,-23,1116,-32768
-149,-21,1110,-32768
-151,-18,1098,-32768
-152,-15,1089,-32768
-151,-9,1074,-32768
-147,-1,1062,-32768
-139,8,1046,-32768
-127,19,1034,-32768
-113,28,1019,-32768
-100,36,1007,-32768
-86,40,993,-32768
-74,40,982,-32768
-61,35,970,-32768
-48,27,960,-32768
-37,16,949,-32768
-27,5,939,-32768
-23,-4,925,-32768
-23,-12,907,-32768
-28,-15,884,-32768
-33,-18,860,-32768
-39,-19,832,-32768
-43,-20,804,-32768
-44,-21,775,-32768
-46,-22,745,-32768
-47,-23,713,-32768
-51,-24,680,-32768
-58,-23,646,-32768
-70,-18,612,-32768
-84,-8,578,-32768
-98,9,544,-32768
-106,31,510,-32768
-98,58,476,-32768
-56,82,442,-32768
33,91,408,-32768
177,72,374,-32768
366,14,340,-32768
565,-86,305,-32768
723,-221,269,-32768
788,-369,231,-32768
732,-500,193,-32768
568,-588,152,-32768
343,-618,111,-32768
121,-591,68,-32768
-47,-519,26,-32768
-140,-425,-17,-32768
-170,-327,-59,-32768
-166,-237,-102,-32768
-158,-161,-144,-32768
-158,-100,-187,-32768
-168,-53,-229,-32768
-178,-20,-272,-32768
-184,1,-314,-32768
-182,12,-356,-32768
-176,20,-396,-32768
-166,27,-435,-32768
-156,36,-473,-32768
-143,47,-509,-32768
-130,59,-544,-32768
-116,69,-578,-32768
-102,78,-612,-32768
-90,82,-645,-32768
-76,82,-680,-32768
-65,76,-713,-32768
-54,65,-748,-32768
-44,51,-781,-32768
-38,36,-817,-32768
-35,24,-849,-32768
-34,15,-885,-32768
-36,10,-916,-32768
-39,8,-951,-32768
-42,8,-978,-32768
-45,8,-1009,-32768
-48,9,-1034,-32768
-50,9,-1066,-32768
-51,10,-1096,-32768
-52,12,-1140,-32768
-51,14,-1183,-32768
-50,16,-1238,-32768
-47,17,-1285,-32768
-44,18,-1336,-32768
-40,19,-1374,-32768
-37,20,-1415,-32768
-32,21,-1445,-32768
-29,23,-1481,-32768
-25,24,-1512,-32768
-21,25,-1548,-32768
-18,26,-1578,-32768
-14,26,-1612,-32768
-11,25,-1639,-32768
-8,24,-1669,-32768
-6,23,-1694,-32768
-6,21,-1722,-32768
-7,18,-1746,-32768
-9,14,-1772,-32768
-13,10,-1796,-32768
-18,5,-1823,-32768
-22,0,-1848,-32768
-25,-5,-1873,-32768
-26,-8,-1897,-32768
-26,-11,-1921,-32768
-25,-13,-1941,-32768
-24,-14,-1961,-32768
-23,-13,-1978,-32768
-22,-11,-1993,-32768
-20,-6,-2005,-32768
-16,1,-2016,-32768
-11,9,-2023,-32768
-4,19,-2029,-32768
5,27,-2028,-32768
13,34,-2023,-32768
21,37,-2010,-32768
30,35,-1996,-32768
37,27,-1978,-32768
43,15,-1962,-32768
46,1,-1946,-32768
45,-12,-1930,-32768
39,-21,-1904,-32768
29,-27,-1868,-32768
17,-29,-1817,-32768
5,-29,-1754,-32768
-5,-29,-1677,-32768
-14,-28,-1593,-32768
-21,-28,-1498,-32768
-26,-27,-1398,-32768
-30,-27,-1286,-32768
-34,-26,-1170,-32768
-37,-25,-1044,-32768
-40,-24,-915,-32768
-42,-24,-780,-32768
-45,-23,-644,-32768
-48,-21,-504,-32768
-53,-20,-364,-32768
-58,-18,-220,-32768
-63,-16,-77,-32768
-67,-14,70,-32768
-70,-11,214,-32768
-73,-9,358,-32768
-74,-6,495,-32768
-77,-4,627,-32768
-81,-2,749,-32768
-86,-1,864,-32768
-92,0,973,-32768
-99,1,1076,-32768
-106,1,1176,-32768
-114,2,1270,-32768
-121,2,1359,-32768
-127,3,1439,-32768
-133,5,1512,-32768
-136,7,1575,-32768
-138,10,1634,-32768
-138,13,1683,-32768
-137,17,1728,-32768
-133,23,1764,-32768
-127,30,1798,-32768
-118,40,1823,-32768
-107,49,1849,-32768
-93,58,1866,-32768
-79,64,1885,-32768
-64,65,1893,-32768
-50,61,1903,-32768
-37,52,1902,-32768
-26,39,1905,-32768
-17,25,1898,-32768
-11,11,1896,-32768
-8,0,1884,-32768
-9,-8,1876,-32768
-13,-12,1858,-32768
-20,-15,1842,-32768
-26,-17,1816,-32768
-33,-19,1792,-32768
-38,-19,1761,-32768
-42,-20,1734,-32768
-45,-20,1700,-32768
-48,-21,1668,-32768
-50,-21,1628,-32768
-52,-22,1586,-32768
-54,-24,1535,-32768
-55,-25,1484,-32768
-56,-26,1431,-32768
-58,-26,1385,-32768
-59,-26,1342,-32768
-61,-26,1307,-32768
-63,-26,1274,-32768
-65,-27,1244,-32768
-66,-28,1214,-32768
-68,-29,1187,-32768
-71,-30,1161,-32768
-75,-30,1138,-32768
-81,-31,1116,-32768
-88,-32,1098,-32768
-96,-33,1079,-32768
-105,-34,1063,-32768
-112,-35,1044,-32768
-118,-34,1029,-32768
-122,-33,1010,-32768
-125,-31,995,-32768
-125,-28,976,-32768
-125,-25,962,-32768
-123,-21,942,-32768
-120,-15,928,-32768
-114,-7,908,-32768
-105,2,894,-32768
-93,12,874,-32768
-80,21,860,-32768
-65,27,840,-32768
-51,30,826,-32768
-37,28,806,-32768
-24,22,792,-32768
-13,12,772,-32768
-2,0,757,-32768
4,-11,738,-32768
8,-21,725,-32768
8,-26,709,-32768
4,-30,700,-32768
-1,-31,690,-32768
-7,-31,683,-32768
-14,-31,671,-32768
-23,-29,658,-32768
-33,-24,640,-32768
-46,-14,619,-32768
-59,0,594,-32768
-65,21,569,-32768
-54,43,544,-32768
-12,63,519,-32768
77,68,493,-32768
220,47,467,-32768
405,-9,442,-32768
596,-104,416,-32768
744,-229,390,-32768
798,-363,362,-32768
731,-478,334,-32768
559,-552,303,-32768
330,-570,271,-32768
109,-537,238,-32768
-54,-467,204,-32768
-140,-379,170,-32768
-161,-292,136,-32768
-149,-214,102,-32768
-133,-148,68,-32768
-128,-95,34,-32768
-134,-54,0,-32768
-144,-26,-34,-32768
-152,-8,-68,-32768
-155,1,-102,-32768
-154,4,-136,-32768
-153,6,-170,-32768
-152,9,-204,-32768
-148,15,-238,-32768
-143,22,-272,-32768
-132,31,-306,-32768
-122,42,-340,-32768
-107,52,-374,-32768
-94,63,-409,-32768
-78,70,-445,-32768
-63,76,-482,-32768
-49,74,-521,-32768
-36,68,-561,-32768
-25,57,-601,-32768
-15,44,-639,-32768
-8,30,-677,-32768
-5,19,-712,-32768
-5,11,-748,-32768
-6,7,-781,-32768
-8,6,-816,-32768
-10,8,-849,-32768
-11,9,-884,-32768
-12,11,-917,-32768
-12,12,-952,-32768
-12,13,-985,-32768
-11,14,-1020,-32768
-10,16,-1053,-32768
-9,17,-1088,-32768
-6,18,-1120,-32768
-4,20,-1157,-32768
0,21,-1193,-32768
4,22,-1237,-32768
8,22,-1279,-32768
11,21,-1328,-32768
15,21,-1368,-32768
19,20,-1409,-32768
23,20,-1437,-32768
28,20,-1469,-32768
32,19,-1491,-32768
36,17,-1523,-32768
39,14,-1549,-32768
41,9,-1585,-32768
41,4,-1612,-32768
40,-2,-1647,-32768
37,-7,-1672,-32768
32,-13,-1705,-32768
26,-17,-1729,-32768
19,-21,-1761,-32768
13,-23,-1787,-32768
8,-25,-1823,-32768
5,-25,-1853,-32768
3,-24,-1892,-32768
3,-22,-1928,-32768
2,-18,-1969,-32768
3,-11,-2005,-32768
5,-1,-2043,-32768
9,10,-2075,-32768
14,21,-2108,-32768
21,31,-2135,-32768
28,37,-2163,-32768
36,39,-2187,-32768
43,35,-2212,-32768
48,26,-2233,-32768
53,14,-2252,-32768
54,2,-2264,-32768
52,-10,-2271,-32768
45,-19,-2272,-32768
36,-24,-2269,-32768
25,-27,-2264,-32768
14,-27,-2259,-32768
4,-26,-2254,-32768
-3,-24,-2248,-32768
-9,-23,-2236,-32768
-15,-22,-2215,-32768
-21,-22,-2181,-32768
-28,-22,-2132,-32768
-34,-22,-2070,-32768
-39,-21,-1997,-32768
-42,-19,-1915,-32768
-42,-18,-1825,-32768
-41,-16,-1727,-32768
-40,-15,-1622,-32768
-40,-13,-1507,-32768
-41,-11,-1385,-32768
-43,-9,-1254,-32768
-46,-6,-1118,-32768
-49,-4,-975,-32768
-53,-2,-830,-32768
-56,-1,-679,-32768
-60,0,-526,-32768
-66,0,-368,-32768
-71,0,-210,-32768
-79,-1,-50,-32768
-86,-2,107,-32768
-93,-3,262,-32768
-100,-3,411,-32768
-105,-2,558,-32768
-108,-1,698,-32768
-110,1,838,-32768
-111,4,971,-32768
-112,8,1101,-32768
-113,16,1225,-32768
-116,28,1343,-32768
-122,47,1454,-32768
-127,71,1559,-32768
-128,100,1658,-32768
-113,131,1751,-32768
-67,156,1837,-32768
25,165,1916,-32768
170,148,1989,-32768
355,93,2055,-32768
548,-2,2117,-32768
697,-131,2171,-32768
757,-273,2221,-32768
705,-401,2261,-32768
556,-490,2298,-32768
357,-525,2324,-32768
165,-505,2347,-32768
25,-444,2361,-32768
-50,-363,2374,-32768
-70,-278,2375,-32768
-64,-201,2377,-32768
-55,-138,2368,-32768
-55,-87,2361,-32768
-62,-50,2341,-32768
-71,-26,2325,-32768
-77,-12,2298,-32768
-78,-7,2276,-32768
-76,-7,2241,-32768
-74,-8,2208,-32768
-71,-9,2155,-32768
-69,-8,2098,-32768
-69,-7,2020,-32768
-68,-6,1942,-32768
-70,-6,1855,-32768
-70,-6,1780,-32768
-74,-5,1706,-32768
-76,-5,1645,-32768
-80,-3,1584,-32768
-85,-4,1531,-32768
-90,-3,1474,-32768
-95,-4,1422,-32768
-98,-3,1370,-32768
-100,-2,1324,-32768
-100,1,1280,-32768
-99,3,1243,-32768
-98,7,1206,-32768
-96,11,1175,-32768
-92,16,1145,-32768
-87,22,1119,-32768
-80,29,1091,-32768
-70,39,1066,-32768
-57,50,1040,-32768
-42,62,1017,-32768
-25,74,994,-32768
-7,82,975,-32768
12,86,957,-32768
31,85,944,-32768
49,77,930,-32768
65,65,919,-32768
79,51,904,-32768
90,38,892,-32768
96,26,876,-32768
99,18,864,-32768
100,12,848,-32768
99,7,838,-32768
98,3,825,-32768
97,-1,817,-32768
97,-5,805,-32768
97,-9,799,-32768
97,-14,790,-32768
95,-18,785,-32768
92,-22,774,-32768
89,-26,764,-32768
86,-29,748,-32768
83,-33,733,-32768
81,-36,713,-32768
78,-39,695,-32768
75,-41,673,-32768
70,-42,652,-32768
64,-42,628,-32768
56,-40,604,-32768
47,-39,578,-32768
37,-37,553,-32768
28,-35,526,-32768
18,-34,499,-32768
7,-32,470,-32768
-4,-31,439,-32768
-17,-30,407,-32768
-30,-28,374,-32768
-43,-27,340,-32768
-55,-26,306,-32768
-66,-25,271,-32768
-75,-23,235,-32768
-82,-20,198,-32768
-86,-17,158,-32768
-89,-13,118,-32768
-89,-8,76,-32768
-89,-2,34,-32768
-88,4,-9,-32768
-85,13,-52,-32768
-79,23,-97,-32768
-71,33,-142,-32768
-60,43,-190,-32768
-47,52,-237,-32768
-33,58,-287,-32768
-20,60,-333,-32768
-7,56,-380,-32768
4,47,-424,-32768
13,34,-471,-32768
19,20,-516,-32768
21,7,-565,-32768
20,-2,-612,-32768
16,-8,-664,-32768
10,-11,-713,-32768
4,-12,-765,-32768
-2,-12,-814,-32768
-6,-12,-864,-32768
-7,-13,-911,-32768
-8,-14,-958,-32768
-7,-15,-1002,-32768
-7,-16,-1048,-32768
-7,-17,-1093,-32768
-10,-19,-1142,-32768
-13,-20,-1190,-32768
-17,-21,-1239,-32768
-20,-21,-1286,-32768
-23,-21,-1332,-32768
-25,-21,-1375,-32768
-26,-21,-1419,-32768
-28,-22,-1466,-32768
-29,-22,-1522,-32768
-31,-23,-1582,-32768
-33,-24,-1648,-32768
-36,-24,-1710,-32768
-41,-24,-1770,-32768
-47,-24,-1820,-32768
-54,-25,-1867,-32768
-62,-26,-1907,-32768
-70,-28,-1952,-32768
-79,-29,-1991,-32768
-87,-31,-2037,-32768
-93,-31,-2077,-32768
-99,-30,-2123,-32768
-102,-28,-2162,-32768
-104,-25,-2208,-32768
-104,-21,-2245,-32768
-102,-16,-2290,-32768
-98,-10,-2323,-32768
-92,-2,-2364,-32768
-83,7,-2394,-32768
-72,16,-2431,-32768
-58,25,-2455,-32768
-45,32,-2486,-32768
-33,35,-2504,-32768
-21,33,-2527,-32768
-10,27,-2535,-32768
2,17,-2546,-32768
12,6,-2544,-32768
23,-5,-2541,-32768
28,-13,-2524,-32768
30,-19,-2505,-32768
27,-22,-2475,-32768
21,-24,-2439,-32768
16,-25,-2385,-32768
9,-26,-2321,-32768
3,-26,-2245,-32768
-3,-25,-2168,-32768
-12,-22,-2096,-32768
-23,-14,-2036,-32768
-34,-1,-1987,-32768
-43,17,-1938,-32768
-41,41,-1876,-32768
-14,63,-1792,-32768
54,77,-1688,-32768
173,69,-1564,-32768
340,27,-1428,-32768
530,-53,-1286,-32768
697,-167,-1143,-32768
788,-298,-997,-32768
765,-421,-849,-32768
627,-509,-698,-32768
409,-547,-550,-32768
175,-533,-402,-32768
-16,-477,-256,-32768
-131,-399,-109,-32768
-170,-314,35,-32768
-162,-234,179,-32768
-140,-165,320,-32768
-125,-107,459,-32768
-123,-60,593,-32768
-128,-27,722,-32768
-133,-5,845,-32768
-134,6,962,-32768
-132,12,1072,-32768
-128,17,1174,-32768
-123,23,1270,-32768
