II,MCL,PLETH,RESP
-1089,2656,4221,-1832
-1091,3011,4938,-2073
-919,2692,4605,-1832
-1000,2579,4508,-1708
-1210,2838,4953,-1832
-1213,2986,5276,-1902
-1089,2874,5267,-1832
-1115,2792,5303,-1802
-1282,2874,5546,-1873
-1401,2943,5735,-1909
-1476,2911,5791,-1873
-1566,2869,5859,-1850
-1549,2874,6000,-1873
-1339,2870,6094,-1886
-1161,2838,6139,-1873
-1268,2809,6194,-1865
-1549,2802,6279,-1873
-1665,2798,6335,-1876
-1524,2802,6384,-1873
-1358,2804,6443,-1871
-1379,2802,6523,-1873
-1512,2793,6580,-1872
-1549,2802,6628,-1873
-1441,2809,6654,-1871
-1355,2802,6697,-1873
-1414,2753,6732,-1871
-1549,2692,6767,-1873
-1603,2639,6779,-1871
-1549,2620,6802,-1873
-1452,2616,6817,-1871
-1331,2620,6837,-1873
-1111,2603,6832,-1871
-823,2583,6837,-1873
-647,2562,6834,-1871
-726,2547,6837,-1873
-918,2531,6814,-1871
-968,2547,6802,-1873
-847,2566,6783,-1871
-798,2547,6767,-1873
-923,2514,6725,-1871
-1016,2547,6697,-1873
-873,2550,6665,-1871
-653,2401,6628,-1873
-650,2256,6552,-1871
-895,2401,6488,-1873
-1138,2640,6432,-1872
-1234,2511,6384,-1873
-1285,2207,6295,-1871
-1428,2547,6209,-1873
-1578,3568,6130,-1872
-1549,4148,6070,-1873
-1299,3557,5982,-1871
-1040,2583,5895,-1873
-997,2320,5802,-1873
-1186,2620,5721,-1873
-1420,2606,5623,-1869
-1549,2110,5546,-1873
-1564,1684,5474,-1876
-1549,1565,5407,-1873
-1543,1463,5310,-1852
-1549,1201,5232,-1832
-1549,922,5171,-1822
-1549,728,5128,-1832
-1547,519,5056,-1837
-1549,255,4988,-1832
-1549,21,4925,-1809
-1549,-73,4884,-1790
-1547,-53,4826,-1782
-1549,-36,4779,-1790
-1549,-213,4735,-1795
-1549,-655,4709,-1790
-1548,-1258,4660,-1768
-1549,-1783,4605,-1748
-1548,-2125,4540,-1739
-1549,-2292,4500,-1748
-1549,-2342,4460,-1754
-1549,-2292,4430,-1748
-1545,-2253,4388,-1724
-1549,-2292,4360,-1707
-1556,-2256,4325,-1700
-1549,-1783,4291,-1707
-1482,-767,4234,-1707
-1307,473,4186,-1707
-1000,1511,4142,-1704
-605,2256,4116,-1707
-211,2837,4079,-1706
97,3311,4046,-1707
292,3597,4006,-1704
411,3711,3977,-1707
519,3762,3938,-1706
605,3820,3907,-1707
584,3846,3868,-1704
411,3820,3837,-1707
218,3783,3797,-1706
194,3784,3767,-1707
358,3812,3730,-1703
508,3820,3698,-1707
481,3778,3655,-1708
363,3711,3628,-1707
363,3671,3605,-1700
508,3675,3593,-1707
609,3677,3561,-1725
532,3638,3523,-1748
425,3579,3479,-1753
508,3566,3453,-1748
733,3592,3432,-1742
774,3602,3418,-1748
455,3540,3387,-1751
0,3457,3349,-1748
-233,3399,3303,-1740
-145,3384,3279,-1748
89,3365,3260,-1769
290,3347,3244,-1790
393,3327,3207,-1793
411,3311,3174,-1790
415,3272,3147,-1787
484,3238,3139,-1790
573,3211,3123,-1788
508,3202,3105,-1790
206,3191,3079,-1790
-169,3202,3070,-1790
-381,3213,3056,-1783
-363,3202,3035,-1790
-229,3144,2994,-1809
-97,3093,2965,-1832
-21,3067,2945,-1836
-24,3056,2930,-1832
-100,3018,2894,-1827
-169,2984,2860,-1832
-149,2981,2834,-1832
-24,3020,2825,-1832
129,3050,2808,-1829
218,3056,2791,-1832
215,3027,2768,-1831
194,2984,2756,-1832
267,2933,2737,-1829
460,2911,2721,-1832
643,2899,2700,-1830
677,2874,2686,-1832
607,2804,2666,-1830
629,2729,2651,-1832
800,2675,2631,-1830
895,2656,2616,-1832
658,2636,2595,-1830
169,2620,2581,-1832
-137,2599,2562,-1830
73,2583,2546,-1832
639,2560,2524,-1830
1065,2547,2512,-1832
1070,2541,2495,-1830
847,2547,2477,-1832
725,2545,2450,-1830
750,2547,2442,-1832
731,2545,2442,-1830
557,2547,2442,-1832
295,2539,2421,-1830
73,2547,2407,-1832
-3,2573,2403,-1830
97,2620,2407,-1832
229,2638,2391,-1830
194,2620,2372,-1832
27,2591,2362,-1830
-24,2620,2372,-1832
81,2687,2375,-1829
73,2729,2372,-1832
-178,2688,2364,-1830
-411,2620,2372,-1832
-404,2577,2377,-1829
-315,2583,2372,-1832
-360,2606,2349,-1831
-436,2656,2337,-1832
-349,2727,2334,-1828
-218,2802,2337,-1832
-314,2842,2321,-1835
-605,2874,2302,-1832
-755,2908,2291,-1810
-581,2947,2302,-1790
-282,2963,2308,-1781
-145,2984,2302,-1790
-160,3016,2280,-1795
-97,3056,2267,-1790
123,3065,2262,-1768
290,3056,2267,-1748
207,3055,2266,-1738
-24,3093,2267,-1748
-147,3127,2265,-1757
-97,3129,2267,-1748
-54,3087,2264,-1721
-145,3056,2267,-1707
-260,3049,2268,-1707
-242,3056,2267,-1707
-139,3052,2249,-1684
-121,3056,2232,-1665
-182,3051,2222,-1661
-145,3020,2232,-1665
11,2971,2237,-1649
48,2984,2232,-1624
-165,3042,2211,-1599
-411,3056,2198,-1582
-415,2966,2191,-1558
-218,2874,2198,-1540
-58,2865,2196,-1535
-24,2911,2198,-1540
-6,2909,2201,-1527
73,2874,2232,-1499
177,2857,2286,-1467
266,2874,2372,-1457
336,2878,2460,-1458
339,2874,2546,-1457
200,2873,2612,-1439
-48,2874,2686,-1415
-211,2843,2772,-1391
-145,2802,2895,-1374
3,2761,3028,-1352
-48,2729,3174,-1332
-285,2694,3309,-1310
-387,2692,3453,-1291
-246,2714,3597,-1268
-194,2729,3767,-1249
-512,2695,3948,-1228
-992,2656,4151,-1207
-1242,2639,4344,-1181
-1210,2656,4535,-1166
-1095,2681,4705,-1162
-992,2729,4884,-1166
-873,2769,5057,-1153
-774,2765,5232,-1124
-719,2701,5378,-1092
-629,2656,5511,-1082
-497,2674,5627,-1086
-484,2729,5756,-1082
-656,2744,5877,-1059
-798,2729,6000,-1041
-675,2716,6093,-1038
-363,2729,6174,-1041
-155,2734,6236,-1024
-194,2729,6314,-999
-338,2710,6385,-987
-411,2692,6453,-999
-450,2667,6488,-1008
-581,2656,6523,-999
-727,2649,6551,-974
-702,2656,6593,-957
-552,2659,6621,-954
-532,2656,6663,-957
-654,2645,6696,-955
-653,2656,6732,-957
-472,2655,6745,-961
-460,2620,6767,-957
-825,2613,6782,-936
-1210,2729,6802,-916
-1094,2833,6797,-909
-581,2729,6802,-916
-326,2537,6801,-918
-605,2583,6802,-916
-772,2742,6767,-913
-218,2583,6732,-916
474,2270,6692,-916
145,2583,6663,-916
-1048,3573,6608,-914
-1549,4148,6558,-916
-610,3556,6510,-916
484,2547,6488,-916
276,2221,6444,-913
-871,2511,6384,-916
-1595,2595,6291,-917
-1549,2256,6209,-916
-1416,1931,6120,-912
-1549,1819,6035,-916
-1641,1714,5925,-921
-1549,1528,5825,-916
-1485,1379,5728,-893
-1549,1273,5651,-874
-1586,1105,5560,-869
-1549,910,5477,-874
-1528,762,5382,-874
-1549,655,5302,-874
-1556,554,5209,-876
-1549,546,5128,-874
-1550,619,5045,-856
-1549,582,4988,-833
-1539,215,4930,-821
-1549,-437,4884,-833
-1564,-1175,4825,-843
-1549,-1783,4779,-833
-1527,-2162,4733,-806
-1549,-2292,4709,-791
-1579,-2297,4676,-792
-1549,-2292,4639,-791
-1496,-2230,4580,-771
-1549,-1856,4535,-749
-1655,-1054,4492,-744
-1549,0,4465,-749
-1083,999,4425,-738
-508,1819,4395,-708
-203,2469,4368,-677
-218,2947,4360,-666
-212,3211,4334,-667
73,3311,4291,-666
457,3345,4217,-650
557,3384,4151,-624
320,3420,4090,-597
121,3457,4046,-583
274,3485,3993,-581
629,3493,3942,-583
796,3464,3882,-570
629,3420,3837,-541
332,3382,3794,-511
169,3347,3767,-500
248,3307,3732,-502
484,3275,3698,-500
676,3266,3653,-479
653,3275,3628,-458
486,3267,3608,-453
436,3238,3593,-458
629,3204,3556,-448
895,3202,3523,-416
1032,3208,3486,-384
1065,3202,3453,-375
1096,3171,3410,-380
1113,3165,3384,-375
1077,3186,3365,-351
1065,3202,3349,-333
1135,3160,3310,-332
1210,3093,3279,-333
1196,3038,3256,-316
1137,3020,3244,-291
1100,2992,3210,-281
1065,2947,3174,-291
1011,2904,3146,-300
1016,2911,3139,-291
1125,2938,3124,-269
1234,2947,3105,-250
1210,2920,3079,-243
1113,2911,3070,-250
1138,2929,3055,-256
1331,2947,3035,-250
1418,2927,2996,-228
1137,2911,2965,-208
660,2922,2940,-202
460,2947,2930,-208
654,2936,2912,-212
895,2911,2895,-208
966,2891,2874,-204
1065,2874,2860,-208
1228,2815,2840,-214
1113,2729,2825,-208
658,2642,2806,-187
411,2583,2791,-167
682,2528,2769,-161
992,2474,2756,-167
862,2405,2738,-169
629,2329,2721,-167
841,2233,2695,-165
1355,2147,2686,-167
1610,2086,2684,-167
1476,2074,2686,-167
1231,2077,2669,-166
1016,2074,2651,-167
782,2047,2631,-166
605,2038,2616,-167
616,2067,2593,-167
726,2147,2581,-167
706,2229,2578,-165
532,2292,2581,-167
418,2315,2566,-168
508,2329,2546,-167
665,2348,2524,-164
677,2401,2512,-167
581,2470,2491,-172
605,2547,2477,-167
760,2613,2467,-146
774,2692,2477,-125
529,2782,2481,-119
290,2874,2477,-125
285,2930,2455,-128
363,2947,2442,-125
300,2930,2436,-122
194,2911,2442,-125
215,2889,2441,-128
290,2874,2442,-125
251,2863,2439,-121
194,2874,2442,-125
226,2895,2439,-131
242,2911,2442,-125
126,2895,2441,-104
73,2874,2442,-83
246,2863,2436,-78
508,2874,2442,-83
654,2880,2445,-86
726,2874,2442,-83
733,2841,2420,-81
605,2802,2407,-83
528,2787,2403,-84
823,2838,2407,-83
1161,2892,2391,-82
871,2874,2372,-83
278,2779,2361,-84
750,2729,2372,-83
2683,2761,2377,-83
4621,2802,2372,-83
5124,2757,2350,-83
4621,2692,2337,-83
4371,2684,2330,-83
4621,2729,2337,-83
4751,2741,2337,-84
4621,2729,2337,-83
4579,2731,2329,-82
4621,2765,2337,-83
4397,2776,2350,-84
3944,2765,2372,-83
3631,2762,2383,-81
3557,2802,2407,-83
3420,2847,2433,-86
3097,2874,2477,-83
2864,2870,2519,-78
3049,2874,2581,-83
3540,2900,2645,-104
3944,2947,2721,-125
4072,2966,2804,-131
4162,2947,2930,-125
4382,2910,3070,-121
4525,2911,3209,-125
4299,2935,3337,-128
3871,2947,3523,-125
3614,2912,3773,-122
3654,2874,4046,-125
3769,2861,4248,-129
3775,2874,4395,-125
3607,2875,4538,-118
3339,2874,4744,-125
3163,2874,4966,-147
3339,2874,5163,-167
3773,2844,5295,-170
4089,2802,5407,-167
4138,2756,5508,-166
4210,2729,5616,-167
4392,2713,5711,-163
4355,2729,5825,-167
3919,2753,5946,-185
3436,2765,6070,-208
3127,2742,6148,-216
2807,2729,6209,-208
2428,2740,6265,-201
2371,2765,6349,-208
2593,2759,6423,-226
2420,2729,6488,-250
1634,2687,6522,-271
1161,2656,6558,-291
1818,2626,6576,-311
3049,2620,6593,-333
3579,2631,6588,-354
3121,2656,6593,-375
2554,2661,6590,-392
2637,2656,6593,-416
3078,2644,6573,-452
3170,2656,6558,-500
2799,2678,6535,-545
2541,2692,6523,-583
2692,2684,6488,-617
2879,2692,6453,-666
2664,2686,6409,-728
2226,2620,6384,-791
1948,2533,6337,-836
1839,2547,6279,-874
1721,2600,6196,-913
1670,2547,6139,-957
1766,2475,6087,-999
1839,2620,6035,-1041
1827,2792,5944,-1082
1960,2583,5860,-1124
2201,2228,5782,-1162
2105,2547,5721,-1207
1653,3567,5632,-1252
1549,4148,5546,-1291
2125,3525,5463,-1323
2662,2474,5407,-1374
2392,2130,5337,-1440
1621,2438,5267,-1499
1153,2561,5176,-1525
1113,2256,5093,-1540
977,1945,5007,-1571
