II,V,ABP,RESP
1351,1888,3666,3319
1553,2146,4119,3774
1351,1888,3603,3349
1196,1743,3343,3123
1276,1888,3603,3349
1406,2004,3754,3493
1426,1935,3603,3379
1378,1852,3509,3311
1351,1888,3603,3409
1347,1947,3633,3460
1351,1935,3539,3409
1356,1888,3490,3388
1351,1888,3539,3439
1319,1923,3564,3458
1276,1935,3539,3439
1255,1906,3525,3439
1276,1888,3539,3469
1318,1908,3541,3477
1351,1935,3539,3469
1356,1933,3543,3471
1351,1935,3539,3499
1351,1962,3505,3519
1351,1982,3476,3529
1322,1955,3463,3520
1276,1935,3476,3529
1247,1958,3478,3543
1276,1982,3476,3559
1348,1943,3468,3553
1426,1888,3476,3559
1474,1883,3477,3571
1501,1935,3476,3588
1509,1974,3467,3584
1501,1982,3476,3588
1488,1977,3482,3599
1501,1982,3476,3618
1520,1983,3441,3616
1501,1982,3413,3618
1443,1978,3401,3628
1426,1982,3413,3648
1467,1981,3415,3648
1501,1982,3413,3648
1489,1980,3406,3653
1501,1982,3413,3678
1556,1980,3413,3692
1576,1982,3413,3708
1525,1980,3405,3717
1501,1982,3413,3738
1530,1980,3417,3750
1501,1982,3413,3768
1364,1980,3380,3779
1276,1982,3350,3798
1338,1980,3335,3808
1426,1982,3350,3828
1381,1980,3357,3840
1276,1982,3350,3858
1246,1981,3315,3866
1276,1982,3287,3887
1252,1979,3272,3904
1201,1982,3287,3917
1228,1981,3295,3911
1351,1982,3287,3917
1461,1991,3249,3928
1501,2030,3223,3947
1497,2069,3214,3946
1501,2077,3223,3947
1504,2044,3222,3953
1501,2030,3223,3977
1513,2050,3221,3992
1576,2077,3223,4007
1646,2073,3217,4006
1651,2077,3223,4007
1594,2102,3228,3999
1576,2124,3223,4007
1626,2102,3189,4018
1651,2077,3160,4037
1582,2087,3148,4038
1501,2124,3160,4037
1485,2135,3161,4030
1501,2124,3160,4037
1491,2115,3155,4036
1501,2124,3160,4037
1553,2123,3158,4030
1576,2124,3160,4037
1522,2122,3157,4039
1501,2124,3160,4037
1572,2115,3156,4016
1651,2124,3160,4007
1601,2137,3159,4003
1501,2124,3160,4007
1438,2100,3153,3992
1426,2124,3160,3977
1385,2164,3165,3958
1351,2124,3160,3947
1348,2043,3125,3926
1351,2077,3097,3917
1319,2175,3086,3912
1276,2124,3097,3917
1204,1968,3097,3904
1051,2077,3097,3887
851,2547,3092,3865
826,3021,3097,3858
1160,3256,3094,3842
1876,3493,3097,3828
2928,3814,3095,3804
4428,3729,3097,3798
6477,2762,3090,3794
8781,1227,3097,3798
10508,-156,3102,3784
10883,-1038,3097,3768
9873,-1553,3063,3744
8181,-1746,3034,3738
6433,-1488,3021,3734
4728,-802,3034,3738
2997,-60,3036,3725
1576,378,3034,3708
991,463,3026,3683
1351,472,3034,3678
2167,652,3035,3677
2852,1038,3034,3678
3147,1471,3025,3660
3152,1841,3034,3648
3044,2114,3040,3641
2927,2313,3034,3648
2809,2430,2999,3637
2702,2502,2971,3618
2612,2538,2959,3592
2552,2549,2971,3588
2478,2533,2972,3588
2402,2549,2971,3588
2330,2603,2965,3569
2327,2643,2971,3559
2359,2626,2969,3552
2402,2596,2971,3559
2389,2607,2966,3547
2327,2643,2971,3529
2236,2651,2968,3504
2177,2643,2971,3499
2161,2652,2967,3496
2177,2690,2971,3499
2181,2722,2968,3484
2177,2738,2971,3469
2165,2735,2967,3448
2177,2738,2971,3439
2205,2747,2968,3423
2252,2785,2971,3409
2292,2820,2967,3386
2327,2832,2971,3379
2336,2816,2969,3376
2327,2832,2971,3379
2311,2882,2966,3364
2327,2926,2971,3349
2365,2910,2970,3329
2402,2879,2971,3319
2406,2880,2963,3302
2402,2926,2971,3289
2399,2961,2975,3271
2402,2974,2971,3260
2396,2966,2935,3240
2402,2974,2907,3230
2410,2989,2895,3213
2402,3021,2907,3200
2358,3046,2906,3177
2327,3068,2907,3170
2343,3080,2902,3167
2402,3115,2907,3170
2430,3161,2901,3154
2402,3210,2907,3140
2343,3230,2922,3122
2327,3257,2971,3110
2355,3308,3041,3089
2402,3398,3160,3080
2434,3466,3304,3077
2477,3493,3476,3080
2520,3493,3665,3065
2552,3540,3919,3050
2568,3618,4219,3032
2627,3682,4551,3020
2718,3695,4863,2999
2777,3729,5183,2990
2746,3812,5486,2987
2702,3918,5752,2990
2713,3975,5932,2975
2777,4012,6068,2960
2822,4054,6171,2943
2852,4106,6257,2931
2885,4130,6292,2909
2927,4154,6320,2901
2958,4194,6365,2899
3002,4248,6447,2901
3052,4264,6515,2883
3077,4248,6573,2871
3063,4219,6622,2865
3077,4201,6700,2871
3147,4165,6772,2859
3227,4106,6826,2841
3266,4017,6830,2818
3302,3918,6826,2811
3354,3803,6817,2805
3377,3682,6826,2811
3339,3541,6821,2812
3302,3398,6826,2811
3289,3263,6823,2794
3227,3162,6826,2781
3057,3071,6796,2773
2852,2974,6763,2781
2670,2851,6720,2783
2477,2738,6700,2781
2235,2637,6669,2764
2026,2549,6636,2751
1884,2449,6573,2742
1726,2360,6510,2751
1488,2281,6435,2755
1276,2218,6384,2751
1177,2145,6340,2730
1126,2077,6320,2721
998,2018,6271,2720
826,1982,6194,2721
689,1938,6083,2704
600,1888,6004,2691
513,1844,5941,2685
450,1841,5878,2691
421,1851,5775,2689
375,1841,5688,2691
259,1791,5618,2691
150,1746,5562,2691
140,1720,5466,2675
225,1699,5372,2661
295,1664,5295,2653
300,1652,5246,2661
280,1673,5162,2662
300,1699,5056,2661
348,1683,4941,2655
375,1652,4867,2661
368,1640,4801,2664
375,1652,4740,2661
414,1654,4663,2643
450,1652,4614,2632
452,1650,4576,2625
450,1652,4551,2632
461,1646,4508,2631
450,1652,4488,2632
403,1661,4481,2628
375,1652,4488,2632
405,1604,4460,2629
450,1558,4424,2632
458,1543,4383,2629
450,1558,4361,2632
457,1563,4328,2629
450,1558,4298,2632
407,1551,4260,2630
375,1558,4235,2632
402,1560,4198,2627
450,1558,4172,2632
462,1552,4155,2632
450,1558,4172,2632
452,1560,4181,2615
450,1558,4172,2602
398,1551,4130,2594
300,1558,4108,2602
206,1564,4104,2604
150,1558,4108,2602
134,1543,4077,2584
150,1558,4045,2572
168,1592,4028,2563
150,1605,4045,2572
82,1574,4049,2575
0,1558,4045,2572
-56,1592,4033,2552
-75,1652,4045,2542
-59,1670,4052,2539
0,1652,4045,2542
84,1636,4007,2528
150,1652,3982,2512
165,1677,3971,2501
150,1699,3982,2512
142,1704,3980,2517
150,1699,3982,2512
153,1690,3978,2491
150,1699,3982,2482
168,1710,3975,2481
225,1699,3982,2482
284,1663,3985,2466
300,1652,3982,2452
287,1675,3947,2446
300,1699,3919,2452
327,1695,3906,2442
300,1699,3919,2422
229,1726,3918,2397
225,1746,3919,2392
313,1723,3913,2392
375,1699,3919,2392
339,1710,3915,2377
300,1746,3919,2362
336,1756,3916,2345
375,1746,3919,2332
357,1739,3911,2313
375,1746,3919,2303
492,1745,3922,2298
600,1746,3919,2303
604,1761,3884,2292
600,1794,3855,2273
697,1806,3841,2249
826,1794,3855,2243
877,1777,3859,2242
901,1794,3855,2243
976,1827,3844,2229
1051,1841,3855,2213
1035,1815,3863,2194
976,1794,3855,2183
963,1805,3818,2168
976,1841,3792,2153
945,1852,3783,2134
901,1841,3792,2123
918,1828,3789,2109
976,1841,3792,2093
978,1864,3792,2072
901,1888,3792,2063
822,1893,3761,2061
826,1888,3729,2063
903,1880,3711,2050
976,1888,3729,2033
971,1895,3740,2014
901,1888,3729,2004
833,1872,3689,1988
826,1888,3666,1974
845,1923,3659,1956
826,1935,3666,1944
749,1902,3660,1927
675,1888,3666,1914
657,1924,3670,1896
675,1982,3666,1884
661,1996,3630,1867
600,1982,3603,1854
532,1971,3593,1837
525,1982,3603,1824
554,1990,3599,1808
600,1982,3603,1794
627,1975,3605,1776
675,1982,3603,1764
747,1990,3568,1749
826,1982,3539,1734
869,1985,3528,1715
901,2030,3539,1705
969,2048,3538,1701
1051,1982,3539,1705
1026,1953,3539,1694
826,2171,3539,1675
554,2571,3509,1651
450,2879,3476,1645
679,3050,3458,1645
1276,3351,3476,1645
2250,3731,3486,1629
3753,3634,3476,1615
5895,2672,3437,1607
8331,1227,3413,1615
10110,-56,3404,1618
10357,-944,3413,1615
9110,-1523,3411,1598
7280,-1699,3413,1585
5609,-1340,3410,1578
4053,-614,3413,1585
2312,89,3407,1589
675,566,3413,1585
-147,794,3416,1566
150,802,3413,1555
1088,699,3380,1551
1951,755,3350,1555
2398,1111,3336,1552
2552,1605,3350,1555
2613,1957,3354,1557
2627,2124,3350,1555
2540,2216,3339,1538
2402,2313,3350,1525
2314,2377,3356,1521
2327,2407,3350,1525
2367,2412,3314,1521
2402,2407,3287,1525
2402,2394,3275,1538
2402,2407,3287,1555
2387,2443,3288,1557
2402,2454,3287,1555
2417,2422,3279,1553
2402,2407,3287,1555
2366,2446,3287,1551
2402,2502,3287,1555
2503,2512,3278,1567
2552,2502,3287,1585
2484,2511,3292,1589
2402,2549,3287,1585
2366,2575,3251,1580
2327,2596,3223,1585
2230,2617,3212,1587
2177,2643,3223,1585
2213,2645,3224,1579
2252,2643,3223,1585
2206,2654,3218,1598
2177,2690,3223,1615
2243,2719,3221,1618
2327,2738,3223,1615
2307,2736,3220,1610
2252,2738,3223,1615
2263,2747,3219,1616
2327,2785,3223,1615
2343,2820,3222,1608
2327,2832,3223,1615
2323,2817,3216,1629
2327,2832,3223,1645
2288,2879,3227,1647
2252,2926,3223,1645
2247,2929,3188,1641
2252,2926,3160,1645
2212,2940,3146,1644
2177,2974,3160,1645
2192,2993,3161,1642
2252,3021,3160,1645
2294,3061,3149,1644
2327,3115,3160,1645
2363,3155,3179,1643
2402,3210,3223,1645
2408,3279,3274,1643
2402,3351,3350,1645
2397,3382,3430,1643
2402,3398,3539,1645
2395,3428,3671,1643
2402,3493,3855,1645
2428,3549,4065,1643
2477,3587,4298,1645
2515,3617,4534,1643
2552,3682,4804,1645
2585,3759,5071,1643
2627,3823,5309,1645
2660,3858,5477,1643
2702,3918,5625,1645
2762,4011,5758,1643
2852,4106,5878,1645
2938,4147,5945,1643
3002,4154,6004,1645
3059,4152,6064,1643
3152,4154,6131,1645
3253,4120,6162,1642
3302,4059,6194,1645
3291,3985,6240,1644
3302,3918,6320,1645
3357,3832,6387,1642
3377,3729,6447,1645
3311,3607,6482,1645
3227,3493,6510,1645
3170,3375,6509,1639
3077,3257,6510,1645
2895,3117,6504,1657
2702,2974,6510,1675
2557,2837,6503,1677
2402,2738,6510,1675
2176,2648,6510,1670
1951,2549,6510,1675
1774,2422,6478,1675
1576,2313,6447,1675
1300,2229,6408,1669
1051,2171,6384,1675
914,2114,6346,1687
826,2077,6320,1705
681,2039,6287,1709
525,1982,6257,1705
433,1896,6196,1696
375,1841,6131,1705
267,1833,6056,1720
150,1841,6004,1734
110,1803,5942,1732
150,1746,5878,1734
175,1707,5801,1745
150,1699,5752,1764
123,1681,5696,1769
150,1652,5625,1764
203,1634,5518,1757
225,1652,5436,1764
192,1667,5370,1777
150,1652,5309,1794
136,1613,5208,1798
150,1605,5120,1794
157,1629,5050,1786
150,1652,4993,1794
145,1646,4896,1811
150,1652,4804,1824
152,1679,4727,1821
150,1699,4677,1824
149,1677,4607,1836
150,1652,4551,1854
149,1651,4509,1856
150,1652,4488,1854
152,1610,4448,1852
150,1558,4424,1854
145,1539,4416,1850
150,1558,4424,1854
157,1565,4398,1866
150,1558,4361,1884
137,1550,4319,1886
150,1558,4298,1884
174,1560,4265,1880
150,1558,4235,1884
66,1552,4197,1882
0,1558,4172,1884
13,1560,4135,1883
75,1558,4108,1884
122,1551,4091,1879
150,1558,4108,1884
185,1562,4118,1897
225,1558,4108,1914
257,1544,4067,1916
300,1558,4045,1914
372,1588,4041,1910
450,1605,4045,1914
498,1581,4014,1913
525,1558,3982,1914
561,1554,3965,1911
600,1558,3982,1914
614,1548,3986,1912
600,1558,3982,1914
589,1601,3970,1912
600,1652,3982,1914
615,1662,3988,1912
600,1652,3982,1914
556,1646,3945,1912
525,1652,3919,1914
546,1648,3906,1912
600,1652,3919,1914
630,1673,3919,1912
600,1699,3919,1914
522,1701,3910,1912
450,1699,3919,1914
446,1715,3919,1912
525,1746,3919,1914
608,1758,3909,1911
600,1746,3919,1914
531,1719,3924,1913
525,1699,3919,1914
591,1689,3883,1910
600,1699,3855,1914
506,1707,3843,1915
450,1699,3855,1914
520,1682,3856,1898
600,1699,3855,1884
575,1736,3848,1877
525,1746,3855,1884
552,1713,3854,1887
600,1699,3855,1884
592,1725,3849,1868
600,1746,3855,1854
685,1721,3855,1846
751,1699,3855,1854
713,1718,3846,1860
675,1746,3855,1854
743,1728,3861,1833
826,1699,3855,1824
786,1706,3819,1824
675,1746,3792,1824
634,1759,3782,1807
675,1746,3792,1794
699,1749,3789,1791
675,1794,3792,1794
656,1834,3793,1780
675,1841,3792,1764
711,1825,3761,1758
751,1841,3729,1764
792,1876,3712,1757
826,1888,3729,1734
832,1857,3738,1709
826,1841,3729,1705
822,1861,3691,1708
826,1888,3666,1705
826,1884,3654,1685
826,1888,3666,1675
823,1916,3667,1674
826,1935,3666,1675
846,1907,3657,1658
901,1888,3666,1645
960,1922,3670,1641
976,1982,3666,1645
936,1997,3633,1632
901,1982,3603,1615
917,1987,3586,1606
976,2030,3603,1615
1025,2065,3612,1619
1051,2077,3603,1615
1058,2073,3564,1597
1051,2077,3539,1585
1018,2078,3531,1578
976,2077,3539,1585
953,2058,3536,1588
976,2030,3539,1585
1021,1996,3541,1567
1051,1982,3539,1555
1032,1981,3508,1550
976,1982,3476,1555
897,1976,3459,1555
826,1982,3476,1555
