II,MCL,PLETH
4966,1996,8679
5666,2219,9822
5072,1889,8617
4766,1683,7921
5072,1760,8430
5174,1782,8727
4860,1631,8305
4656,1503,7977
4755,1481,8117
4822,1439,8194
4755,1331,7992
4743,1240,7813
4860,1202,7805
5002,1159,7772
5177,1095,7680
5366,1039,7625
5389,1009,7618
5094,981,7565
4649,944,7493
4326,905,7445
4226,880,7431
4224,873,7396
4226,880,7368
4204,881,7324
4226,880,7306
4303,878,7272
4438,880,7243
4563,877,7196
4649,880,7181
4662,889,7171
4649,901,7181
4630,903,7171
4649,901,7181
4687,899,7180
4755,901,7181
4808,900,7144
4860,901,7118
4896,902,7101
4966,901,7118
5028,899,7117
5072,901,7118
5034,913,7106
4966,923,7118
4888,925,7118
4860,923,7118
4852,925,7085
4860,923,7056
4856,918,7015
4860,923,6993
4854,937,6958
4860,944,6931
4904,963,6890
5072,1030,6869
5398,1109,6835
5917,1095,6806
6637,922,6760
7607,601,6744
8760,93,6735
9932,-644,6744
10875,-1470,6716
11411,-2039,6681
11363,-2167,6633
10672,-2039,6619
9446,-1972,6609
8030,-2039,6619
6701,-2101,6614
5600,-2039,6619
4748,-1847,6593
4226,-1524,6556
3992,-1085,6502
3909,-601,6494
3830,-179,6496
3804,150,6494
3849,414,6448
3909,644,6431
3894,832,6430
3909,987,6431
4030,1113,6384
4226,1223,6369
4354,1315,6389
4438,1395,6431
4520,1465,6423
4649,1524,6431
4751,1570,6473
4860,1610,6556
4965,1645,6609
5072,1674,6681
5128,1697,6767
5177,1717,6869
5227,1738,6922
5283,1760,6993
5324,1780,7095
5389,1803,7243
5429,1824,7364
5389,1846,7493
5259,1863,7629
5177,1889,7805
5177,1919,7962
5177,1953,8117
5076,1980,8243
4966,2017,8367
4931,2060,8455
4966,2103,8554
4971,2134,8660
4966,2168,8804
4967,2203,8916
4966,2232,8992
4910,2242,9011
4860,2253,9054
4847,2268,9110
4860,2275,9179
4846,2250,9189
4860,2211,9179
4916,2174,9158
4966,2146,9179
4901,2107,9185
4755,2060,9179
4604,2012,9135
4543,1974,9116
4563,1928,9106
4649,1867,9116
4725,1789,9090
4755,1717,9054
4708,1651,8986
4649,1588,8929
4591,1513,8855
4543,1438,8804
4476,1367,8739
4438,1309,8679
4429,1247,8582
4438,1180,8492
4395,1110,8389
4332,1052,8305
4292,1003,8199
4332,966,8117
4394,930,8039
4438,901,7992
4431,875,7926
4438,858,7868
4474,844,7792
4543,837,7743
4594,833,7694
4649,837,7680
4726,838,7651
4860,837,7618
4989,832,7545
5072,837,7493
5077,847,7447
5072,858,7431
5092,860,7394
5177,858,7368
5283,856,7329
5389,858,7306
5425,858,7262
5389,858,7243
5275,859,7230
5177,858,7243
5100,858,7222
5072,858,7181
5075,868,7106
5177,880,7056
5313,893,7012
5389,901,6993
5311,905,6958
5177,901,6931
5083,898,6891
5072,901,6869
5094,911,6832
5177,923,6806
5335,955,6766
5600,1030,6744
5976,1108,6709
6551,1073,6681
7350,798,6639
8347,258,6619
9416,-459,6589
10460,-1180,6556
11276,-1742,6488
11623,-2039,6431
11268,-2097,6384
10249,-2039,6369
8796,-2005,6339
7291,-2039,6307
6022,-2087,6244
5177,-2039,6182
4722,-1825,6105
4543,-1438,6057
4470,-955,6017
4438,-472,5994
4389,-66,5939
4332,258,5869
4254,514,5770
4226,730,5682
4276,904,5599
4438,1052,5557
4665,1176,5523
4966,1288,5495
5284,1381,5429
5600,1459,5370
5817,1527,5319
5917,1588,5308
5825,1640,5281
5600,1674,5245
5352,1695,5191
5283,1717,5183
5404,1748,5201
5600,1781,5245
5725,1805,5267
5811,1824,5308
5883,1843,5357
5917,1867,5432
5834,1887,5488
5706,1910,5557
5615,1937,5632
5600,1974,5745
5567,2008,5859
5494,2039,5994
5407,2065,6119
5389,2103,6244
5426,2146,6336
5494,2189,6431
5513,2220,6518
5494,2253,6619
5462,2287,6706
5494,2318,6806
5557,2331,6880
5600,2339,6931
5560,2342,6947
5494,2339,6993
5429,2320,7057
5389,2296,7118
5332,2274,7121
5283,2253,7118
5226,2217,7132
5177,2168,7181
5138,2105,7195
5177,2039,7181
5275,1964,7139
5389,1889,7118
5475,1811,7088
5600,1738,7056
5743,1663,6992
5811,1588,6931
5698,1509,6860
5494,1438,6806
5326,1370,6739
5283,1309,6681
5316,1243,6610
5389,1180,6556
5401,1120,6489
5283,1073,6431
4992,1029,6358
4649,987,6307
4368,940,6259
4226,901,6244
4181,872,6215
4226,858,6182
4322,846,6131
4438,837,6119
4476,829,6119
4438,837,6119
4380,849,6079
4438,858,6057
4617,857,6047
4860,858,6057
5046,861,6043
5177,858,6057
5274,843,6084
5389,837,6119
5494,845,6113
5600,858,6119
5668,859,6141
5706,858,6182
5669,867,6181
5600,880,6182
5490,884,6196
5389,880,6244
5268,880,6256
5177,880,6244
5127,880,6220
5177,880,6244
5305,883,6277
5494,880,6307
5672,875,6298
5811,880,6307
5879,899,6327
5917,923,6369
5963,959,6374
6128,1030,6369
6505,1102,6354
7185,1052,6369
8112,729,6371
9192,107,6369
10291,-673,6351
11306,-1374,6369
11983,-1836,6397
12045,-2039,6431
11336,-2074,6428
10038,-2039,6431
8443,-2017,6444
6868,-2039,6494
5557,-2080,6527
4755,-2039,6556
4454,-1830,6571
4438,-1438,6619
4436,-952,6656
4438,-472,6681
4476,-68,6668
4543,258,6681
4548,516,6706
4543,730,6744
4571,903,6740
4649,1052,6744
4725,1177,6756
4860,1288,6806
5030,1381,6835
5177,1459,6869
5192,1528,6886
5177,1588,6931
5224,1637,6974
5389,1674,7056
5561,1704,7140
5706,1738,7243
5810,1775,7323
5917,1803,7431
5990,1815,7542
6023,1824,7680
6011,1840,7797
6023,1867,7930
6065,1897,8050
6128,1932,8180
6147,1964,8285
6128,1996,8430
6074,2024,8598
6023,2060,8804
5959,2102,8972
5917,2146,9116
5892,2178,9212
5917,2211,9304
5963,2248,9362
6023,2296,9429
6015,2336,9480
5917,2361,9554
5739,2364,9609
5600,2361,9678
5526,2351,9732
5494,2339,9803
5433,2319,9841
5389,2296,9866
5373,2266,9852
5389,2232,9866
5379,2189,9886
5389,2146,9928
5425,2096,9929
5494,2039,9928
5545,1965,9911
5600,1889,9928
5627,1811,9927
5600,1738,9928
5489,1662,9891
5389,1588,9866
5324,1511,9824
5283,1438,9803
5213,1360,9762
5177,1288,9741
5178,1218,9701
5177,1159,9678
5116,1102,9634
5072,1052,9616
5067,1004,9580
5072,966,9554
5013,930,9503
4966,901,9491
4959,875,9484
4966,858,9491
4908,846,9453
4860,837,9429
4878,824,9409
4966,816,9429
5026,810,9424
5072,816,9429
5113,823,9415
5177,837,9429
5225,849,9421
5283,858,9429
5334,859,9417
5389,858,9429
5451,856,9421
5600,858,9429
5787,859,9416
5917,858,9429
5889,857,9423
5811,858,9429
5770,867,9412
5811,880,9429
5824,894,9432
5811,901,9429
5786,904,9381
5811,901,9366
5828,901,9361
5811,901,9366
5750,902,9324
5706,901,9304
5661,905,9295
5600,923,9304
5527,964,9264
5600,1030,9241
5955,1086,9229
6657,1052,9241
7595,805,9205
8664,279,9179
9748,-465,9162
10777,-1223,9179
11574,-1781,9152
11940,-2039,9116
11646,-2077,9066
10672,-2039,9054
9191,-2026,9023
7607,-2039,8992
6271,-2056,8921
5389,-2039,8867
4890,-1927,8812
4649,-1631,8804
4536,-1158,8798
4543,-622,8804
4600,-169,8771
4649,172,8742
4633,443,8696
4649,687,8679
4754,889,8643
4966,1052,8617
5182,1186,8569
5389,1309,8554
5554,1409,8541
5706,1481,8554
5781,1535,8546
5811,1588,8554
5795,1645,8546
5811,1695,8554
5846,1731,8541
5917,1760,8554
5972,1791,8568
6023,1824,8617
6059,1849,8643
6128,1867,8679
6216,1884,8712
6340,1910,8804
6477,1939,8899
6657,1974,8992
6835,2007,9038
6974,2039,9116
6983,2066,9205
6868,2103,9304
6654,2144,9354
6445,2189,9429
6289,2228,9516
6234,2275,9616
6224,2321,9649
6234,2361,9678
6222,2376,9719
6234,2382,9803
6242,2389,9845
6234,2404,9866
6173,2409,9854
6128,2404,9866
6114,2384,9859
6128,2361,9866
6091,2329,9854
6023,2296,9866
5942,2256,9861
5917,2211,9866
5936,2156,9833
6023,2103,9803
6129,2045,9755
6234,1974,9741
6266,1886,9712
6234,1803,9678
6132,1726,9603
6023,1653,9554
5930,1566,9511
5917,1481,9491
5956,1402,9429
6023,1331,9366
6040,1252,9287
6023,1180,9241
5966,1119,9192
5917,1073,9179
5856,1026,9150
5811,987,9116
5755,952,9039
5706,923,8992
5640,887,8952
5600,858,8929
5577,840,8859
5600,837,8804
5640,835,8756
5706,837,8742
5728,836,8701
5706,837,8679
5662,833,8662
5706,837,8679
5815,846,8674
5917,858,8679
5924,861,8669
5917,858,8679
5945,854,8669
6023,858,8679
6074,860,8675
6128,858,8679
6181,853,8643
6234,858,8617
6200,872,8594
6128,880,8617
6073,880,8622
6128,880,8617
6204,890,8573
6234,901,8554
6175,907,8541
6128,901,8554
6116,897,8545
6128,901,8554
6111,906,8552
6128,901,8554
6201,923,8516
6340,1009,8492
6524,1107,8473
6868,1116,8492
7445,1005,8491
8241,794,8492
9095,370,8459
9932,-408,8430
10716,-1371,8381
11411,-2039,8367
11764,-2173,8358
11517,-2039,8367
10566,-1994,8337
9192,-2039,8305
7781,-2039,8259
6657,-2039,8242
5869,-2103,8208
5389,-2039,8180
5102,-1644,8132
4966,-1030,8117
4919,-496,8106
4966,-129,8117
5029,174,8091
5072,472,8055
5081,710,8000
5177,880,7992
5368,1022,7990
5600,1159,7992
5763,1267,7951
5917,1352,7930
6072,1430,7916
6234,1502,7930
6307,1554,7919
6340,1588,7930
6337,1618,7946
6340,1653,7992
6316,1687,8014
6340,1717,8055
6423,1741,8098
6551,1760,8180
6625,1778,8240
6657,1803,8305
6681,1833,8351
6762,1867,8430
6840,1892,8509
6868,1910,8617
6813,1924,8705
6762,1953,8804
6742,1994,8884
6762,2039,8992
6763,2071,9084
6762,2103,9179
6725,2141,9235
6657,2189,9304
6566,2228,9360
6551,2253,9429
6573,2264,9459
6551,2275,9491
6428,2286,9509
6340,2296,9554
6333,2292,9581
6340,2275,9616
6238,2243,9617
6128,2211,9616
6120,2176,9580
6234,2146,9554
6321,2107,9511
6340,2060,9491
6292,1998,9453
6234,1932,9429
6130,1857,9386
6023,1781,9366
5961,1702,9330
6023,1631,9304
6115,1565,9241
6128,1502,9179
5989,1429,9100
5811,1352,9054
5672,1278,8993
5600,1223,8929
5533,1178,8824
5494,1137,8742
5454,1091,8665
5389,1052,8617
5263,1016,8544
5177,987,8492
5158,953,8443
5177,923,8430
5159,896,8394
5177,880,8367
5264,865,8321
5389,858,8305
5424,856,8287
5389,858,8305
5350,857,8305
5389,858,8305
5446,858,8264
5494,858,8242
5522,855,8225
5600,858,8242
5707,867,8239
5811,880,8242
5859,884,8229
5917,880,8242
6008,874,8239
6128,880,8242
6172,892,8227
6128,901,8242
6008,902,8245
5917,901,8242
5873,904,8198
5917,901,8180
5975,891,8171
6023,880,8180
5989,878,8145
5917,880,8117
5836,880,8097
5811,880,8117
5807,889,8118
5811,901,8117
5821,909,8084
5917,923,8055
6093,967,8006
6340,1052,7992
6660,1126,7985
7185,1095,7992
7946,853,7960
8875,365,7930
9810,-325,7889
10672,-1073,7868
11304,-1695,7827
11517,-2039,7805
11133,-2108,7770
10249,-2039,7743
9089,-2000,7693
7924,-2039,7680
6896,-2090,7676
6128,-2039,7680
5635,-1822,7641
5389,-1438,7618
5255,-963,7606
5177,-494,7618
5106,-102,7587
5072,215,7555
5051,473,7530
5072,687,7555
5130,850,7564
5283,987,7555
5489,1110,7509
5706,1223,7493
5813,1316,7484
5811,1395,7493
5702,1467,7477
5600,1524,7493
5542,1561,7517
5600,1588,7555
5733,1620,7551
5917,1653,7555
6052,1677,7567
6128,1695,7618
6162,1716,7647
6234,1738,7680
6309,1758,7699
6340,1781,7743
6284,1804,7767
6234,1824,7805
6223,1839,7842
6234,1867,7930
6189,1908,8021
6128,1953,8117
6071,1985,8172
6023,2017,8242
5921,2056,8320
5811,2103,8430
5726,2139,8502
5706,2168,8554
5700,2189,8572
5706,2211,8617
5673,2222,8668
5600,2232,8742
5477,2235,8780
5389,2232,8804
5359,2219,8795
5389,2211,8804
5399,2197,8802
5389,2168,8804
5340,2114,8769
5283,2060,8742
5208,2016,8702
5177,1974,8679
5200,1914,8638
5283,1846,8617
5351,1778,8584
5389,1717,8554
5384,1645,8487
5389,1567,8430
5392,1492,8360
5389,1438,8305
5314,1387,8228
5177,1331,8180
4999,1261,8139
4860,1202,8117
4746,1155,8056
4649,1116,7992
4555,1070,7916
4543,1030,7868
4620,995,7799
4755,966,7743
4866,929,7686
4966,901,7680
5037,885,7678
5072,880,7680
5026,868,7641
4966,858,7618
4934,854,7601
4966,858,7618
5007,857,7614
5072,858,7618
5157,865,7607
5283,880,7618
5370,892,7611
5389,901,7618
5331,903,7609
5283,901,7618
5264,897,7611
5283,901,7618
5306,911,7610
5389,923,7618
5528,925,7610
5706,923,7618
5798,922,7610
5811,923,7618
5777,925,7609
5811,923,7618
5874,921,7611
5917,923,7618
5871,927,7608
5811,923,7618
5784,918,7614
5811,923,7618
5820,934,7604
5811,944,7618
5808,968,7620
5917,1030,7618
6206,1095,7575
6762,1073,7555
7564,900,7546
8558,579,7555
9624,103,7523
10672,-537,7493
11512,-1248,7471
11940,-1803,7493
11758,-2045,7497
10989,-2039,7493
9788,-2000,7454
8453,-2039,7431
7236,-2097,7411
6340,-2039,7431
5753,-1805,7436
5389,-1416,7431
5123,-960,7386
4966,-515,7368
4892,-132,7359
4860,193,7368
4767,463,7351
4649,687,7368
4581,862,7395
4649,1009,7431
4768,1128,7421
4860,1223,7431
4860,1298,7452
4860,1374,7493
4889,1453,7488
4966,1524,7493
4988,1573,7507
4966,1610,7555
4926,1645,7579
4966,1674,7618
5059,1688,7663
5177,1695,7743
5275,1712,7799
5389,1738,7868
5501,1761,7939
5600,1781,8055
5650,1801,8155
5706,1824,8242
5769,1844,8291
5811,1867,8367
5745,1894,8450
5600,1932,8554
5449,1972,8636
5389,2017,8742
5384,2054,8837
5389,2082,8929
5343,2099,8978
5283,2125,9054
5219,2157,9143
5177,2189,9241
5122,2203,9277
5072,2211,9304
5014,2212,9324
4966,2211,9366
4903,2193,9369
4860,2168,9366
4837,2142,9352
4860,2125,9366
4901,2099,9363
4966,2060,9366
5017,2006,9337
5072,1953,9304
5143,1900,9233
5283,1846,9179
5425,1781,9129
5494,1717,9116
5445,1652,9086
5389,1588,9054
5377,1514,8987
5389,1438,8929
5314,1366,8855
5177,1309,8804
5038,1255,8739
4966,1202,8679
4915,1144,8569
4860,1095,8430
4762,1050,8236
4649,1009,8055
4524,962,7894
4438,923,7805
4398,894,7734
4438,880,7680
4524,867,7602
4649,858,7555
4762,854,7515
4860,858,7493
4917,860,7446
4966,858,7431
5006,854,7423
5072,858,7431
5131,868,7395
5177,880,7368
5180,882,7349
5177,880,7368
5169,877,7366
5177,880,7368
5171,881,7357
5177,880,7368
5174,877,7362
5177,880,7368
5136,890,7360
5072,901,7368
4961,907,7360
4860,901,7368
4768,897,7362
4755,901,7368
4820,916,7357
4966,923,7368
5099,922,7368
5177,923,7368
5179,926,7333
5177,923,7306
5227,931,7269
5389,987,7243
5640,1075,7198
6023,1116,7181
6616,1044,7173
7502,837,7181
8531,434,7151
9509,-215,7118
10374,-1004,7075
11200,-1653,7056
11742,-1974,7020
11517,-2039,6993
10298,-2037,6954
8558,-2039,6931
6959,-2040,6893
5811,-2039,6869
4992,-2003,6831
4438,-1803,6806
4183,-1376,6764
4226,-837,6744
4360,-372,6728
4438,-21,6744
4431,271,6745
4438,537,6744
4448,744,6707
4438,901,6681
4395,1034,6658
4438,1159,6681
4578,1262,6708
4755,1352,6744
4834,1434,6743
4860,1502,6744
4857,1549,6730
4860,1588,6744
4832,1632,6758
4860,1674,6806
4955,1700,6856
5072,1717,6931
5126,1736,6986
5177,1760,7056
5269,1781,7126
5389,1803,7243
5454,1824,7364
5494,1846,7493
5539,1863,7582
5600,1889,7680
5616,1919,7784
5600,1953,7930
5551,1981,8059
5494,2017,8180
5421,2060,8265
5389,2103,8367
5389,2134,8459
5389,2168,8554
5307,2202,8613
5177,2232,8679
5044,2243,8735
4966,2253,8804
4908,2267,8837
4860,2275,8867
4797,2258,8885
4755,2232,8929
4731,2208,8942
4755,2189,8929
4797,2159,8878
4860,2125,8867
4911,2085,8868
4966,2039,8867
5011,1976,8803
5072,1910,8742
5125,1845,8693
5177,1781,8679
5191,1705,8625
5177,1631,8554
5124,1563,8470
5072,1502,8430
5012,1430,8392
4966,1352,8367
4910,1271,8307
4860,1202,8242
4771,1141,8143
4649,1095,8055
4509,1051,7968
4438,1009,7930
4426,960,7896
4438,923,7868
4419,897,7798
4438,880,7743
4520,857,7694
4649,837,7680
4724,822,7647
4755,816,7618
4780,810,7572
4860,816,7555
4934,826,7541
4966,837,7555
4945,836,7555
4966,837,7555
5049,845,7519
5177,858,7493
5256,862,7471
5283,858,7493
5272,854,7501
5283,858,7493
5286,861,7446
5283,858,7431
5227,855,7427
5177,858,7431
5168,871,7390
5283,880,7368
5452,881,7359
5600,880,7368
5631,883,7334
5600,880,7306
5570,875,7289
5600,880,7306
5623,896,7283
5600,901,7243
5550,911,7189
5600,966,7181
5784,1048,7178
6128,1073,7181
6698,990,7147
7607,794,7118
8708,398,7078
9721,-300,7056
10510,-1169,7018
11200,-1824,6993
11644,-2058,6956
11411,-2039,6931
10290,-2026,6890
8770,-2039,6869
7464,-2024,6835
6551,-2039,6806
5799,-2099,6757
5177,-1996,6744
4815,-1569,6740
4755,-966,6744
4777,-462,6706
4755,-107,6681
4681,206,6669
4649,515,6681
4638,746,6653
4649,901,6619
4665,1038,6590
4755,1180,6619
4901,1291,6651
5072,1374,6681
5131,1451,6673
5072,1524,6681
4931,1575,6696
4860,1610,6744
4872,1649,6773
4966,1695,6806
5089,1735,6822
5283,1760,6869
5533,1779,6917
5811,1803,6993
6016,1828,7068
6128,1846,7181
6144,1853,7297
6128,1867,7431
6108,1893,7544
6128,1932,7680
6146,1964,7805
6128,1996,7930
6030,2026,8016
5917,2060,8117
5833,2090,8228
5811,2125,8367
5777,2163,8469
5706,2211,8554
5591,2249,8608
5494,2275,8679
5393,2285,8737
5283,2296,8804
5176,2308,8839
5177,2318,8867
5276,2311,8861
5389,2296,8867
5405,2275,8859
5389,2253,8867
5409,2216,8857
5494,2168,8867
5559,2110,8864
5600,2060,8867
5604,2010,8833
5600,1953,8804
5581,1880,8762
5600,1803,8742
5622,1725,8705
5600,1653,8679
5494,1575,8622
5389,1502,8554
5294,1433,8450
5177,1374,8367
4998,1309,8290
4860,1245,8242
4795,1176,8173
4755,1116,8117
4670,1064,8047
4649,1030,7992
4760,999,7918
4966,966,7868
5111,920,7821
5177,880,7805
5186,851,7770
5177,837,7743
5122,824,7700
5072,816,7680
5049,810,7644
5072,816,7618
5072,824,7572
5072,837,7555
5089,848,7541
5177,858,7555
5289,861,7551
5389,858,7555
5411,854,7545
5389,858,7555
5358,869,7550
5389,880,7555
5415,882,7544
5389,880,7555
5268,879,7554
5177,880,7555
5171,882,7519
5283,880,7493
5429,878,7472
5600,880,7493
5733,891,7500
5811,901,7493
5812,905,7449
5811,901,7431
5817,898,7422
5811,901,7431
5767,933,7401
5811,1009,7368
6054,1077,7325
6551,1052,7306
7247,887,7269
8136,579,7243
9166,68,7203
10249,-687,7181
11171,-1507,7142
11728,-2039,7118
11692,-2143,7081
10989,-2039,7056
9719,-2003,7015
8241,-2039,6993
6899,-2049,6959
5917,-2039,6931
5291,-2028,6884
4966,-1867,6869
4814,-1439,6862
4755,-858,6869
4698,-360,6835
4649,0,6806
4588,305,6785
4543,601,6806
4505,832,6810
4543,987,6806
4663,1105,6767
4860,1223,6744
5009,1329,6725
5072,1416,6744
5050,1488,6746
5072,1545,6744
5121,1590,6721
5177,1631,6744
5198,1675,6776
5283,1717,6806
5435,1752,6790
5600,1781,6806
5699,1805,6854
5811,1824,6931
5971,1841,6962
6128,1867,6993
6165,1899,7033
6128,1932,7118
6100,1952,7198
6128,1974,7306
6142,2001,7420
6128,2039,7555
6077,2078,7652
6023,2125,7743
5958,2169,7822
5917,2211,7930
5843,2240,8023
5706,2275,8117
5510,2310,8178
5389,2339,8242
5366,2350,8291
5389,2361,8367
5372,2373,8431
5389,2382,8492
5476,2366,8517
5600,2339,8554
5634,2313,8583
5600,2296,8617
5565,2270,8613
5600,2232,8617
5626,2180,8611
5600,2125,8617
5521,2062,8585
5494,1996,8554
5530,1922,8511
5600,1846,8492
5620,1761,8456
5600,1674,8430
5519,1583,8372
5389,1502,8305
5208,1431,8201
5072,1374,8117
4996,1311,8041
4966,1245,7992
4937,1173,7923
4966,1116,7868
5032,1069,7798
5072,1030,7743
5018,986,7666
4966,944,7618
4958,906,7574
4966,880,7555
4908,855,7516
4860,837,7493
4879,822,7457
4966,816,7431
5024,812,7382
5072,816,7368
5119,823,7362
5177,837,7368
5186,849,7332
5177,858,7306
5166,859,7288
5177,858,7306
5170,856,7303
5177,858,7306
