II,V,PLETH,RESP
85,-605,-2858,-3175
87,-707,-3094,-3418
70,-718,-2786,-3055
66,-798,-2967,-3232
55,-854,-3012,-3256
40,-899,-2997,-3211
29,-938,-2979,-3168
28,-967,-3018,-3191
39,-966,-3056,-3218
62,-922,-3052,-3201
91,-850,-3043,-3181
124,-773,-3059,-3190
152,-714,-3076,-3203
173,-683,-3071,-3194
189,-686,-3061,-3187
201,-711,-3055,-3191
209,-741,-3036,-3194
211,-763,-3000,-3188
205,-774,-2953,-3183
193,-777,-2908,-3186
175,-777,-2854,-3183
156,-781,-2804,-3180
140,-792,-2756,-3180
127,-808,-2704,-3177
117,-829,-2644,-3177
109,-852,-2569,-3173
101,-882,-2482,-3175
95,-913,-2385,-3172
90,-954,-2289,-3176
87,-995,-2195,-3172
84,-1045,-2105,-3176
80,-1092,-2011,-3171
75,-1149,-1910,-3175
67,-1202,-1795,-3168
58,-1262,-1677,-3172
47,-1314,-1559,-3164
36,-1370,-1454,-3171
26,-1411,-1354,-3162
17,-1456,-1264,-3170
7,-1489,-1162,-3161
-2,-1530,-1051,-3169
-11,-1562,-915,-3157
-19,-1605,-770,-3165
-26,-1642,-613,-3154
-30,-1691,-467,-3162
-34,-1741,-327,-3153
-39,-1808,-214,-3161
-47,-1884,-116,-3153
-59,-1979,-46,-3161
-76,-2079,14,-3153
-94,-2183,56,-3158
-112,-2271,100,-3150
-125,-2337,141,-3153
-132,-2368,192,-3146
-133,-2371,244,-3150
-129,-2347,304,-3145
-121,-2316,362,-3149
-110,-2280,421,-3145
-93,-2247,471,-3148
-69,-2206,515,-3144
-34,-2151,547,-3145
12,-2070,571,-3141
66,-1968,584,-3141
123,-1856,594,-3137
174,-1756,600,-3139
215,-1679,604,-3136
243,-1639,605,-3138
259,-1625,602,-3135
267,-1631,593,-3137
269,-1639,579,-3132
268,-1650,560,-3134
264,-1655,536,-3128
258,-1665,511,-3132
251,-1669,485,-3127
243,-1681,461,-3133
235,-1683,436,-3127
229,-1690,412,-3133
223,-1687,387,-3126
218,-1693,362,-3132
214,-1692,336,-3122
211,-1707,313,-3128
210,-1713,292,-3118
209,-1736,274,-3127
209,-1746,256,-3117
207,-1772,239,-3126
201,-1789,218,-3116
192,-1821,196,-3123
180,-1842,170,-3113
168,-1870,144,-3119
158,-1884,119,-3110
153,-1901,96,-3116
150,-1907,74,-3109
147,-1922,54,-3115
137,-1932,33,-3109
119,-1950,10,-3114
94,-1962,-18,-3108
67,-1981,-50,-3111
40,-2002,-86,-3105
17,-2041,-121,-3106
-4,-2095,-155,-3101
-23,-2170,-185,-3103
-42,-2255,-211,-3100
-62,-2345,-235,-3102
-79,-2420,-258,-3100
-90,-2475,-285,-3102
-93,-2500,-317,-3099
-85,-2501,-356,-3100
-68,-2477,-401,-3096
-43,-2447,-453,-3097
-15,-2413,-506,-3092
15,-2388,-560,-3094
45,-2357,-609,-3090
80,-2317,-654,-3092
119,-2247,-692,-3087
163,-2153,-728,-3090
208,-2031,-758,-3084
249,-1914,-792,-3088
277,-1809,-824,-3082
294,-1745,-865,-3089
297,-1713,-906,-3082
298,-1711,-959,-3089
293,-1720,-1009,-3080
297,-1735,-1066,-3087
295,-1745,-1114,-3076
305,-1763,-1164,-3084
303,-1772,-1199,-3073
308,-1800,-1233,-3082
305,-1812,-1257,-3072
306,-1843,-1285,-3081
305,-1850,-1309,-3072
309,-1875,-1342,-3080
316,-1881,-1373,-3072
326,-1906,-1409,-3077
338,-1922,-1434,-3069
349,-1949,-1459,-3073
358,-1942,-1478,-3066
372,-1882,-1504,-3070
410,-1704,-1534,-3064
510,-1394,-1577,-3068
717,-962,-1623,-3063
1066,-502,-1670,-3065
1548,-139,-1705,-3060
2095,-18,-1733,-3060
2585,-225,-1754,-3056
2880,-779,-1776,-3058
2886,-1603,-1800,-3055
2596,-2567,-1832,-3057
2096,-3508,-1867,-3055
1530,-4279,-1905,-3057
1030,-4765,-1939,-3054
671,-4918,-1973,-3055
452,-4757,-2001,-3051
324,-4381,-2029,-3052
229,-3915,-2049,-3047
131,-3490,-2071,-3051
27,-3176,-2086,-3046
-70,-2997,-2103,-3051
-144,-2906,-2115,-3046
-188,-2862,-2135,-3052
-208,-2809,-2152,-3045
-208,-2746,-2183,-3050
-200,-2666,-2209,-3041
-184,-2588,-2246,-3047
-168,-2508,-2268,-3037
-141,-2425,-2295,-3045
-117,-2325,-2303,-3036
-74,-2214,-2316,-3045
-35,-2078,-2312,-3036
15,-1955,-2317,-3045
52,-1829,-2308,-3035
85,-1748,-2308,-3042
106,-1676,-2295,-3032
125,-1655,-2292,-3038
145,-1638,-2280,-3029
171,-1653,-2277,-3035
197,-1663,-2265,-3028
217,-1689,-2259,-3033
223,-1703,-2243,-3027
212,-1717,-2233,-3030
188,-1710,-2215,-3024
162,-1695,-2201,-3026
142,-1661,-2181,-3020
134,-1625,-2164,-3023
137,-1584,-2140,-3019
143,-1551,-2120,-3022
149,-1521,-2098,-3019
150,-1501,-2083,-3021
150,-1484,-2070,-3018
151,-1476,-2062,-3019
156,-1464,-2052,-3015
163,-1455,-2043,-3015
170,-1440,-2029,-3011
177,-1422,-2015,-3013
181,-1398,-1995,-3010
185,-1371,-1976,-3014
191,-1332,-1952,-3010
203,-1288,-1930,-3014
219,-1231,-1903,-3009
242,-1176,-1881,-3013
265,-1121,-1853,-3006
289,-1085,-1832,-3010
312,-1060,-1806,-3002
338,-1056,-1787,-3008
364,-1054,-1760,-3001
395,-1070,-1738,-3008
424,-1090,-1705,-3000
448,-1139,-1679,-3009
460,-1200,-1644,-2999
457,-1289,-1619,-3007
440,-1365,-1587,-2995
417,-1432,-1567,-3003
393,-1457,-1539,-2992
377,-1460,-1516,-3000
372,-1438,-1481,-2992
375,-1432,-1447,-2998
382,-1444,-1402,-2991
389,-1495,-1363,-2996
394,-1562,-1323,-2988
399,-1641,-1295,-2991
406,-1702,-1270,-2985
415,-1745,-1253,-2988
425,-1761,-1230,-2983
432,-1769,-1204,-2987
429,-1775,-1166,-2983
416,-1797,-1121,-2986
393,-1832,-1071,-2982
363,-1884,-1021,-2983
330,-1939,-971,-2979
296,-1993,-924,-2979
263,-2032,-879,-2976
233,-2057,-835,-2977
205,-2061,-792,-2974
180,-2057,-745,-2977
158,-2043,-697,-2974
137,-2034,-634,-2977
117,-2026,-561,-2973
95,-2026,-473,-2975
74,-2024,-386,-2970
51,-2028,-299,-2972
29,-2028,-226,-2967
8,-2037,-151,-2971
-10,-2039,-77,-2965
-23,-2050,26,-2971
-32,-2050,146,-2965
-40,-2059,294,-2972
-48,-2058,436,-2964
-64,-2073,583,-2970
-86,-2080,708,-2960
-114,-2104,844,-2967
-141,-2116,978,-2956
-162,-2139,1151,-2965
-173,-2146,1344,-2955
-179,-2165,1577,-2964
-183,-2173,1817,-2955
-194,-2193,2072,-2963
-212,-2201,2314,-2955
-236,-2214,2548,-2960
-260,-2218,2750,-2952
-283,-2236,2928,-2956
-302,-2260,3073,-2949
-320,-2311,3206,-2953
-339,-2373,3334,-2946
-359,-2447,3479,-2949
-379,-2506,3644,-2943
-395,-2543,3832,-2945
-403,-2544,4029,-2940
-403,-2516,4224,-2941
-394,-2463,4400,-2938
-381,-2407,4550,-2941
-366,-2352,4664,-2938
-351,-2307,4746,-2940
-333,-2257,4791,-2937
-309,-2193,4814,-2938
-275,-2098,4819,-2934
-233,-1975,4820,-2934
-188,-1833,4815,-2931
-149,-1701,4817,-2933
-122,-1594,4814,-2929
-110,-1528,4819,-2933
-110,-1489,4814,-2930
-116,-1473,4820,-2934
-123,-1455,4814,-2928
-129,-1438,4821,-2932
-133,-1410,4813,-2925
-136,-1391,4822,-2929
-140,-1372,4812,-2921
-146,-1372,4823,-2927
-150,-1372,4812,-2920
-155,-1385,4824,-2927
-157,-1387,4811,-2919
-156,-1395,4825,-2928
-148,-1387,4810,-2918
-135,-1389,4825,-2926
-115,-1379,4810,-2915
-92,-1387,4825,-2922
-67,-1390,4811,-2912
-46,-1410,4824,-2919
-30,-1422,4811,-2911
-25,-1440,4823,-2918
-26,-1445,4812,-2911
-34,-1447,4822,-2917
-43,-1434,4813,-2910
-51,-1421,4821,-2914
-57,-1403,4813,-2907
-60,-1391,4819,-2909
-63,-1381,4813,-2904
-67,-1380,4818,-2906
-72,-1384,4813,-2902
-81,-1394,4817,-2905
-94,-1404,4812,-2903
-111,-1419,4816,-2904
-133,-1442,4812,-2901
-160,-1477,4816,-2902
-191,-1521,4812,-2898
-223,-1571,4816,-2898
-254,-1617,4812,-2895
-278,-1644,4816,-2896
-295,-1642,4812,-2893
-302,-1612,4817,-2896
-301,-1560,4813,-2894
-295,-1498,4818,-2897
-286,-1433,4813,-2892
-272,-1370,4820,-2895
-253,-1301,4813,-2889
-224,-1218,4821,-2892
-187,-1109,4813,-2886
-141,-978,4822,-2891
-95,-841,4812,-2884
-50,-706,4823,-2891
-24,-600,4812,-2884
0,-524,4824,-2891
4,-485,4812,-2882
14,-478,4825,-2889
17,-484,4811,-2879
29,-512,4825,-2886
39,-532,4812,-2875
48,-562,4824,-2883
50,-564,4812,-2875
43,-567,4823,-2882
30,-546,4813,-2875
11,-529,4823,-2881
-6,-497,4812,-2874
-21,-447,4812,-2878
-19,-336,4785,-2871
18,-126,4753,-2874
130,216,4684,-2868
358,659,4602,-2871
738,1128,4492,-2867
1254,1488,4382,-2869
1833,1615,4265,-2865
2345,1422,4166,-2867
2647,908,4076,-2862
2640,146,4001,-2862
2320,-738,3923,-2859
1781,-1602,3846,-2860
1177,-2319,3758,-2858
649,-2792,3664,-2860
280,-2969,3550,-2858
69,-2856,3425,-2860
-35,-2518,3279,-2856
-98,-2062,3121,-2858
-165,-1609,2950,-2853
-245,-1250,2793,-2855
-331,-1028,2659,-2850
-411,-934,2561,-2853
-477,-931,2481,-2849
-529,-970,2416,-2854
-568,-1016,2335,-2848
-598,-1043,2243,-2854
-616,-1044,2116,-2847
-622,-1008,1984,-2852
-622,-952,1840,-2843
-609,-874,1714,-2849
-601,-797,1587,-2840
-583,-722,1491,-2847
-569,-649,1403,-2838
-546,-577,1346,-2847
-518,-478,1289,-2838
-483,-363,1251,-2846
-441,-214,1200,-2838
-399,-66,1155,-2843
-362,83,1094,-2835
-335,198,1042,-2839
-318,279,988,-2832
-308,321,949,-2836
-302,341,908,-2831
-298,347,875,-2835
-292,351,834,-2831
-289,357,795,-2834
-286,367,747,-2829
-286,379,706,-2831
-283,393,668,-2826
-279,410,640,-2827
-270,433,611,-2823
-259,459,585,-2824
-247,485,554,-2822
-236,506,521,-2824
-225,525,483,-2822
-214,541,445,-2823
-201,558,407,-2820
-185,579,370,-2821
-169,608,332,-2817
-156,642,296,-2818
-146,678,263,-2814
-141,715,234,-2817
-136,755,208,-2813
-131,799,183,-2817
-121,846,159,-2813
-106,896,134,-2818
-87,943,108,-2811
-67,983,85,-2816
-46,1014,64,-2808
-29,1036,46,-2813
-18,1049,30,-2804
-15,1053,15,-2811
-20,1040,0,-2802
-30,1006,-14,-2811
-39,942,-30,-2802
-47,847,-46,-2811
-48,722,-64,-2801
-45,582,-85,-2808
-35,440,-108,-2798
-23,314,-131,-2804
-9,212,-154,-2795
5,136,-176,-2801
16,75,-199,-2795
20,19,-222,-2800
17,-44,-242,-2795
7,-111,-259,-2799
-4,-173,-273,-2794
-13,-215,-285,-2796
-13,-227,-296,-2790
-4,-204,-309,-2791
12,-156,-327,-2787
30,-98,-347,-2788
41,-50,-366,-2786
44,-23,-381,-2787
37,-20,-394,-2786
25,-33,-404,-2788
12,-54,-413,-2786
2,-71,-422,-2787
-4,-82,-433,-2784
-8,-85,-442,-2786
-10,-87,-450,-2781
-15,-91,-454,-2782
-20,-99,-456,-2778
-27,-112,-455,-2781
-35,-125,-451,-2777
-41,-142,-440,-2781
-45,-158,-422,-2777
-48,-181,-390,-2782
