I,MCL,ABP,RESP
12609,13276,8593,2051
14330,15044,9761,2332
12711,13276,8653,2074
11857,12342,8070,1944
12711,13276,8653,2096
13188,13876,8985,2192
12609,13371,8593,2119
12232,13015,8305,2074
12609,13371,8473,2142
12894,13599,8554,2188
12711,13371,8352,2165
12521,13177,8201,2152
12609,13276,8232,2188
12683,13338,8204,2212
12609,13276,8052,2210
12484,13231,7902,2210
12406,13276,7812,2233
12332,13285,7702,2258
12304,13276,7571,2279
12304,13265,7441,2291
12304,13276,7331,2301
12245,13259,7208,2308
12203,13276,7091,2324
12162,13264,6954,2341
12203,13276,6850,2370
12248,13259,6753,2395
12304,13276,6670,2415
12322,13286,6564,2422
12406,13371,6490,2438
12509,13513,6426,2459
12609,13753,6370,2484
12608,13948,6270,2493
12609,14040,6189,2507
12630,13956,6136,2524
12711,13849,6129,2552
12758,13765,6101,2566
12813,13753,6069,2575
12827,13701,6026,2580
12813,13658,6009,2598
12704,13645,5977,2610
12609,13753,5949,2620
12558,13849,5907,2625
12609,13849,5889,2643
12686,13646,5875,2665
12813,13371,5889,2689
12898,13091,5891,2698
12915,12894,5889,2712
12783,12670,5853,2729
12609,12416,5829,2757
12398,12126,5812,2771
12203,11939,5829,2780
11996,11844,5833,2783
11898,11843,5829,2803
11854,11831,5792,2824
11796,11843,5769,2848
11626,11833,5753,2858
11491,11843,5769,2871
11447,11820,5771,2880
11491,11843,5769,2894
11485,11879,5735,2901
11491,11939,5709,2917
11491,11913,5689,2927
11491,11843,5709,2939
11438,11732,5718,2943
11491,11652,5709,2962
11656,11459,5664,2985
11898,11079,5648,3008
12111,10467,5648,3007
12406,9837,5648,3008
12658,9283,5609,3013
12609,8882,5588,3031
11988,8603,5585,3039
10982,8596,5588,3053
9837,8883,5551,3064
8847,9455,5528,3076
8257,10127,5523,3072
8440,10792,5528,3076
9286,11142,5493,3084
10271,10983,5468,3099
10810,10364,5461,3098
10982,9837,5468,3099
11078,9782,5435,3104
11287,10219,5408,3122
11481,10790,5399,3125
11694,11365,5408,3122
11935,11873,5379,3112
12203,12321,5348,3122
12337,12601,5332,3134
12406,12798,5348,3145
12468,12917,5331,3139
12609,12989,5288,3145
12723,12967,5234,3154
12813,12989,5228,3167
12821,13070,5233,3163
12813,13180,5228,3167
12778,13186,5186,3176
12813,13180,5168,3190
12867,13199,5166,3187
12915,13276,5168,3190
12867,13285,5130,3198
12813,13276,5108,3213
12775,13251,5104,3210
12813,13276,5108,3213
12821,13271,5072,3220
12813,13276,5048,3236
12775,13258,5042,3235
12813,13276,5048,3236
12862,13265,5012,3240
12915,13276,4987,3259
12900,13261,4982,3261
12915,13276,4987,3259
12915,13263,4953,3249
12915,13276,4927,3259
12869,13262,4920,3269
12915,13276,4927,3281
13019,13263,4896,3279
13118,13276,4867,3281
13047,13261,4856,3278
12915,13276,4867,3281
12830,13264,4841,3276
12915,13276,4807,3281
13030,13260,4786,3288
13118,13276,4807,3304
13111,13265,4816,3305
13118,13276,4807,3304
13110,13259,4768,3296
13118,13276,4747,3304
13091,13246,4734,3312
13118,13180,4747,3327
13133,13023,4746,3327
13118,12894,4747,3327
12998,12803,4733,3320
12915,12798,4747,3327
12885,12759,4766,3334
12915,12703,4807,3350
12870,12587,4848,3351
12813,12512,4927,3350
12743,12467,5012,3341
12711,12512,5108,3350
12642,12529,5182,3359
12609,12512,5288,3372
12589,12450,5420,3369
12609,12512,5588,3372
12592,12651,5737,3378
12609,12798,5889,3395
12616,12831,6030,3398
12609,12894,6189,3395
12502,13014,6331,3385
12406,13180,6490,3395
12357,13239,6653,3406
12406,13276,6850,3418
12421,13310,7033,3413
12406,13371,7211,3418
12333,13333,7357,3426
12304,13276,7511,3441
12283,13230,7655,3439
12304,13276,7812,3441
12295,13316,7938,3445
12304,13371,8052,3464
12289,13375,8135,3466
12304,13371,8232,3464
12293,13331,8320,3454
12304,13371,8413,3464
12290,13454,8474,3474
12304,13562,8533,3486
12293,13573,8565,3482
12304,13562,8593,3486
12289,13536,8588,3493
12304,13562,8593,3509
12295,13557,8589,3510
12304,13562,8593,3509
12286,13542,8565,3503
12304,13562,8533,3509
12303,13554,8472,3508
12304,13562,8413,3509
12247,13541,8337,3502
12203,13562,8292,3509
12137,13557,8240,3517
12101,13562,8172,3532
12064,13534,8048,3532
12101,13562,7932,3532
12123,13574,7828,3526
12101,13562,7752,3532
11976,13452,7637,3531
11898,13371,7511,3532
11876,13332,7375,3525
11898,13371,7271,3532
11839,13371,7151,3540
11796,13371,7031,3555
11804,13321,6892,3554
11898,13276,6790,3555
11925,13217,6694,3549
11898,13276,6610,3555
11839,13401,6505,3552
11898,13562,6430,3555
12029,13670,6362,3550
12203,13849,6309,3555
12282,14059,6234,3552
12304,14231,6189,3555
12276,14213,6156,3549
12304,14135,6129,3555
12347,14063,6058,3554
12406,14040,6009,3555
12378,13943,5991,3539
12304,13849,6009,3532
12205,13795,5987,3526
12203,13849,5949,3532
12244,13873,5901,3529
12304,13849,5889,3532
12321,13723,5879,3528
12406,13562,5889,3532
12524,13297,5888,3528
12609,12989,5889,3532
12510,12677,5856,3530
12304,12512,5829,3532
12036,12421,5809,3518
11796,12321,5829,3509
11548,12108,5836,3500
11389,11939,5829,3509
11305,11879,5788,3511
11287,11939,5769,3509
11230,11950,5762,3492
11186,11939,5769,3486
11159,11909,5740,3483
11186,11939,5709,3486
11180,11938,5686,3474
11186,11939,5709,3464
11172,11915,5719,3449
11186,11939,5709,3441
11196,11945,5664,3424
11287,11939,5648,3418
11387,11787,5647,3414
11491,11461,5648,3418
11607,10891,5611,3406
11898,10219,5588,3395
12202,9549,5581,3379
12203,9073,5588,3372
11598,8823,5558,3358
10576,8882,5528,3350
9416,9186,5511,3335
8440,9742,5528,3327
7871,10412,5530,3312
8033,11079,5528,3304
8845,11442,5501,3291
9864,11365,5468,3281
10519,10862,5420,3257
10779,10315,5408,3236
10852,10036,5409,3215
10982,10219,5408,3213
11147,10712,5368,3204
11389,11365,5348,3190
11649,11951,5345,3161
