II,MCL,PLETH,RESP
6699,12507,3333,2406
7588,14157,3791,2731
6699,12420,3372,2425
6234,11432,3161,2272
6699,12245,3411,2445
6978,12830,3581,2543
6699,12420,3489,2445
6512,12134,3445,2387
6699,12507,3568,2464
6817,12768,3643,2513
6699,12595,3607,2483
6610,12423,3593,2468
6699,12507,3646,2502
6795,12564,3669,2516
6828,12507,3646,2502
6846,12463,3623,2500
6893,12507,3607,2522
6921,12503,3557,2534
6957,12420,3489,2541
7010,12292,3428,2550
7086,12245,3372,2560
7129,12293,3294,2558
7150,12420,3215,2560
7133,12476,3141,2565
7150,12507,3097,2579
7178,12502,3056,2587
7215,12507,3019,2599
7223,12480,2982,2606
7279,12507,2980,2618
7369,12531,2995,2624
7472,12507,3019,2637
7506,12363,3028,2647
7537,12245,3058,2656
7598,12184,3108,2653
7730,12157,3176,2656
7858,12033,3220,2663
7988,11895,3254,2676
8084,11780,3284,2675
8181,11720,3333,2676
8260,11596,3373,2678
8374,11458,3411,2695
8482,11333,3442,2706
8567,11283,3489,2714
8592,11182,3532,2710
8632,11020,3568,2714
8671,10803,3584,2719
8696,10670,3607,2733
8671,10558,3628,2742
8696,10408,3646,2753
8783,10132,3644,2753
8889,9883,3646,2753
8907,9709,3648,2747
8889,9621,3646,2753
8880,9483,3612,2760
8889,9358,3568,2772
8807,9288,3522,2771
8632,9358,3489,2772
8392,9494,3438,2769
8181,9708,3372,2772
7983,9922,3297,2768
7794,10146,3254,2772
7550,10337,3229,2777
7279,10583,3215,2791
7010,10826,3187,2794
6828,11020,3176,2791
6677,11074,3183,2776
6506,11108,3215,2772
6281,11169,3235,2769
6120,11283,3254,2772
6036,11317,3268,2768
5991,11283,3293,2772
5888,11181,3300,2772
5797,11108,3293,2772
5743,11039,3267,2758
5733,11020,3254,2753
5693,11005,3247,2750
5669,11020,3254,2753
5644,11008,3252,2741
5604,11020,3254,2733
5509,11040,3260,2729
5475,11108,3293,2733
5542,11130,3331,2724
5669,11108,3372,2714
5723,11030,3403,2701
5733,11020,3450,2695
5741,11055,3496,2681
5797,11108,3529,2676
5855,11070,3528,2672
5926,11020,3529,2676
5974,10985,3530,2666
5991,11020,3529,2656
5949,11026,3494,2643
5926,11020,3450,2637
5926,10993,3407,2625
5926,11020,3372,2618
5864,11031,3315,2606
5797,11020,3254,2599
5751,10952,3199,2584
5733,10933,3176,2579
5673,10954,3155,2576
5604,11020,3137,2579
5564,11030,3108,2570
5604,11020,3097,2560
5651,10995,3082,2546
5669,11020,3058,2541
5646,11004,2999,2530
5669,10933,2940,2522
5731,10781,2889,2507
5797,10670,2862,2502
5788,10598,2822,2499
5733,10583,2784,2502
5654,10560,2755,2494
5604,10583,2784,2483
5587,10571,2847,2467
5669,10495,2940,2464
5823,10329,3036,2462
5991,10233,3176,2464
6060,10197,3353,2453
6055,10146,3568,2445
6028,9982,3775,2438
6055,9883,3999,2445
6096,9923,4237,2446
6120,10058,4509,2445
6055,10112,4770,2432
5926,10146,5018,2425
5766,10187,5226,2420
5669,10233,5411,2425
5625,10159,5564,2426
5604,10058,5724,2425
5539,10004,5879,2414
5475,10058,6038,2406
5442,10103,6174,2400
5475,10146,6312,2406
5530,10171,6434,2408
5604,10233,6548,2406
5649,10249,6627,2392
5669,10233,6704,2387
5653,10168,6767,2385
5669,10146,6822,2387
5698,10134,6831,2377
5733,10146,6822,2368
5743,10128,6796,2355
5797,10146,6783,2348
5891,10150,6750,2335
5991,10146,6704,2329
6012,10102,6625,2326
5991,10146,6548,2329
5953,10260,6471,2320
5926,10408,6430,2310
5860,10456,6390,2296
5797,10495,6351,2291
5760,10521,6296,2280
5797,10583,6273,2271
5814,10597,6266,2259
5797,10670,6273,2252
5751,10773,6250,2240
5797,10845,6234,2233
