II,MCL,PLETH,RESP
8939,10396,4823,0
10167,11776,5441,0
9016,10396,4784,0
8401,9675,4450,0
9016,10396,4784,0
9395,10833,4968,0
9016,10396,4746,0
8730,10073,4605,0
8939,10286,4746,0
9086,10385,4834,0
8939,10175,4746,0
8826,10087,4671,0
8939,10286,4707,0
9040,10429,4729,0
9016,10396,4707,0
8949,10314,4694,0
8939,10286,4707,0
8942,10264,4693,0
8939,10286,4668,0
8920,10343,4657,0
8939,10396,4668,0
8978,10360,4670,0
9016,10286,4668,0
8973,10189,4644,0
8939,10175,4630,0
8929,10207,4618,0
8939,10286,4630,0
8868,10335,4630,0
8783,10396,4630,0
8717,10413,4606,0
8705,10396,4591,0
8664,10318,4576,0
8628,10286,4591,0
8600,10277,4606,0
8628,10286,4630,0
8632,10254,4639,0
8628,10286,4668,0
8600,10346,4698,0
8628,10396,4746,0
8684,10363,4788,0
8783,10396,4861,0
8859,10531,4947,0
8939,10728,5054,0
8982,10845,5143,0
9016,10949,5247,0
9007,11060,5362,0
9016,11171,5517,0
9033,11175,5669,-1
9094,11171,5826,0
9173,11225,5968,1
9327,11392,6135,0
9513,11557,6291,-2
9716,11724,6443,0
9873,11848,6567,2
10027,11945,6713,0
10118,11928,6865,-6
10105,11834,7022,0
9933,11637,7138,25
9716,11392,7253,65
9482,11089,7364,102
9250,10839,7485,130
8979,10638,7568,158
8783,10507,7639,196
8677,10370,7691,238
8628,10286,7755,277
8513,10246,7793,309
8395,10286,7832,342
8318,10330,7860,377
8317,10396,7909,408
8283,10413,7935,430
8239,10396,7948,457
8195,10315,7934,490
8239,10286,7948,522
8282,10271,7966,540
8317,10286,7986,554
8272,10254,7964,575
8239,10286,7948,603
8212,10340,7935,629
8239,10396,7948,652
8264,10378,7932,677
8317,10396,7909,701
8356,10427,7863,719
8395,10396,7832,734
8370,10166,7786,749
8317,9843,7755,767
8236,9513,7711,781
8239,9290,7678,799
8427,9261,7617,817
9016,9733,7562,832
10130,10891,7494,838
11815,12719,7446,848
13816,14837,7385,864
15701,16811,7331,881
16856,18077,7251,889
16867,18249,7176,897
15651,17234,7088,906
13680,15484,7022,913
11650,13557,6944,912
10182,11945,6868,913
9361,10824,6763,921
8939,10286,6675,930
8598,10152,6587,924
8317,10175,6520,913
8115,10092,6437,908
8006,9954,6366,913
7902,9844,6283,917
7850,9843,6212,913
7842,9847,6124,903
7850,9843,6057,897
7776,9789,5991,896
7695,9733,5942,897
7655,9648,5875,891
7695,9622,5826,881
7701,9636,5778,864
7695,9733,5749,848
7667,9820,5702,830
7695,9954,5672,815
7699,10098,5642,799
7695,10286,5633,783
7663,10392,5598,764
7695,10396,5556,750
7762,10276,5501,736
7850,10175,5479,718
7887,10129,5458,691
7928,10175,5440,669
7963,10219,5395,652
8006,10286,5363,636
8002,10335,5335,612
8006,10396,5324,587
7999,10399,5299,568
8006,10396,5286,554
8006,10375,5265,534
