II,V,ABP,RESP
1249,16191,7503,4118
1469,18247,8476,4664
1315,16070,7460,4118
1192,14984,6927,3833
1282,16070,7417,4118
1385,16626,7672,4289
1315,15949,7289,4118
1168,15658,7021,4006
1150,16191,7162,4118
1256,16350,7199,4187
1315,15949,6948,4118
1277,15802,6729,4072
1282,16070,6693,4118
1387,16125,6632,4142
1446,15949,6479,4118
1357,15919,6337,4102
1249,16070,6266,4118
1252,16100,6204,4123
1282,16070,6138,4118
1219,16114,6069,4114
1150,16191,6011,4118
1190,16129,5952,4114
1249,16070,5925,4118
1173,16081,5894,4114
1019,16191,5883,4118
944,16209,5870,4114
986,16191,5883,4118
1047,16155,5880,4114
1085,16191,5883,4118
1118,16185,5870,4114
1150,16191,5883,4118
1143,16172,5897,4114
1118,16191,5925,4118
1133,16139,5928,4114
1216,16070,5925,4118
1289,15964,5899,4114
1282,15949,5883,4118
1232,15978,5855,4114
1249,16070,5840,4118
1305,16091,5813,4114
1282,16070,5797,4118
1167,15983,5770,4114
1150,15949,5755,4118
1275,15930,5729,4114
1381,15949,5712,4118
1324,15930,5672,4114
1249,15949,5627,4118
1277,15945,5569,4114
1315,15949,5542,4118
1271,15880,5519,4114
1282,15828,5499,4118
1427,15746,5449,4114
1512,15708,5414,4118
1380,15693,5385,4114
1216,15828,5371,4118
1272,15973,5328,4114
1578,15949,5286,4118
2132,15469,5249,4114
3057,14620,5243,4118
4270,13586,5224,4114
5424,12687,5201,4118
6360,11977,5165,4114
7231,11599,5158,4118
7831,11649,5155,4114
7462,12324,5158,4118
5856,13422,5134,4114
3780,14620,5115,4118
2181,15538,5089,4114
1216,16191,5073,4118
513,16557,5042,4114
0,16674,5030,4118
-139,16505,5023,4114
33,16312,5030,4118
217,16203,5011,4114
329,16191,4987,4118
481,16076,4956,4114
690,15949,4945,4118
824,15879,4924,4114
855,15949,4902,4118
876,15977,4868,4114
953,15949,4860,4118
1019,15854,4856,4114
1019,15828,4860,4118
955,15816,4837,4114
920,15828,4817,4118
937,15803,4791,4114
986,15828,4774,4118
1006,15835,4744,4114
1019,15828,4732,4118
1047,15739,4725,4114
1085,15708,4732,4118
1104,15699,4712,4114
1118,15708,4689,4118
1130,15622,4658,4114
1118,15587,4646,4118
1083,15612,4637,4114
1085,15708,4646,4118
1119,15714,4648,4114
1118,15708,4646,4118
1071,15684,4620,4115
1085,15708,4604,4118
1173,15687,4595,4114
1216,15708,4604,4118
1164,15710,4589,4115
1150,15708,4561,4118
1234,15621,4523,4113
1282,15587,4519,4118
1206,15577,4521,4117
1150,15587,4519,4118
1219,15502,4488,4111
1282,15466,4476,4118
1198,15491,4474,4122
1085,15587,4476,4118
1090,15595,4448,4081
1150,15587,4433,4038
1130,15560,4429,3991
1085,15587,4433,3957
1100,15572,4407,3904
1118,15587,4391,3844
1059,15580,4385,3776
1019,15587,4391,3731
1078,15515,4366,3689
1150,15466,4348,3650
1127,15431,4340,3596
1085,15466,4348,3553
1111,15460,4326,3515
1150,15466,4305,3489
1116,15443,4290,3452
1085,15466,4305,3424
1149,15441,4316,3395
1249,15466,4348,3376
1270,15497,4382,3345
1315,15345,4433,3327
1442,15054,4478,3314
1512,15224,4561,3311
1493,15571,4671,3293
1611,15224,4817,3279
1809,14546,4954,3264
1742,15103,5115,3262
1567,16044,5293,3251
1841,15103,5499,3246
2233,13568,5677,3240
1874,15103,5840,3246
1296,17493,5978,3244
1906,15103,6138,3246
2896,11014,6301,3242
1841,15103,6479,3246
-538,24687,6632,3242
0,23199,6778,3246
4608,6025,6899,3248
8382,-7612,7034,3262
6984,-1509,7158,3270
2761,14258,7289,3279
686,20239,7395,3275
1381,15587,7503,3279
1925,12832,7587,3281
1282,15708,7673,3295
918,17376,7734,3300
1413,15466,7801,3311
1734,14261,7846,3315
1446,15466,7886,3327
1223,16196,7900,3333
1413,15466,7929,3343
1606,15000,7949,3343
1545,15466,7971,3343
1426,15700,7963,3337
1446,15466,7971,3343
1539,15359,7984,3349
1578,15587,8014,3359
1520,15708,8013,3357
1446,15708,8014,3359
1431,15672,8005,3358
1446,15708,8014,3359
1380,15772,7995,3348
1282,15828,7971,3343
1251,15757,7935,3339
1282,15708,7929,3343
1276,15720,7912,3334
1216,15828,7886,3327
1161,15852,7819,3315
1150,15828,7758,3311
1152,15780,7691,3300
1150,15828,7630,3295
1175,15850,7529,3285
1249,15828,7417,3279
1309,15724,7283,3260
1282,15708,7162,3246
1189,15748,7024,3228
1150,15828,6906,3214
1193,15818,6786,3188
1216,15828,6693,3166
1152,15861,6594,3138
1085,15949,6522,3117
1081,15956,6449,3090
1085,15949,6394,3069
1039,15921,6321,3043
1019,15949,6266,3020
1064,15939,6211,2986
1085,15949,6181,2956
1013,15932,6146,2920
953,15949,6138,2891
983,15929,6130,2855
1019,15949,6138,2826
978,15943,6130,2793
953,15949,6138,2762
1028,15915,6138,2724
1118,15949,6138,2697
1114,15967,6109,2672
1085,15949,6096,2649
1113,15840,6087,2608
1150,15828,6096,2568
1114,15887,6075,2531
1085,15949,6053,2503
1146,15877,6022,2465
1249,15828,6011,2423
1261,15823,5985,2376
1216,15828,5968,2342
1200,15732,5940,2309
1249,15708,5925,2277
1284,15762,5886,2235
1282,15828,5840,2197
1259,15747,5781,2159
1249,15708,5755,2132
1269,15752,5733,2101
1315,15828,5712,2067
1320,15750,5661,2025
1216,15708,5627,1987
1067,15794,5601,1946
1085,15949,5584,1906
1417,15815,5536,1857
2038,15345,5499,1809
2851,14596,5470,1759
3846,13774,5456,1712
5010,12879,5412,1661
6180,12083,5371,1615
7032,11549,5336,1567
7264,11599,5329,1518
6733,12259,5307,1461
5522,13412,5286,1405
3919,14617,5255,1353
2334,15587,5243,1308
1113,16104,5219,1260
394,16312,5201,1211
82,16320,5171,1160
