II,V,PLETH,RESP
1617,10698,2589,49
1341,13786,2932,60
1644,10698,2589,65
2397,7138,2410,73
1671,10698,2589,81
-265,17750,2696,82
0,16174,2589,81
3678,3895,2518,83
6873,-5307,2589,81
5863,-825,2632,72
2399,10024,2589,65
593,14141,2559,66
1078,11035,2589,65
1517,9180,2605,51
1024,11120,2589,32
744,12301,2576,21
1132,11035,2589,16
1387,10190,2603,9
1186,10951,2621,0
1043,11419,2637,-3
1186,10867,2652,0
1315,10481,2660,1
1294,10783,2684,0
1252,11011,2712,-1
1240,10951,2747,0
1203,10918,2772,1
1186,11035,2810,0
1220,11060,2853,0
1240,11035,2905,0
1191,11013,2937,0
1132,11035,2968,0
1094,11073,3003,0
1078,11120,3063,0
1061,11082,3116,0
1051,11035,3157,0
1044,10999,3180,0
1024,11035,3220,0
1001,11067,3277,0
1024,11120,3347,0
1068,11151,3397,0
1051,11204,3441,0
962,11211,3481,0
916,11204,3536,0
969,11147,3583,0
1024,11120,3631,0
984,11120,3671,0
916,11204,3726,0
927,11269,3774,0
997,11288,3820,0
1026,11223,3848,0
997,11204,3883,0
961,11230,3923,0
943,11288,3978,0
917,11257,4017,0
889,11204,4041,0
886,11164,4048,-1
916,11204,4073,0
957,11219,4103,1
997,11204,4136,0
1024,11135,4147,-2
1024,11120,4168,0
972,11138,4193,3
889,11204,4231,0
844,11215,4247,-7
889,11204,4262,0
972,11170,4270,33
997,11204,4294,81
955,11223,4307,125
943,11204,4325,162
986,11121,4336,200
997,11120,4357,243
914,11193,4359,286
836,11288,4357,324
847,11269,4345,357
916,11204,4357,389
932,11135,4364,421
916,11120,4357,454
944,11072,4317,487
1024,11035,4325,519
1072,11006,4441,545
1051,11035,4704,567
1011,11034,5021,589
997,11035,5304,616
981,11035,5479,644
916,11120,5588,665
827,11222,5655,673
836,11288,5715,681
1081,11144,5738,694
1617,10783,5746,713
2368,10239,5739,730
3234,9688,5746,746
4161,9123,5735,757
5067,8592,5715,762
5700,8198,5674,760
5741,8255,5652,762
5090,8817,5631,770
3989,9688,5620,778
2778,10463,5586,773
1671,11035,5557,762
778,11417,5529,751
216,11709,5525,746
5,11829,5511,738
0,11794,5494,729
28,11619,5455,716
81,11457,5431,697
223,11328,5406,671
431,11288,5399,648
595,11270,5378,632
674,11288,5367,616
713,11256,5346,587
755,11204,5336,551
779,11123,5314,520
782,11120,5304,502
777,11156,5285,489
809,11204,5273,470
856,11169,5247,444
889,11120,5241,421
869,11063,5236,404
836,11035,5241,389
843,10973,5224,371
916,10951,5210,357
990,10963,5186,347
997,11035,5178,340
944,11053,5158,326
916,11035,5146,308
964,10970,5125,294
1051,10951,5115,292
1096,10937,5093,293
1078,10951,5083,292
1038,10938,5064,283
1024,10951,5052,276
1034,10945,5027,272
1051,10951,5020,276
1064,10929,5014,282
1078,10951,5020,292
1085,10984,5004,300
1078,11035,4989,308
1057,11008,4964,315
1051,10951,4957,324
1078,10875,4940,337
1132,10867,4925,357
1165,10865,4899,380
1159,10867,4894,405
1147,10813,4890,424
1186,10783,4894,438
1249,10760,4876,449
1267,10783,4862,470
1220,10777,4841,496
1186,10783,4831,519
1209,10768,4808,533
1240,10783,4799,551
1210,10774,4792,576
1159,10783,4799,600
1166,10770,4786,611
1240,10783,4767,616
1300,10772,4739,627
1294,10783,4736,648
1229,10771,4734,668
1159,10783,4736,681
1121,10772,4715,688
1132,10783,4704,697
1150,10771,4696,706
1132,10783,4704,713
1084,10772,4692,714
1078,10783,4673,713
1131,10771,4644,711
1186,10783,4641,713
1183,10772,4640,714
1159,10783,4641,713
1162,10771,4621,711
1186,10783,4610,713
1183,10772,4601,715
1159,10783,4610,713
1151,10772,4598,704
1186,10783,4578,697
1248,10748,4548,695
1321,10698,4546,697
1370,10618,4547,693
1375,10614,4546,681
1330,10674,4523,664
1294,10783,4515,648
1315,10789,4512,632
1402,10698,4515,616
1492,10555,4493,598
1536,10530,4483,583
1522,10597,4479,569
1482,10698,4483,551
1437,10709,4463,527
1402,10698,4452,502
1390,10681,4447,479
1429,10698,4452,454
1493,10683,4431,427
1536,10698,4420,405
1527,10729,4415,389
1509,10783,4420,373
1516,10755,4400,348
1536,10698,4389,324
1530,10649,4383,306
1509,10698,4389,292
1499,10755,4369,270
1509,10783,4357,243
1525,10716,4351,217
1536,10698,4357,194
1510,10770,4340,171
1482,10783,4325,146
1457,10670,4316,121
1402,10783,4325,97
1370,10964,4323,72
1482,10698,4325,49
1587,10264,4322,30
1429,10698,4325,16
1244,11363,4308,6
1509,10698,4294,0
1853,9631,4282,-1
1509,10698,4294,0
992,12325,4296,0
1536,10614,4294,0
2418,7780,4272,0
1536,10698,4262,0
-478,17368,4255,0
0,16174,4262,0
3873,4069,4259,0
6873,-5307,4262,0
5387,-698,4258,0
1644,10530,4262,0
0,14606,4257,0
836,11120,4262,0
1447,9109,4260,0
916,11204,4262,0
601,12430,4253,0
1051,11035,4262,0
1364,10111,4273,0
1159,10951,4294,0
1002,11492,4301,0
1159,10951,4325,0
1275,10551,4352,0
1186,10867,4389,0
1082,11116,4411,0
1078,11035,4452,0
1092,10949,4496,0
1078,11035,4546,0
1045,11087,4572,0
997,11120,4610,0
937,11146,4660,-1
889,11204,4736,0
846,11261,4788,0
836,11288,4831,0
861,11196,4863,-1
889,11120,4925,0
890,11117,4988,1
889,11204,5052,0
899,11225,5092,-3
889,11204,5146,0
829,11165,5203,13
755,11204,5273,32
712,11245,5320,53
701,11288,5367,81
688,11279,5405,118
674,11288,5462,162
670,11279,5508,203
674,11288,5557,243
661,11271,5595,282
647,11288,5652,324
659,11287,5700,364
701,11288,5746,405
718,11257,5770,445
674,11288,5809,486
611,11335,5851,525
620,11372,5904,567
706,11321,5933,609
782,11288,5967,648
782,11276,5995,681
755,11288,6030,713
752,11232,6043,746
755,11204,6062,778
726,11217,6073,803
701,11288,6094,827
703,11297,6091,850
701,11288,6094,875
671,11265,6088,894
674,11288,6094,908
741,11284,6077,921
809,11288,6062,940
806,11272,6038,959
782,11288,6030,972
787,11281,6013,979
809,11288,5999,989
783,11278,5966,998
755,11288,5936,1005
773,11254,5888,1003
836,11204,5841,1005
878,11124,5776,1012
889,11120,5715,1021
890,11151,5636,1021
889,11204,5557,1021
873,11192,5459,1025
836,11204,5367,1037
774,11230,5259,1041
701,11288,5146,1037
674,11298,5014,1031
809,11288,4894,1037
1203,11116,4769,1048
1860,10698,4641,1053
2668,10045,4491,1049
3531,9435,4357,1053
4434,8932,4238,1068
5310,8508,4136,1086
5829,8210,4020,1094
5579,8424,3915,1102
4522,9206,3815,1116
3127,10193,3726,1135
1900,10878,3614,1144
997,11288,3505,1151
356,11580,3400,1162
0,11794,3315,1183
-64,11766,3219,1201
0,11625,3126,1216
13,11505,3026,1228
27,11457,2936,1248
176,11332,2838,1266
431,11204,2747,1280
640,11123,2658,1286
755,11120,2589,1297
813,11072,2521,1310
836,11035,2463,1329
823,11015,2398,1344
836,11035,2336,1361
876,11021,2268,1377
889,11035,2210,1394
835,11045,2155,1402
809,11035,2115,1410
849,10962,2078,1416
889,10951,2052,1426
854,10991,2021,1433
809,11035,1989,1442
831,10980,1940,1451
889,10951,1894,1459
905,10976,1852,1459
889,11035,1831,1459
902,10997,1814,1458
943,10951,1800,1459
974,10929,1777,1452
997,10951,1768,1442
1028,10905,1772,1431
1051,10867,1800,1426
1047,10870,1829,1419
1051,10951,1863,1410
1087,10977,1889,1397
1132,10951,1926,1394
1149,10879,1967,1394
1159,10867,2021,1394
1176,10863,2069,1383
1186,10867,2115,1378
1175,10815,2147,1376
1186,10783,2179,1378
1231,10759,2206,1373
1267,10783,2242,1378
1242,10778,2273,1386
1186,10783,2305,1394
1153,10767,2331,1389
1159,10783,2368,1394
1165,10775,2401,1413
1159,10783,2431,1442
1159,10769,2444,1459
1186,10783,2463,1475
1204,10773,2488,1499
1186,10783,2526,1540
1160,10771,2557,1574
1186,10783,2589,1605
1238,10774,2617,1631
1240,10783,2652,1669
1188,10744,2681,1709
1186,10698,2715,1750
1249,10651,2754,1782
1267,10698,2810,1815
1171,10760,2861,1850
1078,10783,2905,1896
1087,10714,2931,1943
1132,10698,2968,1994
1105,10736,3011,2040
1051,10783,3063,2091
1050,10730,3096,2138
1078,10698,3126,2188
1066,10721,3152,2233
1051,10783,3189,2285
1082,10752,3219,2338
1132,10698,3252,2399
1153,10642,3280,2450
1186,10614,3315,2496
1245,10546,3344,2531
1267,10530,3378,2577
1213,10559,3408,2625
1186,10614,3441,2674
1261,10578,3459,2707
1375,10530,3473,2739
1409,10501,3480,2769
1375,10530,3505,2804
1355,10523,3533,2827
1375,10530,3568,2853
1369,10548,3584,2875
1321,10614,3599,2901
1287,10627,3610,2917
1321,10614,3631,2934
1374,10579,3644,2947
1375,10614,3662,2966
1326,10659,3674,2975
1321,10698,3694,2982
1394,10658,3706,2981
1482,10614,3726,2982
1510,10580,3737,2978
1509,10614,3757,2982
1530,10626,3769,2982
1563,10614,3789,2982
1552,10556,3801,2972
1536,10530,3820,2966
1550,10493,3831,2957
1536,10530,3852,2950
1465,10597,3865,2932
1482,10530,3883,2917
1544,10384,3893,2900
1402,10614,3915,2885
1191,10910,3932,2859
1375,10530,3947,2836
1700,9939,3941,2810
1429,10530,3947,2788
956,11427,3956,2754
1429,10530,3978,2723
2202,9096,3989,2688
1482,10530,4010,2658
181,12840,4026,2618
1402,10530,4041,2577
4600,5716,4036,2532
5094,7497,4041,2496
1769,15356,4052,2460
0,16174,4073,2431
3205,4696,4071,2397
6873,-5307,4073,2366
5579,-995,4078,2330
1321,10614,4104,2301
-429,14832,4119,2273
889,10951,4136,2253
1743,8623,4145,2227
997,10783,4168,2204
537,12150,4181,2177
1078,10783,4199,2156
1421,9887,4207,2130
1132,10783,4231,2107
971,11327,4255,2079
1186,10783,4294,2058
1291,10439,4323,2038
1186,10783,4357,2026
1166,10956,4381,2009
1240,10783,4420,1994
1197,10680,4459,1973
1078,10783,4515,1961
1037,10830,4561,1949
1078,10867,4610,1945
1089,10915,4638,1936
1051,10951,4673,1929
1009,10937,4707,1917
1024,10951,4767,1912
1064,10950,4827,1908
1051,10951,4894,1912
967,10919,4939,1912
889,10951,4989,1912
876,11000,5029,1903
916,11035,5083,1896
967,10979,5127,1890
1024,10951,5178,1896
1066,10972,5219,1903
1051,11035,5273,1912
981,11009,5316,1912
943,10951,5367,1912
973,10905,5407,1909
997,10951,5462,1912
934,10997,5508,1912
836,11035,5557,1912
792,11024,5584,1909
809,11035,5620,1912
804,11026,5647,1914
755,11035,5683,1912
705,11041,5706,1901
701,11120,5746,1896
727,11187,5778,1895
755,11204,5809,1896
768,11108,5817,1886
782,11035,5841,1880
797,11009,5868,1878
809,11035,5904,1880
802,11019,5914,1871
782,11035,5936,1864
761,11071,5960,1860
755,11120,5999,1864
755,11079,6013,1858
755,11035,6030,1848
756,11010,6041,1834
782,11035,6062,1831
830,11027,6058,1831
889,11035,6062,1831
926,11034,6067,1823
943,11035,6094,1815
924,11004,6098,1804
889,11035,6094,1799
