II,V,PLETH
13568,-1193,2599
15513,-1315,2944
13907,-1108,2599
13096,-1022,2419
14076,-1193,2599
14637,-1387,2706
14076,-1449,2599
13704,-1463,2528
14076,-1534,2599
14305,-1636,2642
14076,-1704,2599
13915,-1722,2571
14076,-1704,2599
14168,-1667,2613
14076,-1619,2599
13992,-1574,2591
14076,-1534,2599
14226,-1498,2597
14416,-1449,2599
14592,-1374,2614
14755,-1278,2633
14842,-1185,2634
14924,-1108,2633
14965,-1032,2629
15094,-937,2633
15299,-819,2628
15603,-682,2633
15817,-521,2644
15942,-341,2667
15983,-181,2673
16112,-85,2667
16233,-25,2645
16281,85,2633
16165,262,2627
16112,426,2633
16203,544,2632
16451,682,2633
16637,869,2628
16790,1023,2633
16924,1102,2632
17129,1193,2633
17255,1342,2626
17299,1449,2633
17249,1450,2646
17299,1449,2667
17434,1533,2671
17638,1619,2667
17700,1620,2657
17638,1619,2667
17489,1705,2683
17468,1790,2700
17534,1744,2700
17638,1619,2700
17591,1544,2698
17468,1534,2700
17318,1506,2694
17299,1449,2700
17303,1399,2714
17299,1363,2734
17192,1316,2737
17129,1278,2734
17096,1271,2728
17129,1278,2734
17112,1274,2734
17129,1278,2734
17121,1290,2729
17129,1278,2734
17085,1225,2734
17129,1193,2734
17205,1222,2727
17299,1278,2734
17285,1295,2746
17299,1278,2768
17304,1266,2772
17299,1278,2768
17178,1284,2747
17129,1278,2734
17169,1271,2724
17299,1278,2734
17362,1284,2746
17468,1278,2768
17571,1269,2780
17638,1278,2802
17538,1287,2824
17468,1278,2869
17498,1282,2914
17638,1363,2970
17666,1483,3024
17638,1534,3105
17591,1484,3206
17638,1449,3342
17644,1491,3475
17638,1534,3612
17595,1496,3736
17638,1449,3882
17660,1452,4028
17638,1449,4186
17469,1366,4338
17299,1278,4523
17154,1264,4721
17129,1278,4928
17114,1238,5108
17129,1193,5300
17059,1216,5496
16960,1278,5705
16816,1295,5878
16790,1278,6042
16799,1272,6201
16790,1278,6380
16616,1269,6540
16451,1278,6684
16372,1322,6798
16451,1363,6920
16479,1363,7035
16451,1363,7156
16380,1401,7257
16451,1449,7359
16556,1455,7443
16620,1449,7527
16522,1476,7591
16451,1534,7662
16469,1557,7713
16620,1534,7730
16717,1509,7643
16790,1534,7460
16835,1587,7206
16960,1619,6987
17053,1613,6830
17129,1619,6751
17119,1660,6689
17129,1704,6650
17120,1690,6607
17129,1619,6582
17008,1526,6543
16790,1449,6515
16528,1392,6475
16451,1363,6447
16467,1334,6405
16451,1278,6380
16257,1211,6343
16112,1193,6312
16073,1213,6256
16112,1193,6211
16026,1100,6157
15942,1023,6110
15901,1013,6036
15942,1023,5975
15918,1004,5914
15942,1023,5873
16005,1110,5808
16112,1193,5738
16110,1199,5657
16112,1193,5603
16102,1234,5550
16112,1278,5502
16057,1273,5430
16112,1278,5367
16262,1331,5305
16451,1363,5266
16472,1318,5213
16451,1278,5165
16470,1314,5104
16620,1363,5063
16727,1334,5022
16790,1278,4996
16774,1293,4957
16790,1363,4928
16777,1390,4889
16790,1363,4861
16770,1370,4822
16790,1449,4793
16777,1505,4754
16790,1449,4726
16767,1323,4688
16790,1278,4658
16786,1359,4619
16790,1449,4591
16708,1410,4553
16620,1278,4523
16504,1184,4483
16451,1193,4456
16364,1224,4420
16281,1193,4388
16155,1101,4345
16112,1023,4321
16092,1000,4300
16112,1023,4287
16082,1036,4253
16112,1023,4219
16121,1004,4180
16112,1023,4152
16040,1066,4113
16112,1108,4084
16281,1139,4058
16451,1193,4051
16450,1254,4035
16451,1278,4017
16457,1263,3980
16451,1278,3949
16363,1333,3921
16451,1363,3916
16665,1322,3903
16790,1278,3882
16598,1276,3840
16451,1278,3814
16534,1230,3795
16790,1193,3781
16838,1222,3744
16790,1278,3713
16746,1287,3688
16790,1278,3679
16753,1281,3659
16790,1278,3646
16927,1223,3628
17129,1193,3612
17163,1214,3575
17129,1278,3544
17091,1335,3519
17129,1449,3511
