II,V,PLETH,ABP
-173,7,1629,1737
-179,6,1657,1864
-151,5,1344,1659
-154,5,1334,1751
-148,7,1230,1759
-140,10,1093,1728
-132,15,953,1699
-129,21,856,1704
-125,29,760,1712
-119,36,645,1695
-111,43,528,1678
-104,49,431,1676
-94,52,337,1681
-83,55,238,1677
-69,57,142,1682
-55,61,60,1701
-39,66,-19,1731
-23,73,-94,1768
-6,81,-165,1818
11,90,-226,1881
28,99,-288,1950
47,107,-345,2023
67,114,-400,2102
90,119,-453,2180
115,122,-504,2263
142,124,-552,2345
169,125,-597,2431
194,126,-640,2512
216,125,-681,2593
235,122,-718,2660
251,118,-755,2724
265,113,-788,2771
275,107,-822,2816
281,101,-853,2846
278,95,-887,2879
267,88,-917,2898
245,82,-949,2923
216,75,-974,2931
182,68,-1000,2948
146,60,-1018,2947
108,51,-1037,2957
72,42,-1050,2951
36,32,-1069,2957
3,23,-1082,2949
-27,15,-1102,2955
-54,7,-1116,2947
-76,0,-1133,2952
-95,-6,-1142,2944
-110,-12,-1153,2947
-122,-17,-1157,2939
-132,-22,-1165,2940
-138,-26,-1173,2930
-141,-29,-1188,2929
-142,-33,-1204,2916
-140,-36,-1227,2909
-139,-40,-1250,2893
-138,-43,-1276,2882
-138,-45,-1300,2864
-139,-46,-1327,2850
-139,-46,-1352,2831
-139,-45,-1380,2816
-138,-44,-1408,2798
-137,-44,-1438,2784
-135,-45,-1467,2765
-132,-46,-1497,2748
-130,-46,-1524,2725
-127,-46,-1553,2703
-125,-45,-1578,2674
-126,-43,-1605,2647
-128,-41,-1628,2614
-132,-39,-1656,2586
-135,-37,-1679,2551
-139,-33,-1707,2522
-141,-30,-1730,2486
-143,-25,-1758,2454
-145,-22,-1780,2412
-147,-20,-1809,2376
-149,-19,-1830,2328
-150,-19,-1860,2291
-150,-19,-1884,2244
-151,-20,-1917,2211
-150,-20,-1945,2170
-150,-19,-1983,2147
-149,-19,-2015,2113
-150,-20,-2056,2099
-150,-22,-2090,2074
-151,-25,-2130,2066
-149,-25,-2163,2047
-146,-24,-2201,2044
-140,-17,-2231,2031
-134,-7,-2261,2031
-126,8,-2282,2023
-120,25,-2299,2025
-115,43,-2306,2019
-110,58,-2305,2021
-102,68,-2282,2015
-91,72,-2235,2015
-76,70,-2155,2009
-61,63,-2040,2008
-44,53,-1893,2002
-30,40,-1729,2001
-20,25,-1558,1996
-14,10,-1385,1996
-14,-5,-1209,1993
-20,-18,-1027,1994
-33,-27,-837,1991
-49,-36,-635,1991
-72,-39,-426,1987
-93,-45,-209,1985
-117,-47,5,1979
-137,-54,221,1977
-155,-57,431,1971
-170,-61,640,1970
-180,-63,840,1965
-188,-63,1035,1965
