II,V,PLETH
8944,9556,13182
10330,10631,14929
9231,9327,13182
8475,8830,12270
8944,9556,13182
9336,9794,13727
9016,9327,13182
8641,9247,12822
8658,9632,13182
8701,9635,13402
8587,9327,13182
8551,9332,13033
8730,9556,13182
8903,9486,13259
8944,9327,13182
8919,9471,13130
8944,9709,13182
8961,9639,13196
8873,9480,13182
8660,9528,13168
8515,9632,13182
8554,9538,13168
8730,9480,13182
8849,9608,13168
8944,9709,13182
9028,9495,13168
9088,9250,13182
9032,9277,13168
8944,9480,13182
8825,9472,13168
8658,9327,13182
8417,9342,13169
8300,9632,13182
8386,9826,13168
8587,9709,13182
8662,9457,13169
8658,9480,13182
8760,9686,13167
9088,9709,13182
9334,9418,13170
9231,9250,13182
8870,9390,13165
8730,9556,13182
8892,9436,13174
9016,9327,13182
8815,9460,13160
8587,9632,13182
8593,9507,13185
8730,9327,13182
8729,9355,13113
8730,9480,13080
8828,9386,13060
8873,9250,13080
8676,9255,13060
8515,9327,13080
8584,9242,13113
8730,9174,13182
8715,9244,13185
8730,9327,13182
8861,9237,13159
8873,9174,13182
8566,9251,13175
8300,9327,13182
8302,9196,13163
8372,9097,13182
8278,9262,13172
8300,9632,13182
8548,9935,13164
8730,10321,13182
8690,11127,13174
8873,12385,13182
9350,13383,13157
9517,13378,13182
8920,12220,13216
8086,10550,13284
7514,8970,13290
7012,7721,13284
6308,6792,13251
6011,6422,13284
6716,6722,13324
8014,7415,13386
8773,7877,13386
8587,7874,13386
7930,7609,13363
7442,7492,13386
7166,7630,13383
6941,7951,13386
6741,8225,13357
6798,8409,13386
7100,8573,13425
7442,8868,13488
7611,9110,13488
7728,9097,13488
7840,8877,13468
7871,8868,13488
7750,9079,13479
7728,9174,13488
7881,8967,13471
8014,8868,13488
7949,9068,13478
7943,9250,13488
8112,9098,13471
8229,8944,13488
8053,9046,13480
7871,9174,13488
7904,9015,13467
8014,8868,13488
7960,8970,13488
7943,9097,13488
8094,8936,13423
8229,8792,13386
8114,8915,13359
8014,9097,13386
8147,8991,13379
8372,8868,13386
8372,9026,13368
8300,9327,13386
8398,9343,13375
8658,9174,13386
8772,9131,13370
8730,9327,13386
8708,9471,13374
8873,9480,13386
9081,9470,13371
9231,9632,13386
9324,9854,13375
9517,10015,13386
9759,10080,13370
9946,10244,13386
10019,10532,13377
10161,10856,13386
10409,11059,13365
10662,11238,13386
10779,11438,13386
10876,11620,13386
10951,11631,13321
10876,11544,13284
10549,11426,13257
10232,11314,13284
10086,11107,13277
10018,10856,13284
9793,10576,13266
9517,10321,13284
9326,10072,13273
9231,9938,13284
9079,9890,13268
8944,9862,13284
8881,9737,13272
8873,9632,13284
8773,9618,13269
8658,9709,13284
8607,9743,13272
8658,9709,13284
8672,9611,13269
8658,9556,13284
8647,9524,13272
8730,9556,13284
8819,9587,13267
8873,9632,13284
8815,9653,13275
8730,9709,13284
8653,9733,13261
8658,9709,13284
8685,9606,13315
8730,9556,13386
8732,9571,13397
8730,9632,13386
8709,9635,13346
8730,9632,13386
8735,9623,13437
8730,9632,13488
8698,9587,13468
8730,9556,13488
8758,9562,13527
8730,9632,13591
8635,9613,13580
8658,9480,13591
8785,9313,13618
8873,9327,13693
8792,9440,13699
