I,V,PLETH,RESP
4144,6233,8514,4290
6010,5956,9626,4897
3937,6425,8452,4381
1400,7858,7798,4127
4040,6233,8327,4455
8186,3175,8644,4665
3937,6425,8265,4528
-6952,14852,7988,4450
-9013,15344,8141,4601
4051,2729,8187,4703
17404,-9110,7955,4656
15899,-6532,7790,4622
5180,4507,7830,4675
283,9553,7824,4700
3315,6809,7706,4675
5310,4893,7603,4658
3108,6809,7582,4675
1539,8046,7559,4679
2693,6809,7520,4675
3492,5966,7462,4670
2486,6713,7395,4675
1574,7245,7313,4670
1761,6905,7271,4675
1996,6727,7235,4670
1761,7001,7209,4675
1575,7026,7143,4670
1657,6809,7085,4675
1703,6757,7031,4670
1657,6809,7022,4675
1657,6646,7016,4670
1761,6425,7022,4675
1965,6280,6995,4670
2175,6138,6960,4675
2109,5973,6909,4670
1761,5946,6898,4675
1428,6008,6896,4670
1450,5946,6898,4675
1789,5697,6860,4670
2175,5658,6836,4675
2442,6043,6822,4670
2693,6617,6836,4675
2952,6986,6830,4670
3108,7192,6836,4675
3174,7370,6833,4670
3419,7480,6836,4675
3861,7389,6800,4670
4144,7288,6774,4675
4028,7344,6756,4670
3833,7480,6774,4675
3905,7461,6774,4670
4144,7384,6774,4675
4243,7443,6761,4670
4247,7672,6774,4675
4330,7814,6775,4670
4454,7768,6774,4675
4468,7621,6738,4670
4454,7576,6712,4675
4512,7623,6692,4670
4558,7672,6712,4675
4488,7626,6719,4670
4454,7576,6712,4675
4555,7586,6668,4670
4662,7672,6650,4675
4618,7706,6643,4670
4558,7672,6650,4675
4600,7596,6618,4670
4662,7576,6587,4675
4607,7575,6549,4670
4558,7576,6525,4675
4606,7553,6482,4670
4662,7576,6463,4675
4600,7596,6454,4670
4558,7576,6463,4675
4645,7494,6436,4670
4765,7480,6401,4675
4741,7532,6357,4670
4662,7576,6339,4675
4670,7520,6307,4670
4765,7480,6277,4675
4796,7483,6233,4670
4765,7480,6214,4675
4739,7401,6185,4670
4765,7384,6152,4675
4801,7447,6102,4670
4869,7480,6090,4675
4938,7369,6090,4670
4972,7288,6090,4675
4950,7323,6050,4670
4972,7384,6028,4675
5041,7328,6022,4670
5076,7288,6028,4675
5012,7337,5993,4670
4972,7384,5966,4675
5013,7285,5954,4670
5076,7192,5966,4675
5069,7215,5941,4670
5076,7288,5904,4675
5134,7249,5860,4670
5180,7192,5842,4675
5124,7189,5810,4670
5076,7192,5779,4675
5113,7085,5738,4670
