II,V,PLETH,ABP
-818,29,1075,10583
-867,32,1120,11403
-765,28,947,10205
-797,26,969,10800
-793,21,934,10886
-779,15,874,10746
-774,9,813,10612
-790,8,777,10700
-808,10,745,10802
-815,13,705,10756
-814,16,669,10698
-814,18,650,10727
-810,18,634,10773
-800,15,607,10743
-794,12,573,10720
-798,11,540,10740
-806,12,503,10760
-811,16,463,10753
-812,21,424,10750
-807,27,392,10772
-796,33,359,10777
-782,38,328,10779
-769,44,297,10792
-756,50,267,10790
-747,56,237,10800
-742,60,207,10794
-747,61,175,10804
-761,60,143,10794
-786,60,109,10806
-808,60,74,10794
-826,62,39,10810
-830,64,6,10794
-824,64,-28,10813
-805,62,-59,10794
-784,56,-92,10814
-759,50,-124,10788
-740,44,-159,10806
-725,41,-193,10770
-721,41,-228,10787
-725,43,-261,10746
-738,48,-295,10766
-752,52,-326,10723
-765,56,-357,10748
-774,58,-385,10708
-783,58,-415,10733
-793,56,-444,10697
-807,53,-477,10720
-820,48,-509,10686
-832,43,-545,10699
-836,38,-580,10659
-834,36,-614,10660
-819,35,-645,10620
-795,37,-673,10620
-752,41,-700,10587
-687,44,-728,10590
-590,46,-756,10567
-468,47,-786,10569
-326,50,-816,10546
-186,54,-846,10542
-62,60,-876,10518
33,63,-906,10510
103,63,-935,10485
152,57,-965,10478
193,48,-993,10457
221,35,-1021,10454
227,22,-1046,10437
193,9,-1072,10436
114,-4,-1094,10417
-4,-16,-1118,10413
-137,-25,-1139,10384
-261,-31,-1163,10375
-356,-32,-1183,10340
-427,-30,-1208,10333
-481,-25,-1228,10300
-536,-20,-1253,10304
-599,-15,-1274,10274
-665,-12,-1301,10286
-734,-11,-1324,10252
-792,-12,-1355,10264
-857,-14,-1380,10224
-899,-16,-1413,10236
-952,-17,-1439,10190
-972,-16,-1473,10202
-996,-14,-1499,10152
-1000,-13,-1536,10164
-996,-13,-1565,10113
-997,-13,-1604,10124
-992,-13,-1636,10081
-1006,-11,-1677,10095
-1011,-7,-1710,10058
-1012,-1,-1751,10068
-969,6,-1785,10031
-868,13,-1825,10034
-676,19,-1859,9995
-381,24,-1897,9991
39,25,-1929,9955
614,20,-1963,9951
1372,8,-1991,9923
2297,-17,-2020,9920
3277,-54,-2043,9893
4093,-101,-2068,9883
4461,-155,-2089,9854
4141,-205,-2114,9839
3061,-243,-2137,9809
1378,-264,-2165,9796
-566,-265,-2193,9772
-2376,-250,-2228,9764
-3743,-226,-2261,9740
-4529,-199,-2297,9730
-4763,-173,-2325,9703
-4573,-150,-2350,9693
-4109,-129,-2366,9659
-3493,-108,-2386,9646
-2815,-87,-2405,9610
-2152,-66,-2438,9602
-1566,-46,-2473,9566
-1098,-27,-2521,9566
-762,-11,-2568,9537
-538,3,-2622,9550
-400,15,-2668,9523
-302,25,-2719,9539
-238,32,-2758,9506
-173,34,-2799,9520
-132,33,-2825,9477
-79,31,-2849,9489
-43,29,-2857,9444
-5,30,-2861,9457
32,33,-2847,9412
54,36,-2824,9423
86,38,-2780,9380
97,38,-2725,9389
118,36,-2649,9348
119,33,-2562,9353
130,29,-2454,9312
131,24,-2334,9310
143,19,-2193,9269
157,14,-2039,9262
186,9,-1867,9224
220,6,-1686,9217
260,5,-1494,9187
301,5,-1299,9183
341,6,-1094,9162
378,7,-890,9168
411,6,-685,9174
446,5,-482,9216
486,3,-273,9266
537,1,-55,9362
591,-1,173,9481
653,-3,408,9653
711,-6,640,9841
772,-9,848,10071
834,-12,1017,10291
908,-16,1142,10518
992,-19,1232,10689
1095,-22,1295,10845
1210,-24,1342,10936
1339,-27,1381,11026
1475,-30,1415,11061
1622,-35,1442,11118
