I,V,ABP,RESP
2852,11530,3403,1155
3230,13059,3828,1307
2852,11530,3357,1155
2655,10732,3122,1076
2852,11530,3357,1155
2970,12007,3477,1200
2852,11530,3310,1155
2774,11216,3210,1134
2852,11530,3310,1179
2900,11722,3370,1204
2852,11530,3310,1179
2820,11398,3272,1161
2852,11530,3310,1179
2869,11643,3326,1200
2852,11674,3310,1204
2841,11695,3319,1201
2852,11674,3357,1204
2855,11553,3368,1206
2852,11530,3357,1204
2849,11674,3349,1200
2852,11819,3357,1204
2849,11769,3356,1215
2852,11674,3357,1229
2849,11636,3351,1231
2852,11674,3357,1229
2849,11661,3356,1225
2852,11674,3357,1229
2849,11692,3350,1228
2852,11674,3357,1229
2849,11556,3359,1227
2852,11530,3357,1229
2849,11610,3331,1228
2852,11674,3310,1229
2849,11579,3299,1227
2852,11530,3310,1229
2849,11597,3314,1227
2852,11674,3310,1229
2849,11587,3285,1228
2852,11530,3264,1229
2849,11591,3250,1226
2852,11674,3264,1229
2849,11592,3272,1231
2852,11530,3264,1229
2848,11585,3230,1215
2852,11674,3217,1204
2851,11600,3218,1199
2852,11530,3217,1204
2846,11574,3188,1204
2852,11674,3170,1204
2854,11620,3169,1202
2852,11530,3170,1204
2840,11497,3143,1203
2852,11530,3124,1204
2863,11503,3121,1203
2852,11530,3124,1204
2827,11612,3097,1203
2852,11674,3077,1204
2889,11583,3074,1203
2852,11530,3077,1204
2725,11623,3051,1202
2662,11819,3030,1204
2734,11874,3027,1204
2852,11819,3030,1204
2879,11721,3004,1199
2852,11674,2984,1204
2842,11589,2981,1215
2852,11530,2984,1229
2835,11536,2957,1230
2852,11674,2937,1229
2939,11791,2934,1226
3042,11819,2937,1229
3065,11726,2911,1227
3042,11674,2891,1229
3031,11661,2888,1228
3042,11674,2891,1229
3034,11640,2864,1225
3042,11674,2844,1229
3055,11746,2841,1238
3042,11819,2844,1253
2946,11793,2818,1257
2852,11819,2797,1253
2815,11842,2794,1247
2852,11819,2797,1253
2868,11631,2771,1264
2852,11530,2751,1278
2831,11562,2747,1280
2852,11674,2751,1278
2869,11631,2726,1273
2852,11530,2704,1278
2826,11515,2699,1288
2852,11674,2704,1302
2872,11723,2681,1306
2852,11530,2657,1302
2977,11305,2650,1296
3612,11530,2657,1302
4833,12193,2639,1315
6274,13116,2611,1327
7480,14519,2594,1327
8366,17007,2611,1327
9055,20226,2622,1325
9506,23061,2611,1327
9414,25002,2578,1323
8556,26664,2564,1327
6998,27818,2564,1337
5133,26952,2564,1351
3483,23319,2539,1355
2472,18737,2518,1351
2117,15502,2509,1346
2091,13980,2518,1351
2040,12924,2517,1362
1901,11819,2518,1376
1770,11044,2517,1380
1711,10810,2518,1376
1694,10650,2495,1369
1711,10377,2471,1376
1727,10134,2458,1390
1711,10089,2471,1401
1672,10086,2479,1397
1711,10089,2471,1401
1817,10069,2442,1412
1901,10089,2424,1425
1888,10070,2418,1424
1901,10089,2424,1425
1995,10075,2423,1434
2091,10089,2424,1450
2039,10059,2422,1452
1901,10089,2424,1450
1831,10090,2419,1454
1901,10089,2424,1474
2018,10052,2428,1491
2091,10089,2424,1499
2100,10158,2398,1495
2091,10233,2378,1499
2086,10225,2370,1508
2091,10233,2378,1523
2091,10279,2377,1534
2091,10377,2378,1548
2088,10401,2375,1559
2091,10377,2378,1573
2091,10335,2373,1582
2091,10377,2378,1597
2088,10444,2381,1611
2091,10521,2378,1622
2090,10529,2352,1620
2091,10521,2331,1622
2088,10497,2323,1629
2091,10521,2331,1646
2091,10526,2331,1659
2091,10521,2331,1671
2086,10486,2329,1680
