II,MCL,PLETH
735,3528,6216
792,3940,7113
624,3397,6400
491,3105,6081
441,3332,6616
338,3468,6979
147,3310,6831
7,3231,6757
73,3397,7016
442,3546,7210
1175,3550,7200
2254,3577,7212
3489,3745,7354
4566,3892,7462
5178,3789,7508
5135,3356,7566
4407,2722,7662
3153,2088,7721
1689,1611,7754
380,1327,7780
-514,1241,7816
-933,1355,7830
-992,1655,7847
-877,2038,7841
-735,2417,7847
-646,2715,7839
-624,2918,7847
-629,3005,7839
-588,3005,7847
-475,2953,7839
-331,2918,7847
-218,2915,7839
-147,2940,7847
-105,2950,7839
-73,2962,7847
-79,2988,7839
-110,3049,7847
-162,3094,7839
-184,3092,7847
-161,3040,7839
-73,3005,7847
65,3023,7839
220,3092,7847
340,3150,7839
404,3158,7847
458,3085,7839
588,2962,7847
829,2812,7839
1139,2700,7847
1446,2633,7839
1726,2613,7847
1973,2608,7839
2167,2635,7847
2288,2685,7839
2351,2766,7847
2382,2851,7839
2387,2962,7847
2350,3091,7839
2277,3245,7847
2188,3394,7839
2093,3550,7847
1989,3694,7839
1873,3833,7847
1756,3944,7838
1653,4050,7847
1570,4148,7840
1506,4246,7847
1441,4315,7838
1359,4355,7847
1263,4350,7841
1175,4312,7847
1100,4236,7836
1028,4159,7847
949,4093,7847
881,4050,7847
836,3996,7803
808,3920,7754
773,3819,7687
735,3745,7631
693,3705,7551
661,3702,7477
613,3687,7392
551,3658,7324
461,3592,7241
367,3506,7170
280,3405,7085
220,3332,7016
181,3298,6932
147,3310,6862
102,3313,6779
37,3288,6708
-65,3238,6623
-220,3223,6554
-392,3228,6483
-477,3245,6431
-343,3313,6358
110,3550,6277
922,3921,6173
2057,4312,6093
3369,4661,6014
4591,5030,5939
5403,5269,5829
5546,5052,5723
4928,4248,5621
3673,3223,5539
2096,2414,5434
588,1960,5323
-547,1754,5204
-1212,1807,5108
-1498,2132,5011
-1579,2591,4923
-1586,2945,4825
-1579,3158,4739
-1563,3306,4644
-1543,3441,4554
-1532,3515,4445
-1543,3550,4339
-1555,3578,4225
-1543,3615,4123
-1506,3619,4013
-1469,3615,3908
-1452,3615,3785
-1432,3637,3662
-1410,3645,3529
-1396,3658,3416
-1412,3671,3304
-1432,3702,3200
-1428,3744,3083
-1396,3811,2985
-1345,3862,2897
-1285,3854,2831
-1211,3752,2758
-1139,3615,2708
-1068,3491,2676
-992,3419,2677
-888,3364,2674
-771,3332,2677
-664,3315,2677
-588,3332,2708
-527,3356,2755
-477,3397,2831
-441,3451,2904
-441,3550,2985
-471,3672,3063
-514,3811,3169
-549,3926,3286
-588,4029,3416
-636,4119,3533
-698,4225,3662
-764,4318,3793
-845,4399,3939
-928,4457,4074
-992,4529,4216
-1016,4602,4352
-1028,4660,4493
-1046,4660,4616
-1065,4617,4739
-1067,4530,4848
-1065,4421,4954
-1077,4283,5034
-1102,4159,5108
-1113,4063,5167
-1102,4007,5231
-1081,3958,5278
-1065,3920,5323
-1063,3869,5353
-1065,3811,5385
-1081,3721,5399
-1102,3637,5416
-1129,3572,5414
-1139,3550,5416
-1116,3540,5398
-1065,3528,5385
-1014,3489,5362
-992,3441,5354
-990,3386,5334
-992,3354,5323
-993,3326,5306
-1028,3310,5323
-1102,3287,5355
-1139,3288,5416
-979,3329,5467
-477,3462,5539
428,3700,5615
1653,4029,5723
2993,4301,5824
4150,4333,5939
4815,3975,6055
4774,3288,6216
4043,2474,6391
2865,1807,6585
1604,1454,6761
551,1459,6954
-159,1705,7140
-551,2047,7324
-727,2356,7457
-808,2613,7570
-865,2810,7649
-918,2962,7724
-959,3064,7760
-992,3158,7785
-1018,3237,7791
-1028,3288,7816
-1008,3266,7830
-955,3201,7847
