II,MCL,ABP
855,2446,6321
985,2793,7031
875,2482,6014
797,2301,5428
836,2446,5751
868,2538,5892
836,2446,5487
804,2383,5175
816,2446,5224
834,2488,5217
836,2446,5004
834,2412,4840
836,2446,4829
834,2463,4795
836,2409,4697
841,2360,4627
836,2409,4609
818,2459,4573
816,2373,4521
832,2267,4474
836,2373,4434
819,2519,4380
816,2336,4346
824,2040,4315
797,2373,4302
730,3309,4276
700,3760,4258
741,3014,4232
797,1862,4214
803,1462,4184
797,1862,4170
829,2252,4163
875,2300,4170
883,2292,4154
875,2409,4126
884,2471,4089
894,2409,4083
868,2350,4083
836,2373,4083
836,2390,4056
855,2373,4039
852,2356,4030
836,2373,4039
831,2383,4035
836,2373,4039
827,2334,4038
816,2300,4039
816,2283,4015
816,2300,3995
797,2308,3982
777,2300,3995
778,2285,3996
797,2300,3995
805,2325,3985
797,2336,3995
783,2316,3998
777,2300,3995
775,2296,3967
777,2300,3951
777,2291,3943
777,2300,3951
780,2322,3948
797,2336,3951
821,2315,3949
836,2300,3951
824,2312,3929
797,2336,3907
776,2325,3892
777,2300,3907
784,2287,3915
777,2300,3907
760,2303,3875
758,2300,3863
770,2294,3862
777,2300,3863
772,2300,3836
777,2300,3819
790,2285,3814
777,2263,3819
730,2245,3797
700,2263,3775
719,2297,3765
739,2300,3775
719,2269,3762
719,2300,3731
758,2373,3694
758,2373,3687
711,2290,3688
739,2300,3687
812,2395,3663
758,2373,3644
642,2247,3620
739,2300,3600
913,2454,3568
758,2336,3556
482,2087,3554
739,2300,3556
1230,2725,3532
777,2300,3512
-621,998,3503
-1224,402,3512
-14,1441,3497
1633,2884,3468
1929,3122,3432
1127,2409,3424
662,2025,3423
875,2227,3424
1003,2291,3403
777,2008,3380
661,1831,3351
836,1935,3336
961,1995,3326
855,1862,3336
681,1688,3341
564,1570,3336
435,1396,3308
253,1132,3292
61,857,3288
-97,657,3292
-215,496,3272
-292,329,3248
-337,161,3233
-350,73,3248
-296,59,3257
-155,37,3248
32,-30,3217
214,0,3205
350,209,3203
447,511,3205
520,753,3180
583,949,3161
628,1178,3152
661,1460,3161
703,1746,3159
777,2044,3161
846,2336,3160
855,2555,3161
802,2650,3139
758,2701,3117
766,2774,3103
797,2847,3117
803,2869,3123
797,2884,3117
810,2925,3089
836,2957,3073
843,2926,3066
836,2884,3073
833,2887,3071
836,2920,3073
832,2916,3070
836,2884,3073
849,2867,3068
855,2884,3073
842,2892,3074
836,2884,3073
854,2872,3049
875,2884,3029
864,2893,3018
836,2884,3029
821,2854,3031
836,2847,3029
853,2862,3020
855,2884,3029
843,2882,3034
836,2884,3029
834,2887,3002
836,2884,2985
834,2855,2978
836,2847,2985
832,2864,2982
816,2884,2985
795,2865,2986
797,2847,2985
820,2855,2961
836,2884,2941
820,2887,2931
797,2884,2941
791,2881,2941
797,2884,2941
791,2873,2936
777,2884,2941
766,2917,2938
758,2957,2941
744,2960,2937
739,2957,2941
741,2965,2934
739,2993,2941
718,3010,2951
700,3030,2985
691,3049,3019
680,3066,3073
660,3062,3127
661,3066,3205
685,3092,3293
700,3139,3424
680,3167,3581
661,3176,3775
672,3170,3967
700,3176,4170
711,3178,4373
719,3176,4609
744,3157,4850
777,3139,5092
792,3109,5307
797,3066,5531
811,3005,5751
836,2957,5970
850,2909,6149
855,2847,6321
867,2751,6487
894,2665,6672
914,2612,6833
913,2592,6980
898,2559,7104
894,2519,7243
904,2475,7363
913,2446,7463
911,2420,7521
913,2409,7594
926,2395,7676
933,2373,7770
922,2338,7822
913,2336,7858
916,2357,7872
913,2373,7902
896,2350,7918
894,2336,7946
917,2348,7962
933,2373,7989
914,2371,7991
894,2373,7989
899,2389,7963
913,2409,7946
906,2394,7916
894,2373,7902
894,2364,7875
894,2373,7858
878,2369,7815
875,2373,7770
897,2389,7699
913,2409,7638
895,2397,7566
875,2373,7507
880,2359,7422
894,2373,7331
885,2379,7214
875,2373,7111
877,2360,7000
875,2373,6892
849,2395,6756
836,2409,6629
855,2392,6493
875,2373,6365
859,2364,6210
836,2373,6058
839,2373,5895
855,2373,5751
850,2366,5603
836,2373,5487
839,2378,5373
855,2373,5268
853,2347,5143
836,2336,5048
826,2327,4971
836,2300,4917
843,2289,4842
836,2373,4785
826,2447,4733
836,2373,4697
848,2264,4643
836,2373,4609
810,2524,4583
816,2336,4565
845,2032,4517
836,2373,4478
774,3323,4446
739,3760,4434
776,2988,4404
836,1862,4390
846,1548,4384
836,2008,4390
856,2366,4366
894,2336,4346
897,2288,4335
875,2409,4346
865,2476,4332
875,2409,4302
872,2350,4263
855,2373,4258
840,2384,4259
836,2373,4258
833,2382,4230
836,2409,4214
846,2399,4206
855,2373,4214
849,2363,4209
836,2373,4214
818,2361,4216
797,2336,4214
771,2307,4186
758,2300,4170
763,2309,4166
777,2336,4170
781,2358,4146
777,2373,4126
774,2372,4117
777,2373,4126
779,2361,4122
777,2336,4126
774,2302,4128
777,2300,4126
786,2321,4098
797,2336,4083
800,2327,4079
797,2336,4083
786,2364,4058
777,2373,4039
774,2331,4031
777,2300,4039
774,2310,4019
758,2336,3995
739,2322,3978
739,2300,3995
752,2307,4003
758,2336,3995
751,2331,3963
758,2300,3951
777,2268,3948
777,2263,3951
739,2270,3928
700,2300,3907
695,2342,3882
700,2373,3863
686,2367,3832
700,2373,3819
742,2388,3817
739,2373,3819
691,2335,3795
719,2373,3775
791,2443,3767
739,2409,3775
634,2314,3759
739,2373,3731
907,2487,3699
739,2373,3687
452,2188,3668
700,2409,3644
1184,2770,3609
739,2373,3600
-637,1249,3599
-1224,767,3600
-27,1685,3575
1594,2920,3556
1879,3098,3546
1088,2446,3556
644,2076,3542
875,2227,3512
1011,2271,3473
777,2008,3468
646,1826,3472
816,1898,3468
948,1942,3438
836,1789,3424
632,1550,3423
486,1351,3424
351,1149,3397
175,913,3380
-21,659,3377
-194,438,3380
-325,244,3355
-408,73,3336
-458,-82,3332
-466,-183,3336
-396,-222,3313
-233,-219,3292
-32,-192,3285
155,-73,3292
305,156,3273
428,438,3248
526,693,3235
603,949,3248
654,1243,3252
700,1570,3248
760,1882,3238
836,2190,3248
885,2480,3254
875,2701,3248
818,2806,3219
777,2847,3205
784,2892,3201
816,2957,3205
835,3002,3183
836,3030,3161
835,3050,3149
836,3066,3161
833,3066,3163
836,3066,3161
847,3070,3152
855,3066,3161
847,3042,3164
836,3030,3161
833,3042,3135
836,3066,3117
833,3058,3107
836,3030,3117
847,3010,3118
855,3030,3117
846,3045,3110
836,3030,3117
834,2990,3119
836,2993,3117
826,3023,3093
816,3030,3073
814,2982,3061
816,2957,3073
808,2986,3078
797,3030,3073
792,3019,3046
797,2993,3029
798,2987,3021
797,2993,3029
796,2969,3028
797,2957,3029
789,2983,3024
777,3030,3029
770,3036,3027
777,3030,3029
790,3039,3023
797,3066,3029
790,3069,3029
