II,V,PLETH,ABP
-153,-2379,1099,4471
-566,-3215,1094,4814
-1060,-3698,851,4303
-1570,-4230,813,4552
-2130,-4473,701,4584
-2670,-4443,564,4520
-3101,-4186,418,4453
-3359,-3820,297,4474
-3410,-3385,168,4496
-3269,-2928,21,4456
-2971,-2494,-137,4412
-2567,-2096,-289,4406
-2081,-1696,-445,4408
-1534,-1268,-607,4380
-938,-823,-764,4351
-332,-395,-906,4335
235,-4,-1038,4315
706,323,-1161,4284
1051,572,-1277,4253
1269,739,-1382,4231
1397,854,-1487,4200
1471,925,-1585,4169
1529,978,-1678,4144
1577,1016,-1763,4116
1623,1049,-1840,4100
1651,1078,-1906,4083
1672,1102,-1964,4077
1685,1128,-2010,4062
1704,1151,-2049,4059
1735,1176,-2076,4047
1781,1200,-2098,4050
1838,1225,-2109,4035
1899,1249,-2118,4035
1950,1273,-2119,4006
1993,1297,-2123,3998
2019,1318,-2120,3957
2039,1340,-2124,3956
2043,1360,-2119,3923
2053,1383,-2124,3944
2052,1402,-2119,3932
2064,1425,-2124,3975
2062,1439,-2118,3985
2074,1455,-2124,4054
2077,1459,-2118,4098
2097,1463,-2124,4198
2109,1458,-2118,4276
2141,1451,-2124,4403
2170,1433,-2118,4523
2214,1412,-2123,4704
2250,1381,-2119,4919
2293,1349,-2123,5237
2330,1311,-2119,5641
2375,1273,-2123,6183
2420,1233,-2123,6829
2476,1193,-2134,7578
2532,1147,-2143,8348
2590,1100,-2161,9092
2638,1047,-2176,9719
2677,989,-2193,10183
2697,922,-2203,10428
2699,849,-2212,10462
2676,774,-2215,10290
2629,700,-2221,9952
2555,627,-2226,9479
2460,558,-2237,8943
2347,487,-2249,8393
2223,415,-2264,7889
2093,338,-2273,7444
1959,262,-2278,7089
1820,190,-2271,6796
1674,127,-2262,6565
1520,73,-2245,6352
1361,29,-2234,6170
1197,-9,-2220,5977
1038,-38,-2216,5804
886,-64,-2205,5606
751,-83,-2199,5434
630,-99,-2181,5236
531,-107,-2167,5089
444,-113,-2141,4928
376,-110,-2124,4837
309,-105,-2095,4729
253,-93,-2080,4703
193,-79,-2056,4668
143,-61,-2049,4724
90,-44,-2032,4771
51,-27,-2031,4897
13,-14,-2017,5008
-12,-2,-2012,5169
-38,6,-1991,5297
-55,15,-1979,5454
-75,24,-1956,5580
-87,35,-1946,5723
-101,45,-1932,5827
-109,55,-1931,5932
-120,65,-1926,5991
-130,77,-1928,6041
-147,89,-1926,6051
-166,102,-1929,6055
-187,112,-1927,6034
-206,120,-1927,6013
-222,126,-1922,5971
-234,133,-1916,5927
-245,141,-1902,5865
-256,151,-1887,5802
-265,163,-1870,5728
-272,173,-1856,5661
-278,180,-1843,5591
-283,186,-1834,5534
-289,191,-1823,5474
-299,197,-1809,5426
-313,202,-1783,5369
-328,208,-1749,5324
-340,212,-1703,5269
-351,216,-1652,5231
-362,217,-1590,5178
-376,219,-1527,5147
-391,222,-1460,5099
-409,227,-1399,5077
-425,230,-1336,5035
-438,232,-1284,5023
-443,230,-1228,4987
-446,227,-1182,4982
-446,222,-1130,4950
-449,220,-1087,4953
-450,219,-1039,4929
-453,221,-1001,4942
-453,219,-962,4923
-455,214,-935,4938
-454,208,-908,4924
-457,203,-893,4940
-461,200,-878,4931
-473,202,-873,4948
-487,208,-863,4947
-505,217,-857,4967
-521,224,-842,4964
