II,V,PLETH
4296,6333,7196
4864,7146,8153
4296,6273,7196
4003,5822,6701
4296,6273,7196
4442,6550,7497
4196,6273,7196
3999,6048,7003
4063,6154,7196
4107,6214,7321
3996,6094,7196
3880,6011,7116
3863,6034,7196
3859,5999,7250
3830,5915,7196
3812,5885,7095
3830,5915,6914
3839,5914,6550
3830,5915,5983
3824,5959,5256
3863,6034,4402
3909,6072,3477
3896,6094,2596
3779,6092,1848
3663,6094,1298
3633,6079,912
3697,6094,649
3750,6122,450
3763,6154,310
3740,6130,207
3730,6094,141
3729,6067,86
3763,6094,56
3812,6124,36
3863,6154,28
3874,6152,10
3863,6154,0
3847,6144,-7
3863,6154,0
3882,6168,-1
3896,6214,0
3890,6248,-3
3896,6273,0
3899,6263,0
3896,6273,0
3877,6296,-1
3896,6333,0
3944,6321,0
3996,6273,0
3992,6200,0
3963,6154,0
3913,6116,0
3863,6094,0
3795,6075,0
3763,6094,0
3782,6124,0
3830,6154,0
3843,6165,0
3830,6214,0
3831,6292,0
3896,6393,0
4007,6472,0
4163,6572,0
4349,6651,0
4596,6632,0
4905,6365,0
5295,5855,0
5717,5172,0
6128,4481,0
6455,3866,0
6627,3406,0
6456,3060,0
5795,2808,0
4666,2599,0
3364,2509,0
2181,2610,0
1332,2987,0
943,3578,0
1132,4302,0
1778,5019,0
2531,5676,0
3035,6180,0
3264,6512,0
3366,6664,0
3463,6751,0
3527,6828,0
3563,6931,0
3580,6998,0
3597,7050,0
3579,7078,0
3563,7110,0
3555,7111,0
3563,7110,0
3546,7101,0
3530,7110,0
3520,7107,0
3530,7110,0
3531,7104,0
3530,7110,0
3525,7103,0
3530,7110,0
3535,7104,0
3563,7110,0
3606,7100,0
3663,7110,0
3691,7107,0
3697,7110,0
3693,7092,0
3730,7110,0
3785,7150,0
3830,7229,0
3830,7291,0
3830,7349,0
3839,7360,-1
3863,7349,0
3872,7317,0
3896,7349,0
3939,7427,-1
3996,7528,0
4021,7571,1
4030,7588,0
4036,7582,-3
4063,7588,0
4072,7575,12
4063,7588,28
4044,7611,41
4063,7647,56
4100,7632,80
4129,7588,113
4106,7517,144
4063,7468,169
4027,7408,193
4030,7349,226
4033,7260,260
4030,7169,282
4009,7050,293
3996,6931,310
3962,6796,340
3896,6692,367
3798,6593,380
3730,6512,395
3691,6396,422
3663,6273,452
3607,6152,468
3563,6094,480
3543,6061,503
3530,6034,536
3470,5968,558
3397,5915,564
3349,5872,570
3364,5855,593
3397,5817,624
3430,5795,649
3435,5782,661
3430,5795,677
3408,5790,704
3397,5795,734
3380,5793,750
3364,5795,762
3326,5765,775
3297,5736,790
3279,5698,801
3297,5676,818
3325,5638,845
3364,5616,875
3394,5587,892
3430,5556,903
3441,5490,914
3430,5437,931
3407,5409,946
3430,5437,960
3483,5468,971
3530,5497,988
3536,5495,1001
3563,5497,1016
3626,5487,1028
3697,5497,1044
3717,5510,1058
3730,5556,1072
3766,5593,1084
3830,5616,1101
3859,5605,1115
3863,5616,1129
3854,5641,1137
3863,5676,1157
3870,5675,1183
3896,5676,1213
3938,5673,1236
3996,5676,1270
4025,5643,1317
4030,5616,1383
4018,5600,1449
4030,5616,1524
4047,5616,1601
4063,5616,1693
4048,5607,1794
4030,5616,1919
4015,5611,2056
4030,5616,2201
4045,5627,2337
4063,5676,2483
4062,5715,2636
4063,5736,2794
4054,5722,2927
4063,5736,3048
4083,5765,3156
4129,5795,3274
4169,5770,3393
4196,5736,3528
4193,5714,3658
4196,5736,3782
4203,5743,3880
4229,5736,3979
4254,5700,4076
4296,5676,4177
4326,5643,4261
4329,5616,4346
4279,5575,4421
4229,5556,4487
4208,5545,4528
4229,5556,4572
4231,5557,4614
4196,5556,4656
4120,5511,4672
4063,5437,4685
4040,5346,4694
4063,5317,4713
4092,5322,4714
4129,5317,4713
4156,5251,4699
4196,5198,4685
4240,5182,4653
4296,5198,4628
4317,5186,4599
4296,5198,4572
4233,5244,4527
4196,5317,4487
4189,5349,4443
4196,5377,4402
4165,5421,4343
4129,5497,4290
4110,5537,4232
4129,5556,4177
4137,5551,4101
4129,5556,4036
4112,5548,3974
4129,5556,3923
4162,5557,3851
4196,5556,3782
4196,5539,3715
4196,5556,3669
4202,5588,3612
4229,5616,3556
4236,5605,3491
4229,5616,3443
4212,5645,3395
4229,5676,3358
4261,5665,3313
4296,5676,3274
4297,5709,3226
4296,5736,3189
4290,5684,3145
4296,5616,3104
4287,5585,3055
4296,5616,3020
4306,5647,2987
4329,5676,2963
4337,5702,2929
4363,5736,2907
4396,5741,2887
4429,5736,2879
4431,5739,2861
4429,5795,2850
4433,5876,2835
4462,5975,2822
4512,6056,2801
4629,6154,2794
4814,6239,2792
5062,6273,2794
5331,6111,2777
5661,5676,2766
6071,4944,2760
6561,4063,2766
7020,3165,2754
7326,2390,2737
7309,1746,2717
6860,1255,2709
5929,892,2696
4662,717,2681
3331,768,2659
2298,1135,2653
1784,1809,2650
1832,2748,2653
2254,3786,2640
2831,4780,2625
3357,5562,2606
3763,6094,2596
4018,6373,2581
4163,6512,2568
4214,6573,2550
4229,6632,2540
4220,6682,2525
4229,6751,2512
4257,6794,2491
4329,6811,2483
4394,6795,2481
4429,6811,2483
4397,6845,2471
4363,6871,2455
4345,6858,2436
4363,6871,2427
4367,6925,2413
4363,6990,2399
4351,6982,2378
4363,6931,2371
4385,6876,2368
4429,6871,2371
4474,6866,2358
4529,6871,2342
4565,6859,2322
4596,6871,2314
4598,6883,2308
4596,6931,2314
4591,6981,2316
4629,7050,2314
4690,7101,2298
4762,7169,2286
4791,7228,2279
4796,7289,2286
4791,7314,2286
4829,7349,2286
4879,7389,2280
4929,7468,2286
4944,7534,2288
4962,7588,2286
4985,7592,2269
5029,7588,2258
5059,7572,2252
5095,7588,2258
5133,7592,2257
5195,7588,2258
5248,7564,2254
5295,7588,2258
5323,7628,2256
5362,7647,2258
5396,7577,2255
5428,7468,2258
5423,7343,2255
5395,7229,2258
5333,7081,2256
5262,6931,2258
5155,6773,2254
5029,6632,2258
4889,6472,2257
4796,6333,2258
4744,6203,2253
4729,6094,2258
4690,5964,2261
4629,5855,2258
4539,5769,2239
4462,5736,2229
4396,5701,2228
4363,5676,2229
4338,5636,2214
4329,5616,2201
4307,5584,2196
4296,5556,2201
4284,5512,2191
4296,5497,2173
4306,5488,2152
4329,5497,2145
4343,5488,2133
4363,5497,2117
4355,5496,2094
4329,5497,2088
4273,5479,2089
4229,5497,2088
4197,5529,2072
4196,5556,2060
4192,5527,2055
4196,5497,2060
4198,5483,2057
4229,5497,2060
4262,5473,2061
4296,5437,2060
4306,5408,2042
4329,5437,2032
4365,5487,2029
4429,5556,2032
4501,5612,2017
4596,5676,2004
4676,5714,1997
4729,5736,2004
4739,5708,1994
4762,5676,1975
4791,5669,1952
4796,5736,1947
4714,5797,1946
4596,5795,1947
4510,5728,1943
