II,III,PLETH
3195,4423,4842
3638,4893,5529
3313,4173,4947
3339,3793,4662
3964,4089,5051
4555,4315,5322
4733,4256,5207
4580,4344,5140
4142,4674,5311
3333,4872,5429
2367,4841,5415
1580,4799,5445
1124,4841,5571
934,4844,5648
1006,4841,5676
1319,4934,5733
1716,5091,5832
1996,5118,5894
2130,4924,5936
2209,4559,5984
2308,4173,6040
2437,3880,6065
2663,3756,6092
3081,3758,6112
3787,3839,6144
4724,3906,6160
5798,3922,6196
6926,3888,6228
7988,3922,6248
8604,4155,6220
8343,4674,6196
7136,5365,6185
5503,6009,6196
4081,6336,6175
3136,6259,6144
2531,5849,6106
2130,5341,6092
1954,4932,6065
2071,4757,6040
2424,4800,6003
2899,5007,5988
3356,5254,5962
3668,5425,5936
3674,5364,5894
3313,5007,5884
2690,4399,5881
2071,3756,5884
1640,3277,5853
1420,3088,5832
1295,3159,5819
1243,3422,5832
1272,3759,5812
1420,4089,5780
1633,4337,5735
1893,4507,5728
2152,4579,5723
2367,4590,5728
2484,4568,5713
2544,4590,5728
2620,4641,5762
2781,4674,5832
2987,4629,5885
3136,4590,5936
3092,4632,5974
2840,4757,6040
2479,4789,6109
2189,4590,6196
2044,4154,6270
2012,3672,6352
2001,3316,6410
2012,3171,6457
2083,3191,6475
2248,3338,6509
2457,3545,6537
2663,3756,6561
2859,3880,6539
3077,3922,6509
3262,3912,6473
3313,3922,6457
3161,3953,6413
2899,4006,6352
2667,4045,6264
2544,4089,6196
2478,4129,6134
2426,4173,6092
2401,4163,6036
2544,4089,5988
2989,3970,5928
3728,3922,5884
4435,4015,5827
4674,4256,5780
4241,4518,5719
3373,4674,5676
2486,4630,5618
1893,4423,5571
1699,4119,5523
1893,3839,5519
2301,3665,5520
2663,3672,5519
2796,3813,5482
2781,4006,5467
2784,4150,5475
2899,4256,5519
3082,4339,5543
3313,4423,5571
3557,4477,5589
3728,4507,5623
3658,4487,5650
3313,4423,5728
2824,4323,5867
2426,4256,6092
2216,4239,6331
2130,4256,6561
2028,4254,6733
1893,4256,6873
1805,4279,6960
1834,4340,7029
1942,4390,7073
2071,4423,7133
2213,4425,7187
2426,4423,7238
2703,4408,7245
3018,4423,7238
3356,4485,7206
3787,4590,7186
4274,4606,7154
4615,4423,7133
4493,4044,7088
3787,3672,7029
2680,3477,6940
1598,3505,6873
880,3628,6815
651,3756,6769
794,3840,6688
1124,3922,6613
1458,4015,6544
1716,4173,6509
1925,4402,6456
2189,4674,6405
2533,4831,6338
2899,4757,6300
3218,4448,6264
3491,4089,6248
3658,3837,6217
3609,3756,6196
3281,3791,6160
2840,3922,6144
2513,4095,6129
2426,4256,6144
2480,4344,6147
2544,4423,6144
2509,4576,6109
2367,4841,6092
2135,5111,6081
1893,5258,6092
1722,5165,6084
1716,4841,6092
1853,4369,6104
2071,3922,6144
2249,3613,6167
2367,3505,6196
2446,3544,6212
2544,3672,6248
2672,3782,6283
2840,3839,6352
3032,3836,6423
3254,3839,6509
3505,3847,6576
3787,3839,6665
4022,3767,6744
4142,3672,6821
4194,3582,6863
4378,3505,6925
4838,3366,6996
5621,3171,7081
6707,3015,7130
7929,3088,7186
8709,3447,7248
8343,4006,7342
6691,4547,7404
4497,4924,7446
2674,5062,7459
1598,5007,7498
1117,4836,7541
1065,4674,7602
1312,4567,7634
1657,4507,7654
1888,4408,7646
2012,4256,7654
2082,4072,7652
2071,3922,7654
1904,3816,7625
1716,3756,7602
1676,3704,7568
1834,3672,7550
2071,3653,7517
2308,3672,7498
2507,3725,7467
2663,3839,7446
2706,3992,7395
2663,4173,7342
2583,4324,7276
2544,4423,7238
2496,4401,7188
2367,4256,7133
2200,4027,7046
2248,3839,6977
2762,3729,6900
3728,3672,6821
4743,3609,6706
5266,3589,6613
4923,3658,6528
3787,3839,6457
2303,4072,6344
1065,4340,6248
442,4606,6174
473,4841,6144
911,4975,6091
1479,5007,6040
1964,4949,5989
2308,4841,5988
2518,4661,6000
2663,4423,6040
2749,4148,6076
2781,3922,6144
2767,3766,6226
2781,3672,6352
2853,3582,6479
2958,3505,6613
3030,3443,6728
3077,3422,6873
3144,3434,7011
3313,3505,7133
3583,3597,7206
3905,3672,7290
4153,3683,7373
4260,3672,7446
4279,3661,7454
4378,3672,7446
4637,3686,7423
4911,3756,7394
4867,3894,7315
4319,4089,7238
3429,4227,7173
2603,4256,7133
2083,4177,7060
1834,4089,6977
1723,4052,6886
1775,4089,6821
2022,4139,6741
2367,4173,6665
2582,4172,6575
2603,4173,6509
2538,4170,6443
2544,4173,6405
2624,4164,6352
2722,4173,6300
2800,4197,6229
2899,4256,6196
2982,4327,6182
2958,4423,6196
2760,4519,6188
2485,4590,6196
2264,4538,6205
2189,4340,6248
2253,4071,6285
2485,3922,6352
2894,3956,6435
3432,4089,6561
3942,4167,6669
4260,4173,6769
4238,4153,6849
3846,4173,6977
3184,4228,7127
2485,4340,7290
1930,4470,7415
1598,4590,7550
1467,4667,7681
1538,4757,7810
1779,4840,7891
2130,4841,7967
2485,4653,8025
2781,4340,8071
2948,4024,8054
2958,3839,8019
2805,3787,7967
2603,3839,7915
2489,3900,7814
2544,3922,7706
2669,3899,7592
2722,3922,7498
2645,4040,7371
2544,4256,7238
2494,4481,7104
2485,4674,7029
2468,4791,6972
2485,4841,6925
2561,4795,6839
2663,4674,6769
2749,4495,6717
2899,4340,6717
3209,4249,6712
3728,4256,6717
4393,4307,6702
5088,4340,6717
5504,4261,6745
5325,4089,6821
4458,3924,6894
3254,3922,6977
2156,4066,7039
1420,4256,7133
1034,4412,7232
947,4590,7342
1070,4731,7413
1302,4674,7498
1548,4311,7588
1834,3839,7706
2182,3491,7791
2603,3338,7862
3136,3248,7905
3905,3171,7967
4921,3122,8014
