II,V,PLETH,RESP
4959,8684,4862,-22
5886,9464,5514,-16
5588,7730,4892,0
5507,6519,4587,14
6007,6537,4954,22
6411,6340,5182,29
6496,5487,5015,43
6554,4886,4928,57
6636,4867,5108,65
6585,4843,5224,71
6636,4628,5169,86
7013,4558,5143,110
7404,4676,5231,130
7307,4698,5292,140
6845,4628,5292,151
6568,4648,5294,172
6706,4724,5323,195
6903,4685,5329,207
6776,4581,5323,216
6334,4541,5320,233
5937,4581,5323,259
5845,4605,5306,284
6007,4628,5292,303
6137,4658,5271,322
6147,4724,5262,346
6166,4773,5233,370
6356,4819,5200,389
6555,4846,5156,400
6566,4867,5138,411
6447,4862,5124,428
6496,4867,5108,454
6640,4856,5060,479
6496,4819,5015,497
5881,4747,4974,507
5239,4724,4954,519
4985,4774,4921,537
5029,4867,4892,562
4921,4895,4856,585
4610,4867,4831,605
4380,4847,4795,624
4471,4915,4769,649
4743,4997,4736,674
5029,5010,4708,692
5244,4940,4658,701
5448,4915,4615,714
5621,4973,4573,733
5728,5058,4554,757
5687,5068,4524,776
5588,5058,4492,800
5594,5086,4450,825
5868,5153,4431,843
6271,5147,4414,851
6566,5058,4400,865
6602,4924,4363,894
6566,4819,4338,930
6676,4710,4318,954
6985,4581,4308,973
7257,4419,4275,992
7334,4294,4246,1016
7267,4218,4220,1036
7265,4199,4215,1060
7333,4187,4199,1089
7334,4199,4185,1124
7160,4214,4162,1150
6985,4247,4154,1168
6980,4275,4136,1183
7125,4342,4123,1211
7156,4442,4102,1243
6985,4581,4092,1276
6791,4714,4075,1298
6845,4867,4062,1319
7060,5016,4038,1339
7125,5153,4031,1362
6856,5234,4024,1383
6496,5296,4031,1406
6309,5344,4027,1426
6287,5392,4031,1449
6140,5409,4027,1468
5798,5440,4031,1492
5452,5489,4025,1515
5448,5583,4031,1535
5869,5692,4031,1545
6496,5821,4031,1557
6816,5906,4011,1574
6496,5917,4000,1600
5641,5850,3993,1623
4820,5821,4000,1643
4432,5858,3996,1655
4471,5917,4000,1665
4620,5893,3999,1671
4750,5821,4000,1687
4833,5747,3981,1707
4890,5726,3969,1730
4867,5740,3961,1742
4890,5821,3969,1752
5087,5937,3958,1759
5518,6060,3938,1773
6006,6148,3910,1783
6356,6251,3908,1795
6402,6332,3909,1803
6217,6346,3908,1816
6029,6274,3885,1826
6077,6251,3877,1838
6227,6305,3874,1846
6217,6346,3877,1860
6024,6227,3857,1870
6007,6012,3846,1881
6273,5804,3842,1888
6566,5678,3846,1903
6673,5596,3829,1915
6845,5583,3815,1925
7273,5608,3808,1922
7684,5630,3815,1925
7600,5570,3802,1932
7055,5487,3785,1946
6461,5433,3761,1954
6147,5440,3754,1968
6046,5439,3737,1986
6007,5440,3723,2011
5914,5442,3701,2023
5798,5487,3692,2033
5739,5534,3675,2039
5868,5583,3662,2054
6109,5606,3638,2065
6287,5630,3631,2076
6264,5618,3625,2083
6147,5583,3631,2098
