II,V,PLETH,RESP
9480,4450,6255,-59
10212,5147,7109,-76
8599,4643,6316,-79
8322,4289,5919,-82
9921,4450,6378,-98
11002,4529,6657,-120
10362,4401,6409,-138
8941,4484,6241,-148
7827,4837,6409,-158
7293,5021,6514,-168
7496,4885,6409,-177
8200,4716,6331,-185
8378,4788,6378,-197
7131,5049,6384,-210
5071,5320,6316,-217
3814,5448,6264,-215
4410,5369,6255,-217
6470,5100,6219,-227
8819,4788,6162,-236
10432,4612,6108,-237
11024,4691,6069,-236
10788,4955,6019,-244
10142,5224,5976,-256
9536,5332,5922,-260
9480,5320,5883,-256
9935,5270,5834,-253
10362,5224,5790,-256
10261,5134,5734,-258
9811,5030,5697,-256
9340,4946,5652,-253
9040,4885,5604,-256
8968,4734,5532,-259
9150,4498,5480,-256
9074,4315,5439,-245
8268,4353,5388,-236
7233,4486,5237,-236
7386,4450,4985,-236
9059,4134,4667,-229
10693,3821,4397,-217
10503,3787,4203,-211
8819,4014,4087,-217
7599,4175,3985,-222
8047,4111,3901,-217
9121,3948,3825,-204
9260,3918,3778,-197
8452,3959,3727,-197
8047,3918,3685,-197
8387,3802,3641,-188
8378,3869,3623,-177
7444,4141,3605,-173
6945,4353,3592,-177
8144,4260,3557,-180
10252,4063,3530,-177
11267,4048,3504,-167
10583,4256,3499,-158
9160,4460,3484,-152
8047,4595,3468,-158
7381,4719,3441,-168
7055,4885,3437,-177
7002,5007,3437,-178
7165,5078,3437,-177
7304,5129,3416,-182
7276,5224,3406,-197
6880,5365,3402,-216
6173,5562,3406,-236
5644,5705,3389,-255
6063,5707,3375,-276
7442,5591,3366,-296
8929,5562,3375,-315
9621,5698,3375,-332
9591,5901,3375,-354
9420,6006,3369,-382
9480,6046,3375,-413
9634,6073,3373,-442
9701,6094,3375,-473
9399,6052,3370,-503
8709,5997,3375,-532
8090,5931,3372,-552
8268,5804,3375,-571
9010,5559,3371,-595
9370,5320,3375,-630
9094,5176,3372,-670
9040,5127,3375,-709
9367,5085,3370,-740
9150,5078,3375,-768
8170,5102,3374,-801
7827,5127,3375,-847
8790,5102,3358,-894
9701,5127,3344,-925
9263,5237,3333,-931
8488,5369,3344,-925
8976,5357,3349,-922
10473,5224,3344,-925
11356,5086,3321,-926
11134,5078,3313,-925
10523,5147,3311,-924
10032,5224,3313,-925
9416,5258,3295,-925
8709,5320,3282,-925
8298,5401,3277,-924
8378,5465,3282,-925
8537,5434,3269,-925
8378,5369,3251,-925
7764,5343,3229,-924
7055,5417,3220,-925
6701,5505,3203,-925
6835,5562,3189,-925
6822,5586,3169,-924
6173,5659,3158,-925
5408,5740,3140,-924
5732,5756,3127,-925
7201,5656,3108,-924
8488,5562,3096,-925
8422,5556,3078,-924
7496,5659,3065,-925
6877,5792,3046,-924
7055,5949,3034,-925
7642,6080,3016,-924
8488,6142,3003,-925
9677,6084,2984,-924
11024,5997,2972,-925
11777,5959,2955,-924
11575,5997,2941,-925
10872,6004,2921,-924
10473,5949,2911,-925
10385,5859,2895,-924
10142,5804,2880,-925
9786,5695,2855,-924
10032,5465,2849,-925
10811,5169,2849,-924
11134,5030,2849,-925
10563,5081,2829,-924
10032,5175,2818,-925
10153,5156,2815,-924
10252,5127,2818,-925
9670,5168,2800,-924
9260,5224,2787,-925
9960,5148,2781,-924
11134,5030,2787,-925
11246,5010,2782,-924
10142,5127,2787,-925
9084,5218,2799,-924
9040,5224,2818,-925
9386,5190,2816,-924
9260,5224,2818,-925
8823,5286,2827,-924
9040,5320,2849,-925
9778,5298,2853,-924
9811,5320,2849,-925
8571,5390,2840,-924
7276,5465,2849,-925
7205,5452,2860,-924
8047,5417,2880,-925
8576,5422,2885,-924
8488,5514,2880,-925
8256,5613,2858,-924
8158,5707,2849,-925
8094,5745,2847,-924
8378,5707,2849,-925
9375,5503,2833,-924
11024,5127,2818,-925
12780,4563,2801,-924
14331,3918,2787,-925
15370,3364,2755,-924
15433,3241,2725,-925
13964,3793,2701,-924
11134,5030,2694,-925
7858,6537,2679,-924
5181,7787,2663,-925
3245,8444,2641,-924
1764,8609,2632,-925
960,8549,2617,-924
1654,8512,2601,-925
3687,8574,2577,-924
5732,8754,2570,-925
6866,8915,2569,-924
7717,8899,2570,-925
8912,8640,2552,-924
10032,8319,2539,-925
10535,8093,2532,-924
10914,7980,2539,-925
11428,7846,2537,-924
11355,7642,2539,-925
10249,7322,2537,-924
9260,6868,2539,-925
9433,6281,2524,-924
10252,5707,2508,-925
10461,5260,2496,-924
10032,4982,2508,-925
9602,4818,2523,-924
9260,4788,2539,-925
8632,4835,2539,-924
8047,4885,2539,-925
8237,4818,2535,-924
9260,4691,2539,-925
10210,4589,2537,-924
10362,4595,2539,-925
9829,4636,2536,-924
9260,4691,2539,-925
8812,4753,2537,-924
8268,4885,2539,-925
7651,5006,2535,-924
7606,5030,2539,-925
8368,4910,2538,-924
9370,4788,2539,-925
9809,4745,2534,-924
9701,4788,2539,-925
9393,4842,2541,-924
9040,4933,2539,-925
8558,5043,2520,-924
8268,5127,2508,-925
8454,5126,2502,-924
9040,5127,2508,-925
9604,5193,2506,-924
10032,5320,2508,-925
10331,5409,2508,-924
10473,5465,2508,-925
10308,5512,2492,-924
10032,5562,2477,-925
9910,5543,2468,-924
10032,5465,2477,-925
10129,5372,2480,-924
10142,5320,2477,-925
10336,5217,2458,-924
11134,4982,2446,-925
12375,4628,2439,-924
13339,4353,2446,-925
13253,4273,2448,-924
12236,4353,2446,-925
11102,4427,2429,-924
10583,4450,2415,-925
10475,4440,2407,-925
10252,4450,2415,-925
9892,4424,2419,-924
10032,4353,2415,-925
10769,4261,2395,-925
11244,4256,2384,-925
10444,4348,2379,-924
8709,4498,2384,-925
7489,4580,2381,-925
7937,4546,2384,-925
9528,4371,2385,-924
10803,4159,2384,-925
10849,4031,2367,-926
10142,4111,2353,-925
9527,4306,2346,-924
9370,4450,2353,-925
9426,4423,2353,-928
9591,4353,2353,-925
9741,4366,2349,-910
9701,4498,2353,-886
9243,4644,2352,-857
8599,4788,2353,-827
8083,4932,2349,-792
7937,5078,2353,-748
8175,5141,2353,-698
8819,5127,2353,-650
9501,5113,2348,-602
9701,5224,2353,-551
9201,5420,2356,-498
8599,5610,2353,-453
8546,5728,2334,-415
9150,5852,2322,-374
9924,5993,2317,-324
10583,6094,2322,-276
11103,6081,2320,-234
11575,6046,2322,-197
11798,6055,2322,-156
11685,6094,2322,-118
11399,6065,2306,-88
11355,5997,2291,-59
11593,5910,2283,-21
11796,5804,2291,20
11556,5646,2293,53
11024,5514,2291,79
10663,5414,2285,106
10803,5320,2291,138
11129,5214,2294,170
11134,5224,2291,197
10571,5349,2272,218
9811,5465,2260,236
9350,5436,2255,255
9480,5369,2260,276
10013,5349,2258,297
10583,5369,2260,315
10794,5346,2259,333
10583,5369,2260,354
10124,5464,2254,377
9811,5562,2260,394
9759,5532,2274,402
9811,5465,2291,413
9629,5468,2291,433
9260,5562,2291,453
9042,5618,2290,465
9370,5610,2291,473
10029,5541,2284,481
10473,5465,2291,492
10247,5392,2306,501
9480,5417,2322,512
8400,5566,2318,524
7276,5804,2322,532
6433,5969,2335,531
6394,5997,2353,532
7127,5900,2349,540
8047,5804,2353,551
8566,5761,2374,554
8709,5804,2415,551
8510,5897,2444,550
7937,6046,2477,551
7341,6178,2515,551
7717,6239,2570,551
9326,6190,2623,551
11134,6142,2694,551
11812,6185,2778,549
11355,6336,2880,551
10630,6449,2970,554
10362,6433,3065,551
10641,6274,3163,539
11355,6094,3282,532
12002,5936,3401,532
12016,5804,3530,532
11315,5632,3643,521
10583,5465,3747,512
10182,5356,3831,510
9811,5369,3932,512
9231,5429,4039,504
9040,5465,4149,492
9716,5410,4238,482
10803,5320,4335,473
11302,5237,4438,461
11024,5224,4552,453
10597,5250,4635,452
10583,5320,4706,453
10726,5392,4772,445
10583,5465,4861,433
10084,5485,4944,423
9701,5465,5016,413
9591,5434,5060,401
9591,5465,5109,394
9480,5523,5153,393
9480,5562,5202,394
9649,5545,5231,386
9701,5562,5264,374
9318,5614,5291,363
8819,5659,5326,354
8632,5609,5341,345
8709,5562,5357,335
8564,5611,5357,325
8047,5804,5357,315
7352,6011,5337,303
6945,6142,5326,295
7324,6088,5317,294
8819,5852,5326,295
10809,5468,5315,290
12347,5030,5295,276
13285,4465,5257,260
14331,3773,5233,256
15190,3205,5201,258
14551,3289,5171,256
12093,4178,5120,245
9480,5514,5078,236
7957,6772,5030,236
6835,7787,4985,236
5087,8519,4920,227
3528,8899,4861,217
3438,8929,4797,214
4630,8899,4737,217
5872,8981,4656,217
