I,II,ABP,RESP
3293,2052,2194,-315
3700,2325,2490,-358
3214,2052,2194,-315
2958,1902,2024,-288
3214,2033,2157,-296
3408,2108,2242,-294
3293,2015,2157,-276
3168,1950,2099,-270
3214,1997,2157,-276
3260,2028,2192,-270
3214,1997,2157,-256
3175,1978,2133,-253
3214,1997,2157,-256
3267,2004,2169,-248
3293,1997,2157,-237
3296,1997,2149,-235
3293,1997,2157,-237
3285,1975,2158,-229
3293,1961,2157,-217
3314,1974,2156,-214
3333,1997,2157,-217
3332,1999,2151,-212
3333,1997,2157,-197
3338,2005,2160,-182
3373,2033,2157,-177
3414,2058,2135,-179
3452,2088,2120,-177
3467,2120,2114,-169
3492,2160,2120,-158
3515,2189,2116,-153
3532,2215,2120,-158
3533,2233,2120,-162
3571,2251,2120,-158
3646,2262,2098,-145
3730,2288,2082,-138
3763,2327,2074,-139
3770,2378,2082,-138
3766,2417,2079,-129
3770,2451,2082,-118
3760,2479,2089,-115
3770,2505,2120,-118
3800,2517,2148,-119
3849,2524,2194,-118
3873,2519,2259,-119
3889,2505,2380,-118
3903,2475,2542,-116
3928,2451,2752,-118
3933,2436,2987,-128
3928,2433,3272,-138
3917,2423,3590,-140
3928,2415,3942,-138
3955,2400,4291,-138
4008,2378,4648,-138
4043,2339,5001,-136
4047,2306,5355,-138
4017,2283,5672,-147
4008,2269,5950,-158
4011,2242,6171,-160
4008,2215,6359,-158
3963,2196,6504,-163
3928,2197,6619,-177
3919,2193,6680,-192
3928,2179,6693,-197
3907,2148,6651,-195
3889,2124,6582,-197
3892,2107,6480,-206
3928,2106,6359,-217
3940,2099,6209,-220
3928,2088,6061,-217
3909,2075,5909,-213
3928,2088,5764,-217
3966,2110,5608,-227
4008,2124,5466,-237
4015,2113,5330,-239
4008,2106,5206,-237
3995,2112,5069,-234
4008,2124,4946,-237
4015,2117,4826,-240
4008,2106,4723,-237
3964,2095,4606,-226
3928,2088,4499,-217
3912,2067,4395,-215
3928,2052,4314,-217
3935,2046,4221,-211
3928,2052,4128,-197
3900,2049,4023,-183
3889,2052,3942,-177
3885,2053,3863,-179
3889,2052,3793,-177
3869,2031,3710,-169
3849,2015,3644,-158
3834,2005,3584,-148
3849,1997,3533,-138
3868,1975,3458,-126
3889,1961,3384,-118
3878,1957,3315,-112
3849,1961,3272,-99
3799,1944,3222,-77
3770,1924,3161,-59
3758,1918,3079,-50
3770,1943,3012,-39
3771,1971,2952,-19
3770,1997,2900,0
3761,2016,2837,10
3770,2052,2789,20
3772,2092,2749,39
3770,2124,2715,59
3745,2129,2658,70
3730,2124,2603,79
3722,2114,2555,97
3730,2106,2529,118
3728,2092,2502,130
3730,2088,2491,138
3726,2089,2486,153
3730,2088,2491,177
3725,2068,2486,200
3730,2052,2491,217
3730,2040,2503,234
3730,2033,2529,256
3708,2017,2544,278
3690,2015,2566,296
3679,2031,2593,311
3690,2052,2640,335
3703,2047,2680,365
3730,2033,2715,394
3751,2020,2741,415
3770,2015,2789,434
3769,2003,2844,453
3770,1997,2900,473
3753,1995,2937,490
3730,1997,2975,512
3717,1981,3011,541
3770,1961,3049,572
3849,1943,3068,593
3889,1943,3086,611
3838,1942,3103,630
3770,1943,3124,650
3724,1940,3126,668
3690,1943,3124,690
3611,1938,3119,718
3532,1924,3124,749
3492,1895,3123,771
3492,1870,3124,788
3451,1852,3111,806
3373,1852,3086,828
3310,1852,3044,848
3333,1852,3012,867
3402,1842,2990,885
3452,1834,2975,907
3428,1827,2940,926
3373,1834,2900,946
3331,1838,2858,965
3333,1834,2826,986
3335,1813,2788,999
3333,1797,2752,1005
3319,1786,2711,1008
3333,1779,2677,1025
3351,1768,2636,1048
3373,1779,2603,1064
3357,1805,2575,1064
3333,1834,2566,1064
3314,1835,2552,1074
3333,1834,2529,1084
3340,1839,2487,1083
3293,1852,2454,1084
3165,1838,2430,1094
3016,1797,2417,1104
2875,1724,2396,1096
2778,1634,2380,1084
2760,1543,2360,1079
2936,1507,2343,1084
3370,1558,2317,1085
4047,1707,2305,1084
4859,1930,2304,1084
5714,2215,2305,1084
6498,2518,2288,1075
7103,2796,2268,1064
7409,3007,2248,1054
7381,3159,2231,1045
7017,3236,2206,1026
6389,3214,2194,1005
5600,3071,2192,990
4841,2869,2194,986
4252,2677,2175,979
3889,2542,2157,966
3663,2439,2148,944
3492,2342,2157,926
3330,2232,2158,914
3214,2124,2157,907
3142,2023,2152,897
3095,1943,2157,887
3032,1878,2156,876
2976,1834,2157,867
2939,1804,2154,856
2936,1797,2157,848
2932,1807,2155,837
2936,1834,2157,828
2932,1855,2154,816
2936,1870,2157,808
2927,1869,2154,805
2936,1870,2157,808
2950,1867,2155,809
2976,1870,2157,808
2988,1871,2154,805
3016,1888,2157,808
3051,1913,2156,816
3095,1943,2157,828
3116,1954,2153,837
3135,1961,2157,848
3150,1960,2157,856
3174,1961,2157,867
3188,1950,2150,875
3214,1943,2157,887
3248,1943,2173,902
3293,1961,2194,926
3318,1978,2197,948
3333,1997,2194,966
3331,2010,2189,980
3333,2033,2194,1005
3337,2058,2193,1041
3373,2088,2194,1084
3428,2102,2190,1117
3492,2106,2194,1143
3522,2098,2192,1167
3532,2106,2194,1202
3524,2141,2190,1242
3532,2215,2194,1281
3543,2300,2192,1310
3571,2378,2194,1340
3604,2429,2188,1374
3651,2469,2194,1419
3679,2493,2193,1460
3690,2505,2194,1498
3680,2504,2184,1532
3690,2524,2194,1577
3709,2560,2209,1626
3730,2596,2231,1675
3736,2607,2238,1714
3770,2614,2268,1754
3828,2625,2325,1798
3889,2633,2417,1853
3899,2615,2513,1902
3889,2596,2640,1951
3887,2585,2811,1997
3928,2578,3049,2050
3973,2550,3317,2100
4008,2524,3607,2148
4011,2517,3905,2187
4008,2542,4239,2227
3999,2565,4580,2264
4008,2578,4908,2306
4012,2567,5194,2343
4008,2542,5466,2385
3970,2500,5720,2423
3928,2469,5950,2464
3893,2452,6119,2493
3889,2451,6247,2523
3878,2441,6337,2549
3849,2433,6396,2582
3795,2425,6397,2610
3770,2433,6359,2641
3767,2435,6280,2667
3770,2433,6173,2700
3742,2419,6027,2730
3730,2415,5875,2759
3741,2413,5723,2778
3770,2415,5578,2799
3771,2408,5411,2816
3770,2415,5243,2838
3766,2430,5080,2854
3770,2451,4946,2878
3758,2450,4813,2897
3770,2433,4685,2917
3803,2397,4547,2924
3849,2360,4425,2937
3865,2321,4307,2952
3889,2306,4202,2976
3934,2317,4085,2987
4008,2360,3979,2996
4056,2402,3874,3000
4087,2433,3793,3016
