II,V,PLETH
592,-1417,285
634,-1188,353
605,-576,379
576,-483,436
522,-370,479
484,-275,510
479,-209,534
495,-208,555
504,-216,572
485,-209,581
448,-211,587
415,-239,593
414,-260,599
450,-248,602
516,-220,606
591,-194,610
662,-164,613
723,-131,614
779,-102,612
833,-84,609
888,-66,604
940,-51,597
989,-43,590
1031,-38,582
1073,-38,574
1111,-41,565
1153,-46,555
1194,-54,543
1240,-64,531
1285,-74,515
1336,-85,498
1384,-97,479
1432,-109,459
1469,-122,436
1502,-136,415
1521,-149,394
1537,-161,375
1543,-170,356
1549,-176,340
1549,-177,322
1553,-176,307
1556,-172,291
1571,-164,279
1586,-151,269
1614,-130,264
1638,-102,260
1665,-69,259
1677,-35,259
1683,-5,259
1678,20,259
1679,41,259
1684,59,260
1697,74,260
1695,82,258
1664,78,255
1580,58,249
1449,21,241
1288,-26,225
1137,-73,200
1029,-111,163
990,-134,109
1015,-142,42
1086,-139,-36
1159,-132,-114
1203,-129,-192
1186,-137,-266
1110,-159,-338
990,-188,-406
865,-221,-477
766,-247,-545
721,-260,-614
727,-256,-677
779,-240,-740
847,-218,-794
919,-198,-848
966,-187,-893
999,-185,-939
1009,-190,-976
1028,-195,-1016
1058,-191,-1048
1120,-177,-1085
1194,-152,-1114
1268,-128,-1150
1300,-113,-1180
1287,-120,-1217
1220,-146,-1250
1139,-187,-1291
1064,-227,-1329
1038,-258,-1374
1058,-271,-1416
1125,-268,-1465
1214,-251,-1513
1312,-227,-1568
1401,-200,-1622
1479,-180,-1682
1537,-170,-1741
1578,-181,-1799
1593,-215,-1851
1588,-266,-1898
1564,-326,-1937
1527,-380,-1967
1481,-419,-1985
1436,-434,-1993
1380,-428,-1992
1331,-412,-1976
1281,-389,-1943
1235,-380,-1890
1204,-372,-1826
1177,-380,-1754
1160,-387,-1685
1142,-397,-1625
1124,-404,-1576
1116,-407,-1523
1116,-406,-1454
1126,-394,-1359
1114,-364,-1239
1067,-302,-1095
987,-197,-938
956,-42,-772
1080,156,-608
1468,356,-441
2095,487,-275
2816,452,-111
3338,167,49
3425,-396,202
2960,-1170,350
2087,-2005,490
1084,-2707,621
293,-3113,740
-98,-3148,851
-63,-2846,952
242,-2323,1045
627,-1732,1130
927,-1199,1209
1082,-805,1279
1104,-560,1345
1060,-439,1401
1010,-387,1452
1013,-360,1497
1084,-320,1540
1223,-261,1578
1404,-184,1615
1583,-104,1648
1727,-36,1682
1818,14,1714
1844,32,1746
1828,27,1776
1754,-13,1806
1638,-76,1833
1465,-157,1856
1255,-250,1875
1043,-331,1890
886,-395,1901
836,-419,1904
931,-401,1903
1150,-342,1895
1451,-263,1882
1744,-187,1860
1965,-144,1830
2057,-145,1785
2039,-190,1730
1943,-256,1658
1845,-322,1582
1771,-369,1501
1754,-398,1426
1755,-415,1349
1772,-434,1279
1769,-461,1204
1772,-496,1133
1771,-533,1053
1791,-565,977
1812,-587,897
1842,-601,822
1865,-604,744
1893,-601,671
1927,-589,597
1974,-573,528
2020,-552,458
2061,-530,392
2080,-507,324
2084,-483,260
2064,-460,193
2036,-436,130
1995,-412,64
1948,-388,0
1889,-364,-65
1821,-341,-129
1746,-322,-194
1674,-309,-259
1609,-304,-323
1559,-307,-388
1520,-315,-451
1491,-325,-514
1460,-331,-574
1433,-333,-633
1407,-328,-691
1396,-319,-749
1396,-308,-804
1419,-299,-861
1449,-290,-914
1494,-284,-968
1529,-277,-1015
1560,-272,-1061
1552,-270,-1100
1513,-276,-1138
1415,-293,-1169
1294,-323,-1199
1156,-359,-1220
1060,-394,-1242
1011,-417,-1253
1039,-427,-1266
1106,-417,-1270
1202,-398,-1278
1282,-374,-1280
1347,-355,-1286
1384,-341,-1287
1417,-335,-1292
1447,-331,-1292
1489,-326,-1297
1537,-314,-1299
1598,-295,-1305
1663,-267,-1310
1742,-237,-1321
1822,-211,-1331
1909,-195,-1345
1982,-197,-1359
2034,-222,-1377
2050,-269,-1395
2030,-332,-1417
1974,-401,-1439
1894,-462,-1463
1791,-508,-1487
1675,-535,-1511
1535,-546,-1535
1401,-547,-1559
1270,-539,-1580
1178,-536,-1598
1136,-523,-1612
1152,-517,-1619
1235,-491,-1621
1373,-460,-1612
1548,-406,-1594
1726,-354,-1562
1854,-306,-1521
1893,-283,-1465
1802,-276,-1400
1603,-271,-1322
1333,-236,-1236
1110,-147,-1138
1038,5,-1031
1241,194,-914
1725,369,-793
2419,443,-665
3099,341,-530
3525,2,-391
3493,-561,-250
2990,-1279,-108
2165,-2010,42
1294,-2610,200
614,-2961,372
259,-3026,559
198,-2830,757
332,-2455,951
537,-1989,1124
751,-1515,1268
935,-1090,1385
1088,-756,1477
1187,-531,1557
1236,-414,1631
1236,-377,1704
1217,-391,1775
1209,-420,1840
1226,-444,1898
1265,-456,1951
1314,-455,1998
1362,-446,2039
1420,-425,2078
1479,-399,2113
1555,-370,2148
1616,-346,2178
1659,-338,2208
1669,-341,2231
1660,-361,2254
1640,-379,2269
1642,-397,2287
1661,-402,2296
1708,-403,2309
1757,-397,2311
1813,-396,2319
1851,-397,2314
1892,-404,2316
1920,-409,2304
1961,-415,2298
1995,-416,2277
2041,-420,2262
2073,-423,2234
2110,-430,2215
2137,-435,2186
2172,-441,2165
2200,-443,2135
2231,-446,2112
2246,-447,2080
2252,-451,2053
2236,-456,2018
2214,-464,1987
2185,-471,1947
2164,-479,1911
2149,-484,1870
2149,-485,1837
2156,-480,1805
2173,-471,1784
2191,-455,1765
2203,-439,1751
2193,-424,1732
2159,-414,1710
2101,-407,1681
2034,-402,1650
1972,-394,1616
1929,-382,1583
1899,-367,1551
1884,-351,1519
1863,-336,1486
1837,-325,1453
1797,-316,1416
1761,-307,1380
1728,-295,1339
1716,-279,1298
1702,-262,1250
1687,-252,1201
1640,-253,1146
1576,-272,1091
1488,-298,1029
1423,-327,970
1377,-347,904
1381,-356,841
1400,-352,771
1454,-341,703
1507,-323,629
1573,-303,556
1623,-284,479
1660,-272,403
1656,-269,323
1623,-277,246
1563,-291,168
1513,-305,93
1486,-309,18
1500,-304,-53
1538,-291,-124
1589,-276,-190
1634,-262,-257
1682,-251,-320
1743,-237,-382
1836,-214,-441
1952,-181,-501
2064,-141,-559
2121,-106,-615
2087,-88,-670
1957,-97,-728
1770,-136,-790
1584,-199,-860
1448,-281,-940
1376,-370,-1027
1361,-455,-1113
1372,-524,-1192
1403,-560,-1258
1445,-557,-1312
1520,-513,-1355
1594,-445,-1391
1681,-372,-1423
1706,-308,-1452
1682,-278,-1476
1585,-266,-1491
1454,-296,-1495
1315,-330,-1487
1198,-391,-1466
1102,-447,-1433
1035,-512,-1389
972,-561,-1336
930,-593,-1274
886,-589,-1202
851,-538,-1119
810,-425,-1025
814,-248,-923
936,-9,-814
1301,256,-700
1962,488,-583
2860,585,-464
3764,446,-342
4373,-1,-219
4430,-737,-92
3888,-1646,34
2919,-2530,161
1862,-3183,283
1028,-3462,400
596,-3342,510
542,-2910,613
726,-2315,708
973,-1708,797
1173,-1198,878
1281,-828,953
1321,-592,1020
