II,V,ABP,RESP
-1136,-1117,2850,4089
-1290,-1269,3226,4632
-1136,-1117,2850,4089
-1057,-1039,2668,3803
-1136,-1117,2898,4089
-1192,-1169,3048,4262
-1136,-1117,2945,4089
-1058,-1082,2864,3964
-994,-1117,2945,4067
-919,-1150,3014,4136
-834,-1100,2993,4067
-752,-955,2981,4011
-604,-716,3040,4046
-354,-414,3101,4068
-71,-105,3135,4046
173,178,3156,4023
426,471,3183,4024
737,794,3203,4016
1065,1117,3230,4003
1336,1396,3256,3989
1562,1641,3278,3981
1776,1853,3290,3966
1953,2007,3325,3960
2040,2083,3370,3945
2059,2112,3420,3939
2069,2136,3446,3924
2095,2165,3468,3917
2116,2177,3485,3901
2130,2182,3515,3896
2145,2199,3537,3884
2166,2234,3563,3874
2183,2265,3584,3850
2201,2287,3610,3832
2216,2302,3615,3813
2219,2322,3610,3810
2205,2338,3598,3799
2201,2357,3610,3789
2215,2376,3631,3771
2237,2409,3658,3767
2243,2443,3660,3758
2255,2479,3658,3746
2281,2504,3650,3718
2326,2531,3658,3703
2352,2554,3658,3697
2361,2583,3658,3703
2359,2611,3650,3693
2379,2653,3658,3682
2411,2697,3661,3665
2450,2741,3658,3660
2481,2770,3630,3647
2521,2810,3610,3639
2568,2864,3601,3624
2627,2933,3610,3618
2685,2994,3609,3604
2752,3055,3610,3596
2812,3105,3606,3581
2858,3142,3610,3575
2878,3159,3592,3561
2894,3177,3563,3553
2902,3188,3524,3539
2894,3177,3515,3532
2857,3133,3514,3518
2823,3090,3515,3511
2799,3053,3488,3496
2769,3002,3468,3489
2701,2903,3455,3475
2610,2775,3468,3468
2513,2643,3478,3453
2414,2514,3515,3446
2294,2368,3569,3433
2166,2217,3658,3425
2039,2067,3744,3410
1917,1920,3848,3404
1780,1760,3953,3392
1633,1606,4085,3382
1485,1466,4217,3358
1349,1344,4370,3339
1218,1214,4524,3321
1101,1082,4703,3318
994,956,4883,3307
905,855,5083,3296
826,770,5272,3272
763,698,5463,3254
706,630,5643,3235
657,576,5843,3232
612,533,6038,3223
586,506,6223,3211
568,479,6368,3184
550,454,6508,3168
526,429,6646,3154
515,419,6793,3147
515,418,6904,3124
515,419,6983,3104
497,410,7029,3079
479,401,7078,3061
470,398,7098,3034
462,401,7078,3018
436,402,6993,3005
408,401,6888,2997
399,399,6769,2974
408,401,6650,2954
414,402,6506,2930
408,401,6365,2911
397,400,6221,2884
391,401,6080,2868
384,403,5912,2856
373,401,5748,2847
360,398,5591,2823
355,401,5463,2804
356,411,5322,2789
355,419,5178,2783
345,419,5023,2761
337,419,4893,2740
341,424,4767,2721
355,436,4655,2719
366,446,4529,2710
373,454,4418,2697
379,461,4311,2671
391,471,4228,2654
400,480,4133,2639
408,489,4038,2633
415,497,3931,2620
426,506,3848,2612
442,514,3771,2599
462,524,3705,2590
478,537,3626,2574
479,541,3563,2569
474,539,3506,2565
497,559,3468,2569
530,587,3417,2559
515,576,3373,2547
471,543,3321,2531
497,576,3278,2526
562,641,3223,2521
533,611,3183,2526
458,539,3150,2526
533,611,3135,2526
659,726,3111,2512
550,611,3088,2504
358,432,3057,2499
550,646,3040,2504
909,1009,3016,2503
568,646,2993,2504
-525,-480,2960,2501
-1136,-1117,2945,2504
-450,-448,2938,2503
692,681,2945,2504
1044,1027,2943,2501
675,663,2945,2504
