II,V,PLETH,ABP
371,-52,14332,9901
459,-99,19440,13383
405,-127,20025,13711
303,-135,18643,12680
237,-154,18148,12268
203,-199,18735,12606
154,-243,19165,12825
79,-258,18875,12545
11,-254,18531,12235
-26,-257,18638,12250
-42,-264,18939,12406
-56,-257,18903,12333
-73,-235,18676,12128
-84,-218,18645,12057
-102,-212,18842,12137
-141,-212,18874,12110
-196,-210,18722,11974
-234,-209,18624,11893
-235,-210,18697,11929
-202,-212,18711,11917
-161,-212,18628,11839
-143,-204,18530,11766
-159,-181,18541,11771
-191,-137,18519,11746
-214,-84,18510,11723
-229,-42,18473,11680
-259,-25,18501,11673
-311,-40,18493,11638
-357,-77,18498,11622
-365,-114,18440,11585
-342,-135,18418,11573
-323,-141,18374,11535
-330,-152,18378,11520
-354,-174,18346,11487
-375,-186,18363,11485
-391,-162,18353,11460
-410,-111,18368,11451
-426,-72,18317,11410
-421,-76,18294,11392
-395,-105,18247,11361
-362,-121,18247,11361
-347,-112,18211,11334
-338,-108,18226,11323
-336,-113,18221,11288
-332,-117,18241,11282
-344,-103,18192,11258
-357,-107,18171,11253
-374,-140,18129,11216
-390,-178,18125,11198
-416,-189,18067,11161
-456,-187,18042,11151
-495,-203,17999,11115
-523,-226,17996,11098
-510,-220,17931,11060
-448,-162,17880,11054
-332,-73,17796,11030
-183,-1,17761,11026
38,-28,17692,10991
450,-244,17658,10974
1212,-700,17596,10936
2348,-1354,17587,10924
3642,-2087,17546,10890
4736,-2766,17530,10874
5382,-3305,17469,10834
5578,-3640,17455,10824
5421,-3690,17415,10801
4839,-3335,17403,10798
3587,-2500,17341,10765
1561,-1293,17323,10750
-863,-26,17286,10715
-2940,945,17278,10701
-4043,1458,17214,10662
-4111,1639,17192,10649
-3578,1744,17156,10623
-2937,1880,17150,10621
-2371,1895,17085,10591
-1825,1598,17061,10577
-1272,1068,17025,10541
-842,624,17021,10527
-662,474,16957,10488
-696,520,16931,10474
-795,554,16895,10444
-852,519,16891,10442
-870,489,16826,10414
-875,477,16800,10401
-889,448,16767,10367
-902,402,16758,10362
-925,385,16672,10339
-939,377,16610,10331
-937,341,16542,10291
-915,287,16519,10272
-887,257,16443,10240
-872,255,16404,10239
-856,242,16363,10213
-843,210,16366,10203
-821,163,16311,10168
-809,115,16280,10159
-811,70,16235,10135
-832,52,16233,10137
-861,64,16181,10115
-897,92,16154,10111
-935,111,16106,10084
-976,121,16100,10084
-1009,123,16052,10068
-1031,115,16027,10078
-1035,92,15976,10063
-1027,76,15967,10078
-1010,82,15921,10084
-997,107,15899,10135
-982,131,15846,10176
-968,151,15834,10251
-962,181,15790,10316
-995,234,15771,10429
-1063,301,15717,10541
-1141,367,15705,10694
-1199,427,15660,10830
-1244,487,15625,11004
-1289,547,15534,11166
-1339,599,15484,11357
-1386,633,15423,11520
-1439,660,15396,11707
-1501,697,15325,11871
-1560,745,15298,12060
-1600,787,15266,12220
-1627,813,15260,12409
-1653,827,15198,12581
-1684,839,15169,12776
-1709,857,15134,12935
-1729,874,15131,13109
-1741,881,15070,13258
-1743,874,15040,13432
-1733,857,15003,13570
-1718,836,15000,13714
-1695,807,14942,13821
-1648,765,14909,13950
-1565,713,14868,14049
-1457,665,14870,14159
-1337,627,14838,14222
-1204,578,14849,14297
-1050,488,14848,14343
-879,347,14861,14410
-703,171,14794,14439
-530,-1,14734,14478
-356,-134,14660,14479
-183,-212,14635,14494
-16,-263,14569,14474
132,-327,14526,14473
258,-419,14471,14440
352,-499,14472,14422
419,-521,14437,14363
462,-482,14405,14319
492,-428,14335,14242
506,-404,14329,14186
511,-416,14317,14095
511,-429,14327,14021
512,-414,14284,13913
508,-376,14295,13823
507,-342,14316,13698
515,-329,14386,13595
525,-320,14408,13467
507,-283,14470,13368
448,-212,14539,13245
362,-128,14669,13154
282,-62,14745,13041
221,-25,14831,12959
176,-10,14911,12852
144,0,15086,12777
117,23,15242,12681
89,69,15388,12615
62,126,15505,12524
49,168,15772,12465
60,185,16124,12385
77,193,16494,12336
73,209,16727,12260
44,226,16953,12210
0,232,17158,12134
-30,226,17347,12090
-49,216,17412,12026
-46,192,17515,11990
-47,164,17666,11932
-46,139,17860,11906
-60,129,17941,11858
-75,105,18034,11833
-104,72,18153,11780
-147,54,18317,11757
-189,76,18377,11719
-215,117,18440,11709
-213,130,18510,11671
-203,115,18630,11657
-170,105,18665,11620
-75,133,18715,11609
118,163,18769,11571
402,129,18884,11556
797,-30,18930,11521
1409,-358,18982,11519
2380,-904,19010,11494
3693,-1674,19090,11486
5066,-2579,19113,11449
6076,-3411,19147,11439
6444,-3945,19140,11415
6163,-4052,19178,11420
5367,-3726,19171,11395
4078,-3005,19182,11386
2216,-1934,19150,11350
-107,-654,19172,11340
-2342,532,19169,11313
-3763,1322,19192,11317
-4045,1682,19144,11296
-3515,1838,19105,11287
-2762,1939,19022,11248
-2128,1890,18985,11239
-1612,1580,18914,11217
-1147,1142,18880,11213
-770,834,18817,11175
-552,749,18809,11163
-491,776,18764,11140
-522,792,18732,11138
-568,772,18637,11102
-577,725,18589,11089
-565,666,18525,11064
-561,606,18504,11063
-586,573,18431,11029
-587,545,18402,11015
-545,504,18361,10987
-477,444,18378,10987
-434,393,18352,10955
-429,369,18363,10941
-436,366,18345,10911
-444,371,18370,10910
-433,365,18350,10881
-413,345,18366,10868
-382,292,18349,10834
-355,205,18368,10831
-333,102,18344,10806
-317,40,18364,10796
-310,52,18354,10755
-328,117,18367,10738
-373,176,18316,10705
-423,202,18294,10703
-455,206,18247,10680
-474,218,18247,10680
-496,245,18211,10653
-525,280,18227,10653
-546,311,18220,10637
-550,338,18240,10658
-536,359,18193,10668
-518,376,18172,10715
-511,390,18128,10747
-533,409,18124,10817
-579,433,18069,10879
-629,454,18045,10987
-659,471,17996,11084
-677,499,17991,11216
-701,544,17940,11326
-745,592,17919,11470
-800,618,17866,11598
-846,621,17858,11766
-874,625,17810,11916
-891,651,17791,12094
-911,694,17735,12244
-933,727,17724,12418
-947,738,17679,12567
-939,738,17663,12745
-912,739,17606,12897
-881,737,17592,13069
-855,726,17549,13210
-824,711,17535,13374
-776,693,17477,13511
-705,661,17464,13667
-619,612,17423,13784
-520,562,17394,13913
-410,529,17301,14003
-287,499,17251,14108
-145,441,17188,14181
18,343,17148,14276
194,235,17043,14336
360,160,16982,14404
506,116,16923,14427
637,67,16903,14467
769,-24,16824,14478
897,-152,16791,14508
1000,-287,16758,14495
1060,-398,16759,14490
1080,-465,16693,14447
1073,-472,16663,14420
1055,-434,16630,14357
1030,-387,16624,14309
999,-364,16539,14226
964,-357,16474,14166
925,-340,16405,14072
880,-303,16384,13993
831,-262,16309,13877
786,-235,16269,13783
753,-222,16227,13665
733,-210,16231,13579
723,-195,16177,13465
729,-183,16146,13377
747,-179,16099,13265
766,-187,16097,13186
776,-210,16047,13083
788,-245,16020,13004
811,-271,15969,12896
839,-259,15964,12823
846,-208,15918,12735
822,-158,15895,12679
784,-141,15839,12590
763,-153,15827,12523
766,-168,15790,12433
776,-184,15798,12378
773,-208,15786,12301
764,-237,15809,12249
758,-249,15778,12174
756,-241,15745,12138
745,-233,15657,12089
727,-247,15607,12065
713,-265,15547,12003
712,-259,15540,11965
710,-232,15512,11910
691,-228,15528,11889
651,-259,15514,11841
609,-289,15519,11813
579,-277,15465,11762
560,-238,15432,11745
544,-216,15385,11709
531,-225,15413,11697
529,-240,15424,11660
545,-239,15459,11646
567,-220,15460,11609
586,-193,15532,11596
593,-173,15595,11562
592,-181,15667,11561
572,-216,15681,11540
530,-257,15772,11541
468,-284,15885,11510
413,-304,16011,11497
384,-333,16049,11462
381,-367,16145,11459
384,-396,16281,11436
374,-414,16456,11438
342,-420,16536,11412
305,-408,16646,11402
289,-379,16773,11362
324,-353,16930,11346
395,-339,16984,11313
462,-335,17061,11311
497,-334,17162,11285
521,-345,17314,11276
548,-366,17379,11240
569,-378,17457,11233
563,-368,17545,11209
540,-348,17695,11203
526,-339,17774,11166
530,-343,17859,11156
532,-344,17924,11132
523,-338,18034,11129
507,-335,18083,11093
498,-345,18146,11079
502,-352,18188,11054
524,-338,18286,11054
560,-306,18342,11021
607,-292,18414,11001
656,-321,18443,10961
706,-388,18511,10954
752,-461,18540,10929
793,-513,18593,10926
818,-530,18596,10895
822,-519,18626,10879
807,-492,18618,10838
794,-470,18647,10827
789,-463,18626,10804
787,-458,18617,10802
776,-433,18560,10769
762,-387,18552,10755
745,-346,18513,10725
722,-336,18484,10724
688,-346,18389,10697
647,-342,18341,10683
600,-311,18279,10643
550,-281,18242,10628
500,-275,18136,10598
467,-287,18073,10597
449,-293,18009,10572
426,-293,17991,10560
378,-300,17913,10517
326,-314,17875,10501
299,-322,17835,10473
296,-318,17842,10471
284,-309,17784,10442
246,-302,17751,10430
210,-295,17701,10398
219,-287,17707,10393
275,-284,17676,10368
337,-290,17686,10357
363,-295,17676,10323
361,-291,17698,10317
360,-270,17657,10293
377,-241,17634,10285
394,-213,17582,10249
399,-195,17578,10240
398,-194,17542,10217
407,-214,17553,10211
422,-248,17542,10175
426,-274,17565,10163
406,-268,17529,10140
378,-228,17512,10137
359,-180,17460,10102
361,-159,17453,10087
379,-168,17407,10062
413,-183,17386,10064
454,-179,17329,10041
490,-156,17317,10037
512,-134,17276,10016
523,-123,17261,10012
530,-120,17200,9976
532,-116,17180,9962
523,-100,17144,9938
508,-70,17155,9937
493,-38,17133,9904
480,-25,17153,9889
467,-35,17138,9861
453,-50,17137,9861
443,-53,17078,9833
440,-57,17059,9816
434,-77,17022,9782
410,-109,17013,9781
364,-135,16950,9766
309,-145,16927,9763
248,-144,16890,9729
180,-135,16886,9714
104,-118,16823,9688
32,-98,16796,9685
-31,-79,16758,9656
-90,-61,16756,9642
-147,-44,16694,9610
-179,-38,16665,9604
-163,-58,16624,9583
-105,-100,16624,9581
-37,-140,16568,9560
14,-151,16537,9558
41,-139,16489,9532
52,-132,16492,9520
56,-144,16460,9486
61,-157,16471,9477
68,-151,16463,9456
77,-135,16483,9457
84,-128,16441,9435
84,-132,16418,9430
78,-128,16369,9407
74,-107,16365,9406
77,-82,16319,9384
86,-64,16293,9380
91,-42,16234,9357
81,-2,16227,9356
63,48,16197,9334
51,83,16207,9330
41,93,16187,9308
24,98,16208,9305
0,122,16187,9284
-1,153,16176,9280
19,169,16109,9256
43,150,16088,9254
29,125,16064,9233
-3,109,16099,9229
-36,120,16101,9205
-49,137,16142,9204
-56,153,16162,9185
-70,160,16228,9180
-83,151,16240,9147
-100,131,16263,9131
-107,118,16279,9104
-99,150,16426,9104
-52,232,16616,9083
36,329,16833,9077
189,361,16965,9055
470,252,17126,9060
998,-60,17264,9051
1875,-609,17397,9057
3085,-1384,17436,9035
4411,-2286,17536,9029
5503,-3137,17674,9007
6101,-3755,17852,9005
6200,-4039,17932,8984
5871,-3932,18038,8979
4974,-3355,18157,8956
3245,-2270,18314,8954
787,-855,18371,8932
-1691,478,18441,8928
-3323,1338,18513,8906
-3787,1680,18628,8903
-3445,1783,18662,8882
-2876,1909,18715,8878
-2365,2005,18771,8857
-1874,1836,18884,8854
-1325,1363,18928,8832
-813,861,18981,8829
-503,608,19011,8808
-448,602,19090,8805
-536,641,19112,8781
-623,607,19146,8778
-661,535,19141,8758
-673,474,19179,8755
-693,438,19169,8730
-705,419,19180,8726
-706,419,19153,8712
-696,402,19175,8721
-701,358,19165,8708
-721,318,19186,8706
-744,326,19151,8682
-761,366,19139,8678
-764,381,19084,8656
-773,355,19076,8654
-780,312,19030,8630
-792,292,19014,8628
-812,300,18953,8605
-862,327,18941,8602
-939,344,18900,8579
-1029,346,18888,8585
-1111,343,18825,8585
-1184,360,18809,8621
-1246,395,18769,8645
-1299,423,18764,8699
-1346,431,18701,8746
-1407,436,18675,8841
-1472,450,18633,8946
-1523,463,18646,9100
-1543,455,18619,9251
-1560,437,18636,9444
-1582,435,18620,9634
-1600,459,18633,9865
-1588,490,18580,10081
-1567,508,18554,10320
-1561,507,18504,10532
-1584,502,18512,10769
-1607,511,18486,10984
-1617,542,18499,11221
-1606,576,18479,11433
-1590,591,18502,11672
-1570,587,18483,11888
-1563,595,18500,12122
-1574,634,18481,12325
-1608,689,18501,12551
-1643,723,18482,12753
-1663,725,18501,12969
-1669,713,18483,13146
-1683,715,18503,13337
-1714,733,18483,13496
-1750,751,18502,13662
-1771,751,18484,13780
-1781,741,18504,13910
-1784,737,18482,14013
-1776,742,18500,14132
-1742,746,18486,14206
-1686,734,18508,14288
-1621,706,18476,14339
-1563,675,18463,14410
-1511,655,18402,14439
-1457,649,18387,14474
-1380,635,18358,14472
-1269,588,18393,14493
-1132,505,18405,14479
-994,408,18456,14478
-863,310,18462,14440
-719,200,18497,14425
-540,59,18485,14386
-334,-100,18504,14367
-120,-236,18482,14305
80,-314,18496,14253
259,-342,18481,14166
401,-346,18511,14105
501,-345,18490,14017
569,-333,18468,13949
629,-312,18379,13846
691,-299,18331,13762
758,-302,18266,13643
820,-303,18240,13548
876,-281,18166,13429
914,-242,18138,13345
928,-211,18098,13242
916,-196,18109,13164
892,-191,18080,13055
867,-180,18094,12976
837,-162,18082,12879
791,-132,18097,12811
732,-96,18043,12712
674,-66,18017,12638
626,-51,17970,12548
569,-46,17974,12499
489,-42,17942,12428
399,-33,17956,12378
324,-20,17946,12297
271,-9,17965,12250
223,-7,17919,12187
170,-24,17896,12152
125,-57,17847,12087
104,-86,17845,12047
97,-92,17811,11988
80,-75,17823,11961
42,-49,17813,11906
3,-30,17835,11875
-19,-21,17795,11822
-28,-25,17775,11801
-46,-35,17725,11756
-81,-41,17719,11735
-124,-36,17672,11689
-164,-21,17651,11673
-203,-9,17593,11637
-242,-16,17581,11627
-275,-53,17546,11590
-296,-122,17556,11574
-304,-202,17539,11535
-307,-264,17560,11525
-315,-295,17535,11490
-326,-300,17528,11474
-338,-287,17470,11433
-346,-267,17452,11424
-355,-252,17414,11401
-357,-264,17424,11399
-367,-287,17402,11363
-373,-289,17424,11350
-384,-246,17408,11324
-381,-196,17406,11324
-369,-168,17348,11292
-342,-165,17330,11277
-308,-167,17292,11246
-281,-169,17283,11246
-257,-172,17220,11220
-236,-157,17197,11206
-195,-106,17159,11163
-121,-22,17156,11149
0,66,17095,11122
165,131,17066,11121
397,107,17023,11091
795,-101,17029,11079
1527,-561,16997,11042
2655,-1238,17011,11028
3971,-2016,17005,10990
5067,-2758,17019,10975
5667,-3352,16966,10943
5785,-3701,16941,10940
5542,-3704,16902,10914
4850,-3264,16899,10905
3445,-2348,16841,10868
1281,-1096,16813,10853
-1166,168,16771,10816
-3122,1101,16769,10802
-4061,1593,16714,10768
-4055,1811,16687,10762
-3566,1967,16641,10738
-2999,2063,16637,10732
-2475,1931,16586,10695
-1954,1491,16561,10679
-1437,912,16511,10643
-1019,481,16501,10629
-792,336,16462,10592
-756,376,16472,10584
-810,411,16467,10561
-839,351,16490,10555
-817,241,16445,10519
-786,144,16404,10507
-795,90,16324,10482
-810,62,16284,10480
-804,51,16214,10446
-773,38,16178,10431
-757,29,16120,10403
-764,36,16111,10404
-772,58,16066,10376
-772,78,16028,10357
-757,80,15938,10315
-747,87,15896,10305
-744,112,15832,10282
-761,150,15773,10279
-787,174,15642,10246
-814,191,15548,10232
-826,216,15460,10202
-831,256,15417,10200
-839,290,15332,10179
-858,305,15298,10178
-878,315,15268,10153
-898,347,15269,10151
-914,400,15206,10127
-934,444,15172,10130
-955,454,15138,10116
-970,444,15137,10132
-966,444,15075,10134
-949,464,15042,10169
-931,488,15007,10187
-929,504,15006,10236
-942,513,14946,10270
-959,522,14914,10346
-958,532,14877,10423
-939,537,14875,10546
-915,530,14817,10657
-917,504,14786,10798
-947,455,14749,10921
-985,394,14745,11079
-1007,342,14675,11219
-1019,325,14613,11385
-1039,350,14534,11522
-1083,400,14505,11683
-1140,447,14442,11821
-1193,471,14402,11986
-1219,465,14343,12124
-1210,441,14336,12286
-1181,424,14309,12424
-1163,437,14318,12588
-1170,467,14299,12724
-1188,479,14315,12876
-1182,452,14300,12993
-1140,404,14315,13130
-1068,364,14300,13235
-980,337,14315,13354
-887,309,14299,13438
-789,278,14312,13543
-679,243,14299,13619
-550,200,14319,13705
-409,149,14301,13745
-277,102,14293,13796
-158,66,14239,13820
-43,31,14216,13871
76,-7,14179,13889
179,-34,14187,13919
247,-36,14168,13910
285,-27,14179,13913
314,-27,14162,13880
346,-43,14181,13861
380,-65,14170,13809
404,-81,14180,13779
408,-86,14159,13713
383,-79,14180,13657
343,-68,14174,13561
311,-67,14182,13487
297,-78,14150,13387
278,-83,14179,13308
239,-77,14202,13191
188,-77,14241,13095
150,-108,14230,12976
133,-169,14290,12889
130,-233,14361,12781
136,-270,14438,12703
145,-282,14441,12602
151,-290,14519,12529
147,-303,14650,12427
143,-308,14814,12354
135,-289,14886,12260
132,-258,15002,12199
113,-223,15155,12114
101,-203,15337,12059
94,-192,15412,11981
105,-194,15521,11933
109,-190,15678,11865
101,-171,15893,11827
87,-139,16014,11766
76,-112,16148,11728
82,-102,16307,11663
98,-85,16531,11630
134,-26,16674,11581
215,80,16813,11558
375,173,16943,11506
632,182,17132,11479
1024,69,17259,11433
1648,-194,17384,11419
