II,V,ABP,RESP
3714,-111,3382,5273
3963,62,3792,5986
3095,350,3301,5302
2521,615,3043,4941
2631,848,3260,5302
2758,1107,3367,5518
2579,1402,3178,5302
2434,1670,3040,5159
2527,1900,3097,5302
2620,2104,3129,5389
2527,2287,3056,5302
2345,2418,3004,5243
2218,2508,3015,5302
2167,2587,2994,5332
2166,2674,2934,5302
2178,2749,2896,5282
2166,2804,2893,5302
2119,2834,2878,5306
2063,2859,2852,5302
2010,2882,2829,5300
1960,2914,2812,5302
1931,2943,2785,5283
1960,2970,2771,5273
2019,2992,2765,5262
2063,3025,2771,5273
2040,3060,2757,5273
1960,3099,2730,5273
1848,3130,2696,5253
1754,3172,2689,5244
1699,3217,2692,5234
1702,3265,2689,5244
1717,3298,2664,5244
1702,3338,2649,5244
1641,3386,2645,5223
1599,3449,2649,5215
1608,3495,2628,5208
1651,3523,2608,5215
1647,3523,2597,5202
1599,3523,2608,5187
1558,3518,2609,5160
1599,3523,2608,5158
1697,3521,2601,5155
1805,3523,2608,5158
1881,3519,2608,5138
1960,3523,2608,5129
2056,3521,2601,5121
2166,3523,2608,5129
2259,3519,2608,5116
2373,3523,2608,5100
2532,3522,2597,5074
2734,3523,2608,5071
2897,3518,2626,5069
2992,3523,2649,5071
3044,3521,2645,5053
3146,3504,2649,5043
3327,3440,2670,5024
3559,3338,2730,5014
3747,3218,2788,4991
3869,3117,2852,4985
3955,3020,2925,4979
4075,2914,3056,4985
4189,2786,3225,4970
4230,2674,3423,4956
4173,2584,3614,4935
4127,2508,3830,4927
4166,2416,4064,4909
4281,2324,4319,4898
4365,2236,4559,4879
4384,2158,4808,4870
4370,2075,5054,4850
4384,2010,5297,4841
4396,1966,5505,4823
4384,1937,5705,4812
4385,1891,5891,4790
4488,1844,6071,4783
4635,1801,6219,4769
4694,1771,6357,4754
4614,1732,6473,4719
4539,1697,6560,4697
4541,1664,6592,4677
4539,1642,6601,4668
4436,1617,6590,4637
4333,1605,6560,4610
4316,1601,6486,4585
4333,1605,6397,4582
4257,1591,6298,4568
4127,1568,6194,4553
4003,1541,6054,4519
3869,1531,5908,4495
3647,1529,5761,4471
3404,1531,5623,4466
3215,1522,5462,4452
3095,1512,5297,4437
2993,1500,5128,4403
2940,1494,4971,4380
2937,1483,4804,4358
2940,1476,4645,4351
2886,1469,4479,4334
2837,1476,4319,4322
2843,1484,4145,4302
2889,1494,3993,4293
2883,1494,3858,4275
2837,1494,3749,4265
2803,1492,3627,4245
2837,1494,3504,4236
2882,1492,3372,4216
2889,1494,3260,4207
2835,1498,3149,4196
2785,1512,3056,4207
2764,1524,2964,4209
2785,1531,2893,4207
2838,1528,2823,4184
2940,1531,2771,4178
3030,1536,2719,4184
3043,1549,2689,4207
2973,1558,2662,4209
2940,1568,2649,4207
2971,1575,2625,4198
2992,1586,2608,4207
2932,1596,2594,4215
2889,1605,2608,4236
2910,1607,2626,4249
2940,1605,2649,4265
2900,1595,2660,4262
2889,1586,2689,4265
2970,1593,2726,4268
3095,1623,2771,4293
3140,1657,2803,4310
3146,1678,2852,4322
3186,1718,2911,4315
3301,1826,2975,4322
3485,1989,3013,4331
3817,2103,3056,4351
4304,2057,3110,4359
4797,1844,3178,4380
5021,1538,3224,4395
4900,1217,3260,4409
4621,912,3292,4402
4488,646,3341,4409
4591,432,3385,4420
4849,277,3423,4437
5176,143,3442,4432
5622,0,3464,4437
6143,-169,3480,4447
6551,-332,3504,4466
6665,-477,3524,4462
6551,-609,3545,4466
6345,-761,3550,4475
6087,-922,3545,4495
5705,-1045,3522,4492
5261,-1051,3504,4495
4900,-925,3482,4502
4694,-701,3464,4524
4503,-459,3437,4525
4178,-240,3423,4524
3706,-66,3406,4516
3250,92,3382,4524
2919,267,3336,4521
2734,498,3301,4524
2636,765,3276,4518
2631,1033,3260,4524
2685,1278,3221,4520
2734,1531,3178,4524
2697,1793,3133,4519
2631,2029,3097,4524
2619,2198,3050,4520
2682,2324,3015,4524
2678,2438,2989,4518
2527,2545,2975,4524
2296,2626,2938,4521
2166,2693,2893,4524
2160,2754,2843,4517
2166,2804,2812,4524
2103,2824,2786,4524
2063,2840,2771,4524
2093,2865,2749,4504
2115,2896,2730,4495
2039,2911,2705,4488
1960,2933,2689,4495
1968,2966,2668,4490
2012,3006,2649,4495
1967,3031,2621,4493
1857,3062,2608,4495
1761,3104,2603,4477
1702,3154,2608,4466
1638,3188,2593,4457
1599,3228,2567,4466
1597,3272,2535,4464
1599,3320,2526,4466
1563,3351,2527,4460
1547,3394,2526,4466
1576,3448,2504,4462
1599,3504,2486,4466
1553,3523,2477,4461
1496,3523,2486,4466
1477,3516,2486,4462
1496,3523,2486,4466
1535,3523,2480,4461
1651,3523,2486,4466
1809,3518,2484,4462
1909,3523,2486,4466
1909,3521,2479,4462
1960,3523,2486,4466
2144,3520,2484,4462
2373,3523,2486,4466
2503,3520,2476,4462
2579,3523,2486,4466
2689,3523,2499,4461
2837,3523,2526,4466
2959,3494,2550,4462
3095,3431,2608,4466
3288,3329,2691,4461
3508,3228,2812,4466
3648,3132,2949,4463
3714,3043,3138,4466
3770,2936,3364,4460
3869,2822,3627,4466
3946,2710,3883,4466
3972,2619,4156,4466
3999,2534,4435,4447
4127,2453,4727,4437
4284,2361,4993,4429
4333,2269,5256,4437
4256,2175,5514,4436
4230,2103,5786,4437
4302,2042,6038,4423
4333,1992,6275,4409
4230,1934,6484,4384
4178,1881,6683,4380
4321,1829,6844,4378
4539,1789,6968,4380
4604,1754,7039,4360
4539,1734,7090,4351
4487,1710,7118,4345
4488,1678,7131,4351
4449,1633,7103,4336
4384,1605,7049,4322
4344,1597,6970,4303
4333,1605,6886,4293
4275,1603,6775,4272
4178,1605,6642,4265
4056,1606,6477,4259
3920,1605,6316,4265
3755,1585,6149,4251
3611,1568,5990,4236
3485,1557,5820,4214
3353,1549,5664,4207
3182,1527,5502,4190
3043,1512,5338,4178
2970,1514,5149,4158
2940,1531,4971,4149
2887,1535,4799,4133
2837,1531,4645,4120
2818,1525,4476,4098
2837,1531,4319,4092
2838,1533,4166,4087
2837,1531,4034,4092
2863,1519,3888,4078
2940,1512,3749,4063
2999,1508,3612,4039
2992,1512,3504,4034
2909,1519,3398,4030
2837,1531,3301,4034
2814,1534,3192,4020
2837,1531,3097,4005
2843,1523,3004,3982
2837,1531,2934,3976
