II,MCL,ABP,RESP
855,-1778,2213,4928
981,-1991,2492,5581
884,-1655,2182,4928
839,-1348,2023,4587
914,-1226,2182,4928
974,-1047,2279,5131
973,-715,2182,4928
983,-405,2106,4793
1031,-184,2151,4928
1055,42,2183,5010
1031,327,2151,4928
996,596,2132,4872
973,817,2151,4928
946,1023,2147,4957
914,1247,2120,4928
889,1466,2108,4908
884,1676,2120,4928
892,1867,2123,4933
914,2044,2120,4928
950,2191,2118,4923
1002,2309,2120,4928
1053,2391,2116,4923
1090,2452,2120,4928
1106,2505,2122,4923
1120,2554,2120,4928
1144,2594,2102,4923
1179,2636,2089,4928
1201,2683,2082,4923
1208,2738,2089,4928
1206,2788,2088,4923
1208,2841,2089,4928
1208,2896,2086,4923
1208,2963,2089,4928
1212,3025,2087,4923
1238,3086,2089,4928
1272,3142,2087,4923
1297,3208,2089,4928
1298,3278,2085,4923
1297,3351,2089,4928
1298,3404,2091,4923
1297,3433,2089,4928
1279,3434,2071,4923
1267,3433,2058,4928
1282,3431,2051,4923
1326,3433,2058,4928
1364,3429,2057,4923
1385,3433,2058,4928
1401,3436,2055,4923
1444,3433,2058,4928
1514,3423,2046,4923
1591,3433,2026,4928
1640,3450,2001,4923
1650,3433,1995,4928
1633,3342,1995,4923
1621,3208,1995,4928
1626,3064,1977,4923
1650,2922,1964,4928
1679,2762,1956,4923
1709,2595,1964,4928
1722,2428,1963,4923
1709,2268,1964,4928
1667,2099,1966,4923
1621,1941,1995,4928
1578,1799,2034,4923
1532,1676,2089,4928
1464,1555,2149,4923
1385,1451,2245,4928
1313,1362,2368,4923
1267,1287,2525,4928
1235,1209,2688,4923
1208,1144,2868,4928
1177,1100,3057,4923
1149,1083,3273,4928
1119,1065,3490,4923
1090,1042,3710,4928
1058,1013,3920,4923
1031,1001,4146,4928
1010,998,4368,4923
1002,1001,4583,4928
999,997,4762,4923
1002,1001,4926,4928
1002,1010,5070,4923
1002,1022,5206,4928
990,1021,5309,4923
973,1022,5393,4928
959,1028,5457,4923
973,1042,5518,4928
1003,1052,5557,4923
1031,1063,5580,4928
1044,1073,5581,4923
1061,1083,5580,4928
1081,1083,5567,4923
1090,1083,5549,4928
1082,1088,5514,4923
1090,1104,5487,4928
1123,1116,5456,4923
