II,III,PLETH
1560,3416,7071
1813,3910,8008
1674,3480,7071
1646,3231,6598
1864,3480,7134
2057,3702,7493
2092,3673,7259
2097,3661,7099
2169,3802,7322
2225,3914,7491
2207,3931,7447
2161,3961,7437
2169,4060,7572
2225,4143,7667
2283,4189,7697
2298,4221,7743
2283,4253,7822
2271,4258,7856
2283,4253,7885
2291,4248,7938
2283,4253,8010
2270,4249,8042
2283,4253,8073
2295,4267,8092
2283,4318,8135
2239,4365,8159
2207,4382,8198
2200,4364,8224
2207,4382,8260
2190,4443,8260
2169,4511,8260
2157,4541,8248
2169,4576,8260
2169,4637,8255
2169,4705,8260
2171,4717,8249
2207,4705,8260
2237,4695,8257
2245,4705,8260
2210,4663,8229
2169,4576,8198
2130,4459,8152
2092,4382,8135
2024,4336,8106
1940,4318,8073
1882,4279,8001
1902,4189,7947
1987,3943,7900
2130,3480,7885
2364,2796,7850
2777,2062,7822
3381,1476,7780
4109,1224,7760
4850,1364,7722
5516,1933,7697
5944,2889,7656
5935,4125,7634
5392,5363,7597
4489,6316,7572
3543,6774,7530
2815,6767,7509
2362,6422,7474
2130,5929,7447
2034,5419,7400
2016,5027,7384
2000,4778,7376
1940,4640,7384
1835,4511,7355
1750,4382,7322
1714,4279,7275
1712,4253,7259
1705,4261,7245
1712,4253,7259
1733,4193,7259
1750,4125,7259
1729,4092,7222
1712,4125,7196
1719,4184,7176
1750,4253,7196
1756,4294,7202
1750,4318,7196
1736,4295,7154
1712,4253,7134
1667,4202,7121
1636,4189,7134
1630,4188,7126
1636,4189,7134
1628,4173,7129
1636,4189,7134
1661,4226,7118
1674,4253,7134
1639,4207,7158
1598,4125,7196
1584,4058,7194
1598,4060,7196
1600,4072,7205
1598,4060,7259
1599,4031,7295
1598,4060,7322
1565,4118,7329
1522,4125,7384
1500,4011,7447
1522,3867,7509
1559,3783,7528
1598,3802,7572
1630,3861,7628
1674,3931,7697
1717,3961,7721
1750,3931,7760
1765,3828,7811
1788,3738,7885
1822,3707,7915
1864,3738,7947
1897,3766,7991
1940,3802,8073
1996,3853,8116
2054,3931,8135
2084,3980,8138
2092,3996,8198
2089,3984,8266
2092,3996,8323
2112,4020,8319
2169,4060,8323
2238,4089,8340
2283,4125,8385
2282,4138,8391
2283,4125,8385
2301,4079,8368
2321,4060,8385
2304,4081,8387
2283,4125,8385
2276,4136,8349
2283,4125,8323
2251,4113,8282
2207,4125,8260
2179,4124,8222
2207,4125,8198
2240,4132,8157
2245,4189,8135
2206,4241,8098
2169,4253,8073
2144,4190,8030
2130,4125,8010
2116,4099,7976
2130,4125,7947
2182,4081,7898
2283,3867,7885
2463,3410,7879
2815,2771,7885
3395,2049,7849
4185,1418,7822
5083,1052,7787
5973,1160,7760
6679,1830,7691
7000,3029,7634
6778,4524,7586
6049,5993,7572
5015,7053,7537
3957,7476,7509
3076,7265,7468
2473,6702,7447
2122,6070,7407
1940,5542,7384
1821,5127,7348
1712,4833,7322
1600,4634,7276
1522,4511,7259
1496,4420,7248
1522,4382,7259
1542,4380,7249
1522,4382,7259
1457,4333,7259
1408,4253,7259
1391,4174,7219
1408,4125,7196
1420,4103,7182
1446,4125,7196
1468,4143,7189
1484,4125,7196
1475,4044,7195
1484,3996,7196
1528,4007,7159
1598,4060,7134
1647,4072,7118
1674,4060,7134
1690,4047,7130
1712,4060,7134
1730,4062,7126
1750,4060,7134
1761,4037,7124
1750,3996,7134
1700,3905,7131
1636,3802,7134
1582,3714,7116
1560,3673,7134
1564,3640,7162
1598,3609,7196
1641,3582,7188
1674,3609,7196
1677,3654,7216
1674,3673,7259
1672,3635,7259
1674,3609,7259
1668,3608,7265
1674,3609,7322
1690,3567,7377
1712,3544,7447
1734,3563,7499
1788,3609,7572
1867,3627,7628
1940,3673,7697
1968,3780,7750
1978,3931,7822
1993,4026,7879
2016,4060,7947
2020,4073,7997
2016,4125,8073
2014,4173,8152
2016,4189,8260
2000,4170,8334
1978,4189,8385
1967,4251,8401
1978,4318,8448
1986,4313,8504
1978,4253,8573
1953,4172,8602
1940,4125,8636
1947,4103,8660
1978,4125,8698
2005,4159,8699
2016,4189,8698
1999,4167,8685
1978,4125,8698
1975,4095,8694
2016,4125,8698
2078,4168,8686
2130,4189,8698
2141,4157,8696
2130,4125,8698
2120,4109,8665
2130,4125,8636
2147,4144,8592
2169,4189,8573
2186,4230,8538
2207,4253,8511
2223,4241,8465
2245,4253,8448
2254,4290,8418
2245,4318,8385
2208,4287,8313
2169,4253,8260
2137,4243,8216
2130,4253,8198
2138,4244,8140
2169,4253,8073
2196,4288,7990
2207,4318,7947
2162,4290,7907
2092,4253,7885
2026,4235,7843
2016,4253,7822
2037,4270,7787
2054,4318,7760
2038,4367,7711
2016,4382,7697
1997,4318,7691
1978,4253,7697
1947,4239,7663
1940,4253,7634
1981,4151,7596
2092,3867,7572
2295,3426,7526
2663,2964,7509
3246,2560,7502
4033,2320,7509
4916,2379,7476
5745,2900,7447
6302,3824,7408
