II,III,PLETH
2214,5623,7629
2338,6021,8636
1827,4836,7629
1525,4176,7110
1616,4499,7629
1674,4725,7912
1546,4442,7565
1470,4222,7351
1546,4330,7565
1607,4396,7677
1581,4274,7502
1557,4183,7369
1581,4218,7438
1594,4235,7489
1581,4218,7438
1581,4234,7377
1616,4274,7375
1665,4259,7374
1722,4218,7375
1778,4187,7372
1827,4161,7375
1853,4118,7363
1862,4105,7375
1857,4108,7370
1862,4105,7375
1877,4064,7364
1897,4049,7375
1901,4071,7370
1897,4105,7375
1882,4084,7362
1862,4049,7375
1837,4032,7376
1827,4049,7375
1827,4049,7335
1827,4049,7311
1808,4045,7295
1792,4049,7311
1786,4037,7307
1792,4049,7311
1790,4077,7301
1792,4105,7311
1801,4085,7304
1827,4049,7311
1864,4012,7304
1932,3993,7311
2020,3959,7299
2108,3936,7311
2167,3924,7327
2214,3936,7375
2252,3937,7404
2284,3936,7438
2287,3929,7457
2284,3936,7502
2289,3936,7534
2319,3936,7565
2352,3932,7559
2389,3936,7565
2411,3937,7578
2424,3936,7629
2407,3930,7664
2389,3936,7692
2375,3939,7687
2389,3936,7692
2405,3903,7685
2424,3880,7692
2428,3866,7683
2424,3880,7692
2415,3882,7690
2424,3880,7692
2431,3851,7660
2424,3768,7629
2431,3516,7586
2530,3037,7565
2717,2340,7530
2987,1575,7502
3446,856,7459
4251,281,7438
5269,-82,7404
6114,-56,7375
6549,516,7329
6711,1687,7311
6704,3246,7284
6360,4836,7247
5544,6044,7170
4532,6636,7120
3711,6587,7101
3162,6129,7120
2705,5543,7099
2284,5061,7057
1972,4723,7001
1792,4499,6993
1656,4324,6991
1546,4218,6993
1496,4168,6957
1511,4161,6930
1524,4138,6910
1511,4105,6930
1473,4084,6935
1441,4105,6930
1401,4139,6888
1370,4161,6866
1339,4159,6851
1335,4161,6866
1343,4162,6863
1370,4161,6866
1388,4129,6855
1405,4105,6866
1419,4091,6862
1441,4105,6866
1459,4106,6854
1476,4105,6866
1478,4097,6867
1476,4105,6866
1479,4104,6828
1511,4105,6802
1545,4099,6784
1546,4105,6802
1496,4090,6804
1441,4049,6802
1409,3978,6784
1405,3936,6802
1400,3927,6828
1405,3936,6866
1429,3913,6865
1476,3880,6866
1516,3846,6873
1546,3824,6930
1563,3776,6973
1581,3711,6993
1602,3639,6972
1651,3599,6993
1730,3583,7046
1827,3599,7120
1898,3621,7149
1932,3655,7184
1951,3680,7230
2003,3711,7311
2088,3736,7370
2178,3768,7438
2238,3776,7497
2284,3768,7565
2333,3734,7594
2389,3711,7629
2422,3685,7671
2424,3655,7756
2395,3614,7824
2354,3599,7883
2307,3602,7908
2284,3599,7947
2276,3567,7972
2284,3543,8010
2278,3540,8031
2284,3543,8074
2295,3511,8105
2319,3486,8137
2324,3493,8134
2319,3543,8137
2300,3574,8130
2284,3599,8137
2263,3633,8127
2249,3711,8137
2229,3768,8138
2214,3711,8137
2213,3414,8097
2284,2868,8074
2485,2150,8060
2881,1406,8074
3486,672,8048
4287,0,8010
5184,-434,7957
6008,-281,7947
6509,619,7942
6500,2081,7947
5962,3645,7914
5095,4949,7883
4154,5786,7838
3338,6129,7820
2713,6029,7802
2284,5680,7820
2004,5287,7823
1827,5005,7820
1699,4829,7777
1616,4724,7756
1577,4631,7742
1581,4555,7756
1596,4486,7748
1616,4442,7756
1640,4408,7753
1686,4386,7756
1740,4361,7719
1792,4330,7692
1807,4277,7673
1792,4218,7692
1740,4169,7692
1686,4161,7692
1645,4164,7677
1651,4161,7692
1684,4126,7695
1722,4105,7692
1738,4098,7651
1757,4105,7629
1788,4081,7614
1827,4049,7629
1842,4027,7624
1827,4049,7629
1782,4077,7620
1722,4105,7629
1647,4121,7619
1581,4161,7629
1523,4201,7626
1476,4218,7629
1430,4173,7593
1405,4105,7565
1400,4022,7541
1405,3936,7565
1392,3820,7591
1370,3711,7629
1354,3629,7630
1370,3599,7629
1412,3588,7611
1476,3599,7629
1534,3602,7651
1581,3599,7692
1610,3582,7714
1651,3599,7756
1710,3646,7786
1792,3711,7820
1877,3747,7813
1968,3768,7820
2048,3769,7832
2108,3768,7883
2124,3755,7915
2108,3768,7947
2079,3794,7962
2073,3824,8010
2093,3823,8046
2143,3824,8074
2206,3826,8062
2284,3824,8074
2358,3776,8096
2424,3711,8137
2467,3660,8138
2495,3655,8137
2502,3659,8126
2495,3655,8137
2463,3623,8130
