I,MCL,ABP,RESP
12029,2818,3454,-806
13909,3070,3913,-918
12413,2642,3454,-806
11401,2515,3200,-731
12157,2760,3406,-767
12841,2815,3515,-796
12413,2642,3359,-767
11840,2618,3269,-748
12029,2760,3359,-767
12451,2781,3392,-780
12413,2701,3312,-767
12065,2710,3271,-759
12029,2760,3312,-767
12340,2700,3314,-772
12541,2642,3264,-767
12356,2718,3239,-764
12157,2818,3264,-767
12242,2795,3279,-770
12413,2760,3264,-767
12315,2822,3234,-764
12157,2877,3217,-767
12227,2810,3209,-772
12413,2760,3217,-767
12325,2836,3215,-747
12157,2936,3217,-729
12226,2913,3212,-723
12541,2877,3217,-729
12661,2948,3214,-731
12541,3053,3217,-729
12447,3045,3213,-727
12669,2995,3217,-729
12931,3021,3212,-729
12925,3112,3217,-729
12635,3155,3215,-728
12541,3171,3217,-729
12800,3218,3210,-729
13181,3288,3217,-729
13299,3299,3218,-728
13309,3288,3217,-729
13424,3336,3203,-728
13692,3464,3217,-729
13895,3549,3254,-728
14076,3523,3312,-729
14230,3463,3353,-728
14332,3523,3406,-729
14329,3657,3480,-728
14460,3699,3596,-729
14702,3610,3714,-728
14844,3582,3832,-729
14739,3686,3939,-728
14716,3758,4069,-729
14841,3655,4206,-728
14844,3523,4352,-729
14491,3488,4475,-728
14204,3464,4589,-729
14263,3333,4683,-728
14460,3229,4778,-729
14350,3255,4852,-728
14076,3288,4920,-729
13886,3179,4968,-728
13820,3053,5015,-729
13669,3039,5041,-728
13564,3053,5062,-729
13560,2962,5075,-728
13564,2877,5109,-729
13399,2900,5139,-728
13309,2936,5157,-729
13407,2851,5147,-728
13564,2760,5157,-729
13480,2771,5178,-728
13309,2818,5204,-729
13232,2784,5200,-728
13309,2760,5204,-729
13323,2819,5221,-728
13309,2877,5251,-729
13288,2821,5253,-728
13309,2760,5251,-729
13242,2799,5247,-728
13181,2877,5251,-729
13181,2864,5229,-728
13309,2818,5204,-729
13366,2831,5174,-729
13309,2877,5157,-729
13172,2840,5128,-728
13181,2760,5109,-729
13266,2757,5086,-729
13309,2877,5062,-729
13206,2973,5013,-727
13181,2936,4968,-729
13251,2827,4918,-731
13309,2818,4873,-729
13210,2903,4801,-723
13181,2936,4731,-729
13259,2856,4655,-747
13309,2818,4589,-767
13153,2887,4511,-772
13053,2936,4447,-767
13105,2861,4379,-763
13181,2818,4305,-767
13078,2921,4203,-770
13053,3053,4116,-767
13190,3049,4039,-763
13309,2995,3974,-767
13166,3011,3891,-772
13053,3053,3832,-767
13145,3020,3797,-747
13309,2995,3785,-729
13253,3037,3756,-723
13181,3053,3737,-729
13233,2937,3729,-731
13309,2818,3737,-729
13170,2819,3731,-727
13053,2877,3737,-729
13126,2860,3754,-729
13309,2818,3785,-729
13319,2819,3789,-728
13309,2818,3785,-729
13435,2746,3775,-729
13692,2701,3785,-729
13823,2750,3786,-728
13820,2818,3785,-729
13642,2798,3775,-728
13309,2760,3785,-729
12870,2779,3790,-729
12669,2818,3785,-729
12759,2791,3754,-727
12925,2760,3737,-729
12837,2781,3734,-730
12669,2818,3737,-729
12670,2792,3714,-726
12925,2760,3690,-729
13096,2777,3677,-733
13053,2818,3690,-729
12897,2801,3692,-709
12925,2760,3690,-691
13036,2761,3682,-685
13053,2818,3690,-691
12916,2843,3693,-693
12925,2818,3690,-691
13050,2806,3665,-688
13053,2877,3643,-691
12783,2951,3628,-692
12669,2936,3643,-691
12881,2836,3651,-688
13181,2818,3643,-691
13121,2890,3609,-692
12925,2936,3596,-691
12887,2867,3595,-687
13053,2818,3596,-691
13131,2875,3567,-695
13181,2936,3548,-691
13250,2879,3544,-671
13309,2818,3548,-652
13259,2862,3523,-647
13309,2936,3501,-652
13397,2913,3492,-654
13309,2877,3501,-652
13042,2931,3484,-650
13181,3112,3454,-652
13958,3554,3418,-653
15228,4521,3406,-652
16982,5925,3399,-651
19579,7281,3406,-652
22332,8209,3408,-652
