I,MCL,ABP,RESP
3837,10240,2893,467
4274,11524,3289,497
3754,10019,2930,393
3619,9141,2755,328
4087,9742,2967,337
4356,10157,3087,331
4129,9797,2967,280
3836,9615,2890,238
3754,10019,2967,224
3718,10326,3010,205
3670,10240,2967,168
3745,10093,2954,135
3962,10074,3004,112
4121,10025,3025,86
4087,10019,3004,56
3851,10240,2993,33
3462,10683,3004,19
2967,11137,3003,8
2503,11513,3004,0
2245,11724,3020,-2
2336,11679,3041,0
2733,11338,3042,0
3253,10904,3041,0
3667,10546,3038,-1
3921,10406,3041,0
4047,10403,3035,0
4129,10462,3041,0
4194,10416,3056,0
4296,10240,3079,0
4413,9953,3080,0
4505,9742,3079,0
4511,9643,3073,0
4505,9631,3079,0
4585,9574,3076,0
4797,9521,3079,0
4989,9483,3077,0
5005,9521,3079,0
4795,9569,3071,0
4505,9687,3079,0
4258,9802,3094,0
4087,9908,3116,0
3946,9957,3117,0
3879,10074,3116,0
3921,10188,3110,0
4087,10185,3116,0
4281,10016,3113,0
4463,9908,3116,0
4567,9920,3113,0
4588,9908,3116,0
4512,9719,3111,0
4421,9521,3116,0
4358,9402,3116,0
4338,9410,3116,0
4301,9724,3106,0
4213,10738,3116,0
4000,12249,3133,0
3670,13506,3153,0
3356,13991,3149,0
3378,14115,3153,0
3964,14267,3166,0
5088,14115,3190,0
6411,12928,3192,0
7549,10738,3190,0
8228,8190,3184,0
8425,5978,3190,0
8260,4371,3187,0
7883,3598,3190,0
7285,3715,3188,0
6423,4594,3190,0
5368,5781,3183,0
4421,6919,3190,0
3829,7743,3204,0
3629,8247,3227,0
3649,8494,3229,0
3754,8690,3227,0
3853,8896,3220,0
3921,9133,3227,0
3919,9302,3226,0
3879,9465,3227,0
3801,9639,3221,0
3670,9908,3227,0
3441,10169,3227,0
3128,10406,3227,0
2746,10583,3218,0
2377,10794,3227,0
2125,10962,3242,0
2169,10960,3264,0
2506,10652,3265,0
2961,10185,3264,0
3207,9824,3258,-1
3128,9797,3264,0
2859,9996,3262,0
2711,10185,3264,0
2829,10131,3260,-1
3128,9908,3264,0
3358,9681,3261,1
3378,9687,3264,0
3189,9958,3261,-4
2920,10462,3264,0
2672,10945,3259,15
2544,11181,3264,37
2602,10937,3263,57
2920,10296,3264,75
3457,9468,3256,92
4087,8801,3264,112
4606,8418,3279,131
4880,8358,3301,150
4860,8496,3302,167
4630,8801,3301,187
4321,9166,3296,206
4087,9521,3301,224
3964,9680,3298,242
3921,9631,3301,262
3885,9462,3299,281
3837,9465,3301,299
3715,9775,3294,317
3462,10406,3301,337
3052,11123,3315,356
2628,11735,3338,374
2377,12016,3342,390
2419,11956,3338,411
2658,11625,3328,438
2920,11292,3338,467
3067,11067,3353,489
3128,10960,3375,505
3175,10786,3378,521
3295,10517,3375,542
3487,10208,3365,563
3712,10074,3375,580
3827,10183,3392,594
3754,10517,3412,617
3559,10824,3413,646
3504,10904,3412,673
3734,10636,3407,691
4129,10240,3412,711
4346,10007,3410,735
4213,10185,3412,767
3861,10610,3408,795
3629,10960,3412,823
3685,10903,3409,850
3962,10517,3412,879
4252,10021,3409,905
4463,9687,3412,935
4595,9505,3409,965
4671,9465,3412,991
4626,9513,3409,1008
4421,9742,3412,1028
4069,10072,3408,1054
3712,10406,3412,1084
3500,10544,3411,1105
3545,10517,3412,1122
3751,10386,3405,1138
3962,10296,3412,1159
4042,10223,3426,1178
4046,10185,3449,1197
3999,10184,3453,1213
3921,10296,3449,1234
3795,10455,3438,1252
3712,10572,3449,1271
3699,10548,3466,1288
3712,10517,3487,1309
3665,10613,3487,1328
3629,10960,3487,1346
3745,11451,3481,1356
4087,12011,3487,1365
4493,12526,3484,1372
4797,13008,3487,1384
5021,13370,3482,1394
5422,13506,3487,1402
6148,13113,3484,1403
7132,12011,3487,1402
8176,10191,3483,1400
9093,8026,3487,1402
9569,5921,3483,1402
9301,4317,3487,1402
8291,3491,3483,1400
7007,3653,3487,1402
5878,4608,3483,1403
4963,5923,3487,1402
4098,7085,3482,1394
3337,7971,3487,1384
2868,8627,3484,1371
2753,9188,3487,1365
2820,9617,3481,1357
2920,9963,3487,1346
2972,10240,3485,1327
2961,10517,3487,1309
2863,10709,3478,1295
2753,10794,3487,1290
2712,10693,3501,1283
2795,10517,3524,1271
2894,10368,3526,1251
2920,10406,3524,1234
2846,10511,3516,1222
2795,10517,3524,1215
2789,10284,3524,1200
2795,9963,3524,1178
2721,9714,3513,1154
2628,9631,3524,1141
2562,9648,3540,1132
2544,9742,3561,1122
2535,9811,3560,1102
2586,9797,3561,1084
2736,9632,3557,1072
2961,9465,3561,1066
3166,9389,3554,1056
3337,9465,3561,1047
3522,9548,3575,1037
3754,9631,3598,1028
3931,9722,3600,1015
3921,9963,3598,1010
3669,10327,3591,1009
3337,10738,3598,1010
3152,10957,3596,1000
3253,10904,3598,991
3527,10598,3593,987
3754,10296,3598,991
3767,10150,3595,992
3629,10240,3598,991
3502,10408,3594,989
3504,10572,3598,991
3520,10690,3594,991
3378,10904,3598,991
3015,11255,3595,989
2544,11790,3598,991
2036,12418,3593,991
1543,13063,3598,991
1221,13426,3596,988
1376,13285,3598,991
2073,12590,3590,993
2961,11790,3598,991
3497,11338,3611,981
3504,11458,3635,972
3252,11819,3638,969
3170,12011,3635,972
3398,11719,3624,972
3837,11070,3635,972
4278,10379,3651,972
4630,10019,3672,972
4777,10068,3673,965
4671,10406,3672,954
4329,10770,3665,940
3962,11070,3672,935
3739,11319,3672,934
3670,11679,3672,935
3601,12171,3663,928
3504,12786,3672,916
3503,13366,3687,904
3712,13838,3709,897
3976,14060,3710,891
4046,14115,3709,879
3915,14113,3703,858
3962,14115,3709,841
4566,13622,3706,830
5756,12067,3709,823
7151,9419,3705,807
8300,6642,3709,785
8877,4758,3705,763
8801,4151,3709,748
8187,4371,3706,732
7299,4982,3709,711
6314,5769,3704,680
5297,6753,3709,654
4285,7755,3707,634
3462,8635,3709,617
2995,9311,3701,596
2878,9963,3709,580
2864,10678,3723,569
2753,11458,3746,561
2538,12060,3749,544
2419,12344,3746,524
2500,12202,3737,504
2711,11790,3746,486
2844,11291,3750,466
2795,11015,3746,449
2547,11065,3721,438
2169,11458,3709,430
1708,11987,3703,415
1293,12510,3709,393
1018,12831,3703,370
1001,12842,3709,355
1255,12450,3722,345
1752,11790,3746,337
2309,11077,3749,326
2753,10572,3746,318
3002,10267,3738,309
3170,10074,3746,299
3326,9891,3747,287
3462,9797,3746,280
3546,9750,3736,280
3670,9687,3746,280
3874,9555,3762,273
4046,9631,3783,262
3987,10070,3784,257
3670,10794,3783,262
3249,11361,3777,266
2961,11513,3783,262
2922,11204,3781,250
3086,10738,3783,243
3218,10399,3778,242
3128,10406,3783,243
2878,10556,3781,241
2795,10572,3783,243
3092,10259,3777,252
3670,9797,3783,262
4212,9283,3782,264
4505,8801,3783,262
4462,8482,3774,260
4087,8746,3783,262
3403,9718,3798,262
2586,11070,3820,262
1884,12154,3821,261
1543,12676,3820,262
1643,12630,3815,262
2127,12233,3820,262
2761,11650,3816,261
3295,11181,3820,262
3571,10963,3818,261
3629,11015,3820,262
3555,11143,3812,262
3462,11292,3820,262
3437,11392,3834,261
3545,11458,3857,262
3660,11412,3859,263
3629,11292,3857,262
3488,11046,3851,259
3545,10738,3857,262
3944,10407,3856,271
4463,10240,3857,280
4682,10251,3852,281
4505,10406,3857,280
4135,10553,3855,286
3837,10738,3857,299
3603,11017,3851,311
3378,11403,3857,318
3225,11632,3856,323
3337,11513,3857,337
3702,11047,3848,356
4087,10572,3857,374
4250,10345,3872,384
4254,10462,3895,393
4290,10781,3895,406
4463,11292,3895,430
4672,11980,3889,453
4838,12842,3895,467
4955,13609,3891,474
5088,14115,3895,486
5281,14277,3892,504
5631,14115,3895,524
6213,13283,3886,539
7007,11458,3895,561
7748,8789,3909,589
8092,6255,3932,617
7802,4775,3933,636
7007,4594,3932,654
6051,5149,3925,679
5297,5867,3932,711
4857,6395,3930,738
4671,6753,3932,767
4577,7069,3926,795
4463,7639,3932,823
4205,8525,3929,841
3754,9631,3932,860
3144,10676,3926,885
2586,11513,3932,916
2278,11908,3930,938
2294,11790,3932,954
2456,11326,3922,967
2544,11070,3932,991
2458,11235,3946,1019
2377,11569,3969,1047
2566,11525,3969,1067
3170,11015,3969,1084
3974,10262,3962,1101
4630,9631,3969,1122
4887,9281,3966,1140
4838,9299,3969,1159
4656,9573,3965,1177
4421,9963,3969,1197
4045,10321,3964,1214
3545,10683,3969,1234
3088,10972,3967,1252
2920,11070,3969,1271
3047,10886,3960,1288
3253,10683,3969,1309
3246,10708,3983,1328
3003,11015,4006,1346
2762,11263,4007,1355
2795,11236,4006,1365
3050,10946,3999,1379
3253,10738,4006,1402
3195,10793,4003,1423
3003,11070,4006,1440
2898,11238,4001,1448
2961,11181,4006,1458
3049,11009,4002,1472
3086,11015,4006,1496
3121,11150,4001,1517
3295,11181,4006,1533
3613,10883,4002,1539
3962,10462,4006,1552
4152,10176,4001,1570
4129,10185,4006,1589
3990,10329,4003,1597
3921,10517,4006,1608
3931,10648,4000,1624
3921,10738,4006,1645
3842,10686,4005,1655
3837,10517,4006,1664
3981,10248,3996,1676
4213,10019,4006,1701
4411,9849,4021,1723
4588,9797,4043,1739
4698,9830,4042,1746
4630,10019,4043,1758
4297,10364,4039,1772
3837,10904,4043,1795
3409,11481,4035,1813
3086,11956,4043,1832
2898,12147,4056,1847
3003,12067,4080,1870
3468,11720,4081,1890
4087,11292,4080,1907
4418,10995,4073,1914
4254,11070,4080,1926
3803,11362,4078,1941
3545,11513,4080,1963
3733,11203,4075,1980
4296,10572,4080,2001
4962,9822,4077,2018
5547,9188,4080,2038
5870,8813,4075,2047
5798,8967,4080,2057
5307,9566,4076,2068
4671,10240,4080,2094
4174,10559,4075,2116
3962,10572,4080,2132
3963,10500,4076,2136
4129,10462,4080,2150
4371,10320,4075,2168
4588,10074,4080,2188
4672,9797,4077,2194
4671,9631,4080,2206
4645,9586,4074,2222
4630,9797,4080,2244
4597,10399,4078,2252
4588,11458,4080,2262
4597,12641,4071,2276
4630,13561,4080,2300
4730,13992,4094,2311
5047,14115,4117,2319
5606,13957,4118,2322
6298,13285,4117,2337
6951,11733,4110,2354
7508,9465,4117,2375
7853,7049,4115,2385
7841,5203,4117,2393
7413,4243,4111,2396
6799,4151,4117,2412
6276,4520,4114,2430
5964,4982,4117,2449
5765,5318,4111,2456
5589,5701,4117,2468
5364,6286,4116,2483
5047,7140,4117,2505
4578,8079,4108,2515
4046,8967,4117,2524
3601,9637,4131,2530
3378,10074,4154,2543
3319,10275,4155,2550
3295,10406,4154,2562
3206,10499,4147,2568
3128,10572,4154,2580
3167,10489,4152,2586
3378,10296,4154,2599
3623,10074,4149,2608
3754,10019,4154,2618
3657,10154,4151,2615
3378,10462,4154,2618
2960,10828,4149,2622
2544,11181,4154,2636
2324,11351,4151,2645
2503,11236,4154,2655
2992,10810,4148,2655
3504,10296,4154,2655
3789,9895,4153,2650
3921,9742,4154,2655
4013,9771,4145,2662
4046,9963,4154,2674
3877,10244,4168,2674
3545,10572,4191,2674
3221,10765,4192,2669
3086,10738,4191,2674
3194,10441,4184,2673
3545,10019,4191,2674
4018,9552,4189,2669
4421,9188,4191,2674
4570,8968,4186,2675
4463,9022,4191,2674
4184,9331,4188,2660
3879,9797,4191,2655
3675,10109,4186,2654
3712,10074,4191,2655
3979,9617,4188,2643
4338,8967,4191,2636
4593,8354,4186,2634
4671,8026,4191,2636
4554,8000,4188,2625
4338,8247,4191,2618
4192,8589,4185,2613
4296,8967,4191,2618
4513,9365,4190,2609
4463,9963,4191,2599
3864,10809,4182,2585
2961,11790,4191,2580
2301,12463,4206,2569
2294,12510,4228,2562
2868,11897,4228,2550
3670,11070,4228,2543
4316,10452,4222,2529
4671,10240,4228,2524
4781,10228,4224,2521
4797,10240,4228,2524
4777,10191,4225,2516
4713,10240,4228,2505
4548,10434,4220,2490
4338,10738,4228,2487
4192,10905,4242,2485
4254,10794,4265,2487
4506,10379,4267,2477
4838,9908,4265,2468
5060,9613,4258,2455
5088,9687,4265,2449
4897,10026,4264,2439
4588,10462,4265,2431
4283,10729,4259,2418
4129,10794,4265,2412
4110,10694,4264,2401
4087,10683,4265,2393
3869,10878,4256,2380
3504,11292,4265,2375
3206,11641,4280,2366
3253,11679,4303,2356
3619,11343,4303,2335
4087,10904,4303,2319
4407,10586,4296,2305
4588,10406,4303,2300
4755,10098,4300,2289
5005,9631,4303,2281
5256,9266,4297,2270
5422,9465,4303,2262
5484,10255,4299,2244
5547,11292,4303,2225
5680,12086,4297,2203
5923,12565,4303,2188
6263,12812,4299,2168
6757,12842,4303,2150
7437,12293,4297,2129
8258,10904,4303,2113
8976,8727,4299,2093
