II,V,PLETH,ABP
4853,3402,11926,4204
5294,3921,13474,4733
4646,3726,11845,4157
4712,3933,10977,3869
5679,4698,11765,4157
6513,5479,12219,4306
7021,6197,11684,4110
7817,7054,11318,3995
8879,7736,11603,4110
9405,7662,11762,4159
8983,6804,11523,4063
7890,5554,11350,4011
6505,4131,11442,4063
5023,2622,11469,4071
3717,1377,11362,4015
2870,778,11281,3986
2581,810,11281,4015
2751,1119,11243,4031
3201,1458,11201,4015
3614,1774,11190,3984
3717,2066,11201,3968
3564,2295,11158,3960
3510,2471,11120,3968
3667,2592,11064,3966
3820,2673,11039,3968
3777,2710,10989,3963
3717,2754,10959,3968
3798,2800,10909,3965
3923,2835,10878,3968
3894,2826,10820,3963
3820,2835,10798,3968
3843,2870,10782,3965
3923,2916,10798,3968
3863,2909,10764,3963
3717,2876,10717,3968
3651,2855,10649,3967
3717,2876,10637,3968
3762,2903,10630,3948
3717,2916,10637,3921
3663,2911,10592,3885
3717,2916,10556,3874
3808,2931,10503,3871
3820,2957,10475,3874
3736,2964,10423,3852
3717,2957,10395,3826
3815,2943,10351,3794
3923,2957,10314,3779
3904,2970,10228,3769
3820,2957,10153,3779
3756,2907,10085,3783
3717,2876,10072,3779
3647,2861,10040,3750
3614,2835,9992,3732
3627,2767,9895,3722
3614,2714,9831,3732
3498,2701,9775,3728
3407,2714,9750,3732
3429,2695,9699,3728
3510,2673,9670,3732
3522,2677,9627,3706
3510,2714,9589,3685
3538,2736,9501,3666
3614,2754,9428,3685
3689,2779,9364,3689
3820,2835,9347,3685
3993,2893,9306,3660
4130,2957,9267,3685
4169,3014,9208,3740
4233,3078,9186,3826
4382,3134,9148,3909
4543,3200,9106,4063
4604,3261,9016,4299
4646,3321,8944,4629
4741,3363,8882,4995
4853,3402,8864,5433
4871,3427,8826,5939
4853,3443,8783,6519
4876,3449,8696,7094
4956,3483,8622,7653
5018,3528,8554,8164
5059,3564,8541,8645
5046,3563,8514,9054
4956,3564,8461,9401
4808,3567,8356,9652
4749,3564,8300,9826
4800,3519,8285,9915
4853,3483,8300,9968
4765,3479,8259,9968
4646,3524,8219,9920
4629,3554,8194,9806
4749,3564,8219,9684
4846,3558,8220,9561
4853,3564,8219,9448
4816,3566,8204,9305
4853,3564,8219,9164
4929,3556,8216,9019
4956,3564,8219,8881
4894,3578,8205,8712
4853,3605,8219,8550
4875,3645,8217,8395
4956,3767,8219,8267
5129,4045,8199,8121
5575,4536,8219,7983
6323,5178,8251,7834
7227,5913,8300,7700
8121,6718,8302,7536
8983,7534,8300,7369
9606,8003,8286,7174
9602,7655,8300,6991
8771,6336,8294,6793
7434,4496,8300,6614
5993,2788,8289,6419
4646,1620,8300,6236
3531,1026,8291,6033
2994,932,8300,5858
3143,1193,8291,5693
3614,1620,8300,5574
3899,1995,8289,5463
3923,2268,8300,5385
3833,2477,8294,5316
3717,2673,8300,5291
3591,2822,8283,5276
3614,2916,8300,5291
3794,2949,8324,5302
3923,2957,8380,5338
3833,2946,8415,5374
3717,2957,8461,5433
3738,2973,8490,5476
3820,2997,8541,5527
3777,2994,8573,5565
3717,2997,8622,5621
3749,3005,8653,5667
3820,3038,8703,5716
3779,3065,8732,5740
3717,3078,8783,5763
3773,3073,8817,5764
3923,3078,8864,5763
3981,3094,8887,5737
3923,3119,8944,5716
3871,3134,9008,5687
3923,3159,9106,5669
3974,3183,9180,5626
3923,3200,9267,5574
3814,3194,9335,5510
3820,3200,9428,5480
3941,3217,9501,5456
4027,3240,9589,5433
3971,3240,9657,5378
3923,3240,9750,5338
4001,3240,9824,5309
4130,3240,9911,5291
4129,3217,9977,5241
4027,3200,10072,5196
3937,3194,10153,5159
3923,3200,10234,5149
3922,3182,10265,5124
3923,3159,10314,5102
3895,3145,10371,5071
3820,3159,10475,5055
3715,3166,10557,5025
3717,3159,10637,5007
3827,3132,10672,4981
3923,3119,10717,4960
3910,3112,10743,4924
3923,3119,10798,4913
4051,3137,10832,4910
4233,3200,10878,4913
4344,3274,10901,4886
4440,3321,10959,4866
4557,3315,11001,4854
4646,3321,11039,4866
4640,3358,11025,4863
4646,3402,11039,4866
4708,3404,11063,4862
4749,3402,11120,4866
4684,3417,11146,4843
4646,3443,11201,4818
4726,3440,11242,4787
4853,3443,11281,4771
4876,3461,11264,4744
4853,3483,11281,4724
4878,3465,11312,4695
4956,3443,11362,4677
4977,3436,11352,4649
4956,3443,11362,4629
