II,V,PLETH,ABP
-136,222,4904,8405
-167,265,6631,11412
-143,234,6818,11771
-107,191,6345,10972
-106,159,6179,10685
-151,156,6380,11029
-208,188,6543,11281
-241,224,6476,11111
-239,200,6390,10910
-205,125,6439,10971
-184,123,6561,11147
-285,304,6597,11127
-499,632,6595,10996
-505,936,6652,10977
113,997,6777,11088
1383,588,6861,11109
2956,-505,6929,11036
4610,-2331,7025,11001
6256,-4538,7154,11063
7334,-6372,7250,11083
6866,-7096,7367,11051
4623,-6544,7512,11020
1790,-5196,7658,11051
-69,-3703,7751,11050
-493,-2421,7927,11051
-199,-1430,8206,11034
28,-754,8513,11051
29,-392,8710,11043
-5,-226,8878,11051
4,-100,9055,11039
-19,30,9223,11051
-107,112,9289,11040
-190,133,9348,11051
-214,140,9446,11039
-211,160,9575,11050
-242,188,9625,11039
-290,229,9667,11050
-299,278,9734,11038
-264,303,9843,11050
-246,277,9892,11039
-237,215,9926,11050
-205,168,9960,11039
-116,134,10027,11050
-29,121,10052,11040
20,113,10070,11051
33,118,10077,11039
40,114,10120,11051
70,91,10136,11041
130,52,10150,11052
195,18,10134,11038
238,-1,10138,11050
257,-2,10120,11042
279,12,10113,11054
326,24,10083,11033
385,10,10077,11031
427,-21,10057,11009
440,-34,10054,11017
442,0,10021,11006
459,49,10001,11024
506,57,9963,11025
573,5,9948,11049
642,-77,9908,11042
694,-144,9882,11051
728,-187,9839,11037
750,-228,9825,11050
775,-292,9789,11040
803,-368,9758,11051
817,-418,9697,11037
803,-417,9663,11051
785,-403,9618,11050
804,-435,9583,11077
862,-515,9516,11076
897,-576,9477,11085
848,-573,9435,11067
723,-530,9405,11079
578,-474,9335,11080
460,-390,9292,11107
367,-263,9252,11102
287,-128,9225,11113
217,-35,9156,11106
171,21,9108,11132
152,74,9066,11135
149,127,9045,11149
147,152,8987,11130
139,148,8952,11139
120,142,8924,11136
92,152,8917,11162
63,162,8866,11160
47,152,8831,11176
54,133,8802,11167
74,131,8795,11175
87,155,8746,11150
93,181,8712,11145
116,181,8680,11129
171,159,8673,11154
219,152,8628,11161
209,180,8593,11180
143,218,8557,11164
92,223,8549,11173
99,195,8513,11166
121,180,8494,11179
75,205,8471,11157
-52,239,8473,11152
-195,235,8444,11132
-289,188,8419,11143
-320,124,8377,11134
-313,66,8363,11145
-300,25,8332,11133
-293,16,8316,11144
-286,44,8285,11132
-266,89,8281,11143
-237,113,8263,11133
-218,94,8257,11146
-218,44,8226,11130
-219,-8,8216,11129
-197,-47,8200,11104
-146,-73,8208,11110
-85,-100,8197,11100
-40,-127,8201,11115
-20,-139,8193,11103
-14,-116,8208,11113
-6,-74,8200,11101
13,-44,8199,11114
36,-46,8187,11103
63,-57,8224,11114
75,-45,8273,11101
75,-16,8345,11113
59,16,8387,11102
66,22,8441,11115
78,19,8479,11104
63,20,8525,11108
37,45,8537,11084
36,81,8568,11083
28,116,8597,11066
-59,140,8646,11079
-179,147,8663,11075
-216,157,8688,11098
-209,232,8702,11098
-346,434,8738,11116
-628,745,8746,11103
-714,1057,8760,11111
-244,1222,8757,11100
805,1036,8774,11114
2204,228,8770,11103
3795,-1373,8774,11113
5454,-3521,8759,11101
6696,-5484,8772,11114
6658,-6460,8771,11103
4876,-6163,8778,11113
2086,-4987,8754,11102
-173,-3605,8747,11114
-942,-2460,8729,11102
-608,-1617,8726,11113
-154,-993,8694,11102
-21,-568,8671,11114
-6,-352,8634,11102
84,-272,8617,11113
151,-214,8582,11102
103,-140,8566,11114
42,-92,8541,11100
68,-84,8538,11111
140,-80,8513,11102
162,-53,8493,11115
112,-22,8453,11099
47,-4,8435,11098
19,-3,8401,11073
40,-12,8376,11078
52,-15,8331,11069
44,-11,8312,11084
32,5,8282,11072
68,4,8254,11082
111,4,8193,11070
96,24,8152,11083
1,79,8109,11072
-120,134,8082,11082
-204,155,8027,11070
-227,140,7999,11083
-210,111,7973,11071
-167,82,7959,11082
-104,52,7908,11071
-30,22,7877,11083
33,6,7851,11071
86,1,7838,11082
153,-10,7787,11070
257,-49,7754,11082
384,-108,7728,11070
507,-161,7717,11081
607,-199,7667,11070
698,-239,7633,11081
797,-294,7605,11070
905,-356,7596,11082
1021,-416,7548,11070
1144,-484,7513,11082
1266,-568,7482,11071
1358,-654,7474,11083
1404,-735,7430,11071
1421,-823,7394,11082
1441,-938,7359,11071
1469,-1055,7350,11083
1472,-1126,7311,11072
1409,-1118,7276,11081
1271,-1037,7234,11069
1083,-909,7223,11088
886,-760,7196,11092
711,-606,7177,11116
558,-457,7145,11106
409,-320,7141,11112
253,-208,7130,11098
108,-129,7135,11117
3,-78,7121,11119
-53,-36,7126,11143
-101,26,7124,11136
-175,119,7144,11144
-250,227,7146,11128
-243,321,7165,11144
-136,380,7176,11147
18,394,7212,11173
121,384,7234,11166
188,338,7267,11175
252,297,7285,11163
355,267,7330,11178
468,265,7359,11166
547,260,7388,11167
578,247,7401,11140
587,231,7466,11142
578,215,7558,11131
544,187,7668,11146
529,159,7732,11134
574,173,7800,11144
595,264,7863,11133
496,417,7937,11145
453,577,7967,11134
847,635,7992,11144
1837,379,8009,11132
3262,-535,8049,11144
4969,-2391,8059,11132
6773,-4999,8067,11143
7952,-7489,8060,11133
7440,-8744,8080,11144
5033,-8247,8081,11131
2012,-6470,8080,11143
39,-4384,8052,11135
-391,-2691,8047,11145
-55,-1573,8035,11121
160,-922,8028,11118
56,-579,7988,11099
-116,-392,7964,11112
-207,-269,7935,11103
-283,-196,7919,11114
-399,-160,7873,11101
-466,-97,7842,11113
-387,11,7810,11102
-198,88,7797,11114
-30,84,7754,11102
67,63,7723,11113
133,91,7688,11102
206,133,7673,11113
255,130,7634,11102
291,98,7603,11113
324,114,7565,11101
372,162,7550,11113
393,213,7513,11101
