II,MCL,PLETH
2633,1056,6587
3070,1195,7456
2830,1056,6587
2728,990,6140
2962,1082,6587
3115,1153,6830
3028,1133,6534
2935,1112,6352
2962,1133,6534
2969,1144,6625
2896,1133,6480
2848,1138,6375
2896,1159,6427
2977,1163,6440
3028,1159,6373
3036,1168,6320
3028,1185,6319
3019,1188,6298
3028,1185,6266
3038,1185,6236
3028,1185,6212
2977,1171,6171
2896,1159,6159
2790,1154,6154
2699,1159,6159
2640,1159,6128
2633,1159,6105
2652,1159,6090
2699,1159,6105
2775,1147,6103
2896,1133,6105
3001,1127,6096
3028,1133,6105
2950,1136,6100
2830,1133,6105
2700,1127,6098
2567,1133,6105
2447,1146,6099
2435,1159,6105
2566,1166,6099
2765,1185,6105
2885,1213,6097
2896,1236,6105
2853,1239,6101
2830,1236,6105
2810,1237,6093
2765,1236,6105
2690,1216,6122
2633,1185,6159
2599,1154,6180
2567,1133,6212
2505,1109,6234
2435,1082,6266
2367,1053,6281
2304,1030,6319
2229,1005,6362
2172,979,6427
2134,956,6474
2106,953,6534
2064,956,6583
2041,953,6641
2038,937,6668
2041,927,6694
1988,929,6709
1909,927,6748
1844,913,6774
1843,901,6801
1853,910,6799
1843,927,6801
1816,933,6793
1843,927,6801
1934,930,6796
2041,953,6801
2109,993,6793
2172,1056,6801
2290,1153,6797
2501,1288,6801
2805,1422,6792
3225,1494,6801
3790,1418,6800
4476,1133,6801
5163,611,6771
5727,-103,6748
6096,-908,6729
6253,-1648,6748
6120,-2184,6754
5595,-2447,6748
4658,-2499,6708
3489,-2447,6694
2336,-2330,6689
1382,-2086,6694
665,-1683,6663
197,-1185,6641
-3,-711,6626
66,-309,6641
292,25,6637
527,309,6641
659,535,6633
724,721,6641
808,883,6633
987,1030,6641
1236,1152,6639
1514,1262,6641
1762,1362,6610
1975,1442,6587
2110,1491,6571
2172,1519,6587
2168,1547,6589
2172,1571,6587
2215,1587,6557
2304,1597,6534
2385,1609,6499
2435,1622,6480
2444,1627,6450
2435,1622,6427
2423,1618,6376
2435,1622,6319
2482,1625,6236
2567,1622,6159
2651,1615,6071
2699,1622,5998
2681,1637,5914
2633,1648,5837
2601,1645,5749
2633,1648,5677
2700,1660,5594
2765,1674,5516
2793,1672,5423
2830,1674,5355
2907,1692,5295
3028,1726,5248
3124,1744,5171
3160,1751,5088
3130,1756,4994
3094,1777,4927
3076,1802,4863
3094,1829,4820
3120,1849,4765
3160,1880,4713
3210,1916,4647
3291,1957,4606
3384,1987,4570
3489,2009,4552
3604,2022,4533
3752,2035,4552
3886,2038,4580
3949,2035,4606
3906,2022,4595
3818,2009,4606
3736,1987,4645
3686,1957,4713
3643,1916,4747
3620,1880,4766
3599,1844,4778
3554,1803,4820
3458,1741,4866
3357,1674,4927
3280,1606,4979
3225,1545,5034
3152,1479,5064
3094,1416,5088
3090,1359,5103
3160,1313,5141
3242,1272,5173
3291,1236,5195
3257,1198,5190
3160,1159,5195
3037,1115,5198
2962,1082,5195
2923,1062,5147
2896,1056,5088
2868,1045,5026
2896,1030,4981
2955,1011,4910
2962,1004,4820
2847,1002,4705
2699,1004,4606
2619,1001,4515
2633,1004,4445
2646,1013,4366
2633,1030,4284
2645,1043,4176
2765,1056,4070
2947,1067,3970
3094,1082,3909
3124,1094,3857
3094,1107,3802
3070,1119,3718
3094,1133,3642
3128,1145,3575
3160,1159,3535
3168,1171,3495
3160,1185,3481
3123,1196,3475
3094,1210,3481
3081,1223,3471
3094,1236,3481
3114,1240,3516
3160,1236,3588
3208,1222,3648
3225,1210,3695
3171,1205,3717
3094,1210,3749
3052,1214,3788
3094,1210,3856
3186,1195,3916
3291,1185,3963
3348,1181,3982
3357,1185,4017
3338,1178,4064
3357,1159,4124
3401,1130,4155
3423,1107,4177
3353,1090,4193
3225,1082,4231
3096,1076,4259
3028,1082,4284
3007,1093,4298
3028,1107,4338
3075,1111,4387
3160,1107,4445
3238,1101,4490
3291,1107,4552
3309,1127,4610
3357,1159,4659
3463,1188,4677
3620,1210,4713
3745,1223,4763
3818,1236,4820
3864,1242,4843
3949,1236,4873
4027,1212,4919
4015,1185,4981
3868,1157,5010
3686,1133,5034
3567,1105,5055
3554,1082,5088
3584,1065,5089
3620,1056,5088
3632,1043,5094
3620,1030,5141
3561,1022,5193
3489,1030,5248
3429,1036,5276
3423,1030,5302
3427,1012,5316
3423,1004,5355
3384,1008,5400
3357,1004,5463
3324,988,5511
3291,979,5570
3237,997,5617
3225,1030,5677
3268,1053,5724
3357,1056,5784
3429,1060,5832
3489,1082,5891
3559,1123,5936
3686,1185,5998
3873,1281,6049
4147,1416,6105
4519,1541,6145
5003,1571,6212
5534,1435,6288
6056,1107,6373
6529,557,6425
6977,-206,6480
7341,-1068,6527
7504,-1803,6587
7339,-2258,6631
6846,-2447,6694
6060,-2494,6750
5068,-2447,6801
4002,-2271,6818
3094,-1932,6855
2482,-1483,6904
2172,-1004,6962
2061,-558,6970
2106,-155,6962
2235,196,6947
2370,489,6962
2452,716,6962
2567,901,6962
2767,1062,6949
3028,1210,6962
3228,1335,6964
3357,1442,6962
3428,1537,6929
3489,1622,6909
3517,1687,6878
3554,1726,6855
3605,1743,6813
3686,1751,6801
3735,1761,6797
3752,1777,6801
3755,1794,6769
3818,1803,6748
3937,1802,6736
4081,1803,6748
4175,1804,6725
4213,1803,6694
4190,1797,6653
4147,1803,6641
4097,1816,6614
4081,1829,6587
4080,1826,6544
4081,1829,6534
4061,1840,6529
4081,1854,6534
4157,1853,6505
4279,1854,6480
4363,1862,6445
4410,1880,6427
4445,1889,6391
4542,1906,6373
4690,1937,6359
4871,1983,6373
5020,2015,6372
5134,2035,6373
5190,2050,6361
5200,2086,6373
5129,2127,6375
5003,2163,6373
4844,2185,6339
4739,2215,6319
4721,2254,6306
4805,2292,6319
4931,2308,6317
5068,2318,6319
5178,2329,6311
5266,2344,6319
5309,2332,6315
5332,2292,6319
5347,2235,6312
5398,2189,6319
5449,2150,6314
5463,2112,6319
5396,2061,6312
5332,2009,6319
5383,1956,6316
5595,1906,6319
5748,1844,6294
5595,1777,6266
5096,1707,6226
4542,1648,6212
4173,1593,6190
4015,1545,6159
3939,1492,6095
3949,1442,6052
4058,1395,6019
4213,1365,5998
4282,1340,5944
4279,1313,5891
4244,1272,5832
4213,1236,5784
4143,1215,5718
4081,1210,5677
4055,1200,5645
4081,1185,5623
4108,1165,5567
4147,1159,5516
4164,1158,5474
4147,1159,5463
4087,1155,5435
4081,1159,5409
4155,1169,5372
4279,1185,5355
4376,1196,5339
4476,1210,5355
4581,1224,5378
4674,1236,5409
4690,1236,5409
4674,1236,5409
4659,1243,5401
4674,1262,5409
4672,1276,5403
4674,1288,5409
4687,1297,5404
4739,1313,5409
4783,1329,5398
4805,1339,5409
4765,1339,5426
4674,1339,5463
4531,1338,5468
4410,1339,5463
4355,1337,5444
4410,1339,5463
4530,1341,5487
4674,1339,5516
4764,1325,5513
4805,1313,5516
4820,1309,5511
4871,1313,5516
4922,1306,5498
4937,1288,5516
4893,1267,5609
4871,1262,5837
4877,1263,6118
4871,1262,6373
4783,1248,6528
4674,1236,6641
4603,1232,6726
4608,1236,6801
4633,1235,6826
4674,1236,6855
4710,1243,6895
4739,1262,6962
4718,1278,6993
4674,1288,7016
4641,1288,7029
4674,1288,7069
4742,1280,7093
4805,1262,7123
4785,1233,7139
4674,1210,7176
4477,1195,7199
4279,1185,7230
4132,1163,7247
4081,1133,7283
4063,1095,7306
4015,1056,7337
3893,1020,7350
3752,1004,7391
3615,1003,7434
3489,1004,7498
3342,991,7527
3225,979,7551
3160,976,7559
3160,979,7605
3156,970,7653
3160,953,7712
3171,938,7735
3225,927,7765
3268,923,7797
3291,927,7873
3301,948,7932
3357,979,7980
3424,1008,7990
3423,1030,8033
3288,1056,8083
3094,1107,8140
2971,1195,8156
3028,1313,8194
3269,1435,8240
3686,1519,8301
4266,1482,8321
5003,1236,8354
5795,749,8396
6517,77,8462
7042,-697,8487
7306,-1468,8515
7204,-2098,8550
6648,-2447,8622
5647,-2520,8660
4410,-2447,8676
3194,-2322,8659
2172,-2086,8676
1368,-1676,8698
790,-1159,8729
441,-679,8710
329,-283,8676
381,56,8629
527,361,8622
721,598,8604
987,773,8569
1308,915,8481
1646,1056,8408
1933,1189,8343
2172,1313,8301
2343,1424,8222
2435,1519,8140
2406,1587,8045
2304,1622,7980
2181,1631,7912
2106,1622,7873
2060,1616,7818
2041,1622,7765
2045,1639,7691
2106,1648,7658
2205,1647,7631
2304,1648,7605
2373,1659,7535
2435,1674,7498
2504,1677,7486
2567,1674,7498
2588,1670,7464
2567,1674,7444
2510,1675,7434
2435,1674,7444
2349,1670,7412
2304,1674,7391
2331,1682,7379
2435,1700,7391
2548,1721,7362
2633,1751,7337
2689,1772,7318
2765,1777,7337
2830,1762,7335
2830,1751,7337
2737,1754,7325
2633,1777,7337
2592,1801,7332
2633,1829,7337
2696,1852,7327
2765,1880,7337
2832,1904,7331
2896,1932,7337
2916,1957,7327
2896,1983,7337
2870,1999,7332
2896,2009,7337
2972,2010,7326
3094,2009,7337
3257,1998,7337
3489,1983,7337
3735,1958,7302
3884,1932,7283
3817,1896,7270
3554,1854,7283
3203,1803,7263
2896,1751,7230
2681,1699,7182
2567,1648,7176
2515,1587,7175
2501,1519,7176
2496,1448,7140
2501,1391,7123
2501,1347,7113
2501,1313,7123
2494,1275,7095
2501,1236,7069
2507,1195,7047
2501,1159,7069
2464,1119,7091
2435,1082,7123
2441,1048,7124
2501,1030,7123
2588,1018,7104
2699,1004,7123
2804,978,7147
2896,953,7176
2931,934,7168
2896,927,7176
2763,923,7193
2567,927,7230
2379,936,7231
2304,953,7230
2344,966,7219
2435,979,7230
2501,990,7224
2567,1004,7230
2659,1016,7226
2765,1030,7230
2819,1049,7202
2830,1082,7176
2838,1113,7139
2896,1133,7123
2987,1134,7093
3094,1133,7069
3175,1133,7016
3225,1133,6962
3234,1128,6893
3225,1133,6855
3196,1147,6822
3160,1159,6801
3114,1156,6746
3094,1159,6694
3088,1173,6647
3094,1185,6641
3105,1174,6621
3160,1159,6587
3236,1153,6520
3291,1159,6480
3274,1159,6449
3225,1159,6427
3183,1161,6367
3160,1159,6319
3107,1137,6280
3028,1107,6266
2941,1085,6231
2896,1082,6212
2898,1082,6201
2962,1082,6212
3070,1079,6190
3225,1082,6159
3394,1083,6114
3554,1082,6105
3640,1076,6097
3620,1082,6105
3496,1102,6095
3357,1133,6105
3274,1160,6116
3291,1185,6159
3373,1208,6201
3489,1236,6266
3581,1255,6315
3620,1262,6373
3577,1252,6414
3489,1236,6480
3412,1212,6548
3423,1185,6641
3512,1147,6717
3620,1107,6801
3628,1073,6871
3489,1056,6962
3244,1046,7040
3028,1030,7123
2913,1001,7189
2896,979,7283
2900,971,7368
2896,979,7444
2866,981,7483
2830,979,7551
2784,976,7629
2765,979,7712
2756,982,7754
2765,979,7819
2757,968,7897
2765,953,7980
2769,946,8005
2765,953,8033
2745,970,8074
2765,979,8140
2829,983,8167
2896,1004,8194
2908,1056,8214
2896,1133,8247
2917,1234,8242
3028,1365,8247
3264,1475,8260
3686,1468,8301
4303,1269,8305
5068,876,8301
5868,284,8284
6582,-489,8301
7017,-1323,8303
6977,-1983,8301
6367,-2334,8264
5332,-2447,8247
4134,-2477,8232
3028,-2447,8247
2136,-2279,8245
1514,-1932,8247
1128,-1471,8219
922,-979,8194
816,-521,8150
790,-129,8140
825,182,8133
922,438,8140
1058,657,8112
1251,850,8087
1492,1003,8049
1777,1133,8033
2052,1251,7999
2304,1365,7980
2512,1458,7945
