II,V,ABP,RESP
2053,3259,2553,844
2329,3676,2893,938
2091,3259,2553,809
2009,3087,2373,748
2205,3357,2553,809
2326,3498,2662,834
2281,3357,2553,774
2273,3274,2475,727
2357,3357,2553,739
2396,3369,2620,754
2395,3259,2600,739
2461,3182,2586,718
2585,3162,2648,704
2664,3075,2727,685
2699,2919,2789,669
2741,2779,2848,666
2775,2676,2931,669
2752,2557,3026,656
2699,2432,3120,633
2670,2327,3196,613
2661,2238,3262,598
2621,2134,3316,581
2547,2043,3357,563
2472,1989,3360,544
2433,1994,3357,528
2403,2020,3366,510
2357,2043,3404,493
2300,2043,3435,475
2281,2043,3451,457
2278,2040,3448,438
2243,2043,3451,422
2165,2038,3452,406
2129,2043,3451,387
2151,2045,3429,366
2167,2043,3404,352
2122,2029,3375,340
2091,2043,3357,317
2108,2085,3331,279
2129,2140,3309,246
2084,2184,3282,228
2053,2238,3262,211
2069,2313,3236,179
2091,2384,3215,141
2044,2435,3188,106
2015,2481,3168,70
2048,2533,3140,31
2091,2578,3120,0
2068,2617,3094,-16
2053,2676,3073,-35
2099,2730,3045,-70
2167,2724,3026,-106
2203,2663,3002,-125
2281,2676,2978,-141
2446,2830,2946,-171
2699,3016,2931,-211
3110,2976,2927,-238
3878,2578,2931,-246
5005,1869,2913,-255
6159,973,2884,-281
6932,-98,2850,-319
7262,-1313,2837,-352
7342,-2458,2833,-372
7262,-3113,2837,-387
6813,-3036,2820,-404
5855,-2384,2789,-422
4645,-1612,2752,-438
3726,-1022,2742,-457
3354,-588,2745,-479
3308,-97,2742,-493
3218,505,2713,-493
3003,1119,2695,-493
2754,1636,2692,-504
2509,2092,2695,-528
2236,2505,2671,-549
2015,2821,2648,-563
1917,2955,2637,-567
1901,2967,2648,-563
1869,2969,2648,-557
1863,3016,2648,-563
1925,3043,2644,-580
2015,3016,2648,-598
2040,2958,2644,-602
2053,2919,2648,-598
2089,2897,2649,-595
2129,2870,2648,-598
2119,2837,2623,-600
2129,2821,2600,-598
2177,2822,2590,-596
2205,2821,2600,-598
2159,2810,2603,-600
2129,2821,2600,-598
2163,2851,2592,-595
2205,2870,2600,-598
2182,2857,2605,-602
2167,2870,2600,-598
2208,2918,2573,-580
2243,2967,2553,-563
2202,2978,2545,-558
2167,3016,2553,-563
2210,3092,2553,-565
2281,3162,2553,-563
2278,3177,2549,-561
2243,3211,2553,-563
2246,3286,2551,-563
2281,3357,2553,-563
2272,3380,2550,-562
2243,3454,2553,-563
2243,3605,2549,-563
2281,3746,2553,-563
2305,3778,2553,-562
2319,3794,2553,-563
2345,3877,2530,-562
2395,3989,2506,-563
2437,4028,2489,-563
2471,4038,2506,-563
2502,4090,2532,-562
2547,4184,2553,-563
2597,4231,2549,-564
2661,4232,2553,-563
2732,4212,2581,-560
2813,4184,2648,-563
2879,4101,2719,-565
2927,3989,2789,-563
2961,3891,2850,-557
3003,3843,2931,-563
3025,3787,3024,-581
3003,3697,3120,-598
2949,3604,3182,-599
2927,3600,3215,-598
2927,3647,3231,-610
2889,3648,3262,-633
2795,3549,3292,-642
2737,3454,3309,-633
2732,3390,3303,-623
2699,3308,3309,-633
2589,3184,3330,-655
2509,3162,3357,-669
2520,3237,3359,-666
2547,3259,3357,-669
2504,3150,3354,-684
2471,3113,3357,-704
2508,3223,3337,-708
2547,3308,3309,-704
2504,3219,3279,-711
2471,3162,3262,-739
2505,3290,3238,-765
2547,3454,3215,-774
2502,3461,3186,-769
2471,3454,3168,-774
2508,3625,3142,-793
2547,3892,3120,-809
2499,4096,3092,-809
2471,4329,3073,-809
2518,4719,3048,-822
2547,5156,3026,-844
2487,5457,2997,-852
2471,5643,2978,-844
2540,5758,2955,-836
2547,5740,2931,-844
2441,5579,2899,-863
2471,5448,2884,-880
2795,5334,2880,-883
3308,4962,2884,-880
3957,4162,2865,-876
4942,3162,2837,-880
6194,2133,2805,-882
7185,924,2789,-880
7487,-590,2768,-873
7262,-1994,2742,-880
6777,-2684,2708,-897
5969,-2481,2695,-915
4767,-1803,2693,-918
3612,-1119,2695,-915
3036,-606,2672,-912
3041,-146,2648,-915
3157,356,2634,-916
3079,924,2648,-915
2852,1494,2655,-913
2623,2043,2648,-915
2418,2502,2619,-915
2243,2821,2600,-915
2114,2963,2593,-913
2053,3016,2600,-915
2016,3042,2600,-916
1977,3065,2600,-915
1925,3056,2596,-911
1901,3065,2600,-915
1887,3109,2599,-919
1863,3162,2600,-915
1806,3182,2596,-896
1787,3211,2600,-880
1795,3284,2600,-875
1787,3357,2600,-880
1729,3372,2594,-880
1711,3357,2600,-880
1753,3352,2604,-879
1787,3357,2600,-880
1753,3348,2574,-877
1749,3357,2553,-880
1832,3371,2544,-883
1939,3357,2553,-880
1970,3305,2554,-862
1977,3308,2553,-844
2024,3356,2547,-838
2091,3357,2553,-844
2111,3250,2554,-847
2129,3162,2553,-844
2193,3168,2546,-841
2281,3211,2553,-844
2315,3185,2557,-846
2319,3162,2553,-844
2354,3226,2526,-840
2433,3357,2506,-844
2481,3430,2497,-850
2471,3454,2506,-844
2445,3498,2505,-824
2471,3600,2506,-809
2523,3666,2502,-806
2547,3648,2506,-809
2531,3587,2502,-806
2547,3600,2506,-809
2600,3689,2505,-825
2623,3794,2506,-844
2575,3861,2498,-849
2547,3940,2506,-844
2612,4023,2522,-841
2737,4038,2553,-844
2828,3931,2585,-844
2889,3794,2648,-844
2951,3689,2735,-844
3003,3600,2837,-844
2999,3496,2914,-840
2965,3454,2978,-844
2928,3472,3041,-860
2889,3454,3120,-880
2825,3351,3183,-886
2775,3357,3215,-880
2755,3623,3212,-872
2737,4038,3215,-880
2680,4264,3232,-897
2623,4135,3262,-915
2596,3734,3269,-919
2585,3308,3262,-915
2537,3024,3251,-909
2471,2919,3262,-915
2416,2844,3269,-931
2395,2676,3262,-950
2384,2453,3232,-956
2395,2384,3215,-950
2400,2526,3211,-941
2395,2724,3215,-950
2370,2825,3196,-970
2395,2870,3168,-985
2444,2948,3136,-984
2471,3016,3120,-985
2451,2991,3097,-999
2471,2919,3073,-1020
2541,2870,3043,-1027
2585,2821,3026,-1020
2556,2707,3004,-1012
2547,2578,2978,-1020
2575,2515,2944,-1038
2547,2530,2931,-1056
2440,2537,2929,-1060
2471,2481,2931,-1056
2820,2265,2909,-1049
3460,1800,2884,-1056
4280,1055,2856,-1072
5285,146,2837,-1091
6382,-829,2808,-1096
7262,-1800,2789,-1091
7578,-2652,2782,-1084
