II,V,ABP
0,2134,6702
141,2478,7539
325,2348,6571
486,2388,6023
650,2668,6406
832,2835,6601
975,2882,6242
1034,3043,5995
1084,3308,6144
1214,3461,6248
1409,3522,6144
1558,3652,6092
1625,3842,6209
1661,3936,6310
1734,3949,6341
1842,4013,6385
1950,4162,6472
2022,4269,6535
2059,4269,6571
2067,4232,6593
2059,4269,6604
2048,4351,6579
2059,4376,6538
2072,4307,6461
2059,4269,6374
2034,4316,6260
2059,4376,6144
2097,4339,6000
2059,4269,5848
1960,4247,5677
1950,4269,5519
2039,4237,5355
2059,4162,5191
1931,4089,5005
1842,4056,4829
1898,4038,4657
1950,4056,4501
1848,4077,4332
1734,4056,4172
1761,3949,4014
1842,3842,3877
1809,3805,3735
1734,3842,3614
1749,3856,3509
1842,3842,3450
1928,3851,3407
2059,3949,3384
2250,4051,3356
2384,4056,3351
2380,3938,3357
2384,3842,3384
2500,3859,3399
2601,3949,3417
2503,3953,3427
2275,3842,3450
2105,3695,3457
2059,3629,3450
2055,3626,3415
2059,3629,3384
2069,3576,3349
2059,3522,3318
1971,3530,3268
1842,3629,3220
1751,3692,3167
1734,3629,3121
1712,3508,3068
1625,3522,3023
1519,3630,2973
1517,3629,2924
1627,3471,2864
1734,3415,2825
1723,3545,2803
1625,3629,2793
1481,3480,2771
1300,3308,2760
1125,3294,2757
1084,3308,2760
1161,3183,2742
1192,3095,2727
1107,3191,2718
1084,3308,2727
1197,3219,2726
1300,3095,2727
1244,3109,2724
1192,3202,2727
1245,3159,2713
1300,3095,2694
1232,3138,2671
1192,3202,2661
1295,3144,2647
1409,3095,2628
1373,3157,2593
1300,3202,2563
1342,3128,2538
1409,3095,2530
1296,3108,2515
1084,2988,2497
1130,2931,2472
1734,3629,2464
2902,5349,2462
4551,7684,2464
6663,10313,2448
8994,13127,2431
10683,15079,2420
10727,14408,2431
9030,10827,2438
6610,6510,2431
4481,3752,2407
2817,2668,2398
1439,2015,2399
542,1387,2398
350,1274,2378
542,1708,2365
587,2025,2363
433,1921,2365
336,1742,2348
325,1814,2333
267,1963,2327
217,1921,2333
271,1741,2319
325,1708,2300
263,1847,2288
217,1921,2300
277,1789,2306
325,1708,2300
246,1807,2278
217,1921,2267
300,1821,2263
325,1708,2267
186,1786,2264
108,1921,2267
228,1892,2268
325,1814,2267
218,1857,2248
108,1921,2234
202,1862,2226
325,1814,2234
251,1886,2233
108,1921,2234
124,1794,2229
217,1708,2234
193,1812,2231
108,1921,2234
131,1832,2229
217,1708,2234
207,1740,2229
108,1814,2234
35,1734,2239
0,1601,2267
-55,1579,2293
-108,1601,2333
-115,1511,2384
-108,1387,2497
-152,1360,2674
-217,1387,2924
-240,1341,3212
-217,1281,3548
-204,1306,3920
-217,1387,4337
-231,1404,4753
-217,1387,5158
-177,1413,5519
-108,1494,5848
